UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
lizzie,@jaIboyhabit,2023-11-01T14:01:29.000Z,"lizzie
@jaIboyhabit
·
Nov 1",like Drew Ferguson is a grade-A POS so i didn’t really expect much but i expected better from Raphael Warnock,⚡ ⚡,,,,"['https://pbs.twimg.com/media/F92oL53XYAA9k0Y?format=jpg&name=small', 'https://pbs.twimg.com/media/F92oL5sXsAAV6Nh?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F92oL57XsAAAKQB?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1680681317871099904/ob80BSRt_normal.jpg']",https://twitter.com/jaIboyhabit/status/1719716291576000782
Autonomous News: Atlanta,@AutonomousATL,2023-11-01T11:14:45.000Z,"Autonomous News: Atlanta
@AutonomousATL
·
Nov 1","Raphael Warnock was the fifth largest recipient of pro-#Israel lobbying funds in Congress during 2022. Groups like AIPAC have an undue influence on US elections. If it was Russia or Venezuela, the media would be crying about foreign interference.
Source: https://news.littlesis.org/2023/10/26/corporate-enablers-of-israels-war-on-gaza/…",,6,94,148,"['https://pbs.twimg.com/media/F92CsS6WMAALJzE?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1715046808798269440/-sCcz-OH_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1337073995934527488/img/u3gfGH9Ce-VepSwV?format=jpg&name=360x360']",https://twitter.com/AutonomousATL/status/1719674334443159889
ODLE | Eckerd Connects,@ODLEmgmt,2023-11-01T00:20:04.000Z,"ODLE | Eckerd Connects
@ODLEmgmt
·
Nov 1","#TurnerJobCorps x @americanredcross! Students and staff came together, along with members of the community, to host a successful on-campus blood drive.  
@doljobcorps
 @thenjca
 @sanfordbishop
 @raphaelwarnock
 @ossoff
 @albanyheralddigital 
@walbnews10
 #BloodDrive",🩸 💪 ❤,,,2,"['https://pbs.twimg.com/media/F9zs1dMWAAAxTdC?format=jpg&name=small', 'https://pbs.twimg.com/media/F9zs15FXEAAJkvh?format=jpg&name=small']",https://twitter.com/ODLEmgmt/status/1719509574082875827
,@terrathonn,2023-11-02T22:14:50.000Z,"@terrathonn
·
Nov 3",these girls outside fangirling over raphael warnock like ok bruh,🥇,,,,[],https://twitter.com/terrathonn/status/1720202837269811482
Anisia Uzeyman,@dreamstatesmeta,2023-11-02T16:54:00.000Z,"Anisia Uzeyman
@dreamstatesmeta
·
Nov 3","dear 
@potus
 @vp
 @repjimmygomez
  @repraskin
 @RepKatiePorter
 @repmaxinewaters
 @repjeffries
 
@coribush
 @raphaelwarnock
 @elizabethwarren
 @berniesanders
 
You do not need to crush more lives to declare victory, the place is flattened. Vengeance is had, Gaza children dead. #ceasefire !",,,,,[],https://twitter.com/dreamstatesmeta/status/1720122096997876177
EA,@NewAfrikanEA,2023-11-02T16:04:50.000Z,"EA
@NewAfrikanEA
·
Nov 3",People’s analysis of Democrats vs Republicans in Louisiana specifically are so incomplete and incompetent. Especially when their best democrat is a Raphael Warnock ass nigga,,1,,2,[],https://twitter.com/NewAfrikanEA/status/1720109721594548428
yourcomradetony ☭,@yourcomradetony,2023-11-02T15:53:52.000Z,"yourcomradetony ☭
@yourcomradetony
·
Nov 2","What are you waiting for, Sen. Jon Ossoff 
@ossoff
 and Sen. Raphael Warnock 
@SenatorWarnock
? 

#CeasefireForGazaNOW",🪬,,1,1,"['https://pbs.twimg.com/profile_images/1642254494573494274/DoDza3Oa_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1720093978878767104/pu/img/eSyoyF1o3A8iQzHM.jpg']",https://twitter.com/yourcomradetony/status/1720106960463216718
Dream Defenders,@Dreamdefenders,2023-11-03T21:14:21.000Z,"Dream Defenders
@Dreamdefenders
·
Nov 4","Today, people of faith and conscience from Dream Defenders, Black Christians for Palestine, Palestine Feminist Collective and other groups came together with one clear purpose: to pray with Sen Rev Raphael Warnock and Sen Cory Booker for an end to the senseless violence in…
Show more",,14,222,615,"['https://pbs.twimg.com/media/F-CfGvUWAAAU4DO?format=jpg&name=small', 'https://pbs.twimg.com/media/F-CfGvTXkAA6XML?format=jpg&name=small', 'https://pbs.twimg.com/media/F-CfGvUWcAASIwF?format=jpg&name=900x900']",https://twitter.com/Dreamdefenders/status/1720550002005516650
BlueSkies,@KeepToTheLight,2023-11-03T12:35:20.000Z,"BlueSkies
@KeepToTheLight
·
Nov 3",Dem Sen Raphael Warnock faces ethics complaint alleging he potentially filed false financial disclosure https://foxnews.com/politics/dem-sen-warnock-faces-ethics-complaint-alleging-he-potentially-filed-false-financial-disclosure… #FoxNews,,,,,['https://pbs.twimg.com/card_img/1726112662226923520/tr08PnHW?format=jpg&name=900x900'],https://twitter.com/KeepToTheLight/status/1720419386362630329
Based Illinoisan,@BasedIllinoisan,2023-11-03T05:09:11.000Z,"Based Illinoisan
@BasedIllinoisan
·
Nov 3",Jon Ossoff and Raphael Warnock are my favorite senate delegation. But FFS PLEASE stop floating them for POTUS/VP. Losing either one of their senate seats is the last thing Democrats need in 2028.,,1,,2,[],https://twitter.com/BasedIllinoisan/status/1720307110494277707
LiberalLady,@LiberalTeriLee,2023-11-03T01:13:57.000Z,"LiberalLady
@LiberalTeriLee
·
Nov 3",I’m so happy that he and Raphael Warnock are my Senators. They make me so proud!,,,3,3,"['https://pbs.twimg.com/profile_images/1547591124461621250/ludt59li_normal.jpg', 'https://pbs.twimg.com/media/F99FuCFW8AAgvtz.jpg']",https://twitter.com/LiberalTeriLee/status/1720247911399739509
tenniscoaching.com,@_TennisCoaching,2023-11-03T00:01:07.000Z,"tenniscoaching.com
@_TennisCoaching
·
Nov 3","http://tenniscoaching.com United States Congress honors Coco Gauff's US Open triumph: US Senators Jon Ossoff, Marco Rubio, Rick Scott, and Raphael Warnock certified the text congratulating the young North American tennis player http://dlvr.it/SyJvTv",,,,,['https://pbs.twimg.com/media/F997sLdagAAl8Lq?format=jpg&name=900x900'],https://twitter.com/_TennisCoaching/status/1720229583608598869
Tennis World USA,@TennisWorlden,2023-11-03T00:01:06.000Z,"Tennis World USA
@TennisWorlden
·
Nov 3","United States Congress honors Coco Gauff's US Open triumph: US Senators Jon Ossoff, Marco Rubio, Rick Scott, and Raphael Warnock certified the text congratulating the young North American tennis player http://dlvr.it/SyJvTp #TennisStories #CocoGauff #Usopen",,,,,[],https://twitter.com/TennisWorlden/status/1720229579342881068
