UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Marisa M de M,@En_Democraicia,2023-11-01T23:53:12.000Z,"Marisa M de M
@En_Democraicia
·
Nov 2"," Contrapunto: Rick Scott advirtió reversión de acuerdos de Barbados si María Corina Machado no es habilitada. «Si en noviembre no se acepta a María Corina Machado para participar en elecciones se retractan las sanciones contra Venezuela», reiteró el senador republicano!!",🔸,,1,1,[],https://twitter.com/En_Democraicia/status/1719865201980326036
El Pitazo,@ElPitazoTV,2023-11-01T23:50:00.000Z,"El Pitazo
@ElPitazoTV
·
Nov 2",#Internacional | El senador Rick Scott aseguró que los votos de más de dos millones de electores que participaron en la Primaria y apostaron a un cambio de Gobierno no podrán ser cambiados por una sentencia del TSJ. Amplía en:,,1,10,12,[],https://twitter.com/ElPitazoTV/status/1719864396254466483
James Tate,@JamesTate121,2023-11-01T23:37:00.000Z,"James Tate
@JamesTate121
·
Nov 2",I am going to call my mother and check in with her. She is 73 years old and lives in Florida and is a staunch Democrat. Love it when talks shit about Ron Desantis and Rick Scott two vile human beings. ,😀,,12,107,[],https://twitter.com/JamesTate121/status/1719861125234229630
Debbie Mucarsel-Powell,@DebbieforFL,2023-11-01T23:36:15.000Z,"Debbie Mucarsel-Powell
@DebbieforFL
·
Nov 2","The Senate has finally confirmed Jack Lew as Ambassador to Israel — a position that will help us support our ally.

Rick Scott talks a big game about supporting Israel, but when it came to a vote he voted NO.",,3,81,197,[],https://twitter.com/DebbieforFL/status/1719860936645980312
𝙋𝙤𝙡𝙞𝙖𝙣𝙖𝙡𝙞𝙩𝙞𝙘𝙖,@polianalitica,2023-11-01T23:29:39.000Z,"𝙋𝙤𝙡𝙞𝙖𝙣𝙖𝙡𝙞𝙩𝙞𝙘𝙖
@polianalitica
·
Nov 2"," Senador Rick Scott a Biden: levantar las sanciones al régimen de Maduro básicamente financiaría su campaña presidencial en 2024.

 Presidente Biden, usted tiene la oportunidad de ser parte de la recuperación de la democracia en Venezuela.

 Comunicado.",🗣 📌,5,19,33,['https://pbs.twimg.com/media/F94q5FNWMAAEFns?format=jpg&name=900x900'],https://twitter.com/polianalitica/status/1719859275315446122
El Pitazo,@ElPitazoTV,2023-11-01T23:10:00.000Z,"El Pitazo
@ElPitazoTV
·
Nov 2",#Internacional | El senador republicano Rick Scott se pronunció este 31 de octubre sobre la decisión del Tribunal Supremo de Justicia (#TSJ) de Venezuela de suspender los efectos de la elección Primaria opositora. Conoce sus declaraciones: #1Nov,,,1,3,[],https://twitter.com/ElPitazoTV/status/1719854329769992697
Beth,@BethisReal1,2023-11-01T23:00:40.000Z,"Beth
@BethisReal1
·
Nov 2","Actually democrats have been routinely calling for the vote & Tubby & Rick Scott block it. Schumer should have done them one by one extending work hours for senate but he didn’t.  Now, republicans brought it up so it’s being debated to end the filibuster. They need 60 votes.",,,,,['https://pbs.twimg.com/profile_images/1696511923267817472/WzTyL3aQ_normal.jpg'],https://twitter.com/BethisReal1/status/1719851984050590093
Luis Carrillo,@luiscarrillo66,2023-11-01T22:31:26.000Z,"Luis Carrillo
@luiscarrillo66
·
Nov 2","Senador #RickScott se unió al chantaje de las sanciones | Red Radio ® https://redrad.io/8g9y

#ArrancóLaRumbaDeLaNavidad",🌟 🎄 🎁,,1,,['https://pbs.twimg.com/card_img/1732540099559108608/V0QjQrg3?format=jpg&name=900x900'],https://twitter.com/luiscarrillo66/status/1719844624171258072
Debbie Mucarsel-Powell,@DebbieforFL,2023-11-01T22:31:01.000Z,"Debbie Mucarsel-Powell
@DebbieforFL
·
Nov 2",Rick Scott STILL won’t support a foreign aid bill that will help our allies Israel and Ukraine in their fight against terror and tyranny. Blocking aid to Ukraine is just support for Putin in disguise.,,9,49,137,[],https://twitter.com/DebbieforFL/status/1719844519330381848
Analítica,@Analitica,2023-11-01T22:30:00.000Z,"Analítica
@Analitica
·
Nov 2",#Internacionales | #1Nov Rick Scott pide a Biden mantener sanciones a Maduro hasta que habilite a María Corina Machado,,,1,1,['https://pbs.twimg.com/card_img/1730269384025718784/z__iQo1x?format=jpg&name=900x900'],https://twitter.com/Analitica/status/1719844266422468616
