UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
John Yost,@YostHager,2023-11-01T19:35:04.000Z,"John Yost
@YostHager
·
Nov 2","OPEN BORDER CRISIS: DHS Secretary Alejandro Mayorkas ""underestimates"" the damage the open U.S. southern border does to the country, Sen. Roger Marshall told NEWSMAX on Tuesday. MORE:",,,,1,['https://pbs.twimg.com/card_img/1732431413138341889/Ip3YNW4K?format=jpg&name=360x360'],https://twitter.com/YostHager/status/1719800239098335588
George,@George58929448,2023-11-01T19:14:05.000Z,"George
@George58929448
·
Nov 2","https://truthsocial.com/users/NewsMax/statuses/111336801030735046… OPEN BORDER CRISIS: DHS Secretary Alejandro Mayorkas ""underestimates"" the damage the open U.S. southern border does to the country, Sen. Roger Marshall told NEWSMAX on Tuesday. MORE:",,,,,['https://pbs.twimg.com/card_img/1732431413138341889/Ip3YNW4K?format=jpg&name=360x360'],https://twitter.com/George58929448/status/1719794960982040975
Red White and True News,@RWTNews,2023-11-01T19:00:01.000Z,"Red White and True News
@RWTNews
·
Nov 2","""Kansas Senator Roger Marshall (R-Kan.) asked Mayorkas how many “gotaways” U.S. Border Patrol agents recorded in the last year, and Mayorkas responded saying the amount reached over 600,000. """,,,,,['https://pbs.twimg.com/card_img/1732239099887845377/K_t1-LQa?format=jpg&name=900x900'],https://twitter.com/RWTNews/status/1719791421899583810
susie,@susie12719469,2023-11-01T17:40:23.000Z,"susie
@susie12719469
·
Nov 2",You can thank Roger Marshall,,,,,['https://pbs.twimg.com/profile_images/1613572756070699009/HQhyoI6a_normal.jpg'],https://twitter.com/susie12719469/status/1719771380990836804
NEWSMAX,@NEWSMAX,2023-11-01T17:00:16.000Z,"NEWSMAX
@NEWSMAX
·
Nov 2","OPEN BORDER CRISIS: DHS Secretary Alejandro Mayorkas ""underestimates"" the damage the open U.S. southern border does to the country, Sen. Roger Marshall told NEWSMAX on Tuesday. MORE: https://bit.ly/3FHowAj",,47,66,189,['https://pbs.twimg.com/media/F93RuvqaEAAheG1?format=jpg&name=900x900'],https://twitter.com/NEWSMAX/status/1719761285766844450
Jaime,@KansasResisters,2023-11-01T16:13:55.000Z,"Jaime
@KansasResisters
·
Nov 2","TAKE A LOOKKANSAS
You voted in Republican Senator Roger Marshall. The guy can barely read his script handed to him by his staff. 
U.S. KANSAS Senator Roger Marshall is an embarrassment. Vote him out in 2025",🌻,,5,12,"['https://pbs.twimg.com/profile_images/1335565046290804738/eGXNmTvg_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719378585432018946/pu/img/RG3Uouxf3b60UZsO.jpg']",https://twitter.com/KansasResisters/status/1719749622229348640
Cherylinperil,@Cherylinperil1,2023-11-01T13:05:49.000Z,"Cherylinperil
@Cherylinperil1
·
Nov 1","Who voted for Jack Lew as ambassador to Israel?  Democrats plus : Rand Paul and Lindsay Graham
Who did not vote? Mike Lee, Roger Marshall, Tim Scott, Thom Tillis
Jack Lew was involved in Obama’s Cash for Iran Nuke Deal",,,,,['https://pbs.twimg.com/tweet_video_thumb/F92cG26XAAAKdmV.jpg'],https://twitter.com/Cherylinperil1/status/1719702284496486597
American Banker,@AmerBanker,2023-11-01T13:04:00.000Z,"American Banker
@AmerBanker
·
Nov 1","A lobbying group for banks, credit unions and card networks is accusing Sens. Dick Durbin, D-Ill., and Roger Marshall, R-Kan., of attempting to silence opposition to their credit card swipe-fee legislation.",,,1,6,[],https://twitter.com/AmerBanker/status/1719701826079973479
𝓐𝓷𝓷 𝓲𝓼 𝓡𝓲𝓰𝓱𝓽 𝐗𝐋𝐕,@Ann_Lilyflower,2023-11-01T12:59:09.000Z,"𝓐𝓷𝓷 𝓲𝓼 𝓡𝓲𝓰𝓱𝓽 𝐗𝐋𝐕
@Ann_Lilyflower
·
Nov 1","ALMOST UNWATCHABLE: Alejandro Mayorkas Seems Unable To Answer Many Of Roger Marshall's Questions

Unbelievable!!!! Mayorkas needs to be fired for not answering the questions. I don't think this country will survive another year of his non-action and non-answers. What are your…
Show more",🕊 🕊 🚨,37,248,285,['https://pbs.twimg.com/ext_tw_video_thumb/1719700490504527872/pu/img/ZX_BY76wZ032NmTl.jpg'],https://twitter.com/Ann_Lilyflower/status/1719700604455375019
HutchPost,@HutchPost,2023-11-01T10:34:07.000Z,"HutchPost
@HutchPost
·
Nov 1"," Senator Marshall: DHS Sec. says 600K known 'gotaways' at the border: WASHINGTON — U.S. Senator Roger Marshall, M.D. demanded answers from Department of Homeland Secretary (DHS) Alejandro Mayorkas on the Biden administration’s failures to secure our… http://dlvr.it/SyDqYC",🎥,,,,[],https://twitter.com/HutchPost/status/1719664107903946873
