UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MarkJudyHarvey,@Pakayakers,2023-11-01T21:50:06.000Z,"MarkJudyHarvey
@Pakayakers
·
Nov 2","GOP's Proposed IRS Cuts in Israel Aid Bill Would Slash Federal Revenues by $27 Billion: CBO https://commondreams.org/news/cbo-republicans-irs-cuts… ""Republicans never miss a chance to protect their billionaire donors,"" Senate Budget Committee Chair Sheldon Whitehouse (D-R.I.) said.",,,,1,['https://pbs.twimg.com/card_img/1732599499225239553/Aeq9bBqJ?format=jpg&name=900x900'],https://twitter.com/Pakayakers/status/1719834221626167685
Boston Globe Rhode Island,@Globe_RI,2023-11-01T19:22:38.000Z,"Boston Globe Rhode Island
@Globe_RI
·
Nov 2","Rhode Map: What do Governor Dan McKee and US Senators Jack Reed and Sheldon Whitehouse have in common? They’re all Democrats who continue to have approval ratings of 50 percent or more among their constituents, according to a recent survey.",,,,1,['https://pbs.twimg.com/card_img/1730597054819311616/vWrfRGJD?format=jpg&name=small'],https://twitter.com/Globe_RI/status/1719797114224467979
Common Dreams,@commondreams,2023-11-01T16:54:50.000Z,"Common Dreams
@commondreams
·
Nov 2","""Republicans never miss a chance to protect their billionaire donors,"" said Democratic Sen. Sheldon Whitehouse.",,1,15,22,['https://pbs.twimg.com/card_img/1731133436478595072/JRljwwbS?format=jpg&name=900x900'],https://twitter.com/commondreams/status/1719759915621748994
Independent Truthteller,@Easy2BStoic,2023-11-01T15:25:12.000Z,"Independent Truthteller
@Easy2BStoic
·
Nov 1","Dem. liar Sheldon Whitehouse & other perpetual Dem. liars are demonizing Sen. Hawley, accusing him of ""dark money."" The truth isn't good for dishonest Dems:

https://insidesources.com/who-dominates-dark-money-spending-democrats-or-republicans/#:~:text=According%20to%20Issue%20One%2C%20a%20nonpartisan%20group%20that,money%20spending%20and%20conservative%20groups%20constituted%2031%20percent….",,,,,['https://pbs.twimg.com/card_img/1733317223392165888/iaQsDbg5?format=jpg&name=900x900'],https://twitter.com/Easy2BStoic/status/1719737360919724434
Brewster,@Brewsterlala,2023-11-01T14:37:32.000Z,"Brewster
@Brewsterlala
·
Nov 1","This is meant to run out the clock like Sheldon Whitehouse's superficial SC corruption narratives where he recites the same scripted talking points for 3 yrs now w/ no action of intent behind it.

They've utilized these stall & pacification tactics for 20,40 & 60 plus yrs now.",,,1,3,['https://pbs.twimg.com/media/F92xGycXkAA8CMO?format=jpg&name=medium'],https://twitter.com/Brewsterlala/status/1719725365575229696
"Ole Vet ""VetsResistSquadron""",@OleVetUSAF,2023-11-01T12:16:21.000Z,"Ole Vet ""VetsResistSquadron""
@OleVetUSAF
·
Nov 1","October 31 | Senator Sheldon Whitehouse (D-RI) joins MSNBC's Chris Hayes to discuss the joint announcement with Chair Dick Durbin regarding a vote to authorize issuing subpoenas to Harlan Crow, Leonard Leo, and Robin Arkley II as part of the Judiciary Committee’s Supreme Court…
Show more",,2,21,34,['https://pbs.twimg.com/ext_tw_video_thumb/1719688932734984192/pu/img/MzS0gnvsWd8-UdoG.jpg'],https://twitter.com/OleVetUSAF/status/1719689834430640216
Brenda46 - Build Back Better,@kinley_brenda,2023-11-01T11:49:52.000Z,"Brenda46 - Build Back Better
@kinley_brenda
·
Nov 1","Senator Sheldon Whitehouse has been endorsed by 
@NRDC_Action
 because he is a true climate champion who wants to save our planet for #GenZ & future generations

Re-elect 
@SheldonforRI
 to US Senate to continue this fight!

#DemVoice1 #VoteBIGblue 
#Dems4USA",💙 🚗 🚕 🚙,12,257,412,['https://pbs.twimg.com/media/F92KuhiWYAAxSrk?format=jpg&name=900x900'],https://twitter.com/kinley_brenda/status/1719683168540787179
Rich Gardner,@gardner190,2023-11-01T11:16:21.000Z,"Rich Gardner
@gardner190
·
Nov 1","Our hero, Senator Sheldon Whitehouse! The billionaires who have been supporting lavish lifestyles for various Supreme Court Justices are being subpoenaed to answer some questions.
https://balloon-juice.com/2023/10/31/this-makes-me-happy-2/…",,,,,['https://pbs.twimg.com/media/F92DCHPWUAAac1v?format=jpg&name=240x240'],https://twitter.com/gardner190/status/1719674736085446945
LiveTube Alerts,@livetubealerts,2023-11-01T08:14:21.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 1",Video: Sheldon Whitehouse Presses Witnesses On Efforts To Combat Exploitation Of Unaccompanied Children https://livetube.tv/news/video-sheldon-whitehouse-presses-witnesses-on-efforts-to-combat-exploitation-of-unaccompanied-children?utm_source=rss&utm_medium=rss&utm_campaign=video-sheldon-whitehouse-presses-witnesses-on-efforts-to-combat-exploitation-of-unaccompanied-children… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1719628931970613367
DrJackBrown,@DrGJackBrown,2023-11-01T05:30:08.000Z,"DrJackBrown
@DrGJackBrown
·
Nov 1",Senator Sheldon Whitehouse is a national hero. The other 534 senators/congress members should be equally tireless in pursuit of SCOTUS ethics reform.,🌊,11,211,1.1K,[],https://twitter.com/DrGJackBrown/status/1719587605644472371
