UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bloomberg TV,@BloombergTV,2023-11-01T22:38:58.000Z,"Bloomberg TV
@BloombergTV
·
Nov 2","""He did lay out concrete ideas and why he's moving in a direction,"" says West Virginia Sen. Shelley Moore Capito.

Speaker Johnson’s first big legislative initiative, a standalone aid package for Israel combined with cuts to IRS funding, landed with a thud https://trib.al/qlpHQwg",,3,3,7,['https://pbs.twimg.com/profile_images/1631723279676317709/-fjgaR2p_bigger.jpg'],https://twitter.com/BloombergTV/status/1719846519761690671
TReese82,@TReese82,2023-11-01T19:18:42.000Z,"TReese82
@TReese82
·
Nov 2",Happy 70th B-Day to Politician Shelley Moore Capito!,,,,,[],https://twitter.com/TReese82/status/1719796121311043693
WV News,@WVNews247,2023-11-02T21:33:12.000Z,"WV News
@WVNews247
·
Nov 3",Sen. Shelley Moore Capito said she supports a proposal to cut funding for the Internal Revenue Service by more than $14 billion dollars.,,1,,1,[],https://twitter.com/WVNews247/status/1720192358283710480
News and Sentinel,@NewsandSentinel,2023-11-02T12:35:16.000Z,"News and Sentinel
@NewsandSentinel
·
Nov 2","U.S. Sens. Joe Manchin and Shelley Moore Capito are optimistic about the economic potential for the Appalachian Hydrogen Hub in West Virginia, but challenges remain.",,,,,[],https://twitter.com/NewsandSentinel/status/1720056983158452604
Steven Allen Adams,@stevenadamswv,2023-11-02T12:03:51.000Z,"Steven Allen Adams
@stevenadamswv
·
Nov 2","U.S. Sens. Joe Manchin and Shelley Moore Capito are optimistic about the economic potential for the Appalachian Hydrogen Hub in West Virginia, but challenges remain.

Link:",,,,,[],https://twitter.com/stevenadamswv/status/1720049076165579127
JoeMathieu's Listeners,@BostonListeners,2023-11-02T06:41:30.000Z,"JoeMathieu's Listeners
@BostonListeners
·
Nov 2","Interesting insight  
@JMathieuReports
 to 
@SenCapito
 Sen. Shelley Moore Capito. Concrete ideas ""Standalone Aide Package for Israel"" #BalanceodPower",,,1,1,"['https://pbs.twimg.com/profile_images/1631723279676317709/-fjgaR2p_bigger.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719842017176399872/img/iMh9WMr2yUHlqL5d.jpg']",https://twitter.com/BostonListeners/status/1719967954111021171
WVGOP,@WVGOP,2023-11-02T00:00:01.000Z,"WVGOP
@WVGOP
·
Nov 2","""Regulatory Mishmash': Shelley Moore Capito Rips Into Biden's Environmental Policy Regulations""",,3,1,5,[],https://twitter.com/WVGOP/status/1719866919271215249
Weirton Daily Times,@WeirtonDlyTimes,2023-11-03T22:01:14.000Z,"Weirton Daily Times
@WeirtonDlyTimes
·
Nov 4","U.S. Sens. Joe Manchin and Shelley Moore Capito are optimistic about the economic potential for the Appalachian Hydrogen Hub in West Virginia, but challenges remain.",,,,,[],https://twitter.com/WeirtonDlyTimes/status/1720561799374770469
Steven Allen Adams,@stevenadamswv,2023-11-03T12:24:45.000Z,"Steven Allen Adams
@stevenadamswv
·
Nov 3","U.S. Sen. Shelley Moore Capito supports a supplemental appropriations package that could include border security and funding for Israel and Ukraine, but acknowledged that Ukraine funding may need to be done separately to get the House on board.

Link:",,,,1,[],https://twitter.com/stevenadamswv/status/1720416725462581646
Lise Latulippe Fully Vaccinated and Boosted,@lise_latulippe,2023-11-05T11:03:12.000Z,"Lise Latulippe Fully Vaccinated and Boosted
@lise_latulippe
·
Nov 5","Lawmakers discussed that possibility during lunch Thur. Sen. Shelley Moore Capito (http://R-W.Va.) said Senate Republicans “need2have a full out conference” that includes all parties, including Tuberville —  who was not present4lunch Thursday.",,,,,[],https://twitter.com/lise_latulippe/status/1721120978225242223
AlanParkerReid APR4U,@APR4U,2023-11-08T19:15:55.000Z,"AlanParkerReid APR4U
@APR4U
·
Nov 9","'You Are Spending More And Getting Less': United States Senator Shelley Moore Capito Slams Biden and the President’s administration over #Bidenomics ... https://youtu.be/bn172SH-Q9Q?si=GqpGdl6PyewRNfAq… via 
@YouTube",,,1,1,[],https://twitter.com/APR4U/status/1722332136856842380
Maria Bartiromo,@MariaBartiromo,2023-11-08T14:32:41.000Z,"Maria Bartiromo
@MariaBartiromo
·
Nov 8","Biden’s Ukraine-Israel aid package gives ‘momentum’ to border funding: Sen. Shelley Moore Capito |  https://video.foxbusiness.com/v/6340733298112 
@Morningsmaria
 @FoxBusiness",,7,9,34,[],https://twitter.com/MariaBartiromo/status/1722260859945431122
Mornings with Maria,@MorningsMaria,2023-11-08T13:10:00.000Z,"Mornings with Maria
@MorningsMaria
·
Nov 8",Sen. Shelley Moore-Capito (R-WV) previews DHS Secretary Alejandro Mayorkas' testimony on the Biden administration's request for $14 billion in funding for the southern border,,12,18,36,['https://pbs.twimg.com/media/F-aahwobQAAmlg2.jpg'],https://twitter.com/MorningsMaria/status/1722240049876435043
WOWK 13 News,@WOWK13News,2023-11-09T23:42:07.000Z,"WOWK 13 News
@WOWK13News
·
Nov 10","Fellow Senator Shelley Moore Capito (R-WV), and Governor and Republican challenger Jim Justice have released statements following Manchin’s announcement.
https://trib.al/kB3saNM",,1,2,5,[],https://twitter.com/WOWK13News/status/1722761514505867512
EnvirosTakingLs,@EnvirosTakingLs,2023-11-09T22:05:55.000Z,"EnvirosTakingLs
@EnvirosTakingLs
·
Nov 10",WATCH: Climate protesters interrupt a speech by Senator Shelley Moore Capito.,,1,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1722727466035212288/pu/img/s24_fyp5MN4NuzNO.jpg'],https://twitter.com/EnvirosTakingLs/status/1722737307076157527
Climate Defiance,@ClimateDefiance,2023-11-09T21:29:05.000Z,"Climate Defiance
@ClimateDefiance
·
Nov 10","News: we just shut down a speech by Senator Shelley Moore Capito. We told her to her face that she's a joke.

So she fled & locked herself in the bathroom 
¯\_(ツ)_/¯

This fossil fiend supported the Mountain Valley Pipeline, equivalent to 24 coal plants. There's no excuse. Bye.",,64,358,1K,['https://pbs.twimg.com/ext_tw_video_thumb/1722727466035212288/pu/img/s24_fyp5MN4NuzNO.jpg'],https://twitter.com/ClimateDefiance/status/1722728039165866102
Robert Showah,@robertisnthere,2023-11-09T21:27:41.000Z,"Robert Showah
@robertisnthere
·
Nov 10","Should a Republican succeed Joe Manchin, it will be the first time since 1869 that West Virginia is represented by two Republicans in the U.S. Senate.

When Shelley Moore Capito was elected in 2014, it was the first time since 1959 a Republican held a WV seat.",,,,,[],https://twitter.com/robertisnthere/status/1722727686626218227
Stephen Neukam,@stephen_neukam,2023-11-09T20:31:42.000Z,"Stephen Neukam
@stephen_neukam
·
Nov 10",Fellow W.V. Senator Shelley Moore Capito on Manchin not seeking reelection:,,1,1,1,[],https://twitter.com/stephen_neukam/status/1722713596600234040
"Left Right, The Britt Stan",@LeftRightEAA,2023-11-10T04:06:32.000Z,"Left Right, The Britt Stan
@LeftRightEAA
·
Nov 10",“How did Shelley Moore Capito outperform Donald Trump?”,✝,,,6,[],https://twitter.com/LeftRightEAA/status/1722828059819069915
WV is a dystopian nightmare,@eledawva,2023-11-11T20:03:02.000Z,"WV is a dystopian nightmare
@eledawva
·
Nov 12","https://faxzero.com

#wv #faxwv

Shelley Moore Capito
(202) 224-7665
Joe Manchin
202-228-0002",,2,,2,[],https://twitter.com/eledawva/status/1723431159269306468
Ana,@Pinera1776,2023-11-11T00:21:59.000Z,"Ana
@Pinera1776
·
Nov 11","⁦
@SenateGOP
⁩ Sullivan, along with Senators Joni Ernst, Lindsey Graham, Shelley Moore Capito, Todd Young, all of whom claim be pro-Life, now  working with Schumer and the Dem to pass a resolution that would allow to confirm the300 promotions as a bloc",,,,,[],https://twitter.com/Pinera1776/status/1723133935251529831
WVGOP,@WVGOP,2023-11-13T22:00:00.000Z,"WVGOP
@WVGOP
·
Nov 14","""VIDEO: Capito Blasts “Bidenomics” on Senate Floor | U.S. Senator Shelley Moore Capito of West Virginia""",,,,,[],https://twitter.com/WVGOP/status/1724185367899967817
Daveed Doñalçen,@BinTherB4,2023-11-13T14:14:29.000Z,"Daveed Doñalçen
@BinTherB4
·
Nov 13","Senator Shelley Moore Capito speaking at the ⁦
@ANS_org
⁩ 2023 Winter Meeting. #renewableenergy #NetZeroNeedsNuclear",,,,,[],https://twitter.com/BinTherB4/status/1724068217448984712
Steven Allen Adams,@stevenadamswv,2023-11-14T19:12:54.000Z,"Steven Allen Adams
@stevenadamswv
·
Nov 15","“I’m the senior Senator from West Virginia in waiting,” joked U.S. Sen. Shelley Moore Capito, R-WV, during this afternoon’s Senate GOP leadership team press conference. U.S. Sen. Joe Manchin, D-WV, announced his retirement at the end of 2024.",,,,3,[],https://twitter.com/stevenadamswv/status/1724505703723979138
Nathaniel Reed,@ReedReports,2023-11-14T19:11:40.000Z,"Nathaniel Reed
@ReedReports
·
Nov 15","Sen. Shelley Moore Capito say, gleefully, “the new news is, I’m the senior senator from West Virginia, in waiting”

Referencing the pending retirement of Sen. Joe Manchin, who is not seeking reelection",,2,2,,[],https://twitter.com/ReedReports/status/1724505393949286823
Tal Kopan,@TalKopan,2023-11-14T19:11:21.000Z,"Tal Kopan
@TalKopan
·
Nov 15",Shelley Moore Capito introduces herself at the GOP presser as the new “senior senator from West Virginia in waiting”,,,,1,[],https://twitter.com/TalKopan/status/1724505314228113715
bryan metzger,@metzgov,2023-11-14T19:10:12.000Z,"bryan metzger
@metzgov
·
Nov 15","Sen. Shelley Moore Capito refers to herself as the ""senior senator from West Virginia in waiting"" at the weekly Senate GOP presser.",,,2,10,[],https://twitter.com/metzgov/status/1724505024120684975
