UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Media is compromised. GOP = Fascists,@NanniMagee,2023-11-01T23:51:33.000Z,"Media is compromised. GOP = Fascists
@NanniMagee
·
Nov 2","Please! We need to keep Sherrod in the senate! It’s vital to Ohioans and the whole country. Join me in supporting Sherrod Brown via 
@actblue",🌊 🌙 ☮ 🌻,,,,['https://pbs.twimg.com/card_img/1730909106855153665/VstKjebf?format=jpg&name=900x900'],https://twitter.com/NanniMagee/status/1719864788686438817
Socrates1951,@socrates1951,2023-11-01T23:49:26.000Z,"Socrates1951
@socrates1951
·
Nov 2","Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels https://breitbart.com/politics/2023/11/01/nolte-oh-dem-sherrod-browns-campaign-spent-thousands-luxury-dining-hotels/… via 
@BreitbartNews",,,,1,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/socrates1951/status/1719864255896309890
stealth9tn,@stealth9tn,2023-11-01T23:11:23.000Z,"stealth9tn
@stealth9tn
·
Nov 2","BREAKING NEWS: Rand Paul Clashes With Sherrod Brown Over Bill Requiring ... https://youtu.be/4-aXHguQO0c?si=WXkQQ2SHQiSMaNIp… via 
@YouTube",,1,,1,[],https://twitter.com/stealth9tn/status/1719854680971325496
The Stone that the Builder Refused,@LeftofCentrism,2023-11-01T22:53:36.000Z,"The Stone that the Builder Refused
@LeftofCentrism
·
Nov 2",Sherrod Brown begging for money for his stupid campaign. I gave him some advice,,6,8,27,['https://pbs.twimg.com/media/F94ioo2WcAAzRpa?format=jpg&name=900x900'],https://twitter.com/LeftofCentrism/status/1719850202129895448
Dr. Kenneth Warner,@wrestlerkw7,2023-11-01T22:40:35.000Z,"Dr. Kenneth Warner
@wrestlerkw7
·
Nov 2",Why Are Ohio Democrats Worried About the Office Location of Sherrod Brown's Potential Opponent?,,,,2,['https://pbs.twimg.com/card_img/1733104590042849280/GiWRKYZg?format=jpg&name=small'],https://twitter.com/wrestlerkw7/status/1719846926395351389
Political Pragmatist,@CautiousLefty,2023-11-01T22:35:49.000Z,"Political Pragmatist
@CautiousLefty
·
Nov 2","Urban turnout was a problem for Ohio Democrats last year, but it wasn't decisive. In Cleveland, Columbus, Cincinnati, Dayton, and Akron, Tim Ryan won by about 100k less than Sherrod Brown. Even if you include Toledo, Youngstown, and Canton, it's only about 125k. Not enough alone.",,,1,7,[],https://twitter.com/CautiousLefty/status/1719845728082653619
mike noder,@mikenoder,2023-11-01T21:49:12.000Z,"mike noder
@mikenoder
·
Nov 2","Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels https://breitbart.com/politics/2023/11/01/nolte-oh-dem-sherrod-browns-campaign-spent-thousands-luxury-dining-hotels/… via 
@BreitbartNews",,,,,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/mikenoder/status/1719833997889704310
Fitbit247,@Fitbit2471,2023-11-01T21:21:08.000Z,"Fitbit247
@Fitbit2471
·
Nov 2","Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels",😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 🤡 🤡 🤡 🤡 🤡 🤡 🤡 🤡 🤡,,,,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/Fitbit2471/status/1719826932232262120
Dr. Midwest Politics,@MWPolitics101,2023-11-01T20:52:41.000Z,"Dr. Midwest Politics
@MWPolitics101
·
Nov 2",How is Sherrod Brown politically better than John Fetterman?,🌽 🌲 🍺,6,1,41,[],https://twitter.com/MWPolitics101/status/1719819772181815397
PatriotSons,@Patriot_Sons,2023-11-01T20:37:50.000Z,"PatriotSons
@Patriot_Sons
·
Nov 2","Politicians as a whole, use your money for their personal benefit.  Quit sending money to them and keep it in your pocket.

Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels https://breitbart.com/politics/2023/11/01/nolte-oh-dem-sherrod-browns-campaign-spent-thousands-luxury-dining-hotels/… via 
@BreitbartNews",,1,9,5,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/Patriot_Sons/status/1719816036940226687
Senate Republicans,@NRSC,2023-11-01T20:07:34.000Z,"Senate Republicans
@NRSC
·
Nov 2","OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels",,9,3,3,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/NRSC/status/1719808421535359457
Jaden Sickmiller,@jadensickmiller,2023-11-01T19:47:36.000Z,"Jaden Sickmiller
@jadensickmiller
·
Nov 2","Senator 
@SherrodBrown
, as a Shelby, OH constituent with veteran family, please support S. 2757, the VA Emergency Transportation Access Act. Veterans' healthcare access is vital, especially in rural areas like mine. Your support can be the lifeline veterans need. #SupportOurVets",,,,1,['https://pbs.twimg.com/profile_images/1329104002055892994/VpIXrM7k_normal.jpg'],https://twitter.com/jadensickmiller/status/1719803396046090672
Late shift,@mensing_dave,2023-11-01T19:32:58.000Z,"Late shift
@mensing_dave
·
Nov 2","An amateur #ClintonFoundation

Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels",,,,,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/mensing_dave/status/1719799714504208409
OHIO FOR TRUMP,@Mjhall412,2023-11-01T19:18:27.000Z,"OHIO FOR TRUMP
@Mjhall412
·
Nov 2","Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels
⁦
Time to rid the great red state of Ohio of this Biden-lite grifter 
He’s accomplished nothing for r state except to enrich his own pockets 
Time to go 
⁦
@berniemoreno",,,,2,[],https://twitter.com/Mjhall412/status/1719796059835138467
ZaRdOz420WPN,@ZaRdOz420WPN,2023-11-01T18:37:32.000Z,"ZaRdOz420WPN
@ZaRdOz420WPN
·
Nov 2","George Will calls out 'shape-shifting' J.D. Vance and MAGA isolationists over foreign policy hypocrisy!
https://alternet.org/george-will-slams-maga-isolationism-during-the-most-dangerous-us-moment-since-world-war-2/…
Re-elect Sherrod Brown!",,,2,2,['https://pbs.twimg.com/media/F93oCWbWkAAU_IN?format=jpg&name=900x900'],https://twitter.com/ZaRdOz420WPN/status/1719785761824755865
Back2Brunch,@Back2Brunch,2023-11-01T18:20:00.000Z,"Back2Brunch
@Back2Brunch
·
Nov 2","Senate Democrats face a brutal 2024 map. It will take everything we have to maintain our Senate Majority. We need to protect incumbents like Sherrod Brown against Primary attacks from the Left before they face the GOP.

Please join our fight! Donate today!",🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊,,11,8,[],https://twitter.com/Back2Brunch/status/1719781351769989558
Chris,@Chris_1791,2023-11-01T17:45:35.000Z,"Chris
@Chris_1791
·
Nov 2","Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels http://dlvr.it/SyFnbs via 
@BreitbartNews",,,,1,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/Chris_1791/status/1719772687592243567
RetirednUSA,@RetirednU,2023-11-01T17:43:44.000Z,"RetirednUSA
@RetirednU
·
Nov 2","If it's Brown, flush it down.  Ohio is a conservative state.  We deserve better.

Nolte: OH Dem Sherrod Brown’s Campaign Spent Thousands on Luxury Dining, Hotels https://breitbart.com/politics/2023/11/01/nolte-oh-dem-sherrod-browns-campaign-spent-thousands-luxury-dining-hotels/… via 
@BreitbartNews",,,,,['https://pbs.twimg.com/card_img/1732632672910893057/q-bMFPeR?format=jpg&name=small'],https://twitter.com/RetirednU/status/1719772223622295737
Aaron Venable,@AaronJVenable,2023-11-01T17:41:57.000Z,"Aaron Venable
@AaronJVenable
·
Nov 2",Why Are Ohio Democrats Worried About the Office Location of Sherrod Brown's Potential Opponent?,,,,,['https://pbs.twimg.com/card_img/1733104590042849280/GiWRKYZg?format=jpg&name=small'],https://twitter.com/AaronJVenable/status/1719771776127791366
Melvis,@MrNuetron12,2023-11-01T17:32:56.000Z,"Melvis
@MrNuetron12
·
Nov 2","BREAKING NEWS: Rand Paul Clashes With Sherrod Brown Over Bill Requiring ... https://youtu.be/4-aXHguQO0c?si=WxQGV8mu8-fJT7iA… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1733089627450613760/pWXk4f2U?format=jpg&name=360x360'],https://twitter.com/MrNuetron12/status/1719769507202224486
Brian Doherty,@BDOH,2023-11-01T13:24:20.000Z,"Brian Doherty
@BDOH
·
Nov 1",".
@SherrodBrown
 ""campaign spent over $12,200 on expensive restaurants and catering, over $4,100 on luxury hotels, with $1,500 being at two Martha’s Vineyard inns, along with thousands more on related expenses, the disbursements show.""",,,1,,['https://pbs.twimg.com/card_img/1732393480670842880/e4Js_t08?format=jpg&name=medium'],https://twitter.com/BDOH/status/1719706942212284498
Fearless45,@Fearless45Trump,2023-11-01T13:19:48.000Z,"Fearless45
@Fearless45Trump
·
Nov 1",Why Are Ohio Democrats Worried About the Office Location of Sherrod Brown's Potential Opponent?,,,,,['https://pbs.twimg.com/card_img/1733104590042849280/GiWRKYZg?format=jpg&name=small'],https://twitter.com/Fearless45Trump/status/1719705804029272555
Marky Boy 216,@MarkyBoy216,2023-11-01T12:54:35.000Z,"Marky Boy 216
@MarkyBoy216
·
Nov 1"," ""Chairman of 
@SenateBanking
. Proud to serve Ohio."" 
@SenSherrodBrown
 #SherrodBrown #Infanticide #WifeBeater",😂 🤣,,,1,"['https://pbs.twimg.com/media/F92ZiblbQAAj7dR?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1555637580703694851/joPs8AMz_normal.jpg']",https://twitter.com/MarkyBoy216/status/1719699457019916312
