UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719860838809387387
Tony Perkins,@tperkins,2023-11-01T21:48:10.000Z,"Tony Perkins
@tperkins
·
Nov 2","""We do know there are people coming in from countries that are on terror watch lists and from countries that harbor terrorists [that] seek to destroy us.""
@SteveDaines
 warns of the terrorism threat enabled by the Biden Administration’s mismanagement of border security.",,3,5,6,['https://pbs.twimg.com/amplify_video_thumb/1719833201592475648/img/y1zm2UyZ6Nl5cmWL.jpg'],https://twitter.com/tperkins/status/1719833737813192940
The America One News,@am1_news,2023-11-01T21:34:34.000Z,"The America One News
@am1_news
·
Nov 2","Comedian Amy Schumer faces backlash for supporting Israel during recent attacks by Hamas, losing friends. Actress Mayim Bialik condemns anti-Semitism and expresses concern for her son starting college. Sen. Steve Daines introduces a bill to designate…",,,2,2,[],https://twitter.com/am1_news/status/1719830314653188197
RiskMap,@riskmap_,2023-11-01T21:18:06.000Z,"RiskMap
@riskmap_
·
Nov 2"," Sen. Steve Daines has introduced a bill to reclassify the Iran-backed Houthis in Yemen as terrorists, following attacks on Israeli and U.S. forces. The bill, called the Standing Against Houthi Aggression Act, aims to enact measures and sanctions… https://riskmap.com/incidents/1945225/articles/196763915/?utm_campaign=twitter…",⚡,,2,,['https://pbs.twimg.com/media/F94MylHaEAAA-TJ?format=png&name=small'],https://twitter.com/riskmap_/status/1719826172291530858
chic coop2,@Phyllis72194136,2023-11-01T21:01:00.000Z,"chic coop2
@Phyllis72194136
·
Nov 2","Investigate this….. The GOP 8 who all went to Moscow, Russia on
July 4, 2018:
Ron Johnson (La.)
Richard Shelby (Ala.)
Steve Daines (Mont.)
John Thune (S.D.)
John Kennedy (La.)
Jerry Moran (Kan.)
John Hoeven (N.D.)
Rep. Kay Granger (R-Texas)",,,,,[],https://twitter.com/Phyllis72194136/status/1719821867232469419
chic coop2,@Phyllis72194136,2023-11-01T21:00:16.000Z,"chic coop2
@Phyllis72194136
·
Nov 2","The GOP 8 who all went to Moscow, Russia on
July 4, 2018:
Ron Johnson (La.)
Richard Shelby (Ala.)
Steve Daines (Mont.)
John Thune (S.D.)
John Kennedy (La.)
Jerry Moran (Kan.)
John Hoeven (N.D.)
Rep. Kay Granger (R-Texas)",,,,,[],https://twitter.com/Phyllis72194136/status/1719821683723210807
Billy Mc,@BillyMcWillia12,2023-11-01T19:21:40.000Z,"Billy Mc
@BillyMcWillia12
·
Nov 2","That’s not what the Generals say .
@SteveDaines
   Montana US Senator endangering our national security during a time of international crisis.  #MtPol  #MtSen #MtNews Montana Vets need a leader like .
@SenatorTester
 who fights for them.",,7,34,74,"['https://pbs.twimg.com/media/F93yItOaEAAOZmI?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1643970035642400776/1jgoAD0B_normal.jpg']",https://twitter.com/BillyMcWillia12/status/1719796868098736153
T.E. Barrett,@barrett_t,2023-11-01T19:08:31.000Z,"T.E. Barrett
@barrett_t
·
Nov 2","Another 'packed' Steve Daines' meeting !?!?!
Time to have an Open Town Hall in Bozeman, Missoula, and Helena. No more closed-door sessions.",,,1,5,"['https://pbs.twimg.com/profile_images/1609984736419794944/tyDLLGVa_normal.jpg', 'https://pbs.twimg.com/media/F93QKwvXwAAbfm5?format=jpg&name=900x900']",https://twitter.com/barrett_t/status/1719793561594675557
Steve Daines,@SteveDaines,2023-11-01T18:48:44.000Z,"Steve Daines
@SteveDaines
·
Nov 2","Great to hear from Montanans this morning on 
@Newstalk_KGVO
.

Montanans are sick and tired of 
@JoeBiden
's open-border policies!",,14,7,45,['https://pbs.twimg.com/media/F93qk7qXIAAAk1j?format=jpg&name=900x900'],https://twitter.com/SteveDaines/status/1719788580460024077
Ski Mom,@SkiMomWY,2023-11-01T18:05:21.000Z,"Ski Mom
@SkiMomWY
·
Nov 2","So Montana - Steve Daines is apparently working with Tuberville to enable the blockading of our high-level military promotions. ""Moscow Daines"" is working with Tuberville to undermine our military readiness, which helps our enemies in Russia, China, and beyond.",,,,,['https://pbs.twimg.com/profile_images/1643970035642400776/1jgoAD0B_normal.jpg'],https://twitter.com/SkiMomWY/status/1719777661529276732
Steve Daines,@SteveDaines,2023-11-01T16:53:18.000Z,"Steve Daines
@SteveDaines
·
Nov 2",Good seeing everyone at Montana Coffee this morning – great way to start a Wednesday!,,6,9,19,['https://pbs.twimg.com/media/F93QKwvXwAAbfm5?format=jpg&name=900x900'],https://twitter.com/SteveDaines/status/1719759533046640695
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:15:12.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SteveDaines
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,1,4,2,[],https://twitter.com/teekay5150/status/1719749944419004563
