UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Guthrie Edson @guthrieedson.bsky.social,@guthrieedson.bsky.social,2023-11-01T23:06:17.000Z,"Guthrie Edson @guthrieedson.bsky.social
@EdsonGuthrie
·
Nov 2","“Bob Knight has learned his lesson

By Susan Collins”
@DougJBalloon
 probably",🍉,,,,"['https://pbs.twimg.com/profile_images/1170690523201527808/FriNRiir_normal.png', 'https://pbs.twimg.com/media/F94hGIAXYAAFxs3?format=jpg&name=900x900']",https://twitter.com/EdsonGuthrie/status/1719853397157855524
Mary Downing,@MaryDow22676314,2023-11-01T21:17:25.000Z,"Mary Downing
@MaryDow22676314
·
Nov 2",Senator Susan Collins: Support a Ban on Assault Weapons | Civic Shout,,,,,[],https://twitter.com/MaryDow22676314/status/1719825998160495029
Jess,@BrighterNow13,2023-11-01T20:51:30.000Z,"Jess
@BrighterNow13
·
Nov 2",Is Susan Collins in the room with them or something? “Serious concerns”,🦊,,,,"['https://pbs.twimg.com/profile_images/1145865652533547008/XBahoZmX_normal.png', 'https://pbs.twimg.com/media/F933RU_bcAAhiaQ?format=jpg&name=small']",https://twitter.com/BrighterNow13/status/1719819476370092177
ChrisHelcermas-Benge,@chrishbenge,2023-11-01T20:16:13.000Z,"ChrisHelcermas-Benge
@chrishbenge
·
Nov 2","Sen. Susan Collins, ""Israel and Ukraine are both  “extremely important priorities” that should not be separated from one  another. She criticized Johnson’s decision to seek IRS cuts  given that these were already included as part of the debt-limit  agreement earlier this year.",,1,,3,[],https://twitter.com/chrishbenge/status/1719810596869394646
zanerrane,@zanerrane777,2023-11-01T19:30:33.000Z,"zanerrane
@zanerrane777
·
Nov 2",Guess that why it's so important to Senator Susan Collins (R-ME) to push a law limiting magazine capacity.,,,,,['https://pbs.twimg.com/profile_images/1402771730582622212/gwApDT26_normal.jpg'],https://twitter.com/zanerrane777/status/1719799105839612315
Darlene Ryan,@DRyanRieux,2023-11-01T18:25:53.000Z,"Darlene Ryan
@DRyanRieux
·
Nov 2",“Senator Susan Collins: Support a Ban on Assault Weapons! How many more lives will it take??” Sign the petition:,,,,,[],https://twitter.com/DRyanRieux/status/1719782831956660338
NOT 3 slimes in a trenchcoat,@CHICKKENN1,2023-11-01T18:01:08.000Z,"NOT 3 slimes in a trenchcoat
@CHICKKENN1
·
Nov 2",Basically the administration will continue to Susan Collins their response to ethnic cleansing.,,,,,['https://pbs.twimg.com/profile_images/1635396208716922883/JRIowyCl_normal.jpg'],https://twitter.com/CHICKKENN1/status/1719776601162866731
Patricia Layden,@PatriciaLayden,2023-11-01T17:37:56.000Z,"Patricia Layden
@PatriciaLayden
·
Nov 2",Senator Susan Collins: Support a Ban on Assault Weapons | Civic Shout,,,,,[],https://twitter.com/PatriciaLayden/status/1719770762754834713
JoeyG.NJ,@JoeyGomezSantos,2023-11-02T23:48:55.000Z,"JoeyG.NJ
@JoeyGomezSantos
·
Nov 3","As Susan Collins would say ""I'm very concerned"" I think it's time  anyone who has parents or grandparents that support trump start planning to take control of their finances/bank accounts before they end up broke and end up moving in with y'all ",🌊 😱 🤣,,,1,['https://pbs.twimg.com/amplify_video_thumb/1720212604562350080/img/BXmn7tcFGcDcJl6H.jpg'],https://twitter.com/JoeyGomezSantos/status/1720226512442396822
RealRobert,@Real_RobN,2023-11-02T23:25:23.000Z,"RealRobert
@Real_RobN
·
Nov 3",Lindsey Gay Graham is a Democrat. So is Tom Cotton and Dan Crenshaw. Lisa Fuckowski is a Democrat so is his beloved wife Susan Collins. Mitch fucken McConnell is a Democrat so is John Thune & her beloved wife John Cornyn. And now there’s no question Chip fucken Roy is a Democrat.,,1,17,39,[],https://twitter.com/Real_RobN/status/1720220588399309289
