UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Adam Fischer,@adamfischer82,2023-11-01T23:38:11.000Z,"Adam Fischer
@adamfischer82
·
Nov 2
·","A complete loss in confidence in the 
@WisGOP
 under the leadership of 
@BrianSchimming
 and his predecessor 
@PaulFarrowWi
 has led me to vote for 
@4PhilWI
 for US Senate against 
@tammybaldwin
 I have gone from libertarian Republican to a libertarian independent who will be voting to…
Show more",,4,1,5,['https://pbs.twimg.com/profile_images/1665822267362738183/qa5U_o2u_normal.jpg'],https://twitter.com/adamfischer82/status/1719861421897306163
The Pink Times,@thepinktimes,2023-11-01T23:10:58.000Z,"The Pink Times
@thepinktimes
·
Nov 2",Progressive Senator Tammy Baldwin Balances LGBTQ+ Advocacy with Broad Policy Agenda,,,,,[],https://twitter.com/thepinktimes/status/1719854575446897147
Intersectional Zayde,@daveangilella,2023-11-01T20:54:07.000Z,"Intersectional Zayde
@daveangilella
·
Nov 2","The fucking Tammy Baldwin one is . 
@TheOnion
 is somehow the only publication holding these politicians to account for being complicit in genocidal violence… hello?? ",💀 😭 😭,,,,"['https://pbs.twimg.com/profile_images/1729130471726936064/ELkDWQgk_normal.jpg', 'https://pbs.twimg.com/media/F94DDTxWoAAPjgW?format=jpg&name=small', 'https://pbs.twimg.com/media/F94DDTyWAAAIpLX?format=jpg&name=small', 'https://pbs.twimg.com/media/F94DDTyXIAA6-rM?format=jpg&name=small', 'https://pbs.twimg.com/media/F94DDTwXUAEv63G?format=jpg&name=small']",https://twitter.com/daveangilella/status/1719820136293564719
Morning Consult,@MorningConsult,2023-11-01T20:29:00.000Z,"Morning Consult
@MorningConsult
·
Nov 2","Three senators up for re-election next year are among the 10 most unpopular senators in America: 

Joe Manchin (D-WV): 48%
Kyrsten Sinema (I-AZ): 44%
Tammy Baldwin (D-WI): 42% 
*Disapproval among registered voters in each state  

View more: https://morningconsult.biz/3SrsiFH",,,3,4,['https://pbs.twimg.com/media/F923MVUX0AAmMW-?format=jpg&name=900x900'],https://twitter.com/MorningConsult/status/1719813812797206725
MythBuster,@MythBuster2023,2023-11-01T20:00:32.000Z,"MythBuster
@MythBuster2023
·
Nov 2","https://baldwin.senate.gov/news/press-releases/baldwin-introduces-resolution-calling-for-end-to-religious-and-political-persecution-in-india…
@tammybaldwin
 It is extremely disappointing that you are pushing a resolution with no clue about what is going on in India. STOP meddling in India's affairs & let India do what she needs to do to maintain peace & harmony. Worry about Israel & Ukraine",,5,17,16,['https://pbs.twimg.com/card_img/1732515032825810944/jKSz8pKB?format=png&name=900x900'],https://twitter.com/MythBuster2023/status/1719806650541039760
hotjugsbev3.bsky.social ☭,@hotjugsbev3,2023-11-01T19:55:31.000Z,"hotjugsbev3.bsky.social ☭
@hotjugsbev3
·
Nov 2","NBD, just #girlbossing our way through an ethnic cleansing. The future is female!1
@tammybaldwin
 @KamalaHarris",,,,4,"['https://pbs.twimg.com/media/F935zCYWoAAr5JX?format=jpg&name=small', 'https://pbs.twimg.com/media/F935zCZWQAArQuX?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1517492889852461056/bEnqsvVR_normal.jpg']",https://twitter.com/hotjugsbev3/status/1719805387619160369
Wisconsin Democrats,@WisDems,2023-11-01T19:00:19.000Z,"Wisconsin Democrats
@WisDems
·
Nov 2","We have ONE YEAR TO WIN in Wisconsin, and every voter we talk to NOW makes a big difference in 2024. Join us and special guest Senator 
@tammybaldwin
 in Wausau this Saturday at 9am to kick off our 
@MarathonCoDems
 canvass!

Sign up:",,4,17,18,['https://pbs.twimg.com/card_img/1732297849734348800/nETeYobq?format=jpg&name=900x900'],https://twitter.com/WisDems/status/1719791494117085380
Robert Dunn,@alifeofinsanity,2023-11-01T15:13:22.000Z,"Robert Dunn
@alifeofinsanity
·
Nov 1","Tammy Baldwin (D) Wisconsin

“ Over the counter birth control is safe, effective and gives women the power to control their own bodies, families and futures 
With Wisconsinites reproductive rights under attack right now, I’m urging the Biden Administration to ensure cost isn’t a…
Show more",🦅 🎾 🟦 🟧,8,113,157,['https://pbs.twimg.com/media/F925TcOWYAAr0Cc?format=jpg&name=900x900'],https://twitter.com/alifeofinsanity/status/1719734380170543255
Back2Brunch,@Back2Brunch,2023-11-01T14:30:34.000Z,"Back2Brunch
@Back2Brunch
·
Nov 1","Senate Democrats face a brutal 2024 map. It will take everything we have to maintain our Senate Majority. We need to protect incumbents like Tammy Baldwin against Primary attacks from the Left before they face the GOP.

Please join our fight! Donate today!",🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊,,5,6,['https://pbs.twimg.com/card_img/1728608741593919489/Xp4UDWCF?format=jpg&name=360x360'],https://twitter.com/Back2Brunch/status/1719723611798294893
Above the Law,@atlblog,2023-11-01T14:05:43.000Z,"Above the Law
@atlblog
·
Nov 1","Several senators wrote a letter to the Biden Administration asking for action that ensures coverage of over-the-counter birth control without the need for a prescription. The letter was led by Senators Patty Murray (D-Washington), Tammy Baldwin...",,,2,7,['https://pbs.twimg.com/card_img/1730160728642887680/XGm06gK5?format=jpg&name=360x360'],https://twitter.com/atlblog/status/1719717357348929542
LiveTube Alerts,@livetubealerts,2023-11-01T13:28:37.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 1",Video: ‘Tell The Panel How Urgent It Is’: Tammy Baldwin Grills Sec. Austin On Ukraine Funding Legislation https://livetube.tv/news/video-tell-the-panel-how-urgent-it-is-tammy-baldwin-grills-sec-austin-on-ukraine-funding-legislation?utm_source=rss&utm_medium=rss&utm_campaign=video-tell-the-panel-how-urgent-it-is-tammy-baldwin-grills-sec-austin-on-ukraine-funding-legislation… #LiveTube,,,,,[],https://twitter.com/livetubealerts/status/1719708019993325594
Carol Diaz,@lorac328,2023-11-01T09:38:49.000Z,"Carol Diaz
@lorac328
·
Nov 1",Tammy Baldwin Has Won Big in a Divided Wisconsin. Can She Do It Again in 2024?,,,,,[],https://twitter.com/lorac328/status/1719650191127576986
