UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Niketa Brar,@niketasays,2023-11-01T23:07:06.000Z,"Niketa Brar
@niketasays
·
Nov 2","Call Tammy Duckworth's office at (312) 886-3506. 

Takes 2 minutes, and bring all the rage of watching children die with you.",,3,17,47,['https://pbs.twimg.com/ext_tw_video_thumb/1718018993632481280/pu/img/-Rtma-C44IKO4NAu.jpg'],https://twitter.com/niketasays/status/1719853603148493063
Trumpish Retired NCO,@virgofiveeight,2023-11-01T22:09:01.000Z,"Trumpish Retired NCO
@virgofiveeight
·
Nov 2","they didn't get their cut?...
Democrats Seek Probe Into Exxon And Chevron Mega Deals
Chuck Schumer, Amy Klobuchar of Minnesota, Richard Blumenthal of Connecticut, Cory  Booker of New Jersey, John Fetterman of Pennsylvania, and Tammy  Duckworth of Illinois",,,,,[],https://twitter.com/virgofiveeight/status/1719838982853521473
Sol,@forwardarc,2023-11-01T17:41:59.000Z,"Sol
@forwardarc
·
Nov 2","Why is US perfectly fine with Israeli settler violence , ethnic cleansing, & land grabs?  
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @SecDef
 @USUN",,2,5,6,[],https://twitter.com/forwardarc/status/1719771782582771769
Inst. of Reproductive Grief Care,@PregnancyGrief,2023-11-01T16:33:56.000Z,"Inst. of Reproductive Grief Care
@PregnancyGrief
·
Nov 2","We support this bill! 
“Support Through Loss Act” was introduced by Senator Duckworth (IL) 
@senduckworth
 and Congresswoman Pressley (MA-07) @repayannapressley. https://ow.ly/GRz850Q370A

#healthcare #legislation #senatorduckworth #newlegislation #TammyDuckworth #AyannaPressley",,,,2,[],https://twitter.com/PregnancyGrief/status/1719754656098758873
ticketmaster hater,@NotAnOssimp,2023-11-01T06:16:30.000Z,"ticketmaster hater
@NotAnOssimp
·
Nov 1","senator 
@TammyDuckworth_
 does buzzfeed quizzes but what is her favorite taylor swift song ????",🧣,1,,6,[],https://twitter.com/NotAnOssimp/status/1719599273476853847
Jah Way,@JAHistheway,2023-11-01T05:08:36.000Z,"Jah Way
@JAHistheway
·
Nov 1","Israel is lying to the world to try to cover up their genocidal actions. #CeasefireForGaza #StopGazaGenocide 
@POTUS
 @SecBlinken
 @VP
 @SenatorDurbin
 @TammyDuckworth
 @TheDemocrats",,,,,['https://pbs.twimg.com/amplify_video_thumb/1718980534754320384/img/la2-dLJKB2kaFbbA.jpg'],https://twitter.com/JAHistheway/status/1719582187081875594
Jah Way,@JAHistheway,2023-11-01T04:46:52.000Z,"Jah Way
@JAHistheway
·
Nov 1","Stop allowing the murder of civilians. Call for a #CeasefireForGaza 
@POTUS
 @VP
 @SecBlinken
 @WhiteHouse
 @SenatorDurbin
 @TammyDuckworth",,,,,[],https://twitter.com/JAHistheway/status/1719576720381260185
Destiny !!! (lumine enthusiast),@WutsYourDamage,2023-11-02T23:36:57.000Z,"Destiny !!! (lumine enthusiast)
@WutsYourDamage
·
Nov 3","emailed some reps earlier in the last month...
 the same proisrael stance is so disappointing
tammy duckworth and richard j durbin",🫤,,,1,[],https://twitter.com/WutsYourDamage/status/1720223499254464907
Jenna Grace,@jennagrace_m,2023-11-02T23:29:25.000Z,"Jenna Grace
@jennagrace_m
·
Nov 3","Looks like my calls and emails may have contributed to an impact. Glad to see this, 
@SenatorDurbin
! 
@TammyDuckworth
, 
@RepMikeQuigley
, your turn! #CeasefireNOW",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720093978878767104/pu/img/eSyoyF1o3A8iQzHM.jpg'],https://twitter.com/jennagrace_m/status/1720221604922179926
WMBD News,@WMBDNews,2023-11-02T22:00:15.000Z,"WMBD News
@WMBDNews
·
Nov 3",U.S. Senators Dick Durbin (D-IL) and Tammy Duckworth (D-IL) announced Thursday that the U.S. Senate passed three funding bills in Washington.,,,,,[],https://twitter.com/WMBDNews/status/1720199166645731464
