UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Manu Raju,@mkraju,2023-11-01T16:54:45.000Z,"Manu Raju
@mkraju
·
Nov 2","Speaker Johnson walks into Senate GOP lunch, flanked by Sens. Rick Scott and Ted Budd. Declines to answer questions",,36,35,162,[],https://twitter.com/mkraju/status/1719759896399200321
Reese Gorman,@reesejgorman,2023-11-01T16:46:45.000Z,"Reese Gorman
@reesejgorman
·
Nov 2","Ted Budd, Ron Johnson and Rick Scott are all in the Speaker’s office rn",,,,1,[],https://twitter.com/reesejgorman/status/1719757883825393792
Scott Huffman,@HuffmanForNC,2023-11-01T10:14:47.000Z,"Scott Huffman
@HuffmanForNC
·
Nov 1",Look Ted Budd is taking credit for something he didn't do.,👀,13,151,368,[],https://twitter.com/HuffmanForNC/status/1719659241609343369
"Just Another Body (I am,She,Her,They)",@justmy2coins,2023-11-01T08:14:15.000Z,"Just Another Body (I am,She,Her,They)
@justmy2coins
·
Nov 1",#NorthCarolina yesterday #TedBudd took credit for things he didn’t help do. To cover up his defeat of trying to restrict your #voting access.,,,,,[],https://twitter.com/justmy2coins/status/1719628908780273999
西喜Félix（战友互粉）,@tomate9991,2023-11-01T07:40:36.000Z,"西喜Félix（战友互粉）
@tomate9991
·
Nov 1",一项两院立法已被提出，旨在追究中共国共产党（CCP）迫害中共国宗教团体的责任。参议员泰德·巴德（Ted Budd）与他的同事参议员汤姆·蒂利斯（Thom Tillis）共同提出了这项立法，众议员马克·阿尔福德（Mark Alford）在众议院领导了一项配套法案（H.R.6069）。,,1,,1,[],https://twitter.com/tomate9991/status/1719620439859720317
西喜大米（战友互粉）,@dami777777,2023-11-01T07:40:18.000Z,"西喜大米（战友互粉）
@dami777777
·
Nov 1",一项两院立法已被提出，旨在追究中共国共产党（CCP）迫害中共国宗教团体的责任。参议员泰德·巴德（Ted Budd）与他的同事参议员汤姆·蒂利斯（Thom Tillis）共同提出了这项立法，众议员马克·阿尔福德（Mark Alford）在众议院领导了一项配套法案（H.R.6069）。,,1,2,1,[],https://twitter.com/dami777777/status/1719620362420326797
行天下,@mz463334,2023-11-01T02:25:28.000Z,"行天下
@mz463334
·
Nov 1",一项两院立法已被提出，旨在追究中共国共产党（CCP）迫害中共国宗教团体的责任。参议员泰德·巴德（Ted Budd）与他的同事参议员汤姆·蒂利斯（Thom Tillis）共同提出了这项立法，众议员马克·阿尔福德（Mark Alford）在众议院领导了一项配套法案（H.R.6069）。,,,,,[],https://twitter.com/mz463334/status/1719541132013834595
james black,@dance4Jesus727,2023-11-02T17:44:25.000Z,"james black
@dance4Jesus727
·
Nov 3","Closest is Ted Budd in NC.  And NC barely qualifies as a swing state because it almost always goes Republican even when Democrats win, even if the margins are narrow.",,,,,[],https://twitter.com/dance4Jesus727/status/1720134783123030146
Governor of Heterophobia,@PresidentOfSome,2023-11-03T12:29:57.000Z,"Governor of Heterophobia
@PresidentOfSome
·
Nov 3","https://prospect.org/power/congressmembers-tried-to-stop-secs-inquiry-into-ftx/…

Impeach Ritchie Torres, Josh Gottheimer, Ted Budd, and the rest of the FTX defense squad",,,,,[],https://twitter.com/PresidentOfSome/status/1720418034601316857
LTD,@Living3Dream,2023-11-03T07:52:09.000Z,"LTD
@Living3Dream
·
Nov 3",JD vance 2022 or Ted Budd 2022?,🛠,,,1,[],https://twitter.com/Living3Dream/status/1720348122730184879
tiankong2020,@tiankong2020,2023-11-03T01:15:36.000Z,"tiankong2020
@tiankong2020
·
Nov 3",一项两院立法已被提出，旨在追究中共国共产党（CCP）迫害中共国宗教团体的责任。参议员泰德·巴德（Ted Budd）与他的同事参议员汤姆·蒂利斯（Thom Tillis）共同提出了这项立法，众议员马克·阿尔福德（Mark Alford）在众议院领导了一项配套法案（H.R.6069）。巴德在公布这项立法的视频中说：“最神圣的,🌸 🌸,,,,[],https://twitter.com/tiankong2020/status/1720248328657756256
Rayme Treudeau©,@Rayme_Treudeau,2023-11-04T13:15:39.000Z,"Rayme Treudeau©
@Rayme_Treudeau
·
Nov 4","I am sorry America, & North Carolina, that Thom Tillis & Ted Budd scammed America with FTX, and in order to impeach Donald Trump.
This is very sad to know that Republicans from our state did this.
@PapiTrumpo
 
@realDonaldTrump
 @TeamTrump
 
@DanScavino
 
@DonaldJTrumpJr
 ",💥 😥 😥 😥 😥 😥,,1,,[],https://twitter.com/Rayme_Treudeau/status/1720791920929124591
The Citizen Times,@asheville,2023-11-04T09:35:02.000Z,"The Citizen Times
@asheville
·
Nov 4",Check out how Congressman Chuck Edwards and Senators Ted Budd and Thom Tillis voted.,,,,,[],https://twitter.com/asheville/status/1720736401640055239
conservativeinsights.net,@coninsights_net,2023-11-04T01:35:59.000Z,"conservativeinsights.net
@coninsights_net
·
Nov 4",GOP Sen. Ted Budd demands State Department roll back requirement for employees to use preferred pronouns - https://tinyurl.com/ypxlghe4,,,,,[],https://twitter.com/coninsights_net/status/1720615842482700372
Kyle Raccio,@kyleraccio,2023-11-06T21:52:56.000Z,"Kyle Raccio
@kyleraccio
·
Nov 7","We should've gotten a better drawn district here but most Republican mapmakers are wusses and it's a Biden+2, won by Ted Budd in 2022, so it's very winnable.",,,,1,[],https://twitter.com/kyleraccio/status/1721646875449970715
Rayme Treudeau©,@Rayme_Treudeau,2023-11-06T05:08:35.000Z,"Rayme Treudeau©
@Rayme_Treudeau
·
Nov 6","If they become disloyal to Trump, after he has endorsed them, that's a pretty good sign that a Republican has secrets like Thom Tillis & Ted Budd, & their mess with FTX. Tillis used money laundering to impeach Trump, & unseat Madison Cawthorn 
@RepCawthorn
 
@CawthornforNC",,,1,,['https://pbs.twimg.com/tweet_video_thumb/F-Oe1BVXYAA1QY2.jpg'],https://twitter.com/Rayme_Treudeau/status/1721394124857716989
jordan is rage drafting,@jordanbseltzer,2023-11-06T03:10:02.000Z,"jordan is rage drafting
@jordanbseltzer
·
Nov 6","I got a similar, absolutely VILE, DISGUSTING response from Ted Budd in NC. I don’t even want to post it here bc all it does is perpetuate evil islamaphobic rhetoric. so anyway, fuck that guy, vote him out 2024.

my other reps haven’t even responded.",,,,10,[],https://twitter.com/jordanbseltzer/status/1721364286725890147
Terry MacKay,@TerryMacKay15,2023-11-07T19:29:58.000Z,"Terry MacKay
@TerryMacKay15
·
Nov 8","Thom Tillis 
@SenThomTillis
Ted Budd 
@TedBuddNC
Chuck Edwards @RepEdwards
Dear My Representative and Senators:
VOTE AGAINST MORE MONEY FOR FREAKING UKRAINE (the money laundering capital of Europe and world class money pit) FOR CRYING OUT LOUD.",,,,,[],https://twitter.com/TerryMacKay15/status/1721973284776853713
cripto.ico,@criptoicobr,2023-11-08T23:21:46.000Z,"cripto.ico
@criptoicobr
·
Nov 9", O senador dos EUA Ted Budd apresenta projeto de lei para proteger o direito à autocustódia de #Bitcoin e criptografia. ,💸,,,1,['https://pbs.twimg.com/media/F-csOB9WwAAKf1U?format=jpg&name=small'],https://twitter.com/criptoicobr/status/1722394007160938855
Bitcoin Algerie,@AlgerieBitcoin,2023-11-08T23:10:05.000Z,"Bitcoin Algerie
@AlgerieBitcoin
·
Nov 9","Le Sénateur Ted Budd (R-NC) a présenté son «Keep Your Coins Act» au Sénat, un projet de loi destiné à garantir aux individus le droit de gérer directement leurs actifs cryptographiques sans...
 #btcalgerie #bitcoin #Bitcoin 
En lire plus :",,,,,[],https://twitter.com/AlgerieBitcoin/status/1722391065200603261
Arturo Ruiz l Editions,@arutro_cryp,2023-11-08T22:27:13.000Z,"Arturo Ruiz l Editions
@arutro_cryp
·
Nov 9",NUEVO -  El senador estadounidense Ted Budd presenta un proyecto de ley para garantizar que no se infrinja el derecho a la autocustodia de #Bitcoin ,👏,,,,['https://pbs.twimg.com/media/F-cfvB3XEAACLoQ?format=jpg&name=small'],https://twitter.com/arutro_cryp/status/1722380277790437767
