UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Chron,@chron,2023-11-01T23:59:03.000Z,"Chron
@chron
·
Nov 2","One of Ted Cruz's 2024 Senate challengers took to social media to troll him with a Halloween costume: ""Senator who flees to Cancun.""",,,1,,['https://pbs.twimg.com/card_img/1731053997165813760/n3sS8jIq?format=png&name=small'],https://twitter.com/chron/status/1719866674537439709
Constitutionally concerned fed up californian,@UpInTheHills,2023-11-01T23:58:47.000Z,"Constitutionally concerned fed up californian
@UpInTheHills
·
Nov 2","How does this happen everyday on X by an AG? Tweeting about a case, condemning any person in the public square? How does she keep her job and her license? What the totalitarian hell?! 
@elonmusk
 @GOP
 @tedcruz
 @HouseGOP
 @SenateGOP
 @JudicialWatch
 @JudiciaryGOP
 @HawleyMO
 @nypost",,1,7,7,['https://pbs.twimg.com/profile_images/1190033746516480002/R5k2b7qT_normal.jpg'],https://twitter.com/UpInTheHills/status/1719866607277924492
Pumper85,@BrockLotus85,2023-11-01T23:58:47.000Z,"Pumper85
@BrockLotus85
·
Nov 2","That's right, #rafael 
@tedcruz
, ""demonizing the super rich"".

#dirtbag #coward",⚓,,,,"['https://pbs.twimg.com/profile_images/1706852205892960256/tk1C73_B_normal.png', 'https://pbs.twimg.com/media/F92XZuMWsAAqjx4.jpg']",https://twitter.com/BrockLotus85/status/1719866606434836569
Democracy vs Autocracy. VOTE,@bingwisdom,2023-11-01T23:55:17.000Z,"Democracy vs Autocracy. VOTE
@bingwisdom
·
Nov 2","Dont be fooled. 

Ted Cruz doesn’t want you to raise his taxes, he’s rich. 

What’s unfair is rich people not  paying  the same amount of taxes as the middle class 

they pay much less or none.

He’s just trying to brainwash the stupid people.

Again.
Show more",,,,,"['https://pbs.twimg.com/profile_images/1706852205892960256/tk1C73_B_normal.png', 'https://pbs.twimg.com/media/F92XZuMWsAAqjx4.jpg']",https://twitter.com/bingwisdom/status/1719865726956376263
Mississippi Sambo,@denton_sam,2023-11-01T23:54:39.000Z,"Mississippi Sambo
@denton_sam
·
Nov 2","The border needs to be closed! Things are going to get bad sooner than later. 
@tedcruz",,,,1,"['https://pbs.twimg.com/profile_images/1717966605903179776/scSx1uhK_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719845889735323648/img/MEwn9i5CJK4Qzxlz.jpg']",https://twitter.com/denton_sam/status/1719865567262478541
De Chi,@Nopcever,2023-11-01T23:52:58.000Z,"De Chi
@Nopcever
·
Nov 2","Ted Cruz SILENCES Biden with SH0CKING 'D.isney corruption' proof...asks ... https://youtu.be/5Dbzc9MW03g?si=JC4Lvatek0qKncel… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1732621661130964992/_polPCq4?format=jpg&name=360x360'],https://twitter.com/Nopcever/status/1719865144405037199
Laura Davis,@LauraDavisTx,2023-11-01T23:42:05.000Z,"Laura Davis
@LauraDavisTx
·
Nov 2","Do you remember when the 
@FBI
 called parents “domestic terrorists”? Where is 
@TheJusticeDept
 now? 
@tedcruz
 @JohnCornyn
 @JudgeCarter",,1,,,"['https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719647685508997120/pu/img/SVBubrsOiYr_JdXv.jpg']",https://twitter.com/LauraDavisTx/status/1719862404476002461
Cali Dreaming NaphiSoc ,@NaphiSoc,2023-11-01T23:40:52.000Z,"Cali Dreaming NaphiSoc 
@NaphiSoc
·
Nov 2","The only coach in mens' NCAA Div 1 basketball to have a Perfect Season (Indiana U - in the 70s) has passed away

when Ted Cruz was waging his last stand in Indiana in Pub Primary in 2016 and Bobby Knight endorsed Trump I said ""it is over Trump will win Indiana and the nomination""",,1,4,7,['https://pbs.twimg.com/media/F94tdTEWwAAR_nc?format=jpg&name=900x900'],https://twitter.com/NaphiSoc/status/1719862096857276850
Julie White,@rebelgirl1601,2023-11-01T23:39:03.000Z,"Julie White
@rebelgirl1601
·
Nov 2","Well of course they did, it’s Biden’s plan, has been all along. 
@chiproytx
 @tedcruz",,,,,['https://pbs.twimg.com/profile_images/881176823710834689/pN0YSXA0_normal.jpg'],https://twitter.com/rebelgirl1601/status/1719861640940634273
Tami Ford,@TamiFord,2023-11-01T23:38:19.000Z,"Tami Ford
@TamiFord
·
Nov 2","Don’t you mean,
“Ted Cruz is still a dick!”",🧩,,,,['https://pbs.twimg.com/profile_images/1731444857120432129/FjdfoM0d_normal.jpg'],https://twitter.com/TamiFord/status/1719861458786246925
