UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Samie Moazzami,@SamieMoazzami,2023-11-01T23:18:59.000Z,"Samie Moazzami
@SamieMoazzami
·
Nov 2",".
@SenTimKaine
 @TimKaine
 Thank you for co-sponsoring the #MAHSAAct! 
We met with your team today to discuss #Iran policy to hold the terror regime accountable and provide support for Iranians based on the voices from inside Iran.",,7,26,58,[],https://twitter.com/SamieMoazzami/status/1719856591628095655
Marcy Winograd,@marcywinograd,2023-11-01T23:06:38.000Z,"Marcy Winograd
@marcywinograd
·
Nov 2",".
@SenAlexPadilla
 @SenSchumer
 @timkaine
 @SenatorMenendez
 @SenJackReed
 Intro a Senate res for #ceasefire in #Gaza. Center for Constitutional Rights has gone to the ICC to demand an investigation into 
@POTUS
 @SecBlinken
 @SecDef
 as accomplices to #Genocide_in_Gaza.",,2,9,13,[],https://twitter.com/marcywinograd/status/1719853484714172775
ndngenuity,@ndngenuity,2023-11-01T22:43:33.000Z,"ndngenuity
@ndngenuity
·
Nov 2","MT 
@timkaine
 This #NativeHeritageMonth is an opportunity to celebrate Indigenous communities across the country while doubling down on our commitments to them. One of my proudest accomplishments is helping secure federal recognition for 7 VA Tribes. Honored to be a partner.",,,1,2,[],https://twitter.com/ndngenuity/status/1719847675275759861
David Clayton,@PanRationalis,2023-11-01T21:51:15.000Z,"David Clayton
@PanRationalis
·
Nov 2","Nobody outside of elected representatives would still have a clearance after being indicted for these crimes.

THIS, 
@SenSchumer
, is why your “let the legal process play out” position is unacceptable.

cc: 
@markwarner
 @timkaine",,,,,"['https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719768778991431680/img/uz6KUu98o_yI6oYo.jpg']",https://twitter.com/PanRationalis/status/1719834511758819696
Tim Kaine,@timkaine,2023-11-01T21:35:03.000Z,"Tim Kaine
@timkaine
·
Nov 2",This #NativeAmericanHeritageMonth is an opportunity to celebrate Indigenous communities across the country while doubling down on our commitments to them. One of my proudest accomplishments is helping secure federal recognition for 7 VA Tribes. Honored to be a partner to them.,,10,36,137,[],https://twitter.com/timkaine/status/1719830436199747892
Antionette Pate,@tonipate52,2023-11-01T21:31:38.000Z,"Antionette Pate
@tonipate52
·
Nov 2","Join me in supporting Tim Kaine via 
@actblue",,,,,['https://pbs.twimg.com/card_img/1730972702230691841/wbolSzIn?format=jpg&name=900x900'],https://twitter.com/tonipate52/status/1719829577533378598
LovelyMsNet,@LovelyMsNet,2023-11-01T21:02:55.000Z,"LovelyMsNet
@LovelyMsNet
·
Nov 2","We must Retweet this important msg so Virginia voters will NOT fall for Gov Glenn Youngkin’s lies again! 
@vademocrats
 @VASenateDems
 @VAHouseDems
 @MeidasTouch
 @timkaine
 @GovernorVA",🚨,,1,1,"['https://pbs.twimg.com/profile_images/1420550208220450818/Dr0mMmb1_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719819545970442240/img/5yL_WpN0D-Tqnhmm.jpg']",https://twitter.com/LovelyMsNet/status/1719822347668955564
loishill,@loishill3,2023-11-01T20:23:32.000Z,"loishill
@loishill3
·
Nov 2","I urge 
@timkaine
 to support #ALSVeterans and their families by cosponsoring and passing the Justice for ALS Veterans Act (H.R.3790/S.1590) https://bit.ly/JusticeforALSVeterans… #ALSAdvocacy",,,,,[],https://twitter.com/loishill3/status/1719812436197253515
"Darth J.D., God of Shitposts",@starklyjd,2023-11-01T20:08:15.000Z,"Darth J.D., God of Shitposts
@starklyjd
·
Nov 2","Per the emails I received from 
@RepSpanberger
 and 
@timkaine
 , this is a stance worth defending above all else.",,1,,2,"['https://pbs.twimg.com/profile_images/1725833689198690304/GUqTCyq7_normal.jpg', 'https://pbs.twimg.com/media/F93Ar9zW4AAZ-Dl?format=jpg&name=900x900']",https://twitter.com/starklyjd/status/1719808593371812022
GB,@gb07011950,2023-11-01T19:55:37.000Z,"GB
@gb07011950
·
Nov 2","Palestinian Christians are being slaughtered as well 
@POTUS
 @MarkWarner
 @timkaine
 @NPR
 @ABC
 @CBSNews
 @NBCNews
 @AP
 @CNN
 @cnni
 ! #TikTok",,,,,['https://pbs.twimg.com/card_img/1733068142098989057/YgaDjZq8?format=png&name=240x240'],https://twitter.com/gb07011950/status/1719805414345212099
