UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
IndictedTrump,@RealTrump2020_,2023-11-01T23:48:27.000Z,"IndictedTrump
@RealTrump2020_
·
Nov 2",Tim Scott Qualifies for Third RNC Debate https://hotair.com/karen-townsend/2023/11/01/tim-scott-qualifies-for-third-rnc-debate-n589274…,⏺ 🍊,,,,[],https://twitter.com/RealTrump2020_/status/1719864008595882283
The New Yorker,@NewYorker,2023-11-01T23:38:22.000Z,"The New Yorker
@NewYorker
·
Nov 2","On a new episode of our Political Scene podcast, 
@newsbysamuels
 joins 
@tylerfoggatt
 to discuss Tim Scott’s Presidential run, and what he reveals about the Republican Party’s relationship to race and racism. Listen here.",,2,,8,['https://pbs.twimg.com/card_img/1733239524514283521/nMVWogow?format=jpg&name=900x900'],https://twitter.com/NewYorker/status/1719861469871845567
4all,@s68039,2023-11-01T23:32:21.000Z,"4all
@s68039
·
Nov 2","Read ""Tim Scott, and the Republican Party’s Vexed Relationship with Race' on SmartNews: are Tim and Jesse Lee Peterson twins? https://l.smartnews.com/p-DD6cG/XQFQK0",❤,,,,[],https://twitter.com/s68039/status/1719859955618959618
Diego Quiroz,@DiegoQu29095037,2023-11-01T23:16:19.000Z,"Diego Quiroz
@DiegoQu29095037
·
Nov 2",Tim Scott is a good candidate.  He would make a great Vice President.,,,,,"['https://pbs.twimg.com/profile_images/1646094442061856768/5bdhn9jR_normal.jpg', 'https://pbs.twimg.com/media/F93-xJPWMAAE7ND.jpg']",https://twitter.com/DiegoQu29095037/status/1719855918731678086
The New Yorker,@NewYorker,2023-11-01T22:15:46.000Z,"The New Yorker
@NewYorker
·
Nov 2","For a certain kind of white Republican voter, Tim Scott’s political career represents an escape valve in a society pressurized by its racist past, 
@newsbysamuels
 writes. Black voters, many in his own community, have resented him for similar reasons. http://nyer.cm/DZq1APt",,2,5,13,['https://pbs.twimg.com/media/F94Z_BBXgAE52Um?format=jpg&name=900x900'],https://twitter.com/NewYorker/status/1719840681273741611
Sarah Jones,@babyprodigy66,2023-11-01T22:03:30.000Z,"Sarah Jones
@babyprodigy66
·
Nov 2","南卡议员 Tim Scott，也是这次共和党总统竞选人说：

我们必须从社会中清除反犹太主义的腐朽。

它是邪恶的，任何发出此类威胁的学生都应受到法律的严惩。

如果你是外籍人士，你将被驱逐出境。",,,,9,['https://pbs.twimg.com/profile_images/1646094442061856768/5bdhn9jR_normal.jpg'],https://twitter.com/babyprodigy66/status/1719837596858089642
Cliff W,@CliffW08950229,2023-11-01T20:40:26.000Z,"Cliff W
@CliffW08950229
·
Nov 2","Damn! Right to the point. 

We need one of these types of ads for Byron Donalds and Tim Scott.",,4,5,18,"['https://pbs.twimg.com/profile_images/1394465830268723203/OcmTYzED_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1717917760582193152/pu/img/XD4AkMsbJMa-4J98.jpg']",https://twitter.com/CliffW08950229/status/1719816689393578371
RTM News,@RTM__news,2023-11-01T20:40:00.000Z,"RTM News
@RTM__news
·
Nov 2",Tim Scott Blasts ‘Despicable’ Racist Attack on Kentucky’s Daniel Cameron,,,,,[],https://twitter.com/RTM__news/status/1719816580995977478
louie stearns,@cabodude,2023-11-01T20:28:43.000Z,"louie stearns
@cabodude
·
Nov 2","Anyone out there taking bets on which of the RNC Nothing Burger Snake ""Also Rans"" will be next to drop out of the Presidential Primary Race?

Nikki Haley

Ron DeScending

Christie

Ramaswamy
Show more",,,,,[],https://twitter.com/cabodude/status/1719813742798778666
La Opinión,@LaOpinionLA,2023-11-01T20:27:06.000Z,"La Opinión
@LaOpinionLA
·
Nov 2",Tim Scott cumple desafío de donaciones y asegura su lugar en el tercer debate republicano,,,,,[],https://twitter.com/LaOpinionLA/status/1719813334936305893
Michael Luo,@michaelluo,2023-11-01T20:19:28.000Z,"Michael Luo
@michaelluo
·
Nov 2","Thoughtful piece by 
@newsbysamuels
 on Tim Scott and a tidy tale of racism overcome by personal determination that he likes to tell but is much more complicated.",,,6,10,['https://pbs.twimg.com/card_img/1732497886011674625/CxUCx-Y4?format=jpg&name=900x900'],https://twitter.com/michaelluo/status/1719811412980117868
LoLNothingMatters,@DastDn,2023-11-01T20:12:25.000Z,"LoLNothingMatters
@DastDn
·
Nov 2","Tim Scott is not a good guy. He's a weak reed - not the same thing.

A good guy doesn't run a doomed campaign that only helps Trump. Nor promote idiotic race-bait fed to him by Kamala/Trump, out of desperation to keep his vanity run going an extra month.

Tim Scott is a shitbag.",,2,9,23,['https://pbs.twimg.com/profile_images/1143298131/DDdeli3_normal.jpg'],https://twitter.com/DastDn/status/1719809640806981923
