UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sam -GSD- Fisher,@SamFish90,2023-11-01T20:29:07.000Z,"Sam -GSD- Fisher
@SamFish90
·
Nov 2",ICYMI: DSCC Vice Chair Sen. Tina Smith Discusses How Senate Democrats Will Win Again and The Stakes of The 2024 Election,🐝 ⚖ 💛,,,,[],https://twitter.com/SamFish90/status/1719813843889918008
The NEWS,@achrnews,2023-11-01T12:30:06.000Z,"The NEWS
@achrnews
·
Nov 1","Jessica Looman is the new administrator of the Wage and Hour Division of the Department of Labor. Her appointment was praised by people in the sheet metal industry and advocates for workers. ""This is a victory for working families,"" said Sen. Tina Smith.

https://brnw.ch/21wE3ak",,,,,['https://pbs.twimg.com/media/F92T7-fXsAAd6dQ?format=jpg&name=small'],https://twitter.com/achrnews/status/1719693293993316572
Minn News Report,@MinnNewsReport,2023-11-01T10:30:01.000Z,"Minn News Report
@MinnNewsReport
·
Nov 1","Same as when Angie Craig from Arkansas, Jacob Frey from Virginia, Tina Smith from New Mexico, Keith Ellison from Detroit, Ilhan Omar from Somalia, and Tim Walz from Nebraska drop to their knees for the return of Floyd of Rosedale.",,,,,['https://pbs.twimg.com/profile_images/2828614521/d94380ff344e7ae87417b34f35956e2a_normal.jpeg'],https://twitter.com/MinnNewsReport/status/1719663075551293633
AHHC of NC,@AHHCNC,2023-11-02T20:01:24.000Z,"AHHC of NC
@AHHCNC
·
Nov 3","It is #NationalHomeCareandHospiceMonth, and we are celebrating YOU! We are posting #CourageousCause stories from people making a difference in patients' lives! Our first story is from Tina Smith, Director of Patient Services at Vital Health. 
@NCHomeCareTim",,,1,1,['https://pbs.twimg.com/card_img/1733027181838671872/JSeuGb9m?format=jpg&name=360x360'],https://twitter.com/AHHCNC/status/1720169254593392991
@SCHCHA_,@SCHCHA_,2023-11-02T20:01:21.000Z,"@SCHCHA_
@SCHCHA_
·
Nov 3","It is #NationalHomeCareandHospiceMonth, and we are celebrating YOU! We are posting #CourageousCause stories from people making a difference in patients' lives! Our first story is from Tina Smith, Director of Patient Services at Vital Health. 
@NCHomeCareTim",,,1,1,['https://pbs.twimg.com/card_img/1733027181838671872/JSeuGb9m?format=jpg&name=360x360'],https://twitter.com/SCHCHA_/status/1720169242413113527
Jonathan Stegall,@jonathanstegall,2023-11-02T19:56:57.000Z,"Jonathan Stegall
@jonathanstegall
·
Nov 3","I think there will be more senators calling for a ceasefire. I called Tina Smith and Amy Klobuchar’s offices today. I also called Ilhan Omar’s office just to say thanks. And as folks have said, a ceasefire is the floor.",,1,2,11,[],https://twitter.com/jonathanstegall/status/1720168134965875038
The okayest poster there is,@ok_post_guy,2023-11-02T16:18:43.000Z,"The okayest poster there is
@ok_post_guy
·
Nov 3","Henry the Franken situation was about Democrats as a party setting a precedent that sexual assault is unacceptable among their members

Plus he got replaced by Tina Smith who kicks ass anyway, let it go man",,6,4,52,['https://pbs.twimg.com/profile_images/444914058597113858/vNC5_grx_normal.jpeg'],https://twitter.com/ok_post_guy/status/1720113216431288638
NATIv,@Argen_TinaSmith,2023-11-02T03:22:03.000Z,"NATIv
@Argen_TinaSmith
·
Nov 2",La historia del minero. Me dejó flashando mal.,🎀,,,,"['https://pbs.twimg.com/media/F95gCwdXwAAy-3O?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F95gFQwWwAEG-7h?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1721335150984708097/AOwcqR7Z_normal.jpg', 'https://pbs.twimg.com/media/F93N8bWW8AAZKXg?format=jpg&name=360x360']",https://twitter.com/Argen_TinaSmith/status/1719917762598883613
FloridaRobert,@FloridaRobert2,2023-11-03T18:45:45.000Z,"FloridaRobert
@FloridaRobert2
·
Nov 4","A list of the US Senates greatest thieves: . Ed Markey MA, Tim Kaine VA, Mark Warner VA, Dick Durbin IL, Jeff Merkley OR, Tammy Duckworth IL, Peter Welch VT, Elizabeth Warren MA, Cory Booker NJ, Chris Van Hollen MD, Tina Smith MN, Chris Murphy CN, and Jeanne Shaheen NH",,,,,[],https://twitter.com/FloridaRobert2/status/1720512606186750230
Tuyet T-N.,@tatn,2023-11-03T17:48:23.000Z,"Tuyet T-N.
@tatn
·
Nov 4",#Minnesota's Senator Tina Smith ,,,3,1,['https://pbs.twimg.com/profile_images/1595181816524279808/nMSlcmjH_normal.jpg'],https://twitter.com/tatn/status/1720498170327662837
