UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
USFWS Northeast,@USFWSNortheast,2023-11-01T18:57:52.000Z,"USFWS Northeast
@USFWSNortheast
·
Nov 2","Last week, Service Director Martha Williams joined DE Senator Tom Carper to unveil the updated Bombay Hook NWR HQ & Visitor Center! Supported through funds from the Great American Outdoors Act, the facility will connect people to nature & engage local communities in conservation.",,1,,3,[],https://twitter.com/USFWSNortheast/status/1719790879529914467
WGMD Radio The Talk of Delmarva,@WGMDRadio,2023-11-01T16:26:10.000Z,"WGMD Radio The Talk of Delmarva
@WGMDRadio
·
Nov 2",Senator Tom Carper Calls Attention to Security Threats in Wake of Hamas Terrorist Attacks,,,,,[],https://twitter.com/WGMDRadio/status/1719752701582377085
Nickey Nouse,@menelaux,2023-11-03T19:12:34.000Z,"Nickey Nouse
@menelaux
·
Nov 4"," Un politico in carica è short sui titoli statunitensi

Il rappresentante Tom Carper ha acquistato 45.000 dollari di $HDGE

HDGE ""shorta le società quotate negli Stati Uniti che si ritiene abbiano una bassa qualità degli utili o utilizzino politiche contabili aggressive"".",🚨 🚨,1,,,[],https://twitter.com/menelaux/status/1720519353693515876
Nancy Pelosi Stock Tracker ♟,@PelosiTracker_,2023-11-03T19:00:55.000Z,"Nancy Pelosi Stock Tracker ♟
@PelosiTracker_
·
Nov 4","Also Breaking  A sitting politician is once again shorting US stocks

Rep. Tom Carper bought $45K of $HDGE

HDGE ""shorts US-listed companies believed to have low earnings quality or use aggressive accounting policies""",🚨,3,48,180,[],https://twitter.com/PelosiTracker_/status/1720516422881964177
Nancy Pelosi Stock Tracker ♟,@PelosiTracker_,2023-11-03T18:43:15.000Z,"Nancy Pelosi Stock Tracker ♟
@PelosiTracker_
·
Nov 4","Breaking News 

 A sitting politician just profited by betting against the US economy

Tom Carper sold $45K of the inverse ETF $PSQ for a 3.5% gain

Over that same time period, the market fell 5%

They just don't miss.",🚨,15,99,335,[],https://twitter.com/PelosiTracker_/status/1720511974805795017
47 ABC WMDT,@47abc,2023-11-04T02:32:56.000Z,"47 ABC WMDT
@47abc
·
Nov 4","Delaware's Senior U.S. Senator Tom Carper says veteran health care has been a primary focus since he moved here after the Vietnam War. 
@Jack47ABC
 has the details. #BecauseLocalMatters",,,,1,[],https://twitter.com/47abc/status/1720630177502236751
WASinOV,@sin_ov,2023-11-06T20:03:50.000Z,"WASinOV
@sin_ov
·
Nov 7","Billions of taxpayer dollars later, Obamacare's still unaffordable https://washingtonexaminer.com/restoring-america/fairness-justice/billions-of-taxpayer-dollars-later-obamacare-still-unaffordable… DOH, our Medicare & health insurance increase for 2024 is $29 more per month above my estimated SS COLA. Obama, Biden, & Senators Chris Coons & Tom Carper LIE.",,,,,[],https://twitter.com/sin_ov/status/1721619419892187335
Nancy Pelosi Stock Tracker ♟,@PelosiTracker_,2023-11-06T19:19:12.000Z,"Nancy Pelosi Stock Tracker ♟
@PelosiTracker_
·
Nov 7","Something to keep an eye on

Politicians have been making some unusual bearish moves against the US economy in the last 3 months:

- Tom Carper (D) buying $45K of $HDGE, an inverse ETF
- Lois Frankel (D) selling $940K of stock
- Pete Ricketts (R) selling $2.75M of stock

Anyone…
Show more",,24,136,559,[],https://twitter.com/PelosiTracker_/status/1721608188712349935
Krishna Yadav,@Krishna0716,2023-11-07T07:49:20.000Z,"Krishna Yadav
@Krishna0716
·
Nov 7","Something to keep an eye on

Politicians have been making some unusual bearish moves against the US economy in the last 3 months:

- Tom Carper (D) buying $45K of $HDGE, an inverse ETF
- Lois Frankel (D) selling $940K of stock
- Pete Ricketts (R) selling $2.75M of stock",,,,2,[],https://twitter.com/Krishna0716/status/1721796965292548534
Ledyard King,@LedgeKing,2023-11-08T23:24:28.000Z,"Ledyard King
@LedgeKing
·
Nov 9","How does the last remaining Vietnam vet in the Senate think about how the government treats its former service members? Read my 
@nationaljournal
 colleague 
@SavBehrmannDC
's probing interview with 
@SenatorCarper
 --    Q A with Tom Carper",,,3,4,[],https://twitter.com/LedgeKing/status/1722394688647201079
