UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jack Leavitt,@KPJack,2023-11-01T23:23:43.000Z,"Jack Leavitt
@KPJack
·
Nov 2",It appears that Tom Cotton supports the genocide of the Palestinian people; hard to believe.,,,,,['https://pbs.twimg.com/profile_images/913779154444840960/BqrF3BK-_normal.jpg'],https://twitter.com/KPJack/status/1719857784118788344
Uthers Say,@utherssay,2023-11-01T20:45:02.000Z,"Uthers Say
@utherssay
·
Nov 2","If they break windows to get in, assault police with weapons, want to hang the VP and kill the Speaker, disrupt the peaceful transfer of power, shit (literally) all over the Capitol… hell yeah.
Tom Cotton is devoid of a moral compass and a traitor to his oath of office.",,,,,['https://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg'],https://twitter.com/utherssay/status/1719817848078704641
The Curmudgeonly Opa,@CurmudgeonlyOpa,2023-11-01T20:28:33.000Z,"The Curmudgeonly Opa
@CurmudgeonlyOpa
·
Nov 2","On a scale of 1 to 10, how evil do you think Tom Cotton is?",☦,2,,3,['https://pbs.twimg.com/profile_images/913779154444840960/BqrF3BK-_normal.jpg'],https://twitter.com/CurmudgeonlyOpa/status/1719813700125622568
陳諾,@nuochan,2023-11-01T20:11:22.000Z,"陳諾
@nuochan
·
Nov 2",Tom Cotton這個對中國人來說尤為搞笑，因為他是參眾議院裡最常對「新疆種族滅絕」表態的政客之一,🏳,,,,"['https://pbs.twimg.com/profile_images/1517492889852461056/bEnqsvVR_normal.jpg', 'https://pbs.twimg.com/media/F923GiZWsAEvfN4?format=jpg&name=900x900']",https://twitter.com/nuochan/status/1719809375924343261
Pauline Fowler,@MrsArthurFowler,2023-11-01T19:57:29.000Z,"Pauline Fowler
@MrsArthurFowler
·
Nov 2","Gawd no one likes 
@nishpanesar69
 but I really ‘opes ‘e puts the screws on Tom Cotton, them Cottons need a firm ‘and. #EastEnders",,,,,[],https://twitter.com/MrsArthurFowler/status/1719805882991514095
Gazpacho Wontons,@baby2thfairy,2023-11-01T18:40:30.000Z,"Gazpacho Wontons
@baby2thfairy
·
Nov 2","TOM COTTON IS A TERRORIST 

THIS IS HOW TERRORISTS SPEAK",,,,,['https://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg'],https://twitter.com/baby2thfairy/status/1719786510424134027
Joe,@Joe843421217191,2023-11-01T17:21:56.000Z,"Joe
@Joe843421217191
·
Nov 2","Tom Cotton ,We think you would make a great president...Keep up the great work that you do.",,,,,[],https://twitter.com/Joe843421217191/status/1719766737816527252
LeaAnn Loudmouth,@AnnNonm,2023-11-01T17:08:48.000Z,"LeaAnn Loudmouth
@AnnNonm
·
Nov 2","Tom Cotton who actually said “shake the rubble,” with bombing them so hard, will probably take exception to what’s attributed to him in this article as making him sound too soft.",☮ ✌ ✌ ☮,,,2,['https://pbs.twimg.com/profile_images/1517492889852461056/bEnqsvVR_normal.jpg'],https://twitter.com/AnnNonm/status/1719763430339391492
pity sing,@Pity_Sing,2023-11-01T16:53:02.000Z,"pity sing
@Pity_Sing
·
Nov 2","The 1st 5 posts currently in my ""for you"" feed:
1. Elon
2. Elon
3. Some insurrectionist begging for donations
4. Tom Cotton
5. Ted Cruz
Twitter is a JOKE under Elon.",,2,1,2,[],https://twitter.com/Pity_Sing/status/1719759463039516913
KathieBee,@KayMelange,2023-11-01T15:27:13.000Z,"KathieBee
@KayMelange
·
Nov 1","Thank you for speaking up, Senator Tom Cotton.",,,,1,['https://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg'],https://twitter.com/KayMelange/status/1719737868824789088
JoeMyGod,@JoeMyGod,2023-11-01T15:17:41.000Z,"JoeMyGod
@JoeMyGod
·
Nov 1","Tom Cotton: Ceasefire Protesters Who Disrupted Senate Hearing Should Be Prosecuted Just Like Capitol Rioters 
https://joemygod.com/2023/11/tom-cotton-ceasefire-protesters-who-disrupted-senate-hearing-should-be-prosecuted-just-like-capitol-rioters/…",,10,2,6,['https://pbs.twimg.com/media/F926PcVWsAAI5G7?format=png&name=900x900'],https://twitter.com/JoeMyGod/status/1719735469393461709
RealRobert,@Real_RobN,2023-11-02T23:25:23.000Z,"RealRobert
@Real_RobN
·
Nov 3",Lindsey Gay Graham is a Democrat. So is Tom Cotton and Dan Crenshaw. Lisa Fuckowski is a Democrat so is his beloved wife Susan Collins. Mitch fucken McConnell is a Democrat so is John Thune & her beloved wife John Cornyn. And now there’s no question Chip fucken Roy is a Democrat.,,1,17,39,[],https://twitter.com/Real_RobN/status/1720220588399309289
Joe Gabriel Simonson,@SaysSimonson,2023-11-02T23:03:54.000Z,"Joe Gabriel Simonson
@SaysSimonson
·
Nov 3","was looking up the etymology of the phrase ""no quarter"" and the google result features a picture of tom cotton",,1,2,14,['https://pbs.twimg.com/profile_images/1706335295673643008/oZ6-fC_p_bigger.jpg'],https://twitter.com/SaysSimonson/status/1720215184273473981
MDouglas,@havok1964,2023-11-02T22:57:56.000Z,"MDouglas
@havok1964
·
Nov 3","There are more than a few who do this. 

Sen Tom Cotton lives full time in his luxury home in Virginia..and hasn’t stepped foot in Arkansas for several years.",🍊 🐗,,,,[],https://twitter.com/havok1964/status/1720213683236717026
𝓐𝓷𝓷 𝓲𝓼 𝓡𝓲𝓰𝓱𝓽 𝐗𝐋𝐕,@Ann_Lilyflower,2023-11-02T22:51:02.000Z,"𝓐𝓷𝓷 𝓲𝓼 𝓡𝓲𝓰𝓱𝓽 𝐗𝐋𝐕
@Ann_Lilyflower
·
Nov 3"," BREAKING: Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When We Take Back The Majority'

At today's Senate Judiciary Committee hearing, Sen. Tom Cotton (R-AR) slammed the record of President Biden and Democrats and slammed a Democratic ethics…
Show more",🕊 🕊 🚨 🚨,43,469,670,['https://pbs.twimg.com/ext_tw_video_thumb/1720211881124610048/pu/img/7sWvTJ6POQMpeLGf.jpg'],https://twitter.com/Ann_Lilyflower/status/1720211944492134582
David Darmofal,@david_darmofal,2023-11-02T21:24:38.000Z,"David Darmofal
@david_darmofal
·
Nov 3",Tom Cotton is a deeply troubled man morally. We must speak out against Islamophobia just as we do against antisemitism. And the administration has already announced a national strategy to combat antisemitism as well.,,2,7,24,[],https://twitter.com/david_darmofal/status/1720190202667274398
mhdude1,@Mhdude1Mhdude1,2023-11-03T23:57:21.000Z,"mhdude1
@Mhdude1Mhdude1
·
Nov 4","After the worst massacre of Jews since the Holocaust and a breakout of pro-Hamas activism on campus, the White House is claiming *Islamophobia* is our top concern,"" Republican Sen. Tom Cotton posted on X. VP HARRIS IS AN IDIOT!",,,,1,[],https://twitter.com/Mhdude1Mhdude1/status/1720591024115126734
Greg Valancius,@gvalan,2023-11-03T23:50:40.000Z,"Greg Valancius
@gvalan
·
Nov 4",GOP’s Tom Cotton points to taxes he’d like to see raised https://l.smartnews.com/p-39eWr/yboij4 #SmartNews,,,,,[],https://twitter.com/gvalan/status/1720589340596716011
48ona2006,@48ona2006,2023-11-03T23:46:22.000Z,"48ona2006
@48ona2006
·
Nov 4","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=Q3d6wNuh2aeWv9oy… via 
@YouTube",,,,,[],https://twitter.com/48ona2006/status/1720588258571137226
Canada Free Press,@canadafreepress,2023-11-03T23:41:36.000Z,"Canada Free Press
@canadafreepress
·
Nov 4",Sen. Tom Cotton point-blank reads Democrat colleagues the RIOT ACT: http://dlvr.it/SyMGnD,,,1,,[],https://twitter.com/canadafreepress/status/1720587059881283737
Lisa Gortmaker,@LGortmaker10432,2023-11-03T23:29:33.000Z,"Lisa Gortmaker
@LGortmaker10432
·
Nov 4",Do u guys go to the capital everyday just to talk? I like what ur saying tom Cotton but thats all it is...words. nobody gets in trouble. Nobody goes to jail. Just talk. We r tired of the meetings..commitees..hearings. all just talk. We want action..now!,🔥,,,,"['https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1720490242895974400/img/Qa17FckqWPezNwJw.jpg']",https://twitter.com/LGortmaker10432/status/1720584025218167163
moartarforkar,@melodyman747,2023-11-04T22:47:43.000Z,"moartarforkar
@melodyman747
·
Nov 5","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=tZPUbWqQFnXcrCE4… via 
@YouTube",,,,,[],https://twitter.com/melodyman747/status/1720935886148243680
Baker man is baking bread,@noisefy,2023-11-04T21:59:24.000Z,"Baker man is baking bread
@noisefy
·
Nov 5",Anyone who claims to support the people of Arkansas but not Tom Cotton should remember that Arkansans elected Tom Cotton,☘,,,1,[],https://twitter.com/noisefy/status/1720923729381703804
Bo Boman,@BoBoman90503791,2023-11-04T20:21:25.000Z,"Bo Boman
@BoBoman90503791
·
Nov 5","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=tyYsU0ba-IkyS5V-… via 
@YouTube
 
""OUTRAGE""
NOT ONCE HAVE THE DEMOCRATS EVER MENTIONED ABOUT PARTY PAYING FOR THE RUSSIA HOAX"" 
OR OBAMA N BIDEN USING PATRIOT ACT ON TRUMP"" RUSSIA RUSSIA TRUMP STOOGE…
Show more",,,,1,[],https://twitter.com/BoBoman90503791/status/1720899071077216405
The 2000's Republican,@GOPstan2004,2023-11-04T19:49:09.000Z,"The 2000's Republican
@GOPstan2004
·
Nov 5",You are pretty much talking about Tom Cotton,🦅,,,4,[],https://twitter.com/GOPstan2004/status/1720890950179004870
𝓙𝓲𝓶𝓶𝔂 𝓙,@JimmyJ4thewin,2023-11-04T19:23:26.000Z,"𝓙𝓲𝓶𝓶𝔂 𝓙
@JimmyJ4thewin
·
Nov 5","If you loathe Tommy Tuberville (R-Alabama) and Tom Cotton (R-Arkansas) as much as I do, I want to follow you back. Raise your ",🖐,1.2K,1.2K,5.3K,[],https://twitter.com/JimmyJ4thewin/status/1720884475284922763
Clyde·Boeing,@boeing_edward,2023-11-05T23:56:15.000Z,"Clyde·Boeing
@boeing_edward
·
Nov 6","My Favorite Politicians are:

Mike Johnson
Marjorie Greene
Mike Rogers
Andy Biggs
Young Kim
Lauren Boebert
Ken Buck
Matt Gaetz
Kat Cammack
Anna Paulina
Byron Donalds
Elise Stefanik 
Jim Jordan
Jeff Duncan
Thomas Massie
Michelle Steel
Ted Cruz
Show more",,1,4,8,[],https://twitter.com/boeing_edward/status/1721315519893004679
Rahul Rathod,@RahulRa89458094,2023-11-05T21:53:49.000Z,"Rahul Rathod
@RahulRa89458094
·
Nov 6","Happy Friday! Time for another news round-up. This week I celebrated Arkansas’s 187th birthday, cast votes on the floor and visited with Arkansans in Washington. 

> Sen. Tom Cotton (R-AR) and I joined a bipartisan group of senators in introducing the CONNECT for Health Act, leg",,,,,[],https://twitter.com/RahulRa89458094/status/1721284711132348741
-- InAllSincerity,@CZen001,2023-11-05T20:54:14.000Z,"-- InAllSincerity
@CZen001
·
Nov 6","Horrifying to hear all these things in one concise speech….Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=8zyLAWI1HKFYr5qI… via 
@YouTube",🍊,,,,[],https://twitter.com/CZen001/status/1721269714679152970
stinkerbelle1977,@Stinkerbelle359,2023-11-05T19:29:20.000Z,"stinkerbelle1977
@Stinkerbelle359
·
Nov 6","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=fZ8CxcF--GgjnoMR… via 
@YouTube",,,1,2,[],https://twitter.com/Stinkerbelle359/status/1721248349527900453
Soph,@sophiatseliem,2023-11-05T16:45:25.000Z,"Soph
@sophiatseliem
·
Nov 6",TOM COTTON READS THE RIOT ACT: “See what happens when we take back the majority.”  https://twitt,,,1,,[],https://twitter.com/sophiatseliem/status/1721207097994666138
Hank Linden,@savior55,2023-11-06T20:11:27.000Z,"Hank Linden
@savior55
·
Nov 7",Tom Cotton HAMMERS Sleazy Democrats Trying to Destroy the Supreme Court,,,,,[],https://twitter.com/savior55/status/1721621337595084939
J҈O҈E҈•҈M҈A҈M҈A҈,@Joe53927015,2023-11-06T19:50:49.000Z,"J҈O҈E҈•҈M҈A҈M҈A҈
@Joe53927015
·
Nov 7","Tom Cotton, Joe Biden and the rest of the Zionists are the real terrorists.

They are the reason we send 100s of Billions of dollars to secure other borders and leave ours wide open.

Zionist priorities are NOT American priorities.

#ZionistTerrorism 
#ZionismIsNazism",,,,,[],https://twitter.com/Joe53927015/status/1721616142631059919
Ross Kiernan,@rosskiernan_,2023-11-06T19:47:11.000Z,"Ross Kiernan
@rosskiernan_
·
Nov 7",Tom cotton is going out of it then? seems to have been  foreshadowing there #eastenders,,,,,[],https://twitter.com/rosskiernan_/status/1721615230780764287
Butch Strong,@ButchStrong7,2023-11-06T19:26:30.000Z,"Butch Strong
@ButchStrong7
·
Nov 7","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=_wumYKnWtDCQCRP9… via 
@YouTube",,,,,[],https://twitter.com/ButchStrong7/status/1721610025674723687
zmc33,@zmc332,2023-11-06T18:58:12.000Z,"zmc33
@zmc332
·
Nov 7","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=2jGkr_RPNR6lrEcP… via 
@YouTube",,,,,[],https://twitter.com/zmc332/status/1721602903016870116
kevincarson1@kolektiva.social,kevincarson1@kolektiva.social,2023-11-07T23:53:24.000Z,"kevincarson1@kolektiva.social
@CPostcapitalism
·
Nov 8","I just imagined this horrible scene where Ted Cruz is in a playpen in his underwear, and he screams at Tom Cotton ""Cotton! Cotton! Babs won't give me my eggs! Please give me my eggs!""",,,,1,[],https://twitter.com/CPostcapitalism/status/1722039581162242312
E. Morey,@EMorey4,2023-11-07T23:42:51.000Z,"E. Morey
@EMorey4
·
Nov 8","I guess no one from an actual border state was available?
Lankford has been a leading voice in Congress on the border crisis and together with Senators Lindsey Graham (R-SC) and Tom Cotton (R-AR) drew up the GOP proposal.",,,,,[],https://twitter.com/EMorey4/status/1722036924775350596
"Myles, Christmas Monster",@rizzlerofcook,2023-11-07T22:33:42.000Z,"Myles, Christmas Monster
@rizzlerofcook
·
Nov 8","This is what a real Republican veteran looks like, not like Tom Cotton who tried to get journalists hanged for treason",,,,2,[],https://twitter.com/rizzlerofcook/status/1722019521031000233
Kendall Edwards,@Kendall5912,2023-11-07T22:33:39.000Z,"Kendall Edwards
@Kendall5912
·
Nov 8",Tom Cotton Explains What Joe Biden Won’t About What a ‘Humanitarian Pause’ Would Mean for Hamas,,,,,[],https://twitter.com/Kendall5912/status/1722019509056225428
Wade Hale,@realWadeHale,2023-11-07T22:30:32.000Z,"Wade Hale
@realWadeHale
·
Nov 8",Is Tom Cotton worth a shit? Or just another Rino? Please advise…,,2,,1,[],https://twitter.com/realWadeHale/status/1722018727921648064
kasmir,@tmlies,2023-11-08T23:26:00.000Z,"kasmir
@tmlies
·
Nov 9","'Delusional': Tom Cotton Goes Off On 'Guilty' Barack Obama, Claiming He ... https://youtu.be/kecCgWdyCgA?si=DcRTrQua9nRFmXuu… via 
@YouTube",,5,,,[],https://twitter.com/tmlies/status/1722395070861627427
Markus Ehrler,@MarkusEhrler,2023-11-08T23:12:22.000Z,"Markus Ehrler
@MarkusEhrler
·
Nov 9","'Delusional': Tom Cotton Goes Off On 'Guilty' Barack Obama, Claiming He Emboldening Iran And Hamas https://youtu.be/kecCgWdyCgA?si=WUY5BQP_EcM1f6vs… via 
@YouTube",,5,,1,[],https://twitter.com/MarkusEhrler/status/1722391641439244737
JC,@jcc713,2023-11-08T22:30:58.000Z,"JC
@jcc713
·
Nov 9","Tom Cotton Issues Blunt Warning To Dem Colleagues For 'What Happens When... https://youtu.be/aVPlCh_AidE?si=njVGKWvziEC48cdQ… via 
@YouTube",,5,,,[],https://twitter.com/jcc713/status/1722381223375286614
Check It Out,@CheckItOutDR,2023-11-08T22:28:19.000Z,"Check It Out
@CheckItOutDR
·
Nov 9","Obama has been out of office for nearly seven years, but Tom Cotton specifically attributes the Hamas attack to ... you guessed it ... Obama.",,5,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1722305984587046912/pu/img/OyKV-YAaLIpR5HQ5.jpg'],https://twitter.com/CheckItOutDR/status/1722380557462462726
a!v¡n,@enthusmiasma,2023-11-08T21:56:02.000Z,"a!v¡n
@enthusmiasma
·
Nov 9","Kompromat factory, where they brought in Tom Cotton's strapping young honeyboy.",🐓,6,3,10,[],https://twitter.com/enthusmiasma/status/1722372431992492376
Deborah Snow,@deborahsnow89,2023-11-09T23:07:47.000Z,"Deborah Snow
@deborahsnow89
·
Nov 10","“They are laughing at us in Tehran,"" said Republican Senator Tom Cotton, a member of the Senate Armed Services Committee.” #Iran #Biden #ustroops
US forces under fire in Middle East as America slides towards brink",,5,,,[],https://twitter.com/deborahsnow89/status/1722752876512944489
