UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
John Clark,@GazetteJClark13,2023-11-01T23:59:32.000Z,"John Clark
@GazetteJClark13
·
Nov 2","Tommy Tuberville is just your run of the mill dumbass who became a name because he coached football (never winning a National Championship) and got elected because he is in a gerrymandered district. He is in way over his head, but will never admit it.",,,,,['https://pbs.twimg.com/profile_images/705941967985741824/RC7rMrq4_normal.jpg'],https://twitter.com/GazetteJClark13/status/1719866796759560202
Nikos Leverenz,@nikosleverenz,2023-11-01T23:58:55.000Z,"Nikos Leverenz
@nikosleverenz
·
Nov 2","By undermining military readiness Tommy Tuberville is doing a fine job of carrying water for Putin and other adversaries of the United States. 

Alabama seems to be good with it though--long live the Confederacy and all that, perhaps?",,,,1,['https://pbs.twimg.com/profile_images/888499901776228355/V3knesxJ_normal.jpg'],https://twitter.com/nikosleverenz/status/1719866639687262628
Jo,@JoJoFromJerz,2023-11-01T23:56:39.000Z,"Jo
@JoJoFromJerz
·
Nov 2","Your reminder that the dumbfuckiest of the GOP dumbfucks, Tommy Tuberville thinks the three branches of government are “…the House, the Senate, and the Executive…”",,232,547,3.3K,['https://pbs.twimg.com/media/F94xE0UXcAAynpm?format=jpg&name=900x900'],https://twitter.com/JoJoFromJerz/status/1719866072227012807
U.S. Senate Majority Floor Updates,@DSenFloor,2023-11-01T23:56:20.000Z,"U.S. Senate Majority Floor Updates
@DSenFloor
·
Nov 2","Sen. Joni Ernst (R-IA) asked unanimous consent that the Senate consider and vote on the nomination of John  Brennan, Jr to be Lieutenant General

Sen. Tommy Tuberville (R-AL) objected.",,,9,20,[],https://twitter.com/DSenFloor/status/1719865991989965066
Matt Murphy,@MattMurph24,2023-11-01T23:55:21.000Z,"Matt Murphy
@MattMurph24
·
Nov 2",Tommy Tuberville hates American war heroes.,,,,5,[],https://twitter.com/MattMurph24/status/1719865745549750584
Dark Christophe,@smugchristophe,2023-11-01T23:54:14.000Z,"Dark Christophe
@smugchristophe
·
Nov 2",senator graham being the voice of reason is the perfect illustration of how batshit tommy tuberville’s blockade has been,,,,,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719847964791767040/pu/img/QKDU4EuisO2fR44j.jpg']",https://twitter.com/smugchristophe/status/1719865462832443741
U.S. Senate Majority Floor Updates,@DSenFloor,2023-11-01T23:54:02.000Z,"U.S. Senate Majority Floor Updates
@DSenFloor
·
Nov 2","Sen. Joni Ernst (R-IA) asked unanimous consent that the Senate consider and vote on the nomination of James Mingus to be General

Sen. Tommy Tuberville (R-AL) objected.",,2,19,25,[],https://twitter.com/DSenFloor/status/1719865412765037014
Dennis Jackson,@kson112,2023-11-01T23:53:54.000Z,"Dennis Jackson
@kson112
·
Nov 2","#USMILITARY: #1 ENEMY is Sen Tommy Tuberville. US soldiers are being attacked, and military leadership is being held hostage by Tuberville, I will no longer call him Senator b/c he is now working on behalf of Russia and Hamas. Tommy Tuberville should be EXPEL from Congress ASAP.",,,,,[],https://twitter.com/kson112/status/1719865379424530773
John KILLMONGER!!!,@darkwriter,2023-11-01T23:52:59.000Z,"John KILLMONGER!!!
@darkwriter
·
Nov 2",Not #LindseyGraham out here making f-ing sense and embarrassing #TommyTuberville on the military.,,,1,2,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719847964791767040/pu/img/QKDU4EuisO2fR44j.jpg']",https://twitter.com/darkwriter/status/1719865147919843450
Ben's Best Deals Online Sales,@BenBestDeals,2023-11-02T23:58:49.000Z,"Ben's Best Deals Online Sales
@BenBestDeals
·
Nov 3","Men's UA Velociti 3 Running Shoes

$130.00
https://bit.ly/47dNenA
@benbestdeals
 follows back everyone!!!

Gaza City Donald Trump Jr. Beatles Salon Tommy Tuberville Campaign
Big Ten Steelers -3 North Djokovic Venmo Yacht Erik Monica
La Meme",,,1,,['https://pbs.twimg.com/ext_tw_video_thumb/1720228256035549184/pu/img/Y0Fxhb3ZeBxH_-Vi.jpg'],https://twitter.com/BenBestDeals/status/1720229002231644230
