UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Gertrudes Larkin,@GertrudesLarkin,2023-11-01T22:23:03.000Z,"Gertrudes Larkin
@GertrudesLarkin
·
Nov 2","This is the #GOP 
This is what they represent. Don't ever forget that the first reaction from the party is punative. Anger, punish, blame, attack. No leadership, nothing productive. 
@SteveScalise
 #SteveScalise #gopindisarray 
@BillCassidy
 @SenBillCassidy
 #SenCassidy",,,2,1,[],https://twitter.com/GertrudesLarkin/status/1719842514365009994
"Bill Cassidy, M.D.",@BillCassidy,2023-11-01T20:13:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 2","The Chinese Communist Party, Russia, and Iran are all on the same team. They all seek to harm America.",,5,5,4,[],https://twitter.com/BillCassidy/status/1719809786236051506
"Bill Cassidy, M.D.",@BillCassidy,2023-11-01T17:22:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 2","Jewish students have a right to be safe on college campuses, and it’s our job in Congress to act when they are not.",,3,6,6,[],https://twitter.com/BillCassidy/status/1719766755579474051
"Bill Cassidy, M.D.",@BillCassidy,2023-11-01T13:54:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 1","Fact is, securing America against terrorists threats begins with securing the southern border. https://buff.ly/3tZdvYv",,4,8,3,[],https://twitter.com/BillCassidy/status/1719714408371232896
Matthew Kavanagh,@MMKavanagh,2023-11-01T13:33:24.000Z,"Matthew Kavanagh
@MMKavanagh
·
Nov 1","Sen 
@BillCassidy
 says he’s very worried about the social determinants of health driving #HIV and low viral suppression among people who use drugs in the US. 
#PostLive",,,,2,[],https://twitter.com/MMKavanagh/status/1719709222978408479
Deplorable Taz,@moose_taz,2023-11-01T10:52:21.000Z,"Deplorable Taz
@moose_taz
·
Nov 1","CRIMINAL 
@georgesoros
 FUNDING LIBERAL DA CANDIDATES  BLM ANITFA PRO HAMAS PROTEST WHEN WILL 
@HouseGOP
 @SenateGOP
 EXCLUDING 
@LeaderMcConnell
 @MittRomney
 @SenJohnThune
 @BillCassidy
 @joniernst
 WAKE UP AND ADDRESS THIS CRIMINAL",🚨 🚨 🚨 🚨,,,,[],https://twitter.com/moose_taz/status/1719668695411097707
BD peoples Voice,@BDPeoplesVoice,2023-11-01T07:29:40.000Z,"BD peoples Voice
@BDPeoplesVoice
·
Nov 1","Miscreants escaped by setting fair to the bus in the capital.
@BillCassidy
 @SenatorCollins
 @JohnCornyn
 @SenTomCotton
 @SenKevinCramer",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719616344788959232/pu/img/j3sYQGIMkIpmsccV.jpg'],https://twitter.com/BDPeoplesVoice/status/1719617686475542934
Andrea Gallo,@aegallo,2023-11-02T21:30:57.000Z,"Andrea Gallo
@aegallo
·
Nov 3","""For millions of Americans, Medicaid is an illusion. It is the appearance of coverage — without the power of access.” -
@BillCassidy
 wrote these words in 2010, in a 
@politico
 op-ed. 
Despite Medicaid expansion and 13 years, some say not much has changed:",,2,,1,[],https://twitter.com/aegallo/status/1720191793541615904
Xan Fishman,@XanFishman,2023-11-02T20:51:15.000Z,"Xan Fishman
@XanFishman
·
Nov 3","More momentum in the Climate-Trade space.  Very happy to see 
@BillCassidy
 's thought leadership in this space.  Bipartisan progress is possible here.",,,3,24,[],https://twitter.com/XanFishman/status/1720181802441068569
Bipartisan Policy Center Action,@BPCAction,2023-11-02T20:42:20.000Z,"Bipartisan Policy Center Action
@BPCAction
·
Nov 3",".
@BPCAction
 applauds 
@BillCassidy
 @LindseyGrahamSC
 @SenatorWicker
 for their Foreign Pollution Fee Act, which would link climate and trade policy to reward U.S. industry for clean production and reduce global emissions. +",,1,,2,[],https://twitter.com/BPCAction/status/1720179555539865787
Sierra Club,@SierraClub,2023-11-02T18:13:07.000Z,"Sierra Club
@SierraClub
·
Nov 3","We commend Sen. 
@BillCassidy
's new bill for placing a fee on imports of polluting products.

""This bill would benefit US manufacturers & ensure that bigger polluters elsewhere in the world do not undercut domestic producers."" - 
@harry_manin
https://sierraclub.org/press-releases/2023/11/senate-republican-s-bill-would-place-fee-imports-polluting-products…",,1,8,11,[],https://twitter.com/SierraClub/status/1720142007459631425
Carlos Curbelo,@carloslcurbelo,2023-11-03T22:49:46.000Z,"Carlos Curbelo
@carloslcurbelo
·
Nov 4",".
@BillCassidy
 gets it.  America's is one of the cleanest developed economies in the world. A foreign pollution fee would export our environmental standards, give American industry an edge & hold foreign polluters accountable. https://politico.com/news/2023/11/02/senate-gop-climate-bill-china-00124909…
Via 
@SiegelScribe
 @politico",,1,,14,[],https://twitter.com/carloslcurbelo/status/1720574016191435207
JAUnderwood142,@underwood142,2023-11-03T18:11:37.000Z,"JAUnderwood142
@underwood142
·
Nov 4","Note on the 4th chart.... 
@SenatorCollins
 @lisamurkowski
 and 
@BillCassidy
 all voted to convict Trump. This is how they were rewarded for selling their vote. 
@LeaderMcConnell
 paid them from the Senate PAC. They were bought then and are bought on most votes.",,,,,[],https://twitter.com/underwood142/status/1720504014427636163
The Middle of the Truth,@Middle_of_Truth,2023-11-03T14:29:41.000Z,"The Middle of the Truth
@Middle_of_Truth
·
Nov 3","FACT CHECK time, because the GOP hands aren't clean of SamBank's money.
(Either from PAC or direct donations sometimes maxed out) This is what I found so far...
@JohnBoozman
 @KatieBrittforAL
 @SenLummis
 @SenGillibrand
 @SenJohnHoeven
 @BillCassidy
 @BurrForSenate
 @lisamurkowski
…
Show more",,,,,[],https://twitter.com/Middle_of_Truth/status/1720448165441057263
"Bill Cassidy, M.D.",@BillCassidy,2023-11-03T15:15:07.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 3","Securing the border means:

 Halting the Flow of Fentanyl
 Stopping Human Traffickers 
 Protecting American Families

None of this should be controversial…",➡ ➡ ➡,4,7,7,[],https://twitter.com/BillCassidy/status/1720459598346235946
Barbara Hoffmann,@BarbaraHoff52,2023-11-04T17:43:52.000Z,"Barbara Hoffmann
@BarbaraHoff52
·
Nov 5","This is a MUST read. 
@SpeakerJohnson
 comes from a State with a corrupted court system.  Sure he doesn't care at all.  
@SenJohnKennedy
  & 
@BillCassidy
 don't care either. Remember 
@BillCassidy
 doesn't care about the high maternal deaths in Louisiana because most are black women.",,,,,[],https://twitter.com/BarbaraHoff52/status/1720859419196493936
,@NeilZ4EVA1234U,2023-11-05T14:08:04.000Z,"@NeilZ4EVA1234U
·
Nov 5","can u trust these terrorists?? USA must wake up!!!,
@SenJohnBarrasso
 ,
@MarshaBlackburn
 ,
@JohnBoozman
 ,
@SenatorBraun
 ,
@SenTedBuddNC
 ,
@SenCapito
 ,
@BillCassidy
 so the sniffing helped????",🤖,1,,5,[],https://twitter.com/NeilZ4EVA1234U/status/1721167501168451821
Rajneeti - রাজনীতি,@RajneetiBD,2023-11-05T08:31:33.000Z,"Rajneeti - রাজনীতি
@RajneetiBD
·
Nov 5","Three Buses torched in Dhaka before BNP -jamat's 48-hour nationwide blockade

#Politics  #Nationalism #FireTerror  #Tareque #Zia #Power #Attack #Police #bnp  #political #Bangladesh  
@BillCassidy
 @SenatorCollins
 @JohnCornyn
 @SenKevinCramer
 @MikeCrapo",,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1721081992773832704/pu/img/idjYIENSJs6X08xk.jpg'],https://twitter.com/RajneetiBD/status/1721082811623633249
"Bill Cassidy, M.D.",@BillCassidy,2023-11-06T20:42:00.000Z,"Bill Cassidy, M.D.
@BillCassidy
·
Nov 7",We should not let radical climate groups halt American energy projects with a barrage of frivolous lawsuits. We wrote a bill to stop it. https://buff.ly/3SxKugH,,2,9,4,[],https://twitter.com/BillCassidy/status/1721629024533803124
Areendam Chanda,@areendam_c,2023-11-06T19:56:09.000Z,"Areendam Chanda
@areendam_c
·
Nov 7","Glad #DaylightSavingTime has ended. School kids in Baton Rouge don't have to be dropped off in  the dark during winter. 
@ebrpschools
 @RepGarretGraves
 @BillCassidy
   #lalege",,,,,[],https://twitter.com/areendam_c/status/1721617486280532406
