UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Saba Shiferaw (Abiy Ahmed Ali will lead ),@Sabi92409431,2023-11-10T23:49:52.000Z,"Saba Shiferaw (Abiy Ahmed Ali will lead )
@Sabi92409431
·
Nov 11","Ethiopia hopes for open and receptive engagement from its coastal neighbors to find a peaceful and mutually advantageous solution. #RedSea #AccessToTheSea #PretoriaPeaceAgreement 
@WorldResources
 @MikeHammerUSA
 @Reuters
 @ChrisCoons
 @bpolitics",🛡,,7,4,['https://pbs.twimg.com/ext_tw_video_thumb/1713918702893068288/pu/img/1J2swf2z2T-qmybS.jpg'],https://twitter.com/Sabi92409431/status/1723125853230424151
Saba Shiferaw (Abiy Ahmed Ali will lead ),@Sabi92409431,2023-11-10T23:48:54.000Z,"Saba Shiferaw (Abiy Ahmed Ali will lead )
@Sabi92409431
·
Nov 11","The landlocked status of Ethiopia has hindered its economic development and security. It's time to find a solution to ensure Ethiopia's growth and stability. #RedSea #AccessToTheSea #PretoriaPeaceAgreement 
@Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica",,,1,1,[],https://twitter.com/Sabi92409431/status/1723125610946441396
Saba Shiferaw (Abiy Ahmed Ali will lead ),@Sabi92409431,2023-11-10T23:47:49.000Z,"Saba Shiferaw (Abiy Ahmed Ali will lead )
@Sabi92409431
·
Nov 11","Let's remember the futility of resorting to force to impose a political agenda and work towards establishing a culture of peace in Ethiopia. #AccessToTheSea #PretoriaPeaceAgreement 
@MikeHammerUSA
 @ChrisCoons
 @bpolitics
 @BBCAfrica
 @HouseForeign",,,1,1,[],https://twitter.com/Sabi92409431/status/1723125339566575796
Saba Shiferaw (Abiy Ahmed Ali will lead ),@Sabi92409431,2023-11-10T23:47:38.000Z,"Saba Shiferaw (Abiy Ahmed Ali will lead )
@Sabi92409431
·
Nov 11","All stakeholders must demonstrate unwavering commitment to implementing the provisions outlined in the Peace Agreement, particularly regarding transitional justice policy. #AccessToTheSea #PretoriaPeaceAgreement 
@MikeHammerUSA
 @ChrisCoons",,1,1,2,[],https://twitter.com/Sabi92409431/status/1723125293454393823
Saba Shiferaw (Abiy Ahmed Ali will lead ),@Sabi92409431,2023-11-10T23:46:58.000Z,"Saba Shiferaw (Abiy Ahmed Ali will lead )
@Sabi92409431
·
Nov 11","The Government's determination to implement the Peace Agreement and build trust is essential for consolidating peace in Ethiopia. #AccessToTheSea #PretoriaPeaceAgreement 
@MikeHammerUSA
 @Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica
 @HouseForeign
 @CNNAfrica",,,1,1,[],https://twitter.com/Sabi92409431/status/1723125125577330732
Sol,@forwardarc,2023-11-11T22:23:09.000Z,"Sol
@forwardarc
·
Nov 12","Not just Europe, US also calls apartheid Israel “the only democracy in the Middle East” with a straight face. Outrageous!
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @JakeSullivan46",,,4,6,['https://pbs.twimg.com/ext_tw_video_thumb/1723300883532767232/pu/img/q7ylvn_A9IDts30L.jpg'],https://twitter.com/forwardarc/status/1723466420963651837
Engineer Sol,@etageti,2023-11-11T21:53:53.000Z,"Engineer Sol
@etageti
·
Nov 12","The landlocked status of Ethiopia has hindered its economic development and security. It's time to find a solution to ensure Ethiopia's growth and stability. 
#EDRPP
#RedSea #AccessToTheSea #PretoriaPeaceAgreement 
@Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica",,,,,[],https://twitter.com/etageti/status/1723459054364717193
Senator Chris Coons,@ChrisCoons,2023-11-11T21:20:01.000Z,"Senator Chris Coons
@ChrisCoons
·
Nov 12","As we celebrate Veterans Day, make sure to set aside time to honor those who have kept our country safe. The brave men and women I meet at the annual Veterans Memorial Park service in New Castle always leave me inspired and thankful.",,78,15,43,[],https://twitter.com/ChrisCoons/status/1723450531648049346
Student Defense,@studentlegalnet,2023-11-11T20:43:14.000Z,"Student Defense
@studentlegalnet
·
Nov 12","In 2021, 
@usedgov
 granted a Section 553(e) petition we filed with 
@justiceinaging
 and 
@DECLASI
, supported by 
@ChrisCoons
 and 
@robportman
, to automate discharges to borrowers with disabilities. 

Now, $11.7 billion has been cancelled for 513,000 people.",,,2,5,[],https://twitter.com/studentlegalnet/status/1723441275385282967
Julie,@lisaisme85,2023-11-11T20:42:34.000Z,"Julie
@lisaisme85
·
Nov 12","A RACIST DE white guy closed Burger King due to a customer wanting service  or a refund.
@BarackObama
@ChrisCoons
@JoeBiden
@GovernorShapiro
@WhiteHouse
@JohnCarneyDE
 #JoeBiden 
@BurgerKing
BURGER KING?
Show more",,,1,,[],https://twitter.com/lisaisme85/status/1723441108024217848
Sol,@forwardarc,2023-11-12T21:44:07.000Z,"Sol
@forwardarc
·
Nov 13","Most Americans want a ceasefire. But most US politicians support Israel’s indiscriminate bombing.
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @JakeSullivan46",,,2,,[],https://twitter.com/forwardarc/status/1723818985114755306
Engineer Sol,@etageti,2023-11-12T21:13:51.000Z,"Engineer Sol
@etageti
·
Nov 13","The landlocked status of Ethiopia has hindered its economic development and security. It's time to find a solution to ensure Ethiopia's growth and stability. 
#EDRPP
#RedSea #AccessToTheSea #PretoriaPeaceAgreement 
@Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica",,,,1,[],https://twitter.com/etageti/status/1723811367876980920
B.Mebratu,@addistwitte16,2023-11-12T21:12:34.000Z,"B.Mebratu
@addistwitte16
·
Nov 13","The landlocked status of Ethiopia has hindered its economic development and security. It's time to find a solution to ensure Ethiopia's growth and stability. #RedSea #AccessToTheSea #PretoriaPeaceAgreement 
@Reuters
 @ChrisCoons
 @bpolitics
 @BBCAfrica",,,,,[],https://twitter.com/addistwitte16/status/1723811045653791190
Council for Innovation Promotion,@Council4IP,2023-11-12T21:03:00.000Z,"Council for Innovation Promotion
@Council4IP
·
Nov 13","""Experience with the PTAB has shown some inadvertent gaps that could benefit from statutory guidance and regularization. The same is true for certain important court decisions.""    

More from our recent letter to Sen. 
@ChrisCoons
 and 
@SenThomTillis
: https://buff.ly/3StOM8Q",👏 👏 👏,,,,[],https://twitter.com/Council4IP/status/1723808636865061184
Abel Shukur,@AbelEthiopiaWi,2023-11-12T20:41:48.000Z,"Abel Shukur
@AbelEthiopiaWi
·
Nov 13","Let's remember the futility of resorting to force to impose a political agenda and work towards establishing a culture of peace in Ethiopia. #AccessToTheSea #PretoriaPeaceAgreement 
@MikeHammerUSA
 @ChrisCoons
 @bpolitics
 @BBCAfrica
 @HouseForeign",,,,,[],https://twitter.com/AbelEthiopiaWi/status/1723803299827126565
DeepFake Dissident,@inovajon,2023-11-13T23:57:29.000Z,"DeepFake Dissident
@inovajon
·
Nov 14","I’m so sorry to bother you 
@ChrisCoons
 but since 137 children a day are being slaughtered in Gaza, I feel I must ask you to call for a #CeasefireNOW.

#SoSorryToBotherYou.",,15,125,201,['https://pbs.twimg.com/ext_tw_video_thumb/1724214866074800128/pu/img/4AK1xywfm4Yc0NOd.jpg'],https://twitter.com/inovajon/status/1724214936077840868
Kathy Murphy,@kathyhmurphy,2023-11-13T23:53:18.000Z,"Kathy Murphy
@kathyhmurphy
·
Nov 14","""This is a quiet car."" Tell that to the children screaming for their mothers. Shame on you 
@ChrisCoons",,,,,['https://pbs.twimg.com/amplify_video_thumb/1724134267804934144/img/3a3l7H60iFcGRR9C.jpg'],https://twitter.com/kathyhmurphy/status/1724213881885610222
The Anti Zionist,@babylonianbae,2023-11-13T23:51:53.000Z,"The Anti Zionist
@babylonianbae
·
Nov 14","Sen. 
@ChrisCoons
 couldn’t give a shit what happens to innocent civilians. No backbone.. not in touch with his people.",,,,,['https://pbs.twimg.com/amplify_video_thumb/1724134267804934144/img/3a3l7H60iFcGRR9C.jpg'],https://twitter.com/babylonianbae/status/1724213526468719006
Adam Weissmann,@adamweissmann,2023-11-13T23:50:59.000Z,"Adam Weissmann
@adamweissmann
·
Nov 14","Kudos to 
@ChrisCoons
 for his calm demeanor, his steadfast refusal to give this joker a platform, and his unyielding defense of justice and truth. He’s a credit to two of America’s most venerable institutions: the U.S. Senate & the Amtrak Quiet Car. Proud to be a Coons alum!",,,,1,['https://pbs.twimg.com/amplify_video_thumb/1724134267804934144/img/3a3l7H60iFcGRR9C.jpg'],https://twitter.com/adamweissmann/status/1724213297237414130
Caitlin,@csommerville1,2023-11-13T23:50:11.000Z,"Caitlin
@csommerville1
·
Nov 14","Expel 
@ChrisCoons
 from Congress.",,,,,['https://pbs.twimg.com/amplify_video_thumb/1724134267804934144/img/3a3l7H60iFcGRR9C.jpg'],https://twitter.com/csommerville1/status/1724213097580085493
A Omar Turbi (Fathi),@omarturbi,2023-11-14T23:52:06.000Z,"A Omar Turbi (Fathi)
@omarturbi
·
Nov 15
·","Senator Chris Coons 
@SenCoonsOffice
  @ChrisCoons
 found himself setting next to a journalist on Amtrack seemed scared of AIPAC wouldn’t respond when asked about #genocideingaza",,,,1,['https://pbs.twimg.com/amplify_video_thumb/1724574483590283264/img/3omU857Nb1Vkv65G.jpg'],https://twitter.com/omarturbi/status/1724575966507459070
