UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Chris Murphy,@ChrisMurphyCT,2023-11-01T23:32:27.000Z,"Chris Murphy
@ChrisMurphyCT
·
Nov 2","Speaker Mike Johnson's Israel aid bill is a non-starter in the Senate and he knows it. 

Let me tell you why.",🟧,168,243,934,[],https://twitter.com/ChrisMurphyCT/status/1719859979165811011
Chris Murphy,@ChrisMurphyCT,2023-11-01T23:27:18.000Z,"Chris Murphy
@ChrisMurphyCT
·
Nov 2","THIS

is the power of unions.",🟧,244,537,3K,['https://pbs.twimg.com/profile_images/1729294932181921792/lI2kq2Ey_normal.jpg'],https://twitter.com/ChrisMurphyCT/status/1719858684409393457
Shut Up & Swallow,@yogagirlmab,2023-11-01T23:26:42.000Z,"Shut Up & Swallow
@yogagirlmab
·
Nov 2","Lololol 
@ChrisMurphyCT
 who has aspirations of a POTUS run..... doesn't have the balls to be a leader when the shit hits the fan. 

Genocide.
He is allowing a genocide to occur. His political goals are higher than his personal morals.

I wonder if his kids know the truth....",,,,1,[],https://twitter.com/yogagirlmab/status/1719858534710456410
Chris Murphy,@ChrisMurphyCT,2023-11-01T23:26:28.000Z,"Chris Murphy
@ChrisMurphyCT
·
Nov 2","61% of adult Americans say that having close friends is essential to a fulfilling life. But more and more Americans report having less close friends than ever before.

We need to be more deliberate about building social connection.",🟧,55,36,193,['https://pbs.twimg.com/card_img/1729995104000114688/4hJOwmcg?format=jpg&name=900x900'],https://twitter.com/ChrisMurphyCT/status/1719858476510318898
AnonSig,@anon_sig,2023-11-01T23:24:36.000Z,"AnonSig
@anon_sig
·
Nov 2","I wonder if CT politicians 
@ChrisMurphyCT
 @SenBlumenthal
 @RepJahanaHayes
 @jahimes
 @JohnLarsonCT
 @rosadelauro
 have benefited too? Why else would they be covering for 
@JoeBiden
 ?",,4,11,20,"['https://pbs.twimg.com/profile_images/1642617740954415105/0oSeEPeP_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719775030580580352/pu/img/WpKOmUZjvcfJIwu_.jpg']",https://twitter.com/anon_sig/status/1719858004865016062
Christina,@freedomchoice12,2023-11-01T23:20:47.000Z,"Christina
@freedomchoice12
·
Nov 2","Huge news CT!!! 
@SenBlumenthal
 mishandled ballots. Yup Happens. This November election should not happen til this is fixed!! Only paper!!! And needs to happen immediately to not postpone 
@GovNedLamont
 @ChrisMurphyCT
 @sampsonforct
 @CTGOP
 @CTLibertyRally
 @ctltribune
 @ctexaminer",,,,,['https://pbs.twimg.com/profile_images/1125499300669198336/MTFTYfnV_normal.jpg'],https://twitter.com/freedomchoice12/status/1719857045896114516
Brian Merlen,@votemerlen,2023-11-01T22:39:41.000Z,"Brian Merlen
@votemerlen
·
Nov 2","I was gonna start joking about regime change but thought everyone would just get mad at me tbh  
@SenBlumenthal
 @ChrisMurphyCT
 @POTUS",😂 🤣 🚨,2,,1,"['https://pbs.twimg.com/profile_images/1670905743619268609/pYItlWat_normal.jpg', 'https://pbs.twimg.com/profile_images/1604820824720039936/hxuj0_hE_bigger.jpg', 'https://pbs.twimg.com/media/F94ZjnQXgAAONpk?format=jpg&name=900x900']",https://twitter.com/votemerlen/status/1719846699521224945
National Ocean Protection Coalition,@OceanCoalition,2023-11-01T21:31:17.000Z,"National Ocean Protection Coalition
@OceanCoalition
·
Nov 2","THANK YOU 
@SenBlumenthal
 @ChrisMurphyCT
 @RepJoeCourtney
 @rosadelauro
 @RepJahanaHayes
 @jahimes
 @RepJohnLarson
 for supporting the Northeast Canyons & Seamounts Marine National Monument! A strong management plan safeguards biodiversity & advances our national goal to #protect30x30.",,,2,4,['https://pbs.twimg.com/media/F94Pk_hWwAAumBE?format=jpg&name=900x900'],https://twitter.com/OceanCoalition/status/1719829486085046285
Brian Merlen,@votemerlen,2023-11-01T21:13:34.000Z,"Brian Merlen
@votemerlen
·
Nov 2","“War is organized murder, and nothing else.”

-Harry Patch
@SenBlumenthal
 @ChrisMurphyCT",,,,,[],https://twitter.com/votemerlen/status/1719825027535675808
Brian Merlen,@votemerlen,2023-11-01T21:12:38.000Z,"Brian Merlen
@votemerlen
·
Nov 2","“Sometime they'll give a war and nobody will come.”

-Carl Sandburg
@POTUS
 @SenBlumenthal
 @ChrisMurphyCT
  That day is today!",,,,,"['https://pbs.twimg.com/profile_images/1306249788736897024/YqnYTNd0_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1718582541379162112/pu/img/TmRC8Vbm33fBP-AG.jpg']",https://twitter.com/votemerlen/status/1719824793443111341
