UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Duane Davis,@shortman_9,2023-11-01T23:40:54.000Z,"Duane Davis
@shortman_9
·
Nov 2","FCC Violations 2-7-2011 Baltimore Brew Fern Shen School to Prison Pipeli... https://youtu.be/M6I44dMjNaA?si=nA6-wjcFovvSZFS3…  
@washingtonpost
 @marcsteiner
 @MarkGunnery
 @BaltimoreBrew
 @FCC
 @BrendanCarrFCC
  @NAACP_LDF
 @KobiLittle
 @MayorBMScott
 @GovWesMoore
 @ivanjbates
 @kayewhitehead
 @ChrisVanHollen
 @wjz
 ok",,,,,[],https://twitter.com/shortman_9/status/1719862107473162662
Senator Chris Van Hollen,@ChrisVanHollen,2023-11-01T21:41:22.000Z,"Senator Chris Van Hollen
@ChrisVanHollen
·
Nov 2","It's November 1, which means Open Enrollment for those on ACA health care plans starts today! Visit http://HealthCare.gov to pick a health insurance plan or renew your coverage by January 15.

Don't wait until the last minute — #GetCovered today!",🚨,25,3,12,['https://pbs.twimg.com/media/F94Rz7IX0AAGYSN?format=jpg&name=900x900'],https://twitter.com/ChrisVanHollen/status/1719832025178247353
Wajeeh Gay Lion وجيه المثلي الأسد,@WajeehLionn,2023-11-01T20:39:21.000Z,"Wajeeh Gay Lion وجيه المثلي الأسد
@WajeehLionn
·
Nov 2","Two senators confirmed that talks are underway to establish a multinational force in #Gaza after #Israel uproots #Hamas, the clearest sign yet that the #UnitedStates and its partners are seriously considering deploying foreign forces in the Strip.

 Senators 
@ChrisVanHollen
…
Show more",,,2,2,[],https://twitter.com/WajeehLionn/status/1719816417489338754
Shalom Lipner,@ShalomLipner,2023-11-01T20:38:55.000Z,"Shalom Lipner
@ShalomLipner
·
Nov 2","""
@ChrisVanHollen
 & 
@SenBlumenthal
 told 
@politico
 that there’s early, closed-door diplomacy over establishing a peacekeeping force in Gaza, though it was not likely to include American troops.""
@reporterjoe
, 
@alexbward
, 
@nahaltoosi",,,1,1,['https://pbs.twimg.com/card_img/1728396838859083777/mi08SkPg?format=jpg&name=900x900'],https://twitter.com/ShalomLipner/status/1719816311394492502
•RÊBER,@yekinynprstngel,2023-11-01T19:40:15.000Z,"•RÊBER
@yekinynprstngel
·
Nov 2","#BREAKING_NEWS 

 #ISIS flags were unfurled at the march in support of #Hamas in Antep\Turkey

 
@brett_mcgurk
 @FrankPallone
 @ChrisVanHollen
 @POTUS
@CENTCOM
 @CJTFOIR
 @nadinemaenza
 Show more",🔴,,4,,['https://pbs.twimg.com/ext_tw_video_thumb/1719792737388511232/pu/img/X9xD3SA0fFUK8ATD.jpg'],https://twitter.com/yekinynprstngel/status/1719801545527534075
Hussain Abdul-Hussain,@hahussain,2023-11-01T19:15:11.000Z,"Hussain Abdul-Hussain
@hahussain
·
Nov 2","Hat tip to 
@RitchieTorres
’s clear eyed, principled position on #Israel against Islamist terrorist #Hamas. He restores my faith in Dem Party, makes me question why our MD Sen 
@ChrisVanHollen
 and Sen 
@Chris
 MurphyCT are so tolerant of, at times biased to, #Iran regime + militias.",,3,17,175,[],https://twitter.com/hahussain/status/1719795237504110813
Kurds in Global Politics,@hadi_elis,2023-11-01T18:50:21.000Z,"Kurds in Global Politics
@hadi_elis
·
Nov 2","No Ankara ? 
Sorry Caliph is already there 
@SecBlinken
 @SFRCdems
 @SenatorCardin
 @ChrisVanHollen
 @FrankPallone
 @RepMikeTurner
 @timkaine
 @MarkWarner
 @RepSaraJacobs
 @SenJeffMerkley
 @RepMcCaul
 @ChrisCoons
 @SenBrianSchatz
 
@RepGregoryMeeks
 @USAmbNATO",,,,,"['https://pbs.twimg.com/media/F93q99jWAAETY3o?format=jpg&name=small', 'https://pbs.twimg.com/media/F93q99jWoAAySVk?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/907250051524825088/qqWuld87_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719559671323758592/pu/img/mXnsIgeu4zEwWJdf?format=jpg&name=240x240']",https://twitter.com/hadi_elis/status/1719788986300772384
Republicans Love Mass Murder,@StarfireCity,2023-11-01T18:30:41.000Z,"Republicans Love Mass Murder
@StarfireCity
·
Nov 2","Co-sign 
@SenatorCardin
 @RepDavidTrone
 @ChrisVanHollen
 This seems too dangerous to not have a way around it. Can’t we name “acting” positions like Trump did? We need people working in these positions now.",,,,,['https://pbs.twimg.com/profile_images/1060037680409456640/3X9CewKN_normal.jpg'],https://twitter.com/StarfireCity/status/1719784039110902209
"Jennifer J. Monteith, D.M.",@JJMonteith,2023-11-01T18:07:31.000Z,"Jennifer J. Monteith, D.M.
@JJMonteith
·
Nov 2",".
@SenSchumer
 @DickDurbin
 @MarkWarner
  @SenatorCardin
 @ChrisVanHollen
  Senator Bob Menendez (under indictment for acting as a foreign agent) should not be receiving/participating in any classified briefings. Expel him now #Ethics",,,,,[],https://twitter.com/JJMonteith/status/1719778209628053724
Sol,@forwardarc,2023-11-01T17:41:59.000Z,"Sol
@forwardarc
·
Nov 2","Why is US perfectly fine with Israeli settler violence , ethnic cleansing, & land grabs?  
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @SecDef
 @USUN",,2,5,6,['https://pbs.twimg.com/profile_images/759478721808068608/F5s3fgyl_normal.jpg'],https://twitter.com/forwardarc/status/1719771782582771769
max100ae,@max100ae,2023-11-01T16:55:30.000Z,"max100ae
@max100ae
·
Nov 2","KNOW THEIR NAMES: Palestinians killed in Israeli attacks on Gaza https://aje.io/mop9ke via 
@AJEnglish
 @SenSanders
 @aoc
 @RepMarkPocan
 @RepChuyGarcia
 @ilhan
 @JamaalBowmanNY
 @SenMarkey
 @ChrisVanHollen
 @RepThomasMassie
 @summer",,,,,['https://pbs.twimg.com/card_img/1729845717982924800/yVoKXPIS?format=png&name=900x900'],https://twitter.com/max100ae/status/1719760085239406772
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:13:53.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@ChrisVanHollen
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1719749610120360357
Peace Action Montgomery,@PeaceActionMon1,2023-11-01T15:29:35.000Z,"Peace Action Montgomery
@PeaceActionMon1
·
Nov 1","Republican Congressman 
@RepThomasMassie
 announced he won't support AIPAC's request for additional funds to send more weaponry to Israel.  
@RepRaskin
 @ChrisVanHollen
 @SenatorCardin
  @RepDavidTrone
 will you take a similar stand? #mdpolitics #CeasefireNOW",,,,,['https://pbs.twimg.com/profile_images/1642289348602150914/PiHxa9pP_normal.jpg'],https://twitter.com/PeaceActionMon1/status/1719738462704722099
Albert Bruck,@albertbruck44,2023-11-01T15:26:35.000Z,"Albert Bruck
@albertbruck44
·
Nov 1",".
@ChrisVanHollen
 @SenatorCardin
 We need the HCBS Relief Act NOW for people with disabilities, their families, and the direct care workforce! #CareCantWait",,,,2,[],https://twitter.com/albertbruck44/status/1719737706295464308
Mike Kevrekidis,@Makis_Kevrekidi,2023-11-01T04:51:08.000Z,"Mike Kevrekidis
@Makis_Kevrekidi
·
Nov 1","Once again, Turkey refuses inspection on its ships when entering Libyan harbors. Libya is under a UN arms embargo. #NoJetsForTurkey 
@SenatorCardin
 @senateForeign
 @HouseForeign
    @HouseForeignGOP
 @SenateDems
 @ChrisVanHollen
  @RepGregoryMeeks
 @SenatorRisch
 @marcorubio
 @MittRomney",,1,8,22,['https://pbs.twimg.com/profile_images/1245065360140886017/vHLiG68Y_normal.jpg'],https://twitter.com/Makis_Kevrekidi/status/1719577790020747643
Levent Baştürk,@leventbasturk26,2023-11-01T04:35:39.000Z,"Levent Baştürk
@leventbasturk26
·
Nov 1","Senatör 
@ChrisVanHollen
'ın Blinken ve Austin'e İsrail hakkındaki sorusunu izleyin: ""Şu ana kadar Gazzede öldürülen çocukların sayısı, tüm Ukrayna savaşında öldürülen çocukların sayısından 6 kat daha fazla. Bunu ABD nüfusuna göre ölçeklendirirseniz, kayıp 240 bini bulur.""",,,5,17,['https://pbs.twimg.com/profile_images/1285628914648395779/QgBLb8jv_normal.jpg'],https://twitter.com/leventbasturk26/status/1719573894347006243
