UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,['https://pbs.twimg.com/profile_images/1712221322175021056/w4GlKY4Q_mini.jpg'],https://twitter.com/JennyMcMas8060/status/1719857717395808569
DMB for US Congress TX-16 House of Representatives,@DmbFor,2023-11-01T23:17:22.000Z,"DMB for US Congress TX-16 House of Representatives
@DmbFor
·
Nov 2","VA Whistleblowers Continue to Face Extreme Rates of Retaliation, Report Confirms 
@StopFraud
 @WhistleP2P
 @USGAO
 @ChuckGrassley",,,1,1,['https://pbs.twimg.com/card_img/1728361272997982208/IDS5U133?format=jpg&name=240x240'],https://twitter.com/DmbFor/status/1719856186856501359
Sen. Grassley Press,@GrassleyPress,2023-11-01T21:57:36.000Z,"Sen. Grassley Press
@GrassleyPress
·
Nov 2","#ICYMI: ""We want the FBI to show us their work!"" 

-Senator 
@ChuckGrassley
 on 
@FoxBusiness",,1,5,5,['https://pbs.twimg.com/ext_tw_video_thumb/1719834474249158656/pu/img/HOWxFJG6S1zWtdUa.jpg'],https://twitter.com/GrassleyPress/status/1719836111776739394
SL,@bcElonIsHere,2023-11-01T21:38:33.000Z,"SL
@bcElonIsHere
·
Nov 2","What’s wrong with this picture?  How can Iowa join the new industrial era and establish battery plants and EV assembly?
@IAGovernor
 @EricForIowa
 @MDonahueforIA
 @RepAshleyHinson
 @SenJoniErnst
 @ChuckGrassley
 
…and Sell EV directly to consumers instead of costly dealers?",,,1,,['https://pbs.twimg.com/media/F94Rd9zWMAAj0BM?format=jpg&name=small'],https://twitter.com/bcElonIsHere/status/1719831317704052972
Wesley C. Brauer,@brauer_wesley,2023-11-01T21:38:21.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2"," @GOP
 
@SenRickScott
 @marcorubio
 
@mattgaetz
 @mtgreenee
 
@ChuckGrassley
 @SenTedCruz",🔥 🔥 🔥 🔥,,,,['https://pbs.twimg.com/media/F94RbJ6aQAA4DZ_?format=jpg&name=small'],https://twitter.com/brauer_wesley/status/1719831267607453865
Chuck Grassley,@ChuckGrassley,2023-11-01T21:34:11.000Z,"Chuck Grassley
@ChuckGrassley
·
Nov 2",Rural pharmacists have told me they might go w/o pay 2 keep staff employed & lights on during Medicare Part D reimbursement changes CMS cannot sit on the sidelines Conduct oversight of PBMs & protect rural pharmacies during these changes NO TIME TO WASTE,,38,43,138,[],https://twitter.com/ChuckGrassley/status/1719830216686608393
EpochTV,@EpochTV,2023-11-01T21:15:35.000Z,"EpochTV
@EpochTV
·
Nov 2","""Another week and another 
@POTUS
 scandal,"" says 
@HansMahncke
.  

""This time it was 
@ChuckGrassley
 turn to expose a giant scheme within the FBI and within the FBI’s parent organization—DOJ—to systemically cover up Biden family corruption.""",,6,28,67,"['https://pbs.twimg.com/profile_images/1637675020569780224/aGuAgBKe_bigger.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719824960095391744/pu/img/KXcM7ykX87xtfPMP.jpg']",https://twitter.com/EpochTV/status/1719825538502582507
"Scott Owen, Perpetual Browncoat",@drunkcynic,2023-11-01T19:34:16.000Z,"Scott Owen, Perpetual Browncoat
@drunkcynic
·
Nov 2","The Establishment prepares to attack 
@SenTuberville
 for withholding his consent and forcing Congress to actively vote on Military Appointees.
This adds to the reason's I will vote against 
@SenJoniErnst
 at the next opportunity.
So, 
@ChuckGrassley
, what is your position?",,,,,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/drunkcynic/status/1719800038019194916
Jeffrey Dexter Owen,@dylan_rand,2023-11-01T19:13:18.000Z,"Jeffrey Dexter Owen
@dylan_rand
·
Nov 2","c.c.
@tedcruz
 @ChuckGrassley
 @TTuberville",,,,,"['https://pbs.twimg.com/profile_images/1604615616194805760/EPAr0nN5_mini.jpg', 'https://pbs.twimg.com/media/F93DJ3aWQAAoLy_?format=jpg&name=small']",https://twitter.com/dylan_rand/status/1719794763405144217
RTNot Trump Unfiltered,@corockymtns,2023-11-01T18:23:35.000Z,"RTNot Trump Unfiltered
@corockymtns
·
Nov 2","No way Jack Lew is good...horrible, not a patriot of USA
Has ties to Iran 
@ChuckGrassley
 @SenateFloor
 @SenateGOP
 @RedState
@HawleyMO",🗽 👏,,,,['https://pbs.twimg.com/profile_images/1717966605903179776/scSx1uhK_mini.jpg'],https://twitter.com/corockymtns/status/1719782251662328279
Chuck Grassley,@ChuckGrassley,2023-11-01T17:53:52.000Z,"Chuck Grassley
@ChuckGrassley
·
Nov 2","Barbara met w Iowa Legislators to discuss removing barriers for breast cancer screenings & treatments. As a 36 yr breast cancer survivor Barbara is a longtime advocate for breast cancer awareness, screening + early detection",,26,21,243,['https://pbs.twimg.com/media/F93eCwBXsAAd9S5?format=jpg&name=small'],https://twitter.com/ChuckGrassley/status/1719774773419389328
