UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Deborah Pinson,@_chatterboxmama,2023-11-01T23:24:10.000Z,"Deborah Pinson
@_chatterboxmama
·
Nov 2","Like  China?
#ElizabethWarren #HamasislSIS #2AShallNotBeInfringed #terroristsinvadeUSborder #governmentcontrol #BorderCrisis #FJBisAbrainDeadPrez #DeportIllegalRefugees",,,,1,['https://pbs.twimg.com/media/F94po2oacAABMre?format=jpg&name=900x900'],https://twitter.com/_chatterboxmama/status/1719857894181724384
hans,@hanisferal,2023-11-01T23:12:43.000Z,"hans
@hanisferal
·
Nov 2",got my account suspended for telling elizabeth warren to meet her maker… and i’d do it again!,,3,5,6,['https://pbs.twimg.com/media/F94nBaOXgAAs8-q?format=jpg&name=900x900'],https://twitter.com/hanisferal/status/1719855015555145989
richkiddoss,@thearvianto,2023-11-01T23:04:08.000Z,"richkiddoss
@thearvianto
·
Nov 2","Yeah its shocking bernie sanders just like another mainstream democrats, also elizabeth warren",,,,,['https://pbs.twimg.com/profile_images/1267117596542930949/ja591xA4_normal.jpg'],https://twitter.com/thearvianto/status/1719852855228776654
Joshua Bonet,@RealJoshuaBonet,2023-11-01T23:02:28.000Z,"Joshua Bonet
@RealJoshuaBonet
·
Nov 2","Elizabeth Warren Wants to Criminalize Bitcoin Self-Custody | EP 858 https://youtube.com/live/BH7pXrtx3mk?si=t6igM5pWt7d6nHgt… via 
@YouTube",,,,,['https://pbs.twimg.com/card_img/1730266218622492672/h78aSJWH?format=jpg&name=360x360'],https://twitter.com/RealJoshuaBonet/status/1719852436230492547
lazlo tooth,@lazlototh67,2023-11-01T23:01:36.000Z,"lazlo tooth
@lazlototh67
·
Nov 2",Elizabeth Warren lies and lies and lies and spews implicit Jew hatred and still Reform Jews overwhelmingly support her.  I don't know how they can continue.,🥀 🟣,1,1,5,"['https://pbs.twimg.com/profile_images/484882513999826944/Ahd-eOW0_normal.jpeg', 'https://pbs.twimg.com/media/F9z3hHvWMAAGEHK?format=jpg&name=900x900']",https://twitter.com/lazlototh67/status/1719852215689437271
Iced Turtle,@marchalltso,2023-11-01T22:57:23.000Z,"Iced Turtle
@marchalltso
·
Nov 2","""Elizabeth Warren admits she wants to make it illegal to have self-custody of your crypto.""

It's like proposing to make it illegal to use keys to lock doors. 
@ewarren",,,,,[],https://twitter.com/marchalltso/status/1719851157663666410
No Subject,@knosubject,2023-11-01T22:54:31.000Z,"No Subject
@knosubject
·
Nov 2",Making a right pig’s ear of something…Elizabeth Warren MicroStrategy Don Jr $ROKU #RFKJr WeWork Hunter The Senate #BTC $PYPL Impeach Ivanka Zelensky ETH Out,,,,1,['https://pbs.twimg.com/media/F94i2C2XcAAvckr?format=jpg&name=900x900'],https://twitter.com/knosubject/status/1719850433714245767
SatoshiDon.eth,@tehcryptochad,2023-11-01T22:10:42.000Z,"SatoshiDon.eth
@tehcryptochad
·
Nov 2","Liz finally said it  ""Criminilize #Crypto Self Custody""  ... Well she has laid it out there whose side she is on (Not for the People )

#ElizabethWarren #USCongress #Bitcoin #SpeakerJohnson #SEC #Potus #FederalReserve #FOMC",😏 💯 ⚡,,,,"['https://pbs.twimg.com/profile_images/1532194001511714818/O8nSTKcx_normal.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1719501908920922112/pu/img/V1T3_NtR33hhF2TO.jpg']",https://twitter.com/tehcryptochad/status/1719839408851997109
"Isabella ""izzy""",@IsabelHal716,2023-11-01T22:07:35.000Z,"Isabella ""izzy""
@IsabelHal716
·
Nov 2",".Elizabeth Warren blew her cookies when she did the ""hand me a beer"" thing and PawPaw said she had high cheek Bones and must be #AmericanIndian. DNA said nope not even 00001. percent nada #Indian. OOPS. what nonsense she spews.",✝,,,1,['https://pbs.twimg.com/profile_images/1519873354437640193/GecAJ83Q_normal.jpg'],https://twitter.com/IsabelHal716/status/1719838625125265617
zach silberberg,@zachsilberberg,2023-11-01T21:51:29.000Z,"zach silberberg
@zachsilberberg
·
Nov 2",just remembered the elizabeth warren staffer holocaust tattoo thing. simpler times,,,3,48,[],https://twitter.com/zachsilberberg/status/1719834572286746675
Brian Figert,@BrianFigert,2023-11-01T21:33:09.000Z,"Brian Figert
@BrianFigert
·
Nov 2","John Kirby said in briefing today that Israel would allow Palestinians to go to Egypt and Egypt would allow Palestinians to enter Egypt but Hamas won't let them leave, how does this make it Israel's fault there are Palestinian casualties like CNN, Elizabeth Warren, and others say",,,,,[],https://twitter.com/BrianFigert/status/1719829957575135287
GANDALF,@BTCGandalf,2023-11-01T21:26:14.000Z,"GANDALF
@BTCGandalf
·
Nov 2","In her attempts to avoid being traced, Elizabeth Warren has adopted ever-more sophisticated detection avoidance technologies, such as hiding behind her aides.",,65,110,835,['https://pbs.twimg.com/ext_tw_video_thumb/1650119080953749506/pu/img/3UuRaSME7XBOxqkm.jpg'],https://twitter.com/BTCGandalf/status/1719828217643581918
🅹🅴🆈աrecκ ☭,@joeywreck,2023-11-01T21:26:03.000Z,"🅹🅴🆈աrecκ ☭
@joeywreck
·
Nov 2","This was Elizabeth Warren’s response to the IDF intentionally launching airstrikes on a refugee camp filled with civilians.

Are any of us safe if our leaders believe it’s genuinely okay to bomb entire cities to target one person, even an imaginary one?",🅾,3,47,115,['https://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg'],https://twitter.com/joeywreck/status/1719828170705195392
Rudy FunkMeyer,@rudyfunkmeyer,2023-11-01T21:20:10.000Z,"Rudy FunkMeyer
@rudyfunkmeyer
·
Nov 2",Paging Amy Klobuchar and Elizabeth Warren,,,,3,['https://pbs.twimg.com/profile_images/1620173626606764040/XLUyyYaM_normal.jpg'],https://twitter.com/rudyfunkmeyer/status/1719826689276903517
Karl Doemens,@Doppelgeist60,2023-11-01T21:18:50.000Z,"Karl Doemens
@Doppelgeist60
·
Nov 2","Auch im US-Senat wachsen die Sorgen über die Art der israelischen Anti-Hamas-Aktion. Vier linke SenatorInnen (darunter Bernie Sanders und Elizabeth Warren) verurteilen in Brief an Biden den „barbarischen“ Überfall der Hamas klar, äußern aber „Bedenken“ gegen Bodenoffensive.",,1,1,6,"['https://pbs.twimg.com/media/F94M8Z1WUAEk7BS?format=jpg&name=small', 'https://pbs.twimg.com/media/F94M8ZxW4AAgLRM?format=jpg&name=small', 'https://pbs.twimg.com/media/F94M8ZyWwAAHMYV?format=jpg&name=small']",https://twitter.com/Doppelgeist60/status/1719826352898277638
Rahim,@ykmoz_,2023-11-01T21:18:46.000Z,"Rahim
@ykmoz_
·
Nov 2",Elizabeth Warren and Bernie Sanders have really shown who they truly are. Shame in them and any legacy they ever had,,,,,[],https://twitter.com/ykmoz_/status/1719826337374810394
