UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Constitutionally concerned fed up californian,@UpInTheHills,2023-11-01T23:58:47.000Z,"Constitutionally concerned fed up californian
@UpInTheHills
·
Nov 2","How does this happen everyday on X by an AG? Tweeting about a case, condemning any person in the public square? How does she keep her job and her license? What the totalitarian hell?! 
@elonmusk
 @GOP
 @tedcruz
 @HouseGOP
 @SenateGOP
 @JudicialWatch
 @JudiciaryGOP
 @HawleyMO
 @nypost",,1,7,7,['https://pbs.twimg.com/profile_images/1190033746516480002/R5k2b7qT_normal.jpg'],https://twitter.com/UpInTheHills/status/1719866607277924492
Reginald,@cowanmolly,2023-11-01T23:37:23.000Z,"Reginald
@cowanmolly
·
Nov 2","Thanks 
@GOP
  @HawleyMO
 ",🚨 🤡 🤡 🤡 🚨,,,,['https://pbs.twimg.com/profile_images/1644230482371174407/llLJsOGI_normal.jpg'],https://twitter.com/cowanmolly/status/1719861220109439356
Turn Tennessee Blue #STANDWITHUKRAINE,@TurnTNBlue,2023-11-01T23:33:41.000Z,"Turn Tennessee Blue #STANDWITHUKRAINE
@TurnTNBlue
·
Nov 2","Finally, something we can agree on, 
@HawleyMO
.

Resign, or be removed.",,,,,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526009182011392/pu/img/IppV9msPIUaRT-09.jpg']",https://twitter.com/TurnTNBlue/status/1719860292832670042
BIDEN BLUE - I DOGS ! - SLAVA UKRAINI,@schwanderer,2023-11-01T23:33:12.000Z,"BIDEN BLUE - I DOGS ! - SLAVA UKRAINI
@schwanderer
·
Nov 2","WE agree 
@HawleyMO
 You need to resign.",👓 💖 🐶 🌻,,,,"['https://pbs.twimg.com/profile_images/1118326373049933825/nN83E6O1_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526009182011392/pu/img/IppV9msPIUaRT-09.jpg']",https://twitter.com/schwanderer/status/1719860170594119967
Blue_Samurai_Zero,@BlueSamuraiZero,2023-11-01T23:28:10.000Z,"Blue_Samurai_Zero
@BlueSamuraiZero
·
Nov 2","DHS secretary 
@AliMayorkas
 is an idiot with the emotional maturity of a 5-year-old.

His heritage is not a proper defense of nor justification for the bad behaviour at 
@DHSgov
.  It's irrelevant.

Don't fall for the smokescreen he puts up against 
@HawleyMO",💯 💯,,,,[],https://twitter.com/BlueSamuraiZero/status/1719858902358167780
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,['https://pbs.twimg.com/profile_images/1712221322175021056/w4GlKY4Q_normal.jpg'],https://twitter.com/JennyMcMas8060/status/1719857717395808569
JordyG,@JordyGNYC,2023-11-01T23:15:20.000Z,"JordyG
@JordyGNYC
·
Nov 2","Haaaa!!
@HawleyMO
 has good advice here- but wait- didn’t you support systematic lying by Trump and your entire party??!   Holy shit what a f’n hypocrite. UNBELIEVABLE",�?,,2,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526009182011392/pu/img/IppV9msPIUaRT-09.jpg']",https://twitter.com/JordyGNYC/status/1719855674924888355,
Jerry Falwell Jr’s Penis,@JerryFalwellJrP,2023-11-01T23:07:04.000Z,"Jerry Falwell Jr’s Penis
@JerryFalwellJrP
·
Nov 2","Unlike 
@HawleyMO
's attempt to warmonger, ""Freedom from the river to the sea"" means just that... freedom. 

And wouldn't you know that also includes Jews who scripturally reject Zionism? Everyone has a right to freedom. Everyone.

#FreePalestine",,,,,"['https://pbs.twimg.com/profile_images/1726642536460984320/9e3c4NSv_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719741557249544192/pu/img/vvx4moeqC1VwWfUQ.jpg']",https://twitter.com/JerryFalwellJrP/status/1719853594206232847
"JD Bailey, (Extreme threat to democracy evidently)",@UGA1970,2023-11-01T22:49:31.000Z,"JD Bailey, (Extreme threat to democracy evidently)
@UGA1970
·
Nov 2","Has anything happened to the employee since this encounter 
@HawleyMO
 ?",,,,1,['https://pbs.twimg.com/profile_images/796482667340382211/CoV8077b_normal.jpg'],https://twitter.com/UGA1970/status/1719849174638739513
R. Chevalier,@RChevalier12,2023-11-01T22:47:54.000Z,"R. Chevalier
@RChevalier12
·
Nov 2","https://youtu.be/MJT0rszVqgE?si=f8rmPtrNFM4iEYgX�?@HawleyMO
. You're despicable MF. You need to be voted out of the senate. Your fascist ass doesn't belong there. Go sell used cars. You stupid AHole.",,,,,['https://pbs.twimg.com/card_img/1730040985600602112/EcJNUAhk?format=jpg&name=360x360'],https://twitter.com/RChevalier12/status/1719848768017719701
Josh Hawley,@HawleyMO,2023-11-01T22:34:34.000Z,"Josh Hawley
@HawleyMO
·
Nov 2",Every American should know what’s happening on these campuses ,👇,286,919,2.7K,['https://pbs.twimg.com/profile_images/1460306213229453317/hxefwhdS_normal.jpg'],https://twitter.com/HawleyMO/status/1719845415271473374
Twisha,@Kenner1234,2023-11-01T22:33:00.000Z,"Twisha
@Kenner1234
·
Nov 2","Bye bye 
@HawleyMO",🌻 🟧,,,,"['https://pbs.twimg.com/profile_images/1118326373049933825/nN83E6O1_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526009182011392/pu/img/IppV9msPIUaRT-09.jpg']",https://twitter.com/Kenner1234/status/1719845019941523802
Robyn72,@Robyn725,2023-11-01T22:32:18.000Z,"Robyn72
@Robyn725
·
Nov 2","Yep.  
@HawleyMO
   @SenatorHawleyMO",,,,,"['https://pbs.twimg.com/media/F94dw4oXkAAEkJc?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1383079281966862336/zD3ftBxw_normal.jpg', 'https://pbs.twimg.com/media/F920O6gWwAEKEVw?format=jpg&name=360x360']",https://twitter.com/Robyn725/status/1719844842958631029
cityguy_ny,@cityguy_ny,2023-11-01T22:31:09.000Z,"cityguy_ny
@cityguy_ny
·
Nov 2","this man is incoherent 
@SenateGOP
 @HouseGOP
 @LeaderMcConnell
 @GovRonDeSantis
 @laurenboebert
 @realDonaldTrump
 @RepMTG
 @HawleyMO
 @PatrickMcHenry
 @tedcruz
 @RepMikeJohnson 
@LindseyGrahamSC",,,,,"['https://pbs.twimg.com/profile_images/1706852205892960256/tk1C73_B_normal.png', 'https://pbs.twimg.com/media/F931WUzWAAAwIJx.jpg']",https://twitter.com/cityguy_ny/status/1719844553513955455
BULLGATOR,@BULLGATOR_,2023-11-01T22:17:56.000Z,"BULLGATOR
@BULLGATOR_
·
Nov 2","Not a big fan of 
@HawleyMO
 and his theater, but he is 100% right about 
@SecMayorkas
' handling of this matter.  IMHO, he should resign over this.",,2,6,5,"['https://pbs.twimg.com/profile_images/1599266282905411586/he_6-uVe_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719692362262188032/img/vtEqGTGV1gA8Oms0.jpg']",https://twitter.com/BULLGATOR_/status/1719841227061780889
osteoarch,@osteoarch,2023-11-01T22:17:27.000Z,"osteoarch
@osteoarch
·
Nov 2","This is 
@HawleyMO
 who doesn't really live in Missouri. He uses a relative's address who actually lives there, as his ""home address"" for his Senate seat.",🔥,,,,"['https://pbs.twimg.com/profile_images/1118326373049933825/nN83E6O1_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719385968334020608/pu/img/TgqVvI792g4DILJh.jpg']",https://twitter.com/osteoarch/status/1719841105439494159
mwy,@wreddpepper,2023-11-01T22:14:40.000Z,"mwy
@wreddpepper
·
Nov 2","Yes .
@HawleyMO
 you and your comrades need to be removed asap.
All each of you do is lie and then lie some more. After you lie, you project, as you did so well here.
You are despicable.",,,,,"['https://pbs.twimg.com/profile_images/1118326373049933825/nN83E6O1_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526009182011392/pu/img/IppV9msPIUaRT-09.jpg']",https://twitter.com/wreddpepper/status/1719840404147962130
PatriotGirl07041776,@girl07041776,2023-11-01T21:41:37.000Z,"PatriotGirl07041776
@girl07041776
·
Nov 2","Bravo Senator 
@HawleyMO
 !! Call bullshit on this crap. What’s “despicable�?is 
@SecMayorkas
 department employing a terrorist sympathizer and an antisemite. There aren’t 4 answers here sir,there are two questions:1. Have you fired her? 2. How did she get through a background check?",,,,,"['https://pbs.twimg.com/profile_images/1431349594978504710/yDNLhX4Y_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719390561474355207/pu/img/BYupeSSjcZRWQYB_.jpg']",https://twitter.com/girl07041776/status/1719832087186829325
Tracy Marshall,@1tracymarshall,2023-11-01T21:36:22.000Z,"Tracy Marshall
@1tracymarshall
·
Nov 2
·","Here's an old but still good explanation why Senator 
@HawleyMO
 is taking the wrong approach to attacking  corporate influence with his call to reverse Citizens United.",,,,1,[],https://twitter.com/1tracymarshall/status/1719830767881052447
