UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sol,@forwardarc,2023-11-08T23:22:58.000Z,"Sol
@forwardarc
·
Nov 9","Are US politicians proud of this, or ashamed of this, or they don't care because the suffering people are Palestinians not Israelis? 
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
@timkaine
 @brianschatz
 @ChrisVanHollen
@TammyDuckworth",,,,1,['https://pbs.twimg.com/profile_images/1082309523820429312/3qDsoBYu_normal.jpg'],https://twitter.com/forwardarc/status/1722394307636904078
Sol,@forwardarc,2023-11-08T21:11:09.000Z,"Sol
@forwardarc
·
Nov 9","I hope this clip is educational to US politicians and will imbue them with some moral clarity. 
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
@BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
@timkaine
 @brianschatz
 @ChrisVanHollen
@TammyDuckworth",,,1,1,"['https://pbs.twimg.com/profile_images/1599784137765814278/_6s8OXas_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1721965204831956992/img/EXuWWa8CQPkWBu4R.jpg']",https://twitter.com/forwardarc/status/1722361134794293739
Sol,@forwardarc,2023-11-08T20:53:06.000Z,"Sol
@forwardarc
·
Nov 9","There is no question that Israel is committing war crimes in Gaza. 
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
@BenCardinforMD
 @SenatorShaheen
@ChrisCoons
 @timkaine
 @brianschatz
@ChrisVanHollen
 @TammyDuckworth",,,,,"['https://pbs.twimg.com/profile_images/759478721808068608/F5s3fgyl_normal.jpg', 'https://pbs.twimg.com/media/F-XkvM3XwAA-y5r?format=jpg&name=small']",https://twitter.com/forwardarc/status/1722356592136655048
Sol,@forwardarc,2023-11-08T20:22:53.000Z,"Sol
@forwardarc
·
Nov 9","Are US politicians OK with being enablers & partners of a possible genocide?
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
@BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
@timkaine
  @brianschatz
 @ChrisVanHollen
@TammyDuckworth",,1,7,8,['https://pbs.twimg.com/profile_images/759478721808068608/F5s3fgyl_normal.jpg'],https://twitter.com/forwardarc/status/1722348991403434262
Room Rater,@ratemyskyperoom,2023-11-09T20:08:38.000Z,"Room Rater
@ratemyskyperoom
·
Nov 10","Nice Senator’s setup. Some of the best Mount Hood art we’ve seen. 10/10 
@JeffMerkley",,4,7,102,['https://pbs.twimg.com/media/F-hJm1iWgAA3y59?format=jpg&name=900x900'],https://twitter.com/ratemyskyperoom/status/1722707792304185533
Sol,@forwardarc,2023-11-09T18:35:06.000Z,"Sol
@forwardarc
·
Nov 10","FYI
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @HouseDemocrats
 @SenateDems",,,1,1,"['https://pbs.twimg.com/profile_images/946007309700026369/irHahUwS_normal.jpg', 'https://pbs.twimg.com/media/F-gQs8zXcAApEeP?format=jpg&name=small']",https://twitter.com/forwardarc/status/1722684251500593301
Jeff Merkley,@JeffMerkley,2023-11-09T18:22:53.000Z,"Jeff Merkley
@JeffMerkley
·
Nov 10","Great news! Ohio voted loud and clear to enshrine abortion rights in its state constitution. 

Thank you to the grassroots volunteers and organizers who got out the vote and made sure a dark money campaign to gut Ohio’s reproductive rights did not silence the voice of the people.",,31,30,144,[],https://twitter.com/JeffMerkley/status/1722681177654616426
Carrie Pellett,@CarriesProject,2023-11-09T17:59:04.000Z,"Carrie Pellett
@CarriesProject
·
Nov 10","Please advance this very important idea 
@jeffmerkley
 @RonWyden
 @RepBonamici
 @RepSalinas
 @JamieforOregon
 Should be a plank for 2024 
@TheDemocrats
 @ORDems
 Why America Needs a Rural New Deal",,,,,['https://pbs.twimg.com/card_img/1730268350347878400/TwmmejhL?format=png&name=900x900'],https://twitter.com/CarriesProject/status/1722675186246484025
EmbiBel Amhara ዕምቢበል,@Embi_belu,2023-11-09T10:05:42.000Z,"EmbiBel Amhara ዕምቢበል
@Embi_belu
·
Nov 9","Here is the truth about the African dictator #AbiyAhmedAli of #Ethiopia 
@SenatorBurr
 
@ChrisCoons
 @ChrisMurphyCT
 @timkaine
 @EdMarkey
 @JeffMerkley
 @CoryBooker
 @VanHollenForMD
 @marcorubio
  @MittRomney
 @senrobportman
 @RandPaul
 @ToddYoungIN",,,2,4,"['https://pbs.twimg.com/profile_images/1639028694151733250/CcrNO3dK_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1722477242712805376/pu/img/9SBHv7sRQAo8GbBM.jpg']",https://twitter.com/Embi_belu/status/1722556058122572032
Sol,@forwardarc,2023-11-10T23:06:54.000Z,"Sol
@forwardarc
·
Nov 11","Norwegian doctor in Gaza sends urgent plea to US & EU leaders he considers complicit in the ongoing indiscriminate bombing in Gaza.
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth",,1,3,6,['https://pbs.twimg.com/profile_images/1719633483088248832/aOHEKUwo_normal.jpg'],https://twitter.com/forwardarc/status/1723115041187315988
