UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kansans For Hemp,@Kansans4Hemp,2023-11-01T21:15:52.000Z,"Kansans For Hemp
@Kansans4Hemp
·
Nov 2","Thank you 
@amyklobuchar
 & 
@JerryMoran
 for introducing this #sustainable #biofuels bill!

We look forward to more development for #hemp 
https://advancedbiofuelsusa.info/klobuchar-moran-introduce-bipartisan-legislation-to-support-biorefineries-renewable-chemicals-and-biomanufacturing…",🌱 ⛽ 🛵 🚜 🚀,,,1,[],https://twitter.com/Kansans4Hemp/status/1719825607507238918
Bea,@BPryvet,2023-11-01T15:34:59.000Z,"Bea
@BPryvet
·
Nov 1","The GOP CANT govern: 
@RepLaTurner
 @RepRonEstes
 @RepMann
 @RogerMarshallMD
 @JerryMoran",🚨,,,,"['https://pbs.twimg.com/profile_images/1471636921176801282/4J1MH9WE_mini.jpg', 'https://pbs.twimg.com/profile_images/1344728315769151488/-0XDUIW1_bigger.jpg']",https://twitter.com/BPryvet/status/1719739820426039486
Levin Center for Oversight and Democracy,@Levin_Center,2023-11-01T15:30:00.000Z,"Levin Center for Oversight and Democracy
@Levin_Center
·
Nov 1","Today at 3:30pm ET, the Senate Veterans' Affairs Committee will hold an #oversight hearing entitled, ""Foundation of Care: Examining Research at the Department of Veterans Affairs."" 
@SenatorTester
 @JerryMoran",,,,,['https://pbs.twimg.com/card_img/1729568384881168384/-ekMt_dk?format=jpg&name=small'],https://twitter.com/Levin_Center/status/1719738569160360269
MeHereNow,@immeherenow,2023-11-01T13:28:02.000Z,"MeHereNow
@immeherenow
·
Nov 1","Might want to open your eyes to what’s really going on 
@RepRonEstes
 @JerryMoran
 @RogerMarshallMD",,,,,['https://pbs.twimg.com/profile_images/1601450348144566272/kXgkB4kH_mini.jpg'],https://twitter.com/immeherenow/status/1719707872756437078
Brenda Granger,@rramom59,2023-11-01T13:04:03.000Z,"Brenda Granger
@rramom59
·
Nov 1",".
@RogerMarshallMD
 
@JerryMoran",‼ 🚨 🚨 ‼,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_mini.jpg'],https://twitter.com/rramom59/status/1719701837559767186
State Affairs Kansas,@StateAffairsKS,2023-11-01T13:00:26.000Z,"State Affairs Kansas
@StateAffairsKS
·
Nov 1","The greater Kansas City region has been designated as a Tech Hub by 
@CommerceGovt
, U.S. Sen. 
@JerryMoran
 announced in a press release Monday. Learn more: https://moran.senate.gov/public/index.cfm/newsletter?ID=51CE701D-3D9D-455D-AC23-4ECE6145BEF3…",,,,,[],https://twitter.com/StateAffairsKS/status/1719700927530062097
Dinbodol Bangladesh,@Dinbodol_BD,2023-11-01T08:31:35.000Z,"Dinbodol Bangladesh
@Dinbodol_BD
·
Nov 1","Ms Saima Wazed  has been nominated as the next World Health Organization Regional Director for South-East Asia.

congratulations
@SenMikeLee
 @SenLummis
 @RogerMarshallMD
 @McConnellPress
 @JerryMoran",,,,,['https://pbs.twimg.com/media/F91dCgLaoAAJ6OK?format=jpg&name=small'],https://twitter.com/Dinbodol_BD/status/1719633268918915263
Sean .Dot. Denali,@SeanDalley,2023-11-01T07:59:13.000Z,"Sean .Dot. Denali
@SeanDalley
·
Nov 1","Mr 
@LeaderMcConnell
 you are just the type of politician America does not need.  Campaign finance reform and term limits.  Clear the swamp.  
@RogerMarshallMD
 @JerryMoran
 @RandPaul
 @RepDavids
 @BernieSanders
 @SenWarren
 @CynthiaMLummis",🚨,,,1,"['https://pbs.twimg.com/profile_images/1602055610903691264/owmk2WyJ_mini.jpg', 'https://pbs.twimg.com/media/F9z4tatXIAA1Wzr?format=jpg&name=small']",https://twitter.com/SeanDalley/status/1719625126621110780
Sean .Dot. Denali,@SeanDalley,2023-11-01T07:56:46.000Z,"Sean .Dot. Denali
@SeanDalley
·
Nov 1","Then there wont be more funding.  Let it die!  
@SpeakerJohnson
 @SpeakerMcCarthy
 @Jim_Jordan
 @RepRashida
 @RonEstesKS
 @RogerMarshallMD
 @JerryMoran
 focus on America!  Focus on defending our own borders",🚨,,,1,"['https://pbs.twimg.com/profile_images/1602055610903691264/owmk2WyJ_mini.jpg', 'https://pbs.twimg.com/media/F9zB9txXgAAdIXm?format=jpg&name=small']",https://twitter.com/SeanDalley/status/1719624508032647617
Sean .Dot. Denali,@SeanDalley,2023-11-01T06:42:47.000Z,"Sean .Dot. Denali
@SeanDalley
·
Nov 1","Campaign finance reform and term limits.  Quit getting rich.  Biggest insider trading job in America. Campaign slush funds.  
@RepDavids
 @RogerMarshallMD
 @JerryMoran
 @RonEstesKS
 @BernieSanders
 @SenWarren
 @SpeakerPelosi
 @SpeakerMcCarthy
 @SpeakerJohnson",,,,,"['https://pbs.twimg.com/profile_images/1346522052635844609/iBggVbGQ_mini.jpg', 'https://pbs.twimg.com/media/F90j1FPXwAA7dG4?format=jpg&name=small', 'https://pbs.twimg.com/media/F90j1luXAAAwonu?format=jpg&name=small', 'https://pbs.twimg.com/media/F90j2MuXUAAkVb3?format=jpg&name=small']",https://twitter.com/SeanDalley/status/1719605888132981033
Sean .Dot. Denali,@SeanDalley,2023-11-01T05:51:35.000Z,"Sean .Dot. Denali
@SeanDalley
·
Nov 1","time for change.  Bush/Cheney used the intelligence services to lie to us. Reality is always different than whats being shown. Stop war 
@RepDavids
 @RogerMarshallMD
 @JerryMoran
 @RonEstesKS
 @SpeakerMcCarthy
 @SpeakerJohnson
 geopolitical and economic forces behind Ukraine and Gaza",,,,,['https://pbs.twimg.com/profile_images/1524776913285353474/j7Du_vY5_mini.jpg'],https://twitter.com/SeanDalley/status/1719593006117089334
stilwellinks,@stilwellinks,2023-11-02T23:40:23.000Z,"stilwellinks
@stilwellinks
·
Nov 3","Privatize USPS!  This is a FAILED taxpayer funded operation.
@SpeakerJohnson
 
@sharicedavids
 
@RogerMarshallMD
 
@JerryMoran
 
@mattgaetz
 
@RepMTG",,,,1,[],https://twitter.com/stilwellinks/status/1720224363109077464
IBMPolicy,@IBMpolicy,2023-11-02T21:43:35.000Z,"IBMPolicy
@IBMpolicy
·
Nov 3","IBM has always believed that AI used by the federal government must be trusted and responsible. We thank Senators 
@MarkWarner
 and 
@JerryMoran
 for their bipartisan leadership on the Federal Artificial Intelligence Risk Management Act of 2023. Read more here:",,,4,10,['https://pbs.twimg.com/card_img/1727891213410340864/q51HkSIR?format=jpg&name=small'],https://twitter.com/IBMpolicy/status/1720194972815691941
Senator Jerry Moran,@JerryMoran,2023-11-02T17:37:44.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 3","AI has tremendous potential to improve the efficiency & effectiveness of the federal government, but we can’t ignore the risks. I introduced legislation with 
@MarkWarner
 to establish guidelines to be used within the federal government to mitigate risks while still benefitting AI.",,10,5,15,['https://pbs.twimg.com/media/F98heIQXcAE08WM?format=jpg&name=small'],https://twitter.com/JerryMoran/status/1720133099634242039
Doodle Mom,@twodoodle,2023-11-02T16:49:45.000Z,"Doodle Mom
@twodoodle
·
Nov 3","There have been GOP Senators speaking out against Tuberville, anything? 
@RogerMarshallMD
 @JerryMoran",🌻,1,,8,['https://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_mini.png'],https://twitter.com/twodoodle/status/1720121025923342779
Senator Jerry Moran,@JerryMoran,2023-11-02T16:21:21.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 3","This is one of the most consequential votes that we’ll have to address.

Border security – just like Israel & Ukraine – is a national security issue and including it in the funding package will help the gain support from both sides of the aisle.",,15,7,15,['https://pbs.twimg.com/amplify_video_thumb/1720113368017629188/img/YxSkXmgJhg_XD1Or.jpg'],https://twitter.com/JerryMoran/status/1720113879869518267
ACAonTheHill,@ACAontheHill,2023-11-02T16:11:51.000Z,"ACAonTheHill
@ACAontheHill
·
Nov 3","Thank you 
@JerryMoran
 for supporting #Medicare beneficiaries and cosponsoring #S799",,,1,3,[],https://twitter.com/ACAontheHill/status/1720111489565053349
Rebecca Kern,@rebeccamkern,2023-11-02T13:06:04.000Z,"Rebecca Kern
@rebeccamkern
·
Nov 2","Scoop- 
@JerryMoran
 and 
@MarkWarner
 are introducing a bill today to require all federal agencies follow an AI risk framework, coming on the heels of Biden’s sweeping AI executive order. With 
@BrendanBordelon
 for 
@politico",,2,13,31,['https://pbs.twimg.com/card_img/1730195227921547264/JIGPNrcg?format=jpg&name=small'],https://twitter.com/rebeccamkern/status/1720064735087907159
Tom Brandt,@tomwbrandt,2023-11-02T13:05:21.000Z,"Tom Brandt
@tomwbrandt
·
Nov 2","""Three days after President Joe Biden signed a new executive order on AI, two senators (
@JerryMoran
 & 
@MarkWarner
) are introducing a bill Thursday to give it teeth."" 
More from 
@rebeccamkern
 >>",,,1,4,['https://pbs.twimg.com/card_img/1730195227921547264/JIGPNrcg?format=jpg&name=small'],https://twitter.com/tomwbrandt/status/1720064555739464033
Emily Wilkins,@emrwilkins,2023-11-02T12:22:48.000Z,"Emily Wilkins
@emrwilkins
·
Nov 2","Senator 
@JerryMoran
 on 
@SquawkCNBC
 said offsets in House Israel bill need to be “reserved for our normal spending process.”

Says House bill will be amended for Senate version, including a policy change at the southern border.",,,1,2,[],https://twitter.com/emrwilkins/status/1720053846217572544
Senator Jerry Moran,@JerryMoran,2023-11-02T12:11:12.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 2","WATCH NOW: Joining 
@SquawkCNBC
 to discuss funding for Israel, Ukraine and the border.",,11,8,16,['https://pbs.twimg.com/media/F97ZG1hXYAA83Ai?format=jpg&name=small'],https://twitter.com/JerryMoran/status/1720050924331188609
Mark Warner,@MarkWarner,2023-11-03T20:38:39.000Z,"Mark Warner
@MarkWarner
·
Nov 4","It’s time to get serious about AI regulation, and I’m ready to do that in a bipartisan way.
@JerryMoran
 and I are taking steps towards sensible guardrails around AI.",,20,34,42,['https://pbs.twimg.com/card_img/1730195227921547264/JIGPNrcg?format=jpg&name=small'],https://twitter.com/MarkWarner/status/1720541018670371035
NIAR at Wichita State University,@NIARWSU,2023-11-03T18:03:22.000Z,"NIAR at Wichita State University
@NIARWSU
·
Nov 4","We're officially open in Rocket City! Thank you for joining us 
@JerryMoran
 @TommyBattle
 @PresidentWSU
 @huntsvillecity
 @FirePointIC
 
http://wichita.edu/about/wsunews-releases/2023/11-nov/huntsville_release_3.php…",,,3,8,['https://pbs.twimg.com/media/F-By_SUWgAAbme7?format=jpg&name=small'],https://twitter.com/NIARWSU/status/1720501941552209967
Doodle Mom,@twodoodle,2023-11-03T16:57:56.000Z,"Doodle Mom
@twodoodle
·
Nov 4","......and there it is, ""some Republican cheers""
@RepRonEstes
 @RepLaTurner
 @RepMann
 @RogerMarshallMD
 @JerryMoran",🌻 🔥 🔥,,1,1,['https://pbs.twimg.com/profile_images/1184996773217091585/NZfcmAuS_mini.jpg'],https://twitter.com/twodoodle/status/1720485473661985043
FEDERAL NEWSCAST,@FEDERALNEWSCAST,2023-11-03T16:44:26.000Z,"FEDERAL NEWSCAST
@FEDERALNEWSCAST
·
Nov 4","The Federal Newscast - [podcast audio included]
Friday, November 3, 2023
https://federalnewsnetwork.com/federal-newscast/2023/11/senate-confirms-first-woman-to-serve-on-joint-chiefs-of-staff/… 
@FederalNewsNet
 @RepJenKiggans
 @VivekGRamaswamy
 @DeptVetAffairs
 @USOPM
 @USGAO
 @DHSgov
 @WaysandMeansGOP
 @SocialSecurity
 @BSAnews
 @DeptofDefense
 @MarkWarner
 @CIA
 @JerryMoran",,,,,['https://pbs.twimg.com/card_img/1730680638687092736/HxVDGdqD?format=jpg&name=small'],https://twitter.com/FEDERALNEWSCAST/status/1720482076506427435
Peter Musurlian,@PMusurlianWFED,2023-11-03T16:44:13.000Z,"Peter Musurlian
@PMusurlianWFED
·
Nov 4","The Federal Newscast - [podcast audio included]
Friday, November 3, 2023
https://federalnewsnetwork.com/federal-newscast/2023/11/senate-confirms-first-woman-to-serve-on-joint-chiefs-of-staff/… 
@FederalNewsNet
 @RepJenKiggans
 @VivekGRamaswamy
 @DeptVetAffairs
 @USOPM
 @USGAO
 @DHSgov
 @WaysandMeansGOP
 @SocialSecurity
 @BSAnews
 @DeptofDefense
 @MarkWarner
 @CIA
 @JerryMoran",,,,,['https://pbs.twimg.com/card_img/1730680638687092736/HxVDGdqD?format=jpg&name=small'],https://twitter.com/PMusurlianWFED/status/1720482022911533439
Peter Musurlian,@PeterMusurlian,2023-11-03T16:43:56.000Z,"Peter Musurlian
@PeterMusurlian
·
Nov 4","The Federal Newscast - [podcast audio included]
Friday, November 3, 2023
https://federalnewsnetwork.com/federal-newscast/2023/11/senate-confirms-first-woman-to-serve-on-joint-chiefs-of-staff/… 
@FederalNewsNet
 @RepJenKiggans
 @VivekGRamaswamy
 @DeptVetAffairs
 @USOPM
 @USGAO
 @DHSgov
 @WaysandMeansGOP
 @SocialSecurity
 @BSAnews
 @DeptofDefense
 @MarkWarner
 @CIA
 @JerryMoran",,,1,1,['https://pbs.twimg.com/card_img/1730680638687092736/HxVDGdqD?format=jpg&name=small'],https://twitter.com/PeterMusurlian/status/1720481948940812769
Senator Jerry Moran,@JerryMoran,2023-11-03T16:42:48.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 4","Construction has begun on a new U.S. Correctional Institution in Leavenworth. I joined 
@RogerMarshallMD
 @GovLauraKelly
 and Mayor Jermaine Wilson to break ground on the new facility that will replace the oldest federal penitentiary in the country.",,13,2,15,['https://pbs.twimg.com/media/F-BgVy5W4AAegkm?format=jpg&name=small'],https://twitter.com/JerryMoran/status/1720481663522570346
Josh Roe,@JoshDRoe,2023-11-03T16:34:11.000Z,"Josh Roe
@JoshDRoe
·
Nov 4","Great news, solid engagement from 
@kscorn
 and 
@NationalCorn
 on this issue. Also special thanks to Senator 
@JerryMoran
 and Congressman 
@TraceyMannKS
 for their leadership.",,,3,13,"['https://pbs.twimg.com/profile_images/1454140021812994064/8DK0a6OA_mini.jpg', 'https://pbs.twimg.com/media/F-BJgO3WkAAFV4N?format=jpg&name=small']",https://twitter.com/JoshDRoe/status/1720479496225132732
Senator Jerry Moran,@JerryMoran,2023-11-03T13:02:45.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 3","Good morning, Kansas!",,19,9,53,['https://pbs.twimg.com/media/F-AulgNWMAA71Z3?format=jpg&name=small'],https://twitter.com/JerryMoran/status/1720426286420459876
Charlie Mitchell,@CharlieReports,2023-11-03T12:57:42.000Z,"Charlie Mitchell
@CharlieReports
·
Nov 3","Bill would require OMB ""to issue guidance requiring agencies to incorporate the framework into their AI risk management efforts consistent with guidelines NIST creates."" 
@MarkWarner
 @JerryMoran
 @RepTedLieu
 @OMBPress
 @NIST
 #ArtificialIntelligence",,,,,['https://pbs.twimg.com/profile_images/1702435748362747904/Ac2cSX8E_mini.png'],https://twitter.com/CharlieReports/status/1720425017459065128
IAC Kansas,@IAC_KS,2023-11-03T00:09:25.000Z,"IAC Kansas
@IAC_KS
·
Nov 3","US House passed H Res 559 [354:53] declaring US must “use all means necessary to prevent Iran from obtaining a nuclear weapon.”

Possible only thru regime change—by people & MEK.
@RogerMarshallMD
@JerryMoran
@RepLaTurner
@RepMann
@RepRonEstes
Show more",,,12,15,"['https://pbs.twimg.com/media/F999kKMXgAAYFi1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F999kKMWQAAh89M?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F999kJzWcAAKeAn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F999kJvXsAAIoBC?format=jpg&name=small']",https://twitter.com/IAC_KS/status/1720231671507583063
"If you like it, put a retweet on it!",@mickystu101,2023-11-04T23:48:32.000Z,"If you like it, put a retweet on it!
@mickystu101
·
Nov 5","So are the rest of the 
@GOP
 Kansas politicians going to be as much of a moron as Rog?
@JerryMoran
 @RepMann
 @RepLaTurner
 @RepRonEstes
 

MAGA needs to stop trying to rewrite history!",,1,,,"['https://pbs.twimg.com/profile_images/1460999008453861383/l50MDUN__mini.jpg', 'https://pbs.twimg.com/media/F-IHu31XUAAfRxU?format=jpg&name=small']",https://twitter.com/mickystu101/status/1720951192484749661
