UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Senator John Boozman,@JohnBoozman,2023-11-01T20:50:59.000Z,"Senator John Boozman
@JohnBoozman
·
Nov 2","Thank you to Arkansans who participated. More than 23,600 pounds of unneeded prescription medications were collected at locations across the state.",,1,1,5,[],https://twitter.com/JohnBoozman/status/1719819347915411967
PatientQoL Coalition,@PatientQoL,2023-11-01T19:10:56.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Palliative care improves patient quality of life. 
@JohnBoozman
, thank you for supporting #PCHETA! Please ask leadership to move this bill forward to make today better for patients and their families. 
@PatientQoL
 #HPM #HAPC",,,,,[],https://twitter.com/PatientQoL/status/1719794169789726932
"Liza, PhD",@YesQuake,2023-11-01T18:38:10.000Z,"Liza, PhD
@YesQuake
·
Nov 2","This Ukrainian is writing truths for those who hold the power of life and death in Ukraine. 
@rep_stevewomack
, 
@JohnBoozman
, 
@SenTomCotton
, we in Arkansas are counting on you to help Ukraine. Your decisions affect not just us and Ukrainians, but also Western democracy itself.",🌻,,3,6,[],https://twitter.com/YesQuake/status/1719785922017812713
MissNRA,@MissNra,2023-11-02T23:09:11.000Z,"MissNRA
@MissNra
·
Nov 3","This is so sad!  I’ve called 
@rep_stevewomack
 , 
@JohnBoozman
 , 
@TomCottonAR
 about all J6 people being held without proper proceedings!  This is so wrong!",,1,,,[],https://twitter.com/MissNra/status/1720216511820841352
Jay Springer,@JaySpringer18,2023-11-02T20:29:00.000Z,"Jay Springer
@JaySpringer18
·
Nov 3","Wake up America  
Wake up christians in America  
Do justly 
Love mercy 
Walk humbly with God…
@PatriciaHeaton
 
@RepRickCrawford
 @rep_stevewomack
 @RepFrenchHill
 
@TomCottonAR
 @JohnBoozman",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719811282931482625/pu/img/ma79uMtiNjaKGbXe.jpg'],https://twitter.com/JaySpringer18/status/1720176203309404423
Phil Shellabarger,@delmarphil,2023-11-02T15:19:39.000Z,"Phil Shellabarger
@delmarphil
·
Nov 2","Maybe it’s time for 
@SenTomCotton
 @JohnBoozman
 to show their support for the military by leading a Senate Rule change. 
@ArkansasBlog
 @ArkansasOnline",,,4,14,['https://pbs.twimg.com/ext_tw_video_thumb/1719847242310320128/pu/img/o_sSyqhUg4Ar2sGA.jpg'],https://twitter.com/delmarphil/status/1720098353143505312
Senator John Boozman,@JohnBoozman,2023-11-02T15:15:36.000Z,"Senator John Boozman
@JohnBoozman
·
Nov 2",We’re working to secure investments in Arkansas. I'm pleased the Senate advanced legislation to support our state’s priorities and ensure our country lives up to the promises we made to veterans with improved resources for services and benefits.,,7,2,6,[],https://twitter.com/JohnBoozman/status/1720097331612410031
Robert A Strupp,@StruppRobert,2023-11-02T13:04:36.000Z,"Robert A Strupp
@StruppRobert
·
Nov 2",". . . THIS DISPLAYS WHAT a criminal playground for the World's Elites the #UN #UnitedNations has always been and always will be . . . cc: 
@IkeWingate
 @TomCottonAR
 @JohnBoozman",,,,,[],https://twitter.com/StruppRobert/status/1720064365951418492
AReal McCulloch,@GenBenMcCulloch,2023-11-03T20:14:59.000Z,"AReal McCulloch
@GenBenMcCulloch
·
Nov 4","Sounds like the 
@HouseGOP
  & 
@SenateGOP
 !  

Especially the worst of the corrupt like 
@SenThomTillis
 @SenatorCollins
 @JohnBoozman
 @SenBillCassidy
 
@SenJoniErnst
 
@lisamurkowski",,,,,[],https://twitter.com/GenBenMcCulloch/status/1720535063761174768
Senator John Boozman,@JohnBoozman,2023-11-03T17:12:51.000Z,"Senator John Boozman
@JohnBoozman
·
Nov 4",As a member of the Congressional Coalition on Adoption I'm pleased to join the governor in celebrating National Adoption Month. I'm grateful for the tremendous work of organizations across Arkansas to find loving and permanent homes for children in our state.,,10,4,13,[],https://twitter.com/JohnBoozman/status/1720489225399755232
Reese,@ReeseLisenbey7,2023-11-03T16:34:13.000Z,"Reese
@ReeseLisenbey7
·
Nov 4","Give the money back 
@JohnBoozman",,,,2,[],https://twitter.com/ReeseLisenbey7/status/1720479506022965484
TheBigFatPanda,@TheBigFatPand11,2023-11-03T16:23:04.000Z,"TheBigFatPanda
@TheBigFatPand11
·
Nov 4","Yes, the Fed should be audited https://washingtonexaminer.com/opinion/yes-the-fed-should-be-audited… 100% 
@SenTomCotton
 @JohnBoozman
 @RepRickCrawford",,,,,[],https://twitter.com/TheBigFatPand11/status/1720476697584091266
Jane,@OrthoA,2023-11-03T14:48:35.000Z,"Jane
@OrthoA
·
Nov 3","Gee, look, donated to 
@JohnBoozman
 campaign. Uh, go figure ",🙄,,,,['https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg'],https://twitter.com/OrthoA/status/1720452921379139973
Mary shabbott,@ShabbottMary,2023-11-04T23:02:29.000Z,"Mary shabbott
@ShabbottMary
·
Nov 5","On your allowed watch 
@SecDebHaaland
 @USInterior
 
@JohnBoozman
 @TomCottonAR
 @WestermanAR
 sign on and support #SafeAct to #banhorseslaughter",🔴 🎥 ‼ 🐴 👉,1,32,23,['https://pbs.twimg.com/ext_tw_video_thumb/1575538414773932033/pu/img/eqlL3A97L6v1Koaw.jpg'],https://twitter.com/ShabbottMary/status/1720939604507803752
Senator John Boozman,@JohnBoozman,2023-11-04T22:00:01.000Z,"Senator John Boozman
@JohnBoozman
·
Nov 5",The president’s immigration policies have led to record-breaking border crossings. Border security is national security. We must secure the border.,,24,9,11,[],https://twitter.com/JohnBoozman/status/1720923880682860550
Senator John Boozman,@JohnBoozman,2023-11-04T20:53:18.000Z,"Senator John Boozman
@JohnBoozman
·
Nov 5",#WPS,,3,5,7,['https://pbs.twimg.com/amplify_video_thumb/1720905287354236928/img/a_I6fp8dUJ4xb-iR.jpg'],https://twitter.com/JohnBoozman/status/1720907093337637040
Jason Rapert,@jasonrapert,2023-11-04T18:31:47.000Z,"Jason Rapert
@jasonrapert
·
Nov 5","Come join us at the NACL 2023 Annual Meeting & Awards Gala - Museum of t... https://youtu.be/wnMYT-dkRrI?si=M_Q5D8zzcIhAOsua… 
@MaryBentleyAR
 @TomOliverson
 @Rep_J_McCravy
 @dennisbaxley
 @GovMikeHuckabee
 @SpeakerJohnson
 @RepFrenchHill
 @RepWesterman
 @RepRickCrawford
 @JohnBoozman
 @SenTomCotton
 @DanPatrick
…
Show more",,,3,3,[],https://twitter.com/jasonrapert/status/1720871479200415907
Herb Lair,@herblair,2023-11-04T08:38:36.000Z,"Herb Lair
@herblair
·
Nov 4","Now includes uncut interviews with Marty Burlsworth, HOF 
@sidneymoncrief_
 & former Arkansas Governor, Jim Guy Tucker. All with great stories about overcoming differences.

https://linkedin.com/pulse/1-imovie-made-using-tiktok-herb-lair-x2fqc…
@WallyLikeItIs
 @ArkansasOnline
 @POTUS
 @JohnBoozman
 @AsaHutchinson
 @ArkTimes
…
Show more",,,,,[],https://twitter.com/herblair/status/1720722199089152219
4 EveryChild #LandBack,@annfinster,2023-11-05T20:01:29.000Z,"4 EveryChild #LandBack
@annfinster
·
Nov 6","#WeCannotLetPutinBeSuccessful 

Arkansas Legislators:
@SenTomCotton
 
@JohnBoozman
 

@RepRickCrawford
@RepFrenchHill
 
@rep_stevewomack
Show more",🦈 🕊 🚜 🎙 🎧,,1,3,[],https://twitter.com/annfinster/status/1721256439585358299
4 EveryChild #LandBack,@annfinster,2023-11-05T19:14:12.000Z,"4 EveryChild #LandBack
@annfinster
·
Nov 6","#WeCannotLetPutinBeSuccessful 
@SenTomCotton
 
@JohnBoozman
 

@RepRickCrawford
@RepFrenchHill
 
@rep_stevewomack
@RepWesterman
 

Show more",🦈 🕊 🚜,,1,,[],https://twitter.com/annfinster/status/1721244539606769792
