UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Laura Davis,@LauraDavisTx,2023-11-01T23:42:05.000Z,"Laura Davis
@LauraDavisTx
·
Nov 2","Do you remember when the 
@FBI
 called parents “domestic terrorists”? Where is 
@TheJusticeDept
 now? 
@tedcruz
 @JohnCornyn
 @JudgeCarter",,1,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719647685508997120/pu/img/SVBubrsOiYr_JdXv.jpg'],https://twitter.com/LauraDavisTx/status/1719862404476002461
Steven Stiles,@StevenS23337721,2023-11-01T23:41:29.000Z,"Steven Stiles
@StevenS23337721
·
Nov 2",".
@JohnCornyn
 @SenTedCruz
 @RepRWilliams
 
Pass a stand-alone $16B #House bill and rush aid to #Israel today!",,,,,[],https://twitter.com/StevenS23337721/status/1719862252038238277
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:31:25.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@JacksonLeeTX18
@RepTonyGonzales
@michaelcburgess
@RepCloudTX
@RepDuarteCA13
@RepSwalwell
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719859719228031300
Bethany Blankley,@BethanyBlankley,2023-11-01T23:12:13.000Z,"Bethany Blankley
@BethanyBlankley
·
Nov 2","GOP Senators: Biden’s border policies create 'increased threat' of terrorist attack https://thecentersquare.com/national/article_6128cd9c-78e9-11ee-9435-0f74f4bd3ca4.html… via 
@thecentersquare
 
@SenTedCruz
 @JohnCornyn
 @SenatorRicketts
 @SenJohnBarrasso
 @SenateGOP",,1,6,5,[],https://twitter.com/BethanyBlankley/status/1719854890669810079
jack williamson,@jackwil10870687,2023-11-01T23:04:21.000Z,"jack williamson
@jackwil10870687
·
Nov 2","When will some GOP SENATORS STAND UP against Mitch McConnell trying to UNDERCUT the 
@HouseGOP
 ...go pass House Border Security Bill or NO MONEY FOR UKRAINE?? there is going to be a LOT of pissed off TRUMP voters at your next primary 
@SenTedCruz
 @JohnCornyn
 @RandPaul
 @SenateGOP",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1718053605104922624/pu/img/jsK9gsUx-9ERFya-.jpg'],https://twitter.com/jackwil10870687/status/1719852910039740783
Gramain Texas,@GramainT,2023-11-02T22:21:17.000Z,"Gramain Texas
@GramainT
·
Nov 3","Senator Schumer, America has heard you.  Now it’s time for you to HEAR AMERICA.  PASS THIS BILL.  No more money for ukraine and other piggyback projects.   
@SenateDems
 @SenateGOP
  @HouseGOP
  @HouseDemocrats
  @SpeakerJohnson
  @RepLuttrell
  @SenTedCruz
 @JohnCornyn",,1,,,[],https://twitter.com/GramainT/status/1720204459093950713
Senator John Cornyn,@JohnCornyn,2023-11-02T21:31:50.000Z,"Senator John Cornyn
@JohnCornyn
·
Nov 3",Love the name!,,35,18,57,[],https://twitter.com/JohnCornyn/status/1720192013293715569
C Richter,@CRichte67561801,2023-11-02T21:19:11.000Z,"C Richter
@CRichte67561801
·
Nov 3","Stop the insanity!!!
The USA is broke!  Stop this game of thinking we are rich!! If you insist giving $$ then reduce $$ we are giving other countries and move that money over to Israel. NO MORE MONEY TO UKRAINE
@mattgaetz
 
@RepChipRoy
@RepMcCaul
 
@SenTedCruz
 
@JohnCornyn",,,1,1,[],https://twitter.com/CRichte67561801/status/1720188831943577677
Tex,@starjunkie12,2023-11-02T21:13:22.000Z,"Tex
@starjunkie12
·
Nov 3","I'm worried about the security of our power grid &amp; want and demand our grid protected NOW. Visit http://GridDownPowerUp.com. We will fix this. Choose POWER UP not Grid Down. 
@MichaelCBurgess
 @JohnCornyn
 @SenTedCruz",,,,,[],https://twitter.com/starjunkie12/status/1720187369100353776
Huddytex,@huddytex,2023-11-02T21:01:31.000Z,"Huddytex
@huddytex
·
Nov 3","Joes bringing in INSANE VIOLENT TRASH to America . 
@POTUS
 @DHSgov
 @AliMayorkas
 @RepMTG
 @RepTroyNehls
 @mattgaetz
 @bennyjohnson
 @RepJimBanks
 @Jim_Jordan
 @LindseyGrahamSC
 @JohnCornyn
 @SenTedCruz",🔥 😡,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719898930971082752/pu/img/xuDT4xynDNOeY8ws.jpg'],https://twitter.com/huddytex/status/1720184384353910923
C-Bubbles,@milscarf,2023-11-03T23:52:59.000Z,"C-Bubbles
@milscarf
·
Nov 4","Well well well 
@LeaderMcConnell
 @SpeakerMcCarthy
 @SenatorRomney
 @LindseyGrahamSC
 @RepDanCrenshaw
 @JohnCornyn
 @SenRickScott
 @SenateGOP
 @HouseGOP",,,,,[],https://twitter.com/milscarf/status/1720589922057273493
Renzo Downey,@RenzoDowney,2023-11-03T23:27:27.000Z,"Renzo Downey
@RenzoDowney
·
Nov 4","FIRST in The Blast : A year and a half after the mass shooting at Robb Elementary, 
@Uvalde_CISD
 is getting $500,000 in federal school safety funds. The grant comes via the Bipartisan Safer Communities Act, shepherded last year by Sen. 
@JohnCornyn
. #txlege #Uvalde",🚀,1,4,1,[],https://twitter.com/RenzoDowney/status/1720583497104912763
George Adams,@RetiredMilGuy,2023-11-03T23:18:28.000Z,"George Adams
@RetiredMilGuy
·
Nov 4","Eat s*it 
@GOP
 @mtgreenee
 @laurenboebert
 @tedcruz
 @SenTedCruz
 @RepAndyBiggsAZ
 @MarshaBlackburn
 @RonnyJacksonTX
 @RandPaul
 @JohnCornyn
 @SenJohnKennedy",,,,1,[],https://twitter.com/RetiredMilGuy/status/1720581237029687478
Scottisatwork,@scottisatwork,2023-11-03T23:11:25.000Z,"Scottisatwork
@scottisatwork
·
Nov 4",".
@JohnCornyn
 .
@RepJeffries
 .
@MittRomney
 

I think we now know why Ukraine is the existential threat to text us from Putin

Disgusting. 

When this is proven, you should be tried as traitors",,,,,[],https://twitter.com/scottisatwork/status/1720579462851367263
Diane Britson,@DBritson,2023-11-03T22:44:47.000Z,"Diane Britson
@DBritson
·
Nov 4","That vessel is Federal Property! 
@RoystonPotter
 @beholdisrael
@rangerholton
@tedcruz
 @JohnCornyn",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1720552318050136064/pu/img/QwYQP6YV1Jdl9spa.jpg'],https://twitter.com/DBritson/status/1720572762387800317
Legiswipe,@legiswipe,2023-11-04T23:30:05.000Z,"Legiswipe
@legiswipe
·
Nov 5","""Project Safe Childhood Act""

Status: Held at the desk.

https://congress.gov/bill/118th-congress/senate-bill/1170/text…

Sponsor: 
@JohnCornyn",,,,,[],https://twitter.com/legiswipe/status/1720946550518497490
David,@Rischio_Walker,2023-11-04T23:06:38.000Z,"David
@Rischio_Walker
·
Nov 5","Why are we allowing this?
@POTUS
 @KamalaHarris
  @GovAbbott
 @SenTedCruz
 @JohnCornyn
 @ewarren
 @SpeakerJohnson
 anyone responding would be appreciated?  WHY?  This will not end well for Americans. WHY?  This is not the will of the people….",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720804479287599104/pu/img/3hF_NtxN7PyJZwRL.jpg'],https://twitter.com/Rischio_Walker/status/1720940648495210699
LovelyMsNet,@LovelyMsNet,2023-11-04T22:54:54.000Z,"LovelyMsNet
@LovelyMsNet
·
Nov 5","This PoS tricked 
@ChrisMurphyCT
 into passing ‘watered’ down gun bill. He ensured assault weapons were NOT banned - keeping NRA happy. 
@dscc
 @KHOU
 @abc13houston
 @POTUS
 @JohnCornyn
 #JaredGolden",,,,1,[],https://twitter.com/LovelyMsNet/status/1720937695625498983
Ted Cruz,@tedcruz,2023-11-04T22:30:00.000Z,"Ted Cruz
@tedcruz
·
Nov 5","I am grateful that 
@SenatorRicketts
 joined my & 
@JohnCornyn
's recent trip to the southern border. Don't miss his op-ed where he rightly points out the need to pass my Secure the Border Act to address the humanitarian crisis & threats to national security.",,52,46,281,[],https://twitter.com/tedcruz/status/1720931428467097819
Green is my favorite color,@NWTeel,2023-11-04T22:09:33.000Z,"Green is my favorite color
@NWTeel
·
Nov 5","If you want to know what time it is….  
@SenTedCruz
 @JohnCornyn
 @LindseyGrahamSC",👇,,,,[],https://twitter.com/NWTeel/status/1720926282991518147
OpenClusterTX,@OpenClusterTx,2023-11-05T23:44:56.000Z,"OpenClusterTX
@OpenClusterTx
·
Nov 6","It's time for the people in the US to wake up to the fact there is a Socialist revolution that is occurring in this country.
Socialists have infiltrated every level of government.
They are in every city & state.
@GovAbbott
 @SenTedCruz
@JohnCornyn",,,,1,[],https://twitter.com/OpenClusterTx/status/1721312672866533748
Lanie V,@LanieMV,2023-11-05T22:54:19.000Z,"Lanie V
@LanieMV
·
Nov 6","Hey 
@SenTedCruz
 @JohnCornyn
 @SheriffTNehls
 ->",,,,,[],https://twitter.com/LanieMV/status/1721299933930602504
Lanie V,@LanieMV,2023-11-05T22:52:48.000Z,"Lanie V
@LanieMV
·
Nov 6","This 
@SenTedCruz
 @JohnCornyn
 @SheriffTNehls
 ->",,,,,['https://pbs.twimg.com/amplify_video_thumb/1720912415615832065/img/WnWGPnJyCIoyV-qc.jpg'],https://twitter.com/LanieMV/status/1721299555642138953
Lanie V,@LanieMV,2023-11-05T22:52:25.000Z,"Lanie V
@LanieMV
·
Nov 6","Agreed 
@SenTedCruz
 @JohnCornyn
 @SheriffTNehls
 ->",,,,,[],https://twitter.com/LanieMV/status/1721299458795696470
Wayne Tubbs,@WayneTubbs6,2023-11-05T22:41:55.000Z,"Wayne Tubbs
@WayneTubbs6
·
Nov 6",".
@JohnCornyn
 @SenTedCruz
 We need the HCBS Relief Act NOW for people with disabilities, their families, and the direct care workforce! #CareCantWait",,,1,10,[],https://twitter.com/WayneTubbs6/status/1721296814857506865
Snarky_Malarky,@Snarky_Malarky1,2023-11-06T23:59:35.000Z,"Snarky_Malarky
@Snarky_Malarky1
·
Nov 7","I really hope someone primaries 
@JohnCornyn
 so Texas can finally be rid of him",,,,,[],https://twitter.com/Snarky_Malarky1/status/1721678746875298026
Douglas Pierre,@pdougmc,2023-11-06T22:36:10.000Z,"Douglas Pierre
@pdougmc
·
Nov 7","#Election2024  
@JohnCornyn
 Dear Senator Cornyn

I am sure you are aware of the threats made today by former President Trump that, if reelected he would use the Insurrection Act for civil disturbances. He would use the Justice Department to get revenge against people who…
Show more",,1,,2,[],https://twitter.com/pdougmc/status/1721657755830788407
