UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
JeniMac,@JennyMcMas8060,2023-11-01T23:56:55.000Z,"JeniMac
@JennyMcMas8060
?·
Nov 2","For this alone....
@JoeBiden
 @POTUS
 needs to be impeached! 
@HouseDemocrats
 @HouseGOP
 @SpeakerJohnson
 @SenateDems
 @SenateGOP
 @LeaderMcConnell
 @SenSchumer",,,,,['https://pbs.twimg.com/profile_images/1682095934858035205/5NTG2el-_mini.jpg'],https://twitter.com/JennyMcMas8060/status/1719866138299863466
Paul Zismo,@zismo64,2023-11-01T23:54:12.000Z,"Paul Zismo
@zismo64
?·
Nov 2","It's about f*cking time! Shameful 
@GOP
 allowed Sen. Traitorville to block Military Promotions weakening U.S Military readiness & our National Security. Time to END MAGA seditious traitors holding America hostage! 
@SenateGOP
 @SenateDems
 @POTUS
@chuckschumer
 @LeaderMcConnell
 ",e??? e??? e??? a?? a??,,,1,['https://pbs.twimg.com/profile_images/1286711762725871617/gA2IaqbR_mini.jpg'],https://twitter.com/zismo64/status/1719865455815565574
"Tom Snyder, Ph.D.",@FilmDoctor,2023-11-01T23:53:08.000Z,"Tom Snyder, Ph.D.
@FilmDoctor
?·
Nov 2","Marc Elias is the person who should be indicted for trying to overturn an election; he engineered the Big Steal of 2020. He's the insurrectionist, not Trump. 
@DOJCrimDiv
 @FBI
 @realDonaldTrump
 @DonaldJTrumpJr
 @SpeakerJohnson
 @LeaderMcConnell",,,,,[],https://twitter.com/FilmDoctor/status/1719865187807994316
JeniMac,@JennyMcMas8060,2023-11-01T23:50:21.000Z,"JeniMac
@JennyMcMas8060
?·
Nov 2","Don't Do It!!!!!! 
@LindseyGrahamSC
 @senjoniernst
 @SenToddYoung
 @SenDanSullivan
 @LeaderMcConnell
 @SenTuberville",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/JennyMcMas8060/status/1719864484582322500
CindyLooWho,@SuzyLooWho,2023-11-01T23:40:53.000Z,"CindyLooWho
@SuzyLooWho
?·
Nov 2","Tommy Tuberville is jeopardizing our National Security, and the lives of our Military Service Members.
Alabama voters who support Tuberville are anti-USA, and anti-military.
@SenSchumer
  @SenateDems
 @SenateGOP
 @LeaderMcConnell
 @SenTuberville",,,1,1,['https://pbs.twimg.com/card_img/1730285129149407232/ta4Z5klX?format=jpg&name=240x240'],https://twitter.com/SuzyLooWho/status/1719862102586761326
"Rob Benjamin, Slowly Migrating Away",@RobBenjamin,2023-11-01T23:39:35.000Z,"Rob Benjamin, Slowly Migrating Away
@RobBenjamin
?·
Nov 2","If 
@LeaderMcConnell
 is serious about Tuberville's obstruction being a really bad idea that weakens our national security and is a gift to our enemies, he should signal his support of a resolution to #ExpelTuberville",e??§ e??|,,2,3,['https://pbs.twimg.com/card_img/1731875662766686209/Iuut74iZ?format=jpg&name=240x240'],https://twitter.com/RobBenjamin/status/1719861773841404020
Tee Cee,@TeeCee52086152,2023-11-01T23:36:18.000Z,"Tee Cee
@TeeCee52086152
?·
Nov 2","Well 
@senategop
 @housegop
 #20RINOS
You have just emboldened The Squad even more
@SpeakerJohnson
 @LeaderMcConnell",e??? e???,1,,1,['https://pbs.twimg.com/profile_images/1723635512966107136/D6gDaAjn_mini.jpg'],https://twitter.com/TeeCee52086152/status/1719860950176616817
John,@jfyuga,2023-11-01T23:34:36.000Z,"John
@jfyuga
?·
Nov 2","Hold a floor vote 
@LeaderMcConnell
 and 
@LindseyGrahamSC
 you warmongering sellouts. No unanimous consent promotions.",,,,,"['https://pbs.twimg.com/profile_images/1599596465130700800/njeeSJmC_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719856423134253056/pu/img/CPWJin9xDphps4QJ.jpg']",https://twitter.com/jfyuga/status/1719860522009465285
John,@jfyuga,2023-11-01T23:31:32.000Z,"John
@jfyuga
?·
Nov 2",".
@LeaderMcConnell
 is a swamp creature who sold out America long ago.",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/jfyuga/status/1719859751100825685
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
?·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,['https://pbs.twimg.com/profile_images/1712221322175021056/w4GlKY4Q_mini.jpg'],https://twitter.com/JennyMcMas8060/status/1719857717395808569
Mary Harmon,@KentuckyW0man,2023-11-01T23:22:50.000Z,"Mary Harmon
@KentuckyW0man
?·
Nov 2","Maybe you should focus on 
@LeaderMcConnell
 and his minions threatening 
@TTuberville
 .",,,,,['https://pbs.twimg.com/profile_images/1583877982355177474/zmSrozDL_mini.jpg'],https://twitter.com/KentuckyW0man/status/1719857558880493822
FreddyRoo l l l l,@FreddyRoo2,2023-11-01T23:20:16.000Z,"FreddyRoo l l l l
@FreddyRoo2
?·
Nov 2",".
@LeaderMcConnell
 Why haven't you stripped 
@SenTuberville
 of all of his committees? 

Mitch, you could have an impact if you chose to do so.

Shame on all of you 
@SenateGOP
 May you all be voted out for allowing this to go on this long

#StrongerTogether",e???,,,,[],https://twitter.com/FreddyRoo2/status/1719856913909764277
Conservative Corner,@GJConservative,2023-11-01T23:17:49.000Z,"Conservative Corner
@GJConservative
?·
Nov 2","So what McTurtle. 
Just separate the Bills and 
SHUT DOWN 
OUR FUCKING BORDER 
OR NO ONE GETS A FUCKING DIME. 
GET IT 
AMERICA 
NEEDS OUR 
BORDER SECURED 
@SpeakerJohnson
 
Show more",,,,,"['https://pbs.twimg.com/profile_images/1688569336716267520/aya-qN73_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719794701006487552/pu/img/s2QlImrAjsvIo4Km.jpg']",https://twitter.com/GJConservative/status/1719856296805933514
