UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Salty Berserker,@TQualtieri,2023-11-01T23:46:30.000Z,"Salty Berserker
@TQualtieri
·
Nov 2","They cheated and the Democrats will cheat again. 
@timkaine
 @MarkWarner",,,1,2,[],https://twitter.com/TQualtieri/status/1719863514393706667
Sam Hill,@superfly123ABC,2023-11-01T23:04:05.000Z,"Sam Hill
@superfly123ABC
·
Nov 2","$MMTLP DAY 328
@SpeakerJohnson
 @PatrickMcHenry
 @RepJamesComer
 @MikeCrapo
 @RepRalphNorman
 @JDVance1
 @RepDavidValadao
 @NormaJTorres
 @RepEliCrane
 @PeteSessions
 @MarkWarner
 @SenJohnKennedy
 @RepAnnWagner
 @AndyOgles
 
Please, we need reconciliation! ",⬇,2,34,44,[],https://twitter.com/superfly123ABC/status/1719852842549191043
Jeremy J. Wilson,@JeremyW76322101,2023-11-01T22:31:45.000Z,"Jeremy J. Wilson
@JeremyW76322101
·
Nov 2","Satellite  Encrypted 
@MarkWarner",🛰,,,1,[],https://twitter.com/JeremyW76322101/status/1719844703154188405
Jeremy J. Wilson,@JeremyW76322101,2023-11-01T22:26:19.000Z,"Jeremy J. Wilson
@JeremyW76322101
·
Nov 2","BlackberryBusiness Model X
@elonmusk
 
@MarkWarner
 ",® ®,,,1,[],https://twitter.com/JeremyW76322101/status/1719843338512216555
larry duncan,@JazzLPcollector,2023-11-01T22:18:00.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @NewYorkStateAG
 @FultonCountyDA
 @ManhattanDA
 @DCAttorneyGen",,,,,[],https://twitter.com/JazzLPcollector/status/1719841243000373484
larry duncan,@JazzLPcollector,2023-11-01T22:17:06.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @NewYorkStateAG
 @FultonCountyDA
 @ManhattanDA
 @DCAttorneyGen",,,,,[],https://twitter.com/JazzLPcollector/status/1719841019553042891
larry duncan,@JazzLPcollector,2023-11-02T23:52:14.000Z,"larry duncan
@JazzLPcollector
·
Nov 3",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @NewYorkStateAG
 @FultonCountyDA
 @ManhattanDA
 @DCAttorneyGen",😐,,,,[],https://twitter.com/JazzLPcollector/status/1720227348145217992
larry duncan,@JazzLPcollector,2023-11-02T23:45:39.000Z,"larry duncan
@JazzLPcollector
·
Nov 3",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 

@LisaMonaco
 fine. How about 2016 russian money to the Republican Party? Investigation?",👀,,,,[],https://twitter.com/JazzLPcollector/status/1720225689805406237
David Clayton,@PanRationalis,2023-11-02T23:40:15.000Z,"David Clayton
@PanRationalis
·
Nov 3","Dear 
@joniernst
 @LindseyGrahamSC
 @MarkWarner
 @timkaine
:

Why not go into continuous session, GOP senators who want to do this rotate through presiding and proposing, and keep going until the jackass winds up unconscious. We’ll see how long you can work 20 hour days you POS.",,,,,[],https://twitter.com/PanRationalis/status/1720224331588866324
Sam Hill,@superfly123ABC,2023-11-02T23:31:34.000Z,"Sam Hill
@superfly123ABC
·
Nov 3","$MMTLP DAY 329.
“I believe we’re going to find that this is one of the Mother Lodes of the difference between Real Shares and COUNTERFEIT SHARES.”
   -Wes Christian 
@SpeakerJohnson
 @JamesComer
 @PatrickMcHenry
 @MikeCrapo
 @JDVance1
 @RepRalphNorman
 @MarkWarner
 @RepDavidValadao
 ",⬇ 🚨 🚨 😘 😱 👀 👀 👀 👂 👂 👂 👂 💯 💯 💯 👏 👏 👌,2,36,60,['https://pbs.twimg.com/amplify_video_thumb/1719606492406673408/img/PYK9LARcwpzrd_3I.jpg'],https://twitter.com/superfly123ABC/status/1720222145953816997
