UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Glenda Murphy,@TrutherUSA1_,2023-11-01T23:59:35.000Z,"Glenda Murphy
@TrutherUSA1_
·
Nov 2","Anthony Aguero is live in CA  
@TuckerCarlson
  @realDonaldJNews
  @Breaking911
  @mattgaetz
 @mtgreenee
  @SenTedCruz
  @MarshaBlackburn
  @RealAmVoice
  @realTT1776",,,,,[],https://twitter.com/TrutherUSA1_/status/1719866810328326176
Golden10212008,@golden10212008,2023-11-01T23:45:24.000Z,"Golden10212008
@golden10212008
·
Nov 2","This needs priority 
@MarshaBlackburn",🚨 🚨,,,,"['https://pbs.twimg.com/profile_images/1698489033104429056/xUyKOKuP_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719815828776886272/img/QUxJf08bD72mqZvP.jpg', 'https://pbs.twimg.com/media/F94DYl7XMAAIHpz?format=jpg&name=small']",https://twitter.com/golden10212008/status/1719863239335453107
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Lowell Mennenga,@LowellSavoy,2023-11-01T23:37:56.000Z,"Lowell Mennenga
@LowellSavoy
·
Nov 2","Yep… but remember 000s went to war on bad info and hundreds of 000s suffered. 

Loans R but one small step… LIFE … never get it back. 
@MariaBartiromo
 @GovAbbott
 @SenTedCruz
 @MarshaBlackburn",🔊,,,,"['https://pbs.twimg.com/profile_images/1482179968083836928/7prxRZ4M_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719523498400292864/pu/img/orpsNGHuSJV7bHFo.jpg']",https://twitter.com/LowellSavoy/status/1719861362153619715
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,['https://pbs.twimg.com/profile_images/1712221322175021056/w4GlKY4Q_normal.jpg'],https://twitter.com/JennyMcMas8060/status/1719857717395808569
Scott P,@ScottPFL,2023-11-01T21:28:57.000Z,"Scott P
@ScottPFL
·
Nov 2","Assuming true, #Harvard needs to identify and expel everyone involved in that harassment. If not a student, then prosecuted!  Who can get this done?
@MarshaBlackburn
 @EliseStefanik
 @SenMarkey",,,,,"['https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719647685508997120/pu/img/SVBubrsOiYr_JdXv.jpg']",https://twitter.com/ScottPFL/status/1719828901734629724
atomic,@1999,2023-11-01T21:27:50.000Z,"atomic
@1999
·
Nov 2","This is a helpful reminder to 
@VoteGloriaJ
 and put 
@MarshaBlackburn
 with the rest of the garbage!",,,,1,"['https://pbs.twimg.com/profile_images/870708796980510724/yvvD5Pbe_normal.jpg', 'https://pbs.twimg.com/media/F9osywbXgAEjLdq?format=jpg&name=900x900']",https://twitter.com/1999/status/1719828619608920388
Veronica Gliatti,@vgliatti,2023-11-01T21:19:33.000Z,"Veronica Gliatti
@vgliatti
·
Nov 2","#BreastCancerAwarenessMonth  may be over but those fighting the disease will continue to have it on the forefront of our minds. Please increase the ability for Americans to pay for treatment!  
@MarshaBlackburn
 @CoryBooker",,,,,['https://pbs.twimg.com/media/F94NHyJWIAA7sgO?format=jpg&name=240x240'],https://twitter.com/vgliatti/status/1719826536948191435
Radio Free America,@RogerGreeson,2023-11-01T21:14:59.000Z,"Radio Free America
@RogerGreeson
·
Nov 2","Republican Senators need to bypass this feckless president and fan out across the capitols of Europe and tell their leaders the US will not fund Ukraine. If Europe wants to stop Putin, it damned time they do it. 
@SenatorBraun
 
@SenTedCruz
 
@MarshaBlackburn
 
@RandPaul",©,,,,[],https://twitter.com/RogerGreeson/status/1719825387843166254
Kristina Wong,@kristina_wong,2023-11-01T21:05:28.000Z,"Kristina Wong
@kristina_wong
·
Nov 2","Ex-CBP Chief Mark Morgan Tells 
@MarshaBlackburn
 that an Israel-Type Attack Could ‘Absolutely’ Happen in U.S. https://breitbart.com/politics/2023/11/01/exclusive-former-acting-cbp-commissioner-says-israel-type-attacks-could-absolutely-happen-u-s/… via 
@BreitbartNews",,17,22,54,['https://pbs.twimg.com/card_img/1729980719999451136/GLZMp6a-?format=jpg&name=small'],https://twitter.com/kristina_wong/status/1719822993147187361
