UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719860838809387387
Sam Hill,@superfly123ABC,2023-11-01T23:04:05.000Z,"Sam Hill
@superfly123ABC
·
Nov 2","$MMTLP DAY 328
@SpeakerJohnson
 @PatrickMcHenry
 @RepJamesComer
 @MikeCrapo
 @RepRalphNorman
 @JDVance1
 @RepDavidValadao
 @NormaJTorres
 @RepEliCrane
 @PeteSessions
 @MarkWarner
 @SenJohnKennedy
 @RepAnnWagner
 @AndyOgles
 
Please, we need reconciliation! ",⬇,2,34,44,['https://pbs.twimg.com/profile_images/1702324984155361280/I_shxwGK_normal.jpg'],https://twitter.com/superfly123ABC/status/1719852842549191043
Senator Mike Crapo,@MikeCrapo,2023-11-01T21:26:19.000Z,"Senator Mike Crapo
@MikeCrapo
·
Nov 2","New changes to Medicaid Drug Rebate Programs could risk cutting access to prescription drugs while offering no real benefits for patients. The government should develop improvements to Medicaid that expand access to prescription drugs, not threaten it.",,19,1,6,['https://pbs.twimg.com/card_img/1727653227754098688/zfbdsc1r?format=jpg&name=900x900'],https://twitter.com/MikeCrapo/status/1719828238317289902
Bonnie Wood,@blew_bird,2023-11-01T21:14:04.000Z,"Bonnie Wood
@blew_bird
·
Nov 2","cc 
@SenatorRisch
 @MikeCrapo
 @SpeakerJohnson",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_normal.png'],https://twitter.com/blew_bird/status/1719825156640784632
Sam Hill,@superfly123ABC,2023-11-01T19:39:07.000Z,"Sam Hill
@superfly123ABC
·
Nov 2","$MMTLP DAY 328.
THIS IS THE SMOKING GUN! 
@SpeakerJohnson
 @RepJamesComer
 @PatrickMcHenry
 @MikeCrapo
 @RepRalphNorman
 @JDVance1
 @RepDavidValadao
 @NormaJTorres
 @RepEliCrane
 @RepAnnWagner
 @AndyOgles
 @SenJohnKennedy
 @MarkWarner
 @ByronDonalds
 @PeteSessions
 Can you say collusion?! ",🔥 ⬇,2,69,81,"['https://pbs.twimg.com/profile_images/1644527861121036288/z3WKnX1Y_normal.jpg', 'https://pbs.twimg.com/media/F93MMDxbwAA34SS?format=jpg&name=900x900']",https://twitter.com/superfly123ABC/status/1719801261917196350
Sam Hill,@superfly123ABC,2023-11-01T15:26:42.000Z,"Sam Hill
@superfly123ABC
·
Nov 1","$MMTLP DAY 328.
Assets stolen and counterfeit shares in return.
#SubpoenaGaryGensler
#SubpoenaRobertCook
#SubpoenaCertifiedShareCount
Please help us w/ Reconciliation. We are hurting financially due to #FinraFraud.  
@SpeakerJohnson
 @RepJamesComer
 @PatrickMcHenry
 
@MikeCrapo
 ",⬇,1,23,34,[],https://twitter.com/superfly123ABC/status/1719737736666513667
Lance Reiber,@Larsdad45,2023-11-01T14:51:04.000Z,"Lance Reiber
@Larsdad45
·
Nov 1",".
@SenatorRisch
 @MikeCrapo
 Hopefully you are on board with this",‼ 🚨 🚨 ‼,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/Larsdad45/status/1719728770012344548
Vic-μετα. FutureTechStock,@Victortyc,2023-11-01T14:34:18.000Z,"Vic-μετα. FutureTechStock
@Victortyc
·
Nov 1","$MMTLP $FNGR $GTII 
@SECGov
 @GaryGensler
 
Can we have Gary to explain this to 
@MikeCrapo
 @PatrickMcHenry
 what their website is saying about Counterfeit shares?",🦋 🦋,,2,4,['https://pbs.twimg.com/media/F92wXTnaIAAqI2C?format=jpg&name=900x900'],https://twitter.com/Victortyc/status/1719724550467006590
BobbysTrades,@Bobbysview,2023-11-01T13:48:14.000Z,"BobbysTrades
@Bobbysview
·
Nov 1","Day 327 since 
@Finra
 Halted #MMTLP without warning, and took my retirement money. 
@GaryGensler
 continues to stonewall Congress. @RepMikeJohnson
@FinancialCmte
 @MikeCrapo
 @RepRalphNorman
#SUBPOENAGARYGENSLER for the share count. They are hiding it. The World is watching 
@cvpayne",,6,44,66,"['https://pbs.twimg.com/media/F92ly01bgAATQp0?format=jpg&name=small', 'https://pbs.twimg.com/media/F92l0Nca4AAmRzN?format=jpg&name=small']",https://twitter.com/Bobbysview/status/1719712959361098175
Senator Mike Crapo,@MikeCrapo,2023-11-01T13:30:56.000Z,"Senator Mike Crapo
@MikeCrapo
·
Nov 1","Thank you to 
@juliemason
 for allowing me to join the show.  Our discussion on the CARS Act and Israel was insightful and it was a pleasure to speak with you.",,17,4,13,['https://pbs.twimg.com/card_img/1729600658469183488/W5u22l0_?format=png&name=240x240'],https://twitter.com/MikeCrapo/status/1719708602984796407
A.M.,@AM93320867,2023-11-01T13:07:28.000Z,"A.M.
@AM93320867
·
Nov 1","#MMTLP 
@MikeCrapo
 @SpeakerJohnson
 @PatrickMcHenry
 @FinancialCmte
 Senator Crapo, it is now Nov 1st, 
@GaryGensler
 is still stonewalling you & Congress. Honest Americans/First Responders/Veterans/Retirees NEED A RESOLUTION to the #MMTLPFiasco! We are hurting!! PLEASE HELP!!",,,,1,"['https://pbs.twimg.com/profile_images/2286763334/atyer80hkqhdwmgk73t0_normal.jpeg', 'https://pbs.twimg.com/media/F9Zca19WYAAe037?format=jpg&name=900x900']",https://twitter.com/AM93320867/status/1719702697597599849
Richard K,@Richard12273382,2023-11-01T10:48:38.000Z,"Richard K
@Richard12273382
·
Nov 1","#MMTLP $MMTLP
@FinancialCmte
@GSA_OIG
 
@MikeCrapo
@USGAO
@FINRA
@DHSgov
@SECGov
@cvpayne
@elonmusk
Show more",,,18,22,['https://pbs.twimg.com/card_img/1729193611881840640/v7XbzjIe?format=jpg&name=360x360'],https://twitter.com/Richard12273382/status/1719667758990766142
acegagetsrus,@acegagetsrus,2023-11-01T07:28:45.000Z,"acegagetsrus
@acegagetsrus
·
Nov 1","#crime on a massive scale, who knows aiding & abbetting terrorists! The biggest crime in US History! 
@SpeakerJohnson
 @FinancialCmte
 @MikeCrapo
 @ChrisRoseWV
 #finrafraud #CitadelScandal Crime pays when congress is being paid off 
@GaryGensler
 @SECGov
 @FBILosAngeles
 CAT System now!",,,,,"['https://pbs.twimg.com/profile_images/1679623024776212480/kp5FqRMi_normal.jpg', 'https://pbs.twimg.com/media/F9xjg7xawAAAo4O?format=jpg&name=large']",https://twitter.com/acegagetsrus/status/1719617456719761837
