UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Master,@USPATRIOT99,2023-11-01T19:54:53.000Z,"Master
@USPATRIOT99
·
Nov 2","Very clear 
@ReverendWarnock
 has chosen the praises of man over the praises of God. 
@MSNBC
 @NBCNews
 @FoxNews",,,,,[],https://twitter.com/USPATRIOT99/status/1719805229351289190
ⓜⓞⓤⓡⓔⓔⓝ,@mourxxn,2023-11-01T19:15:22.000Z,"ⓜⓞⓤⓡⓔⓔⓝ
@mourxxn
·
Nov 2","Israeli leader talking about how the biggest problem for them is young Black people, but not to worry bc they have Black leaders on their payroll. I know they’re talking about 
@ReverendWarnock
 for this one. A whole Christian reverend whose morals are bought & paid for by a lobby.",,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1719795245318049792/pu/img/UPqEKZo25WOkqswW.jpg'],https://twitter.com/mourxxn/status/1719795285306818645
Taylor Popielarz,@TaylorPopielarz,2023-11-01T17:18:39.000Z,"Taylor Popielarz
@TaylorPopielarz
·
Nov 2","Georgia Senator 
@ReverendWarnock
, who is no stranger to tough election fights, visited Ohio over the weekend to campaign alongside 
@SherrodBrown
, who is among the most vulnerable Senate Democrats up for reelection in 2024. #OHSen",,,2,5,[],https://twitter.com/TaylorPopielarz/status/1719765911555436656
Sherrod Brown,@SherrodBrown,2023-11-01T17:14:29.000Z,"Sherrod Brown
@SherrodBrown
·
Nov 2","Connie and I enjoyed spending the weekend in Cleveland with my good friend, Senator 
@ReverendWarnock
. 

I’m grateful to have his support as we fight for the Dignity of Work.",,78,743,649,[],https://twitter.com/SherrodBrown/status/1719764863478596012
David Clinch,@DavidClinchNews,2023-11-02T23:19:41.000Z,"David Clinch
@DavidClinchNews
·
Nov 3","Watching 
@morsea
, the publisher of the 
@ajc
, speaking about the ambitious initiatives that they are launching to tell, and own, the story of the amazing city of ATLANTA!! And Preach 
@ReverendWarnock
 @SenatorWarnock",,,1,1,[],https://twitter.com/DavidClinchNews/status/1720219154114920638
,@ToneDagger,2023-11-02T21:20:44.000Z,"@ToneDagger
·
Nov 3","Vote! 
@SenOssoff
 @ReverendWarnock",❤ 💪 ‼ 🚨 🚨 ‼,,,,[],https://twitter.com/ToneDagger/status/1720189221980512319
I Milhaus,@IMilhaus,2023-11-02T20:58:42.000Z,"I Milhaus
@IMilhaus
·
Nov 3","It would have been great it one of the 4 Black Senators 
@votetimscott
 @SenBooker
 @ReverendWarnock
 @LaphonzaB
 would have been 1st, but they all have turned a blind eye to #IsraeliApartheid and probably take #AIPAC money…..so props to Dick Durbin #CeasefireForGaza #Sellouts",🪬,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720093978878767104/pu/img/eSyoyF1o3A8iQzHM.jpg'],https://twitter.com/IMilhaus/status/1720183675243913677
Meredyth Yoon,@mereyoon,2023-11-02T20:12:53.000Z,"Meredyth Yoon
@mereyoon
·
Nov 3","Asian Americans stand firmly with the people of Palestine. We demand an immediate ceasefire & implore 
@POTUS
 to condemn & discontinue material support for this genocide that the US is aiding & abetting in violation of international law. #Gaza #gapol 
@VP
 @ossoff
 @ReverendWarnock",,,,,[],https://twitter.com/mereyoon/status/1720172147782361475
Lindsey,@RedheadBabyMama,2023-11-02T20:07:56.000Z,"Lindsey
@RedheadBabyMama
·
Nov 3","the torture continues... The torture continues... https://time.com/6330561/what-to-know-daylight-saving-time-change/… 
@ReverendWarnock
 @ossoff",,,,2,[],https://twitter.com/RedheadBabyMama/status/1720170899662340561
Barrie Gellis,@Barriefg,2023-11-03T22:56:48.000Z,"Barrie Gellis
@Barriefg
·
Nov 4","GOP: Let us pass gun laws while you pray for the second amendment.
@RepMaxineWaters
 @AOC
 @RepDean
 @clairecmc
 
@RepLindaSanchez
 
@malcolmkenyatta
@MalloryMcMorrow
@SenBooker
 @alfranken
 
@BetoORourke
@DebDingell
@staceyabrams
 @ossoff
 
@ReverendWarnock
 
Show more",,,,,[],https://twitter.com/Barriefg/status/1720575786871128528
rajawi filistini,@farmereva_,2023-11-03T18:06:12.000Z,"rajawi filistini
@farmereva_
·
Nov 4","earlier this year i wrote this essay on the Black Misleadership Class. 

the context was cop city, but as i make my nightly calls to 
@NikemaWilliams
 and 
@ReverendWarnock
’s office and watch Eric Adams and Ritchie Torres froth at the mouth for genocide, i think it’s still relevant.",,,2,5,[],https://twitter.com/farmereva_/status/1720502650972860728
Katie,@1stbornAmerican,2023-11-03T17:51:12.000Z,"Katie
@1stbornAmerican
·
Nov 4","Senators 
@ossoff
 and 
@ReverendWarnock
, please demonstrate you are sincere about supporting Israel by voting for the House-passed bill for Israel.
#gapol",⬇,,1,2,"['https://pbs.twimg.com/profile_images/1673343202785476616/L7HBDs-w_bigger.jpg', 'https://pbs.twimg.com/media/F-QzYlPWMAAkR4C.jpg']",https://twitter.com/1stbornAmerican/status/1720498879127310364
b w,@monsieurmoscato,2023-11-03T01:01:33.000Z,"b w
@monsieurmoscato
·
Nov 3","I have written follow-up letters to the WH OLA & to the offices of Rep. 
@SanfordBishop
, Sen 
@ossoff
/ 
@SenOssoff
, & Sen 
@ReverendWarnock
/
@SenatorWarnock
 to renew their efforts for answers on drinking water contamination from military bases & resources for clean-up #gapol #gadems",🧦 🏛 🧦 🏛,,3,6,[],https://twitter.com/monsieurmoscato/status/1720244791122841650
Nafis Ur Rehman,@NafisUrRehman,2023-11-04T14:21:38.000Z,"Nafis Ur Rehman
@NafisUrRehman
·
Nov 4","""Dear 
@ReverendWarnock
, Urgently calling for your intervention to halt all violence in Israel-Palestine conflict.

 I advocate for restraint from all sides and demand that Israel ceases indiscriminate bombing in Gaza.

 Innocent lives are at stake.

 #EndTheViolence #Gaza""",,,,,[],https://twitter.com/NafisUrRehman/status/1720808527894049078
Bangladesher Kotha,@Bangladesherko,2023-11-04T08:48:42.000Z,"Bangladesher Kotha
@Bangladesherko
·
Nov 4","Prime Minister Sheikh Hasina set to open Dhaka Metro Rail's long-awaited Agargaon-Motjheel sectioon 

people are eager for relief from traffic stress on the route

#Agargaon #Motjheel #sectioon #Dhaka #Metro #Rail
@SenatorWarnock
 @ReverendWarnock
 @SenWarren",,,,,[],https://twitter.com/Bangladesherko/status/1720724741093543953
Year of the Jaguar,@2Tbatteh,2023-11-04T04:46:17.000Z,"Year of the Jaguar
@2Tbatteh
·
Nov 4","They are dragging dead Palestinians through the desert. For the love of God stop this genocide 
@RepNikema
 @NikemaWilliams
 @ossoff
 @SenOssoff
 @SenatorWarnock
 @ReverendWarnock",,,,,[],https://twitter.com/2Tbatteh/status/1720663736283762923
