UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
stilwellinks,@stilwellinks,2023-11-02T23:40:23.000Z,"stilwellinks
@stilwellinks
·
Nov 3","Privatize USPS!  This is a FAILED taxpayer funded operation.
@SpeakerJohnson
 
@sharicedavids
 
@RogerMarshallMD
 
@JerryMoran
 
@mattgaetz
 
@RepMTG",,,,1,[],https://twitter.com/stilwellinks/status/1720224363109077464
Dr. Roger Marshall,@RogerMarshallMD,2023-11-02T23:20:32.000Z,"Dr. Roger Marshall
@RogerMarshallMD
·
Nov 3","DHS Secretary Mayorkas, in his testimony this week, made it abundantly clear- this administration has no operational control of our nation's border. 

The 600,000 ""gotaways"" is just the tip of the iceberg.",,43,55,138,['https://pbs.twimg.com/amplify_video_thumb/1720218595257425920/img/VGOJenJ9ZxqRqkZo.jpg'],https://twitter.com/RogerMarshallMD/status/1720219371476320461
Dr. Roger Marshall,@RogerMarshallMD,2023-11-02T21:46:49.000Z,"Dr. Roger Marshall
@RogerMarshallMD
·
Nov 3",The Tzedek Association is the real deal.,,9,25,78,"['https://pbs.twimg.com/profile_images/1637446599340171264/SdJbEixl_mini.jpg', 'https://pbs.twimg.com/media/F938P4jWkAAQd5M?format=jpg&name=small']",https://twitter.com/RogerMarshallMD/status/1720195785726320704
Dr. Roger Marshall,@RogerMarshallMD,2023-11-02T20:33:45.000Z,"Dr. Roger Marshall
@RogerMarshallMD
·
Nov 3",The same sanctuary city Democrats that embraced Joe Biden’s open border policies are now crying for help in their overrun cities. You cannot put the genie back in the bottle. This is what you voted for:,,25,10,46,['https://pbs.twimg.com/media/F99MNvlWEAA0lg5?format=jpg&name=small'],https://twitter.com/RogerMarshallMD/status/1720177395523633548
Dr. Roger Marshall,@RogerMarshallMD,2023-11-02T19:06:38.000Z,"Dr. Roger Marshall
@RogerMarshallMD
·
Nov 3","There is an INVASION at our southern border impacting every community across America. My legislation requires the Biden Admin. to notify state & local government officials about where they are transporting migrants. Americans deserve to know who is being pushed into their…
Show more",,71,40,140,[],https://twitter.com/RogerMarshallMD/status/1720155472571875444
The Electronic Payments Coalition,@EPC_Updates,2023-11-02T18:07:09.000Z,"The Electronic Payments Coalition
@EPC_Updates
·
Nov 3","Hey 
@RogerMarshallMD
– Call your office. In 2017 you voted to eliminate UDAAP authority at the 
@CFPB
 but when it came time for political retribution on those opposing your bill, you had no problem weaponizing that same provision against US companies. #BigGovernment #kansasvalues?",,,,1,[],https://twitter.com/EPC_Updates/status/1720140502383616238
Ken McIntyre,@KenMac55,2023-11-02T16:38:40.000Z,"Ken McIntyre
@KenMac55
·
Nov 3","In an interview with 
@Virginia_Allen5
,  Sen. 
@RogerMarshallMD
 calls on the Senate to pass ""funding strictly for Israel to fight"" Hamas terrorists.",,1,3,2,['https://pbs.twimg.com/card_img/1730354142734843904/42e9ItGo?format=jpg&name=small'],https://twitter.com/KenMac55/status/1720118234681155600
Surfer Girl,@surferdude1706,2023-11-02T14:07:58.000Z,"Surfer Girl
@surferdude1706
·
Nov 2","WTF IS THIS 
@TomCottonAR
 @tedcruz
 @SpeakerJohnson
 @RandPaul
 @RogerMarshallMD",,,,,"['https://pbs.twimg.com/profile_images/428947244323049472/qWeRiNB4_mini.png', 'https://pbs.twimg.com/profile_images/1706335295673643008/oZ6-fC_p_bigger.jpg']",https://twitter.com/surferdude1706/status/1720080313660137897
Dr. Roger Marshall,@RogerMarshallMD,2023-11-02T13:31:31.000Z,"Dr. Roger Marshall
@RogerMarshallMD
·
Nov 2",".
@AFPhq
: ICYMI: Senator Marshall Questions DHS Secretary Mayorkas on AFP Foundation’s Disclosure He Used Personal Emails for Official Business",,24,8,22,['https://pbs.twimg.com/card_img/1729960096497606656/2MwbIQFY?format=jpg&name=small'],https://twitter.com/RogerMarshallMD/status/1720071137336373715
AB Campbell,@BisonBlaine,2023-11-02T04:39:21.000Z,"AB Campbell
@BisonBlaine
·
Nov 2",".
@RogerMarshallMD
 Did you ever meet Dr. kermit Gosnell ? Are y'all  homeboys? Why are trying to create more Kermit Gosnells?
How many women do you want to die? When will you be satisfied?",,,,,['https://pbs.twimg.com/profile_images/1601595102526406657/5kdgDHq8_mini.jpg'],https://twitter.com/BisonBlaine/status/1719937216397431264
toddstarnes,@toddstarnes,2023-11-02T04:35:29.000Z,"toddstarnes
@toddstarnes
·
Nov 2","Defund any public or private school that refuses to protect Jews and Christians. On today's show: 
@RealBenCarson
 
@RepMarkGreen
 
@RogerMarshallMD
 
@BrilynHollyhand",,4,12,69,[],https://twitter.com/toddstarnes/status/1719936242865902063
John R. Whitmer,@JohnRWhitmer,2023-11-02T04:29:50.000Z,"John R. Whitmer
@JohnRWhitmer
·
Nov 2","Kudos to 
@RogerMarshallMD
 for at least attempting to get Mayorkas to answer questions, the level of obvious disregard and disrespect from the Director of Homeland Security toward the American people was palpable, he's a disgrace and should be impeached!",,,2,4,"['https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_mini.jpg', 'https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719760757804466176/img/wFAwsy0-kErkWI9F.jpg']",https://twitter.com/JohnRWhitmer/status/1719934818438316369
Elizabeth Patton,@lizannpatton,2023-11-02T00:41:56.000Z,"Elizabeth Patton
@lizannpatton
·
Nov 2","Thank you, 
@RogerMarshallMD
 for bringing more transparency and accountability to DC",,1,2,6,['https://pbs.twimg.com/profile_images/1637819484642705408/l4D2kEaN_mini.jpg'],https://twitter.com/lizannpatton/status/1719877466259431477
LK Warner,@lkwarner61,2023-11-03T19:49:12.000Z,"LK Warner
@lkwarner61
·
Nov 4","The only senator to vote against the Admiral during confirmation: 
@RogerMarshallMD
  Really? Kansas we deserve better than Marshall. He is out of step with his fellow senators and with Kansas values. Why did he vote against her? No good reason for sure- she is eminently qualified.",,11,14,54,"['https://pbs.twimg.com/profile_images/1535252901970317315/FrdN7_ry_mini.jpg', 'https://pbs.twimg.com/media/F-B5ggWWAAAmyDn?format=jpg&name=small']",https://twitter.com/lkwarner61/status/1720528571607760922
Senator Jerry Moran,@JerryMoran,2023-11-03T16:42:48.000Z,"Senator Jerry Moran
@JerryMoran
·
Nov 4","Construction has begun on a new U.S. Correctional Institution in Leavenworth. I joined 
@RogerMarshallMD
 @GovLauraKelly
 and Mayor Jermaine Wilson to break ground on the new facility that will replace the oldest federal penitentiary in the country.",,13,2,15,['https://pbs.twimg.com/media/F-BgVy5W4AAegkm?format=jpg&name=small'],https://twitter.com/JerryMoran/status/1720481663522570346
Doodle Mom,@twodoodle,2023-11-03T16:57:56.000Z,"Doodle Mom
@twodoodle
·
Nov 4","......and there it is, ""some Republican cheers""
@RepRonEstes
 @RepLaTurner
 @RepMann
 @RogerMarshallMD
 @JerryMoran",🌻 🔥 🔥,,1,1,['https://pbs.twimg.com/profile_images/1184996773217091585/NZfcmAuS_mini.jpg'],https://twitter.com/twodoodle/status/1720485473661985043
Suzanne,@lifersch,2023-11-03T17:00:44.000Z,"Suzanne
@lifersch
·
Nov 4",".
@RogerMarshallMD
 calls on the Senate to pass ""funding strictly for Israel to fight"" Hamas terrorists.",,,,,['https://pbs.twimg.com/card_img/1730354142734843904/42e9ItGo?format=jpg&name=small'],https://twitter.com/lifersch/status/1720486176350474563
Maria Hamby,@maria_hamby45,2023-11-03T14:16:34.000Z,"Maria Hamby
@maria_hamby45
·
Nov 3",".
@RogerMarshallMD
 calls on the Senate to pass ""funding strictly for Israel to fight"" Hamas terrorists.",,,,,['https://pbs.twimg.com/card_img/1730354142734843904/42e9ItGo?format=jpg&name=small'],https://twitter.com/maria_hamby45/status/1720444863756271998
Legiswipe,@legiswipe,2023-11-03T08:00:35.000Z,"Legiswipe
@legiswipe
·
Nov 3","""A bill making emergency supplemental appropriations to respond to the attacks in Israel for the fiscal year ending September 30,...""

Status: Read twice and referred to the Committee on A...

https://congress.gov/bill/118th-congress/senate-bill/3210/text…

Sponsor: 
@RogerMarshallMD",,,,,[],https://twitter.com/legiswipe/status/1720350244762685893
Bea,@BPryvet,2023-11-03T03:41:48.000Z,"Bea
@BPryvet
·
Nov 3","Hey 
@RogerMarshallMD
 …you were the only NO vote. Is that because you hate women? Is it your belief that because you want to dictate what women do with their own bodies, they certainly can’t lead in the military? all day long",🖕 🖕 🖕,,,,[],https://twitter.com/BPryvet/status/1720285121427746860
