UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dakota,@Dakota_150,2023-11-01T21:27:08.000Z,"Dakota
@Dakota_150
·
Nov 2","I stand with 
@PlzSolveCFS
 in supporting the #LongCovidSupportAct Act. 
@SenAmyKlobuchar
 @SenTinaSmith
 will you join me? People with infection-associated chronic illnesses are counting on you! #StopTheLongHaul #MECFS #LongCOVID",,,,,[],https://twitter.com/Dakota_150/status/1719828445146869836
Angie Craig,@RepAngieCraig,2023-11-01T21:18:01.000Z,"Angie Craig
@RepAngieCraig
·
Nov 2","Biofuels production is critical to lowering energy costs & reducing emissions, but current EPA standards are outdated.
 
I’m leading a bipartisan bill with 
@SenAmyKlobuchar
 to update those standards & make it easier for Minnesota corn and soybean growers to get the job done.",,5,12,21,[],https://twitter.com/RepAngieCraig/status/1719826148295610838
Diane Lange,@DclareDiane,2023-11-01T19:59:25.000Z,"Diane Lange
@DclareDiane
·
Nov 2","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
Why isn't the border between US and Mexico secured?
Do you believe the Biden/Harris Administration when they say it is not opened?
My thoughts to you if you believe them: silly you!",,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719795759489417216/pu/img/6IlNDTvfinEoS9ln.jpg'],https://twitter.com/DclareDiane/status/1719806368863908130
Diane Lange,@DclareDiane,2023-11-01T19:41:21.000Z,"Diane Lange
@DclareDiane
·
Nov 2","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
needing votes?
Seems more likely every day that Congress ignores the national security threats coming across open southern border.
How trite can some politicians be?",,,,,[],https://twitter.com/DclareDiane/status/1719801821898690784
Committee for Safe and Secure Elections,@csselex,2023-11-01T19:17:38.000Z,"Committee for Safe and Secure Elections
@csselex
·
Nov 2","CSSE and friends of CSSE are testifying in front US 
@SenateRules
 about #election worker harassment & intimidation, and broader election administration issues. Thank you 
@SenAmyKlobuchar
 & 
@SenatorFischer
  for holding this important hearing almost 1 year out from #Election2024.",,,6,15,[],https://twitter.com/csselex/status/1719795853378957685
Senator Amy Klobuchar,@SenAmyKlobuchar,2023-11-02T23:12:37.000Z,"Senator Amy Klobuchar
@SenAmyKlobuchar
·
Nov 3","When parents send their kids to college, they expect they'll get a good education and make friends. The heartbreaking reality is that sometimes students are harmed, or even killed, by hazing. I'm leading a bipartisan bill with 
@SenBillCassidy
 to stop this abuse & keep kids safe.",,32,21,73,[],https://twitter.com/SenAmyKlobuchar/status/1720217378477224255
Diane Lange,@DclareDiane,2023-11-02T22:51:42.000Z,"Diane Lange
@DclareDiane
·
Nov 3","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
- activists and students along with support from at least a few in Congress have decided Hamas vs. Israel is just a war of religions.
Makes supporting either side is a sticky wicket.
As bad as supporting fascism over communism",,,,,[],https://twitter.com/DclareDiane/status/1720212115191898173
Diane Lange,@DclareDiane,2023-11-02T22:44:23.000Z,"Diane Lange
@DclareDiane
·
Nov 3","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
Trumps' NYC fraud trial - signing off on expert work a crime?
Congress could be in big trouble, do they even take the time to sign-off on new regulatory from how many agencies they allow to do Congress' authority?",,,,,[],https://twitter.com/DclareDiane/status/1720210271589793854
Diane Lange,@DclareDiane,2023-11-02T22:06:04.000Z,"Diane Lange
@DclareDiane
·
Nov 3","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
'Hamas' the new 'Nazi'
At least for those that choose to throw nasty names at their political opponents.
Do your best to refrain.",,,,,[],https://twitter.com/DclareDiane/status/1720200627391709561
Dodge Diaries,@DodgeDiaries,2023-11-02T22:03:30.000Z,"Dodge Diaries
@DodgeDiaries
·
Nov 3","Since my calls and emails have been ignored, we'll see if this works. 
@SenAmyKlobuchar
 @SenTinaSmith
 Call for a ceasefire. We don't want our tax dollars funding a genocide.",,,,,[],https://twitter.com/DodgeDiaries/status/1720199984035799068
Senator Amy Klobuchar,@SenAmyKlobuchar,2023-11-03T20:30:57.000Z,"Senator Amy Klobuchar
@SenAmyKlobuchar
·
Nov 4",Enough is enough. Thank you to my Republican colleagues for joining us in calling for Senator Tuberville to stop holding our military chain of command hostage.,,47,95,444,[],https://twitter.com/SenAmyKlobuchar/status/1720539080721580452
patricia shepard,@giizhigokwe01,2023-11-03T20:18:48.000Z,"patricia shepard
@giizhigokwe01
·
Nov 4","One of MN's Democratic Senators  guest speaker at a ZIONIST AIPAC Conference. AIPAC funnels bribe money to legislators supporting Israel's  Genocide on Palestine. 
WAR CRIMES  & CRIMES AGAINST HUMANITY 
@SenAmyKlobuchar",,,,,[],https://twitter.com/giizhigokwe01/status/1720536022163804499
The Advocates for Human Rights,@The_Advocates,2023-11-03T19:44:06.000Z,"The Advocates for Human Rights
@The_Advocates
·
Nov 4","The Advocates wants to thank 
@SenAmyKlobuchar
, 
@RepDeanPhillips
, and 
@Repangiecraig
 for co-sponsoring the #AfghanAdjustmentAct!",,,1,3,[],https://twitter.com/The_Advocates/status/1720527290746941512
Senator Amy Klobuchar,@SenAmyKlobuchar,2023-11-03T18:55:59.000Z,"Senator Amy Klobuchar
@SenAmyKlobuchar
·
Nov 4","Over the last couple years we have seen record levels of new businesses and jobs in America. With 14 million new jobs, our businesses and workers are leading the way.",,17,9,22,[],https://twitter.com/SenAmyKlobuchar/status/1720515180830892187
Tubman,@TubmanMN,2023-11-03T16:50:31.000Z,"Tubman
@TubmanMN
·
Nov 4","We are so glad to have attended the 
@MplsChamber
 Legislative Breakfast with longtime Tubman supporter 
@SenAmyKlobuchar
! And thanks to Great Dreams committee member 
@jweinhagen
 for hosting and shouting out the campaign from the stage!

#GreatDreamsCampaign",,,,1,[],https://twitter.com/TubmanMN/status/1720483608496898554
LAC,@LAC08218357,2023-11-04T23:38:28.000Z,"LAC
@LAC08218357
·
Nov 5",".
@RepAngieCraig
 @SenAmyKlobuchar
 @SenTinaSmith
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",,,,1,[],https://twitter.com/LAC08218357/status/1720948657833525570
Senator Amy Klobuchar,@SenAmyKlobuchar,2023-11-04T22:41:24.000Z,"Senator Amy Klobuchar
@SenAmyKlobuchar
·
Nov 5",Wishing all Minnesotans out for this weekend's deer opener a safe and successful hunt. Good luck!,,19,2,29,[],https://twitter.com/SenAmyKlobuchar/status/1720934295357776208
Legiswipe,@legiswipe,2023-11-04T21:30:08.000Z,"Legiswipe
@legiswipe
·
Nov 5","""A bill to ensure the security of office space rented by Senators, and for other purposes.""

Status: Introduced in the Senate, read twice, conside...

https://congress.gov/bill/118th-congress/senate-bill/3222/text…

Sponsor: 
@SenAmyKlobuchar",,,,,[],https://twitter.com/legiswipe/status/1720916361650614651
Diane Lange,@DclareDiane,2023-11-04T20:09:03.000Z,"Diane Lange
@DclareDiane
·
Nov 5","MN
@GovTimWalz
 @LtGovFlanagan
 @AGEllison
 @SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
When MN politicians accept donations from outside MN borders do those politicians really work for Minnesotans or their donors?
Chances are they are expected to repay the moneymen.",,,,,[],https://twitter.com/DclareDiane/status/1720895956973957324
Free Palestine,@WildernessWypt,2023-11-04T18:16:00.000Z,"Free Palestine
@WildernessWypt
·
Nov 5","Sponsored by 
@SenTinaSmith
 and 
@SenAmyKlobuchar
 
#mnleg 
#GenocideinGaza 
#GenocideJoe
#FreePalestine 
#Netanyahu_A_criminal_of_war",,2,45,58,['https://pbs.twimg.com/ext_tw_video_thumb/1720867422939279360/pu/img/_qHkAc5M0LkDktV7.jpg'],https://twitter.com/WildernessWypt/status/1720867506032644319
Diane Lange,@DclareDiane,2023-11-05T21:28:58.000Z,"Diane Lange
@DclareDiane
·
Nov 6","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
remembering the 1968 protests at DNC in Chicago
 - that's probably when everything started to go to hell.",,,,,[],https://twitter.com/DclareDiane/status/1721278454744649852
Senator Amy Klobuchar,@SenAmyKlobuchar,2023-11-05T19:30:08.000Z,"Senator Amy Klobuchar
@SenAmyKlobuchar
·
Nov 6","Last week, 
@POTUS
 took strong action on AI safety standards. But it’s also critical that Congress pass legislation to establish common sense rules of the road, especially for the AI systems that pose the greatest risk and when it comes to safeguarding our democracy.",,21,13,53,[],https://twitter.com/SenAmyKlobuchar/status/1721248549772439747
Diane Lange,@DclareDiane,2023-11-05T17:06:32.000Z,"Diane Lange
@DclareDiane
·
Nov 6","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
Conundrum
Why aren't the other Arabic countries interested in providing refuge for Palestinians?",,,,,['https://pbs.twimg.com/amplify_video_thumb/1720728864832245760/img/m3qUQM-8k9xs5Niy.jpg'],https://twitter.com/DclareDiane/status/1721212412013994416
Diane Lange,@DclareDiane,2023-11-05T16:54:22.000Z,"Diane Lange
@DclareDiane
·
Nov 6","MN
@SenAmyKlobuchar
 @SenAmyKlobuchar
 @RepFinstad
 
Remember all the news broadcasters tried to keep  straight face as they were required to say 'penis' on live news shows.
You either remember or were in school and taught the differences between sexes and don't call it a 'peter'!",,,,1,[],https://twitter.com/DclareDiane/status/1721209349937254685
Diane Lange,@DclareDiane,2023-11-05T16:43:52.000Z,"Diane Lange
@DclareDiane
·
Nov 6","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
Tell me it is not true - Congress funded Ukraine war because many in both Senate and House still believed after the total debunk that Trump colluded with Russia to win 2016 election.
Just how inane is Congress?",,1,,,['https://pbs.twimg.com/profile_images/1678314685811007489/BRdyaZN__bigger.jpg'],https://twitter.com/DclareDiane/status/1721206707408244869
maraleia,@maraleia,2023-11-06T23:26:37.000Z,"maraleia
@maraleia
·
Nov 7","Hey .
@GovTimWalz
 @SenAmyKlobuchar
 @SenTinaSmith
 you should probably intervene here.",,,1,1,[],https://twitter.com/maraleia/status/1721670450235814185
Diane Lange,@DclareDiane,2023-11-06T23:04:44.000Z,"Diane Lange
@DclareDiane
·
Nov 7","MN
@GovTimWalz
 @LtGovFlanagan
 @SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
ICYMI
excerpt:
But is there actually any real proof of the proposition at issue? 
- In fact, there is not.",,,,,[],https://twitter.com/DclareDiane/status/1721664944326738286
Diane Lange,@DclareDiane,2023-11-06T22:56:30.000Z,"Diane Lange
@DclareDiane
·
Nov 7","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
- In the real world government regulators since the creation of their agencies have inevitably used their powers to disadvantage and silence political opposition.",,,,,[],https://twitter.com/DclareDiane/status/1721662872864829920
Diane Lange,@DclareDiane,2023-11-06T22:51:12.000Z,"Diane Lange
@DclareDiane
·
Nov 7","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
any in US Government that would, truly deserves to rot in jail.",🔥 🚨,,,,[],https://twitter.com/DclareDiane/status/1721661539776643290
