UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mike | Open Crypto Tracker/Slideshow Crypto Ticker,@taoteh1221,2023-11-01T22:07:23.000Z,"Mike | Open Crypto Tracker/Slideshow Crypto Ticker
@taoteh1221
·
Nov 2","Hey 
@SenWarren
, ""non-custodial wallets"" have existed since winter of 2009 (when #Bitcoin launched). Do YOU like to custody your own money, or let somebody else do it? YOUR INCOMPETENCE HERE IS STAGGERING! cc: 
@SenAngusKing
 (please do not back her bill!)",🦁,1,,,['https://pbs.twimg.com/profile_images/1714331812422696961/bAFfrlux_normal.jpg'],https://twitter.com/taoteh1221/status/1719838571664650412
PatientQoL Coalition,@PatientQoL,2023-11-01T19:33:52.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@SenAngusKing
 for cosponsoring bipartisan #PCHETA! It will improve quality of care & quality of life for millions of patients & families facing #seriousillness. Let's bring this critical legislation over the finish line this year! 
@PatientQoL
 #HPM #HAPC",,,1,2,['https://pbs.twimg.com/media/F9306fWawAA15Em?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719799938312487391
Mikala Dawn,@Mikala23,2023-11-01T18:05:57.000Z,"Mikala Dawn
@Mikala23
·
Nov 2",".
@SenAngusKing
 thank you for cosponsoring bipartisan #PCHETA! This bill will improve the quality of care & life for millions of patients & families facing serious illnesses. Let's bring this critical legislation over the finish line this year! #HPM #HAPC 
@PatientQoL",,,2,2,[],https://twitter.com/Mikala23/status/1719777814533050689
JohnX HamblinX,@JohnDHamblin,2023-11-01T17:36:04.000Z,"JohnX HamblinX
@JohnDHamblin
·
Nov 2","Another reason Maine should have used their yellow flag law to disarm this guy. They didn't and now 
@SenAngusKing
 and 
@SenatorCollins
 want to mess with legal gun owners.

Hospital Official Says Lewiston Killer Was Involuntarily Committed",,,,2,[],https://twitter.com/JohnDHamblin/status/1719770293332525197
Matthew Pezzi,@MatthewPezzi,2023-11-01T16:33:22.000Z,"Matthew Pezzi
@MatthewPezzi
·
Nov 2","Cope and seethe 
@SenAngusKing",,,,,"['https://pbs.twimg.com/profile_images/1468593086305497096/h-zwDoDF_normal.png', 'https://pbs.twimg.com/media/F92khtXWwAAvM9L?format=jpg&name=900x900']",https://twitter.com/MatthewPezzi/status/1719754513588883591
Elon ruined this app,@bosrawrrawrrawr,2023-11-01T16:01:41.000Z,"Elon ruined this app
@bosrawrrawrrawr
·
Nov 2","this is totally fucked. why did this guy have guns!!!! 
@MEStatePolice
 @Maine_Sheriffs
 @JanetMillsforME
 @SenAngusKing
 

and mostly LOOKING AT YOU 
@susancollins
 @mainegop",,,,1,['https://pbs.twimg.com/profile_images/1628433409159663619/zyA36zyr_normal.jpg'],https://twitter.com/bosrawrrawrrawr/status/1719746541076774986
Stanley Henson,@HensonStanley74,2023-11-01T15:58:51.000Z,"Stanley Henson
@HensonStanley74
·
Nov 1","It appears that state and local law enforcement totally failed in their duties with the Maine shooter. Now 
@SenAngusKing
 @chelliepingree
 @RepGolden
 @SenSusanCollins
 want to ban modern sporting rifles. You should look at your own house before coming after American citizens.",,,,,[],https://twitter.com/HensonStanley74/status/1719745827499901420
Stanley Henson,@HensonStanley74,2023-11-01T15:55:17.000Z,"Stanley Henson
@HensonStanley74
·
Nov 1","Sheriff’s deputy blasts Maine State Police as ‘utter clowns’ for ‘radio ... https://youtu.be/AfO4AFNDuLo?si=Wo27qLKyEc7A3idz… via 
@YouTube
 - 
@SenAngusKing
 @SenSusanCollins
 @RepGolden
 @chelliepingree
 You should investigate 
@MEStatePolice
 before you jump on the gun control train.",,,,,['https://pbs.twimg.com/card_img/1729913855122292736/j4fAjx4K?format=jpg&name=360x360'],https://twitter.com/HensonStanley74/status/1719744932041158937
Better Maine,@MaineLogic,2023-11-01T13:35:30.000Z,"Better Maine
@MaineLogic
·
Nov 1","Remember when 
@SenAngusKing
 said this: ""I saw in excruciating detail the software used by the Ukrainian government and the Pentagon to track every spare part, every dollar."" #mepolitics This alone should disqualify him from reelection, but sadly most Mainers don't care.",,1,,1,"['https://pbs.twimg.com/profile_images/1612188077333835776/qxjhM55m_normal.jpg', 'https://pbs.twimg.com/media/F9trQytaEAAgzZ6?format=jpg&name=small', 'https://pbs.twimg.com/media/F9trjhSacAE8C6r?format=png&name=small', 'https://pbs.twimg.com/media/F9trzxca8AAA87c?format=png&name=small', 'https://pbs.twimg.com/media/F9tsWGqacAASRlq?format=png&name=small']",https://twitter.com/MaineLogic/status/1719709751641092475
The Maine Wire,@TheMaineWire,2023-11-01T12:15:00.000Z,"The Maine Wire
@TheMaineWire
·
Nov 1","Full Video:
@SenAngusKing
 and 
@SenatorCollins
 read the names and bios of all 18 Lewiston shooting victims on the Senate floor.",,6,3,16,['https://pbs.twimg.com/amplify_video_thumb/1719678146478313472/img/tYVzLV9UYoN7MZs9.jpg'],https://twitter.com/TheMaineWire/status/1719689493719003171
