UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
AnonSig,@anon_sig,2023-11-01T23:24:36.000Z,"AnonSig
@anon_sig
·
Nov 2","I wonder if CT politicians 
@ChrisMurphyCT
 @SenBlumenthal
 @RepJahanaHayes
 @jahimes
 @JohnLarsonCT
 @rosadelauro
 have benefited too? Why else would they be covering for 
@JoeBiden
 ?",,4,11,20,"['https://pbs.twimg.com/profile_images/1642617740954415105/0oSeEPeP_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719775030580580352/pu/img/WpKOmUZjvcfJIwu_.jpg']",https://twitter.com/anon_sig/status/1719858004865016062
Christina,@freedomchoice12,2023-11-01T23:20:47.000Z,"Christina
@freedomchoice12
·
Nov 2","Huge news CT!!! 
@SenBlumenthal
 mishandled ballots. Yup Happens. This November election should not happen til this is fixed!! Only paper!!! And needs to happen immediately to not postpone 
@GovNedLamont
 @ChrisMurphyCT
 @sampsonforct
 @CTGOP
 @CTLibertyRally
 @ctltribune
 @ctexaminer",,,,,['https://pbs.twimg.com/profile_images/1125499300669198336/MTFTYfnV_normal.jpg'],https://twitter.com/freedomchoice12/status/1719857045896114516
Brian Merlen,@votemerlen,2023-11-01T22:39:41.000Z,"Brian Merlen
@votemerlen
·
Nov 2","I was gonna start joking about regime change but thought everyone would just get mad at me tbh  
@SenBlumenthal
 @ChrisMurphyCT
 @POTUS",😂 🤣 🚨,2,,1,"['https://pbs.twimg.com/profile_images/1670905743619268609/pYItlWat_normal.jpg', 'https://pbs.twimg.com/profile_images/1604820824720039936/hxuj0_hE_bigger.jpg', 'https://pbs.twimg.com/media/F94ZjnQXgAAONpk?format=jpg&name=900x900']",https://twitter.com/votemerlen/status/1719846699521224945
The Jewish Voice,@JewishVoice,2023-11-01T22:36:35.000Z,"The Jewish Voice
@JewishVoice
·
Nov 2","Senators Divided on House Israel Funding Bill - https://thejewishvoice.com/2023/11/senators-divided-on-house-israel-funding-bill/… 
@SenateGOP
 @SenateDems
 #IsraelFightsTerror #IsraelAtWar 
@IRSnews
 @SenSchumer
 @SpeakerJohnson
 @SenBlumenthal
 @MitchMcConel",,1,,,['https://pbs.twimg.com/card_img/1729981241955430400/17PrAJtr?format=jpg&name=900x900'],https://twitter.com/JewishVoice/status/1719845920303370470
77@SunsetStrip,77@SunsetStrip,2023-11-01T22:05:59.000Z,"77@SunsetStrip
@77SunsetSt51936
·
Nov 2","Ha fukcen Ha 
@robreiner
 @tribelaw
 @harrylitman
 @danielsgoldman
 @SenSchumer
 @maddow
 @jaketapper
 @wolfblitzer
 @DanaBashCNN
 @hilaryr
 @SenBlumenthal
 @AWeissmann_",,1,,,[],https://twitter.com/77SunsetSt51936/status/1719838219939008586
National Ocean Protection Coalition,@OceanCoalition,2023-11-01T21:31:17.000Z,"National Ocean Protection Coalition
@OceanCoalition
·
Nov 2","THANK YOU 
@SenBlumenthal
 @ChrisMurphyCT
 @RepJoeCourtney
 @rosadelauro
 @RepJahanaHayes
 @jahimes
 @RepJohnLarson
 for supporting the Northeast Canyons & Seamounts Marine National Monument! A strong management plan safeguards biodiversity & advances our national goal to #protect30x30.",,,2,4,['https://pbs.twimg.com/media/F94Pk_hWwAAumBE?format=jpg&name=900x900'],https://twitter.com/OceanCoalition/status/1719829486085046285
Christina,@freedomchoice12,2023-11-02T22:37:34.000Z,"Christina
@freedomchoice12
·
Nov 3","NEVER FORGET 
@GovNedLamont
 @CTDems
 @ChrisMurphyCT
 @senatorduff
 @SenBlumenthal
 did it. They do nothing good for CT.",,1,,,[],https://twitter.com/freedomchoice12/status/1720208558610882727
CTIronman,@CTIronman,2023-11-02T21:23:11.000Z,"CTIronman
@CTIronman
·
Nov 3","That’s the good buddy of 
@ChrisMurphyCT
 , 
@SenBlumenthal
 & 
@jahimes
 you’re talking about",,,,2,[],https://twitter.com/CTIronman/status/1720189837234377120
ışık ay,@isikay4,2023-11-02T20:48:04.000Z,"ışık ay
@isikay4
·
Nov 3","It seems that Senators 
@LindseyGrahamSC
 and 
@SenBlumenthal
 read 
@cosmo_globalist
 and finally listened to me.

Good work, Senators.",,,,2,[],https://twitter.com/isikay4/status/1720180999307382874
Robin Portman,@RobinPortman1,2023-11-02T20:12:29.000Z,"Robin Portman
@RobinPortman1
·
Nov 3",".
@jahimes
 @ChrisMurphyCT
 @SenBlumenthal
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",,,,,[],https://twitter.com/RobinPortman1/status/1720172045130981412
