UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mairéad Lynn,@maireadlynn,2023-11-01T23:44:45.000Z,"Mairéad Lynn
@maireadlynn
·
Nov 2",".
@SenBobCasey
 on emergency fentanyl funding: ""We still have a ways to go to get it through the heads of people here in Washington about how important it is to vote for the funding — not to give speeches and blow a lot of hot air, but to vote for the damn money.""",,1,,,['https://pbs.twimg.com/media/F94uNDvXkAA8r-R?format=png&name=900x900'],https://twitter.com/maireadlynn/status/1719863077007417769
Kelly Bannasch,@KellyBannasch,2023-11-01T23:40:11.000Z,"Kelly Bannasch
@KellyBannasch
·
Nov 2","Excellent question! 
@SenSchumer
 @SenBobCasey
 @SenFettermanPA
 @SenateDems",🟧,,,,['https://pbs.twimg.com/profile_images/1296043200633856004/nizJd4N1_normal.jpg'],https://twitter.com/KellyBannasch/status/1719861924756590681
Senator Bob Casey,@SenBobCasey,2023-11-01T23:38:55.000Z,"Senator Bob Casey
@SenBobCasey
·
Nov 2"," Open enrollment starts today with 
@PennieOfficial
 
Visit http://pennie.com to find a health care plan that fits your needs and your budget.",🚨,4,7,16,['https://pbs.twimg.com/ext_tw_video_thumb/1719861594425880576/pu/img/tELNztSTWJUJid6g.jpg'],https://twitter.com/SenBobCasey/status/1719861608090907004
Janette (she/her),@JanetteKirchner,2023-11-01T23:33:34.000Z,"Janette (she/her)
@JanetteKirchner
·
Nov 2","How can you look at this and think this is okay? How can 
@POTUS
 @SenBobCasey
 @SenFettermanPA
 @SecBlinken
 @JakeSullivan46
 look at this & think it’s proportionate to Hamas’ attack? Stop the genocide of Palestinians.",,,,,"['https://pbs.twimg.com/profile_images/1572987754346168320/K0IfUIDN_normal.jpg', 'https://pbs.twimg.com/media/F93wCupW8AAUaqN?format=jpg&name=small', 'https://pbs.twimg.com/media/F93wCumWsAA3Ky4?format=jpg&name=small']",https://twitter.com/JanetteKirchner/status/1719860261983547455
Janette (she/her),@JanetteKirchner,2023-11-01T23:07:51.000Z,"Janette (she/her)
@JanetteKirchner
·
Nov 2","When the Freudian slip shows the honest intentions and actions. Stop the genocide of Palestinians 
@POTUS
 @SenBobCasey
 @SenFettermanPA
 @SecBlinken
 @JakeSullivan46",,,,,"['https://pbs.twimg.com/profile_images/1649114960033611799/B8KcUMw3_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719787160994496513/pu/img/3d3tSrNZT8tyaiGl.jpg']",https://twitter.com/JanetteKirchner/status/1719853790172467702
Greater Philadelphia Cultural Alliance,@philaculture,2023-11-01T20:17:48.000Z,"Greater Philadelphia Cultural Alliance
@philaculture
·
Nov 2","Today at 
@SenBobCasey
's Pennsylvania Arts & Humanities Statewide Convening at 
@LehighU
: Our CEO & President, Patty Wilson Aden, spoke alongside Abbi Peters | PA Wilds Center; 
@SilasChamberlin
 | York County Economic Alliance; and Johntrae Williams | FACTS!",,,1,,"['https://pbs.twimg.com/media/F93-6UIXUAASt2l?format=jpg&name=small', 'https://pbs.twimg.com/media/F93-6U1XgAMvL5W?format=jpg&name=small', 'https://pbs.twimg.com/media/F93-6VeWQAAhmxK?format=jpg&name=small', 'https://pbs.twimg.com/media/F93-6VrWIAAOXy0?format=jpg&name=small']",https://twitter.com/philaculture/status/1719810994900230574
Janette (she/her),@JanetteKirchner,2023-11-01T20:14:29.000Z,"Janette (she/her)
@JanetteKirchner
·
Nov 2","But Israel is trying so very hard to not target civilians (despite them explicitly stating otherwise) lies 
@POTUS
 @SecBlinken
 @SenBobCasey
 @SenFettermanPA
 @RepJeffries
 @JakeSullivan46
 @PressSec
 . Stop the genocide of Palestinians.",🚨,,,,"['https://pbs.twimg.com/profile_images/1514183725592064005/XMpDCAG3_normal.jpg', 'https://pbs.twimg.com/media/F93UnpqX0AALSKm?format=png&name=900x900']",https://twitter.com/JanetteKirchner/status/1719810159470416055
Eric Goodlev MD,@EricGoodlev,2023-11-01T20:06:01.000Z,"Eric Goodlev MD
@EricGoodlev
·
Nov 2","Today is the day to get #PCHETA over the finish line! I just asked 
@SenBobCasey
 @JohnFetterman
 to support this legislation that has garnered bipartisan support in this, and last, congresses. 
@AAHPM
 @CAPCpalliative
 @ACSCAN
 #hapc",,,3,5,['https://pbs.twimg.com/card_img/1729932110436184064/k-ugkWK2?format=jpg&name=360x360'],https://twitter.com/EricGoodlev/status/1719808029418242253
Janette (she/her),@JanetteKirchner,2023-11-01T19:54:51.000Z,"Janette (she/her)
@JanetteKirchner
·
Nov 2","Stop the genocide of Palestinians 
@POTUS
 @SenBobCasey
 @SenFettermanPA
 @SecBlinken
 @JakeSullivan46",,,,,"['https://pbs.twimg.com/profile_images/929036582132133888/P9XEi2ln_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719802523240849408/pu/img/tQG63Ki6m4FCcc6h.jpg']",https://twitter.com/JanetteKirchner/status/1719805218592784800
Brian Perry,@brianwperry,2023-11-01T19:44:03.000Z,"Brian Perry
@brianwperry
·
Nov 2","This is a big deal in the Commonwealth, 
@SenBobCasey
 @SenFettermanPA
 @GovernorShapiro
. Public policy choices have consequences.",,,,,['https://pbs.twimg.com/profile_images/1117896710179774469/N1abUbMN_normal.png'],https://twitter.com/brianwperry/status/1719802502822977558
