UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Beach Cat,@BeachCat0201,2023-11-01T21:23:02.000Z,"Beach Cat
@BeachCat0201
·
Nov 2","STOP MOVING THE CLOCKS!! Its been proven its unhealthy.....what do u not understand NJ?! 
@GovMurphy
 @SenBooker
 @SenatorMenendez
@njassemblydems
@NJSenDems
Survey says 74% of people want to end Daylight Saving Time clock change https://mycentraljersey.com/story/news/news/data/2023/11/01/daylight-saving-time-clock-change-not-popular-in-new-survey/71409995007/… via 
@MyCentralJersey",,,,,[],https://twitter.com/BeachCat0201/status/1719827412379152866
Tina,@Nice_White_Lady,2023-11-01T20:08:16.000Z,"Tina
@Nice_White_Lady
·
Nov 2","Calling on 
@GovMurphy
 @SenBooker
 @SenatorMenendez
 to withdraw their support of Israel and the genocide of Palestinians. #FreePalestine #JewsAgainstZionism",,,,1,[],https://twitter.com/Nice_White_Lady/status/1719808598203658699
Rosa BHI,@PushBack4Trump,2023-11-01T19:09:57.000Z,"Rosa BHI
@PushBack4Trump
·
Nov 2","YOU MUST SIGN THE ISRAEL PACKAGE IMMEDIATELY. IT IS US THE PEOPLE WHO ARE MANDATNG IT!!!
America stands with Israel &amp; their right to defend their country, their people, and their right to exist. Period. 
@RepChrisSmith
 @SenBooker
 @SenatorMenendez
 @POTUS
 @SpeakerJohnson
…
Show more",,,,,[],https://twitter.com/PushBack4Trump/status/1719793919481774185
Lauren Agoratus,@agoratus,2023-11-01T18:57:49.000Z,"Lauren Agoratus
@agoratus
·
Nov 2",".
@senbooker
 @SenatorMenendez
 We need the HCBS Relief Act NOW for people with disabilities, their families, and the direct care workforce! #CareCantWait",,,,,[],https://twitter.com/agoratus/status/1719790865965515247
Tyler Michael McMichael,@2cool4tweeter,2023-11-01T17:22:37.000Z,"Tyler Michael McMichael
@2cool4tweeter
·
Nov 2","Just called 
@SenBooker
's office to call for http://CeasefireToday.com! Please everyone do your part.",,2,4,14,['https://pbs.twimg.com/card_img/1729284985331326976/awArLJ9e?format=jpg&name=900x900'],https://twitter.com/2cool4tweeter/status/1719766910005342340
JARRETT “POST TURKEY” GREEN,@Jarrettjawn,2023-11-01T15:08:35.000Z,"JARRETT “POST TURKEY” GREEN
@Jarrettjawn
·
Nov 1","Good Morning Senators 
@SenBooker
 and 
@SenatorMenendez
!

Wondering if you had any commentary on this? It’s one of several reports on the inconceivable loss of life at a refugee camp in N Gaza caused by deliberate IDF attack https://cnn.com/2023/10/31/middleeast/jabalya-blast-gaza-intl/index.html…",,,,4,[],https://twitter.com/Jarrettjawn/status/1719733177722306988
AdelAwadallah,@AdelAwadallah,2023-11-01T11:53:51.000Z,"AdelAwadallah
@AdelAwadallah
·
Nov 1","The Hasbara is getting desperate. 
@abbydphillip
 @andersoncooper
 @kaitlancollins
 @sarasidnerCNN
 @RitchieTorres
 @SenBooker",🌹,,,,['https://pbs.twimg.com/card_img/1731040288557158400/qfQx0M0H?format=jpg&name=900x900'],https://twitter.com/AdelAwadallah/status/1719684170803183870
Paul Achar,@paulachar,2023-11-01T07:45:57.000Z,"Paul Achar
@paulachar
·
Nov 1","“There are only two days in the year that nothing can be done. One is called Yesterday and the other is called Tomorrow."" Sen. Cory Booker 
@SenBooker",,,1,2,[],https://twitter.com/paulachar/status/1719621786092863625
,@NeilParekh3,2023-11-01T07:09:12.000Z,"@NeilParekh3
·
Nov 1","I support #NoOilForIsarel. 

#FreePalenstine 
#IsraeliTerrorists 
#IsraelApartheid 
@Israel
 @IDF
 @POTUS
 @JoeBiden
 @SenBooker
 @SenatorMenendez
 @BillPascrell",,,,,[],https://twitter.com/NeilParekh3/status/1719612538143260689
Denise Lytle,@CentauressWeezy,2023-11-02T21:10:59.000Z,"Denise Lytle
@CentauressWeezy
·
Nov 3",".
@FrankPallone
 @senbooker
 @SenatorMenendez
 we can end gun violence. I urge you to support more robust background check legislation, safe storage laws, and a ban on assault and high capacity weapons. The time is now. 
@justice_ucc",,,,1,[],https://twitter.com/CentauressWeezy/status/1720186765435142637
I Milhaus,@IMilhaus,2023-11-02T20:58:42.000Z,"I Milhaus
@IMilhaus
·
Nov 3","It would have been great it one of the 4 Black Senators 
@votetimscott
 @SenBooker
 @ReverendWarnock
 @LaphonzaB
 would have been 1st, but they all have turned a blind eye to #IsraeliApartheid and probably take #AIPAC money…..so props to Dick Durbin #CeasefireForGaza #Sellouts",🪬,,,,['https://pbs.twimg.com/profile_images/1642254494573494274/DoDza3Oa_normal.jpg'],https://twitter.com/IMilhaus/status/1720183675243913677
Something Something,@smchatter1,2023-11-02T20:00:29.000Z,"Something Something
@smchatter1
·
Nov 3","Just love 
@SenBooker
 happy eyes as he closed the session today. Love the enthusiasm for the Senate.",,,,1,[],https://twitter.com/smchatter1/status/1720169023793447374
Rep. Andy Kim’s Office,@RepAndyKimNJ,2023-11-02T19:39:33.000Z,"Rep. Andy Kim’s Office
@RepAndyKimNJ
·
Nov 3","The pain and grief from mass shootings and gun violence is felt deeply across our country. People are waiting and demanding Congress listen and do more to save lives.

Congressman Kim and 
@SenBooker
 reintroduced legislation to take a common-sense step against this violence.",,18,6,37,['https://pbs.twimg.com/media/F98_0amWoAATNST?format=jpg&name=900x900'],https://twitter.com/RepAndyKimNJ/status/1720163757333094511
Sen. Cory Booker,@SenBooker,2023-11-02T19:27:31.000Z,"Sen. Cory Booker
@SenBooker
·
Nov 3","From Lewiston, Maine, to countless other communities across America, the tragic toll of gun violence continues to mount. We are not powerless to stop this. It’s time for a simple idea: if you need a license to drive a car, you should need a license to own and use a gun.",,564,79,115,[],https://twitter.com/SenBooker/status/1720160727137226850
dustbusterz,@dustbusterz,2023-11-02T17:45:31.000Z,"dustbusterz
@dustbusterz
·
Nov 3","https://instagram.com/p/CzEZbN6gE5O/?igshid=MTc4MmM1YmI2Ng==… Shoukd Be A Story That Refuses To Die 
@AOC
,
@Ilhan
,
@RepKatiePorter
,
@SenBooker
,
@ACLU
,
@CivilRights
,
@RepSwalwell
,
@RepRaskin
,
@RepAdamSchiff
,
@BettyBowers
,
@RepJeffries
,
@JoeBiden
,
@BarackObama
,
@RepMaxineWaters
 ,
@BernieSanders
,
@SenWarren
,
@VP
 #CorruptCourtSystem",🆘,,,,[],https://twitter.com/dustbusterz/status/1720135059162751172
Sen. Cory Booker,@SenBooker,2023-11-02T17:42:01.000Z,"Sen. Cory Booker
@SenBooker
·
Nov 3",The agreement between the UAW and the big three automakers demonstrates the power of collective bargaining to ensure workers share in the success of their labor.,,15,23,96,[],https://twitter.com/SenBooker/status/1720134178832801828
@ericgewolb,@ericgewolb,2023-11-02T16:44:29.000Z,"@ericgewolb
@gewolb_d
·
Nov 3",".
@RepSherrill
 @senbooker
 @SenatorMenendez
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",,,,,[],https://twitter.com/gewolb_d/status/1720119700162597338
fnover,@fnover,2023-11-02T16:28:00.000Z,"fnover
@fnover
·
Nov 3",".
@congressmankean
 @senbooker
 @SenatorMenendez
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",,,,,[],https://twitter.com/fnover/status/1720115553090543644
d ‘if a man talk shit than i owe em nothing’,@daralexandria,2023-11-02T16:04:35.000Z,"d ‘if a man talk shit than i owe em nothing’
@daralexandria
·
Nov 3","If Dick Durbin is calling for a ceasefire so should 
@SenWarren
 @BernieSanders
 @JohnFetterman
 @SenBobCasey
 @SenBooker
 @SenMarkey
 and every other progressive and left senator and they should do it NOW.",,2,2,7,"['https://pbs.twimg.com/profile_images/1649413483685871621/V_wwjDu2_normal.png', 'https://pbs.twimg.com/media/F975OWgbAAAhtPs?format=jpg&name=900x900']",https://twitter.com/daralexandria/status/1720109658583556353
Sen. Cory Booker,@SenBooker,2023-11-02T15:20:03.000Z,"Sen. Cory Booker
@SenBooker
·
Nov 2",Orsted’s decision to withdraw from its commitment to New Jersey is extremely disappointing. New Jersey must remain committed to harnessing the enormous potential of offshore wind. The future safety and resiliency of our communities is far too important.,,60,21,79,['https://pbs.twimg.com/card_img/1728136153126313986/msPgUM4h?format=jpg&name=900x900'],https://twitter.com/SenBooker/status/1720098453257113899
John Mirenda,@JTMP99,2023-11-02T14:54:11.000Z,"John Mirenda
@JTMP99
·
Nov 2","America stands with Israel &amp; their right to defend their country, their people, and their right to exist. Period. 
@RepJoshG
 @SenBooker
 @SenatorMenendez
 @POTUS
 @kamalaharris",,,,,['https://pbs.twimg.com/card_img/1731813616368877569/BI8M5gHl?format=png&name=small'],https://twitter.com/JTMP99/status/1720091943810838610
Beach Cat,@BeachCat0201,2023-11-02T14:54:02.000Z,"Beach Cat
@BeachCat0201
·
Nov 2","Testing on animals MUST END NOW!!!!
@POTUS
 @VP
 @SenBooker
 @RepRaskin
 @SenSchumer
 @SenateDems
 @HouseDemocrats
 

& FIRE everyone at the  
@US_FDA
 all they want to do is test on animals! TEST ON HUMANS!",💔,,1,1,"['https://pbs.twimg.com/profile_images/1542857370170163203/GEfar21Y_normal.jpg', 'https://pbs.twimg.com/media/F9xfZAxaEAAyfaC?format=jpg&name=900x900']",https://twitter.com/BeachCat0201/status/1720091906049548751
Barrie Gellis,@Barriefg,2023-11-02T10:30:19.000Z,"Barrie Gellis
@Barriefg
·
Nov 2","The lead isn’t Trump’s 4 trials—it’s that he wants to overthrow the US govt! 
@RepMaxineWaters
 @AOC
 @Ilhan
 @RepDean
 @clairecmc
 
@RepLindaSanchez
 
@malcolmkenyatta
@MalloryMcMorrow
@SenBooker
 @alfranken
 
@BetoORourke
@DebDingell
 @JulianCastro
@staceyabrams
 @ossoff
 
@ReverendWarnock",,,,,[],https://twitter.com/Barriefg/status/1720025536582267273
Dinbodol Bangladesh,@Dinbodol_BD,2023-11-02T05:45:44.000Z,"Dinbodol Bangladesh
@Dinbodol_BD
·
Nov 2","Prime Minister Narendra Modi and
Bangladesh Prime Minister Sheikh Hasina
jointly inaugurated three very important
infrastructure projects that enhance
power and rail connectivity
@tammybaldwin
 @SenatorBennet
 @SenBooker
 @SherrodBrown
 
#canada #senetor #usembassay  #canadaembassay",,,,,['https://pbs.twimg.com/media/F96Acspa0AEzfrw?format=jpg&name=900x900'],https://twitter.com/Dinbodol_BD/status/1719953919273836721
EndAmharaGenocide/JusticeForAmhara,@Shalomzon,2023-11-02T05:33:12.000Z,"EndAmharaGenocide/JusticeForAmhara
@Shalomzon
·
Nov 2","The #AmharaGenocide is getting worse everyday. Local media reports more than 34 people were killed by Abiy Ahmed forces. #WarOnAmhara 
@SenateDems
@hrw
 @EU_UNGeneva
  @USEmbassyAddis
 @AsstSecStateAF
  @SenBooker
 @amnesty
 @MikeHammerUSA
 
@SecBlinken
 @UN",🖤,,3,3,['https://pbs.twimg.com/card_img/1731703991589818368/AAnmVGvL?format=jpg&name=900x900'],https://twitter.com/Shalomzon/status/1719950766046130236
