UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Brandon Farris,@BFarrisNAM,2023-11-01T23:10:06.000Z,"Brandon Farris
@BFarrisNAM
·
Nov 2","Thank you 
@SenCapito
. To meet decarbonization goals we need CCUS, and CCUS doesn't work without Class VI wells. The EPA should expedite granting state primacy and permitting individual wells to help manufacturers decarbonize their operations and produce more sustainable products.",,,1,3,"['https://pbs.twimg.com/profile_images/1359199504659005446/tULpcFGg_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719822920053047296/pu/img/f77b9o2O0QjdC6Uh.jpg']",https://twitter.com/BFarrisNAM/status/1719854355153653843
Shelley Moore Capito,@SenCapito,2023-11-01T22:14:29.000Z,"Shelley Moore Capito
@SenCapito
·
Nov 2","Senate passage of the first three funding bills is great news for our veterans, farmers, and motorists, but also for our country as a whole.
 
We must use today’s momentum to continue our efforts and deliver for the American people.
 
My full statement:",,10,3,9,['https://pbs.twimg.com/card_img/1728284933234319360/iXHX5m85?format=png&name=900x900'],https://twitter.com/SenCapito/status/1719840358048129283
JW,@jw5380,2023-11-01T21:54:04.000Z,"JW
@jw5380
·
Nov 2","Great Idea 
@SenCapito",,,,,"['https://pbs.twimg.com/profile_images/1710293793965039616/dS2pA5tV_normal.jpg', 'https://pbs.twimg.com/media/F94MFNgXYAAILPu?format=jpg&name=small']",https://twitter.com/jw5380/status/1719835220050870773
Miranda Allen,@1MirandaAllen,2023-11-01T16:21:52.000Z,"Miranda Allen
@1MirandaAllen
·
Nov 2","Gas prices are down. Thank 
@POTUS
 for that. Right 
@Sen_JoeManchin
 @SenCapito
 @RepAlexMooney
 @RepCarolMiller
 @JimJusticeWV
 The Biden Administration is effectively managing America's energy needs.",⛽ 📊,,,1,"['https://pbs.twimg.com/profile_images/1701320755345022976/q0cnQE3E_normal.jpg', 'https://pbs.twimg.com/media/F92fdglXYAAvobN?format=jpg&name=900x900']",https://twitter.com/1MirandaAllen/status/1719751619791683782
Retiredhappily,@sweens1205,2023-11-01T16:02:38.000Z,"Retiredhappily
@sweens1205
·
Nov 2",".
@SenCapito
 @Sen_JoeManchin
 This needs to be fixed. Stop Tuberville from diminishing our international security.",,,1,1,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719442089686028288/pu/img/MKu_kvY4I6JEOiFT.jpg']",https://twitter.com/sweens1205/status/1719746779078328518
Shelley Moore Capito,@SenCapito,2023-11-01T15:35:21.000Z,"Shelley Moore Capito
@SenCapito
·
Nov 1","In case you missed it → I pressed the Biden administration officials yesterday on their national security supplemental request.

Check out more here:",,6,1,8,['https://pbs.twimg.com/card_img/1728441086820110336/u9BgS5t2?format=png&name=900x900'],https://twitter.com/SenCapito/status/1719739915972329867
Kelley Moore,@kelleycmoore,2023-11-01T15:18:15.000Z,"Kelley Moore
@kelleycmoore
·
Nov 1","  @SenCapito
 next up on 
@Varneyco",📺 🎥,,,7,['https://pbs.twimg.com/media/F926a7_W8AA9CDQ?format=jpg&name=900x900'],https://twitter.com/kelleycmoore/status/1719735609894310372
ClearPath Action,@ClearPathAction,2023-11-01T15:15:53.000Z,"ClearPath Action
@ClearPathAction
·
Nov 1","“America leads the world in energy discovery. There is a reason this process has ramped up more recently in our country,” said 
@ScienceUnderSec
 Dabbar in response to 
@SenCapito
's question: How do you see energy policy developing in America? Is the USA the global leader in…
Show more",,,,2,[],https://twitter.com/ClearPathAction/status/1719735016169541951
EPW Republicans,@EPWGOP,2023-11-01T13:55:00.000Z,"EPW Republicans
@EPWGOP
·
Nov 1","At 10:00am, EPW will hold a hearing on the scientific debate over attributing past extreme weather events to climate change. 
@SenCapito
 will discuss the role of U.S. innovation in delivering forward-looking, commonsense energy & environmental solutions:",,3,5,1,"['https://pbs.twimg.com/card_img/1732426427222405121/NWAu6YDE?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1359199504659005446/tULpcFGg_normal.jpg']",https://twitter.com/EPWGOP/status/1719714659413193148
Levin Center for Oversight and Democracy,@Levin_Center,2023-11-01T10:30:00.000Z,"Levin Center for Oversight and Democracy
@Levin_Center
·
Nov 1","Today at 10am ET, the Senate Environment & Public Works Committee will hold an #oversight hearing entitled, ""The Science of Extreme Event Attribution: How Climate Change Is Fueling Severe Weather Events."" 
@SenatorCarper
 @SenCapito",🌪,,,,['https://pbs.twimg.com/card_img/1731821692056436736/nKqOVlK-?format=jpg&name=240x240'],https://twitter.com/Levin_Center/status/1719663070770016273
I64 IS CLOSED,@BrokenRoadsWV,2023-11-01T09:25:14.000Z,"I64 IS CLOSED
@BrokenRoadsWV
·
Nov 1","Hey 
@SenTedCruz
 @SenCapito
 @Sen_JoeManchin
 STOP TALKING AND DO SOMETHING .",,,,,['https://pbs.twimg.com/profile_images/796482667340382211/CoV8077b_normal.jpg'],https://twitter.com/BrokenRoadsWV/status/1719646772811714849
Nathan T. Acosta,@nathantacosta,2023-11-01T02:13:20.000Z,"Nathan T. Acosta
@nathantacosta
·
Nov 1","“There are no shortcuts. Only #hard #work.” http://gf.me/u/45c3iu #homeless #FACTS  — #MyWords: Committee to elect 
@TomAcostaArt
 for McDowell County (#WV)  Commission, ‘19 & + #MyWords #YouTuber #Today  https://youtu.be/qzRqDFgyXDM?si=TY-FKX_7C0Ad8yIV@WVVA… 
@WVGovernor
 @Sen_JoeManchin
 @SenCapito",✝,,1,2,['https://pbs.twimg.com/media/F90Gw_wWoAA2CCQ?format=jpg&name=900x900'],https://twitter.com/nathantacosta/status/1719538079067705780
Shelley Moore Capito,@SenCapito,2023-11-02T20:06:50.000Z,"Shelley Moore Capito
@SenCapito
·
Nov 3"," Great to be on 
@BloombergTV
’s Balance of Power to discuss how efforts to deliver aid to our allies, Israel and Ukraine. 

WATCH MORE ",📺 ⬇,6,2,6,[],https://twitter.com/SenCapito/status/1720170622104285537
