UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Taylor Popielarz,@TaylorPopielarz,2023-11-01T23:57:34.000Z,"Taylor Popielarz
@TaylorPopielarz
·
Nov 2","As Alabama GOP 
@SenTuberville
 continues his months-long blockade of 300+ key military promotions, a group of fellow Republicans led by 
@SenDanSullivan
 and 
@SenJoniErnst
 are on the Senate floor tonight calling him out for it and attempting to force votes.

He continues to object.",,3,6,13,['https://pbs.twimg.com/ext_tw_video_thumb/1719863764554588160/pu/img/PORnBKWwuXY_Qwcd.jpg'],https://twitter.com/TaylorPopielarz/status/1719866301785743362
JeniMac,@JennyMcMas8060,2023-11-01T23:50:21.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Don't Do It!!!!!! 
@LindseyGrahamSC
 @senjoniernst
 @SenToddYoung
 @SenDanSullivan
 @LeaderMcConnell
 @SenTuberville",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_normal.png'],https://twitter.com/JennyMcMas8060/status/1719864484582322500
BertaNiculae,@tietsman,2023-11-01T23:48:06.000Z,"BertaNiculae
@tietsman
·
Nov 2","Primary 
@SenDanSullivan
 
#RINO",,,,,['https://pbs.twimg.com/profile_images/1571215482098798609/CPpdiaaR_normal.jpg'],https://twitter.com/tietsman/status/1719863919999635719
Laura F T,@LauraTripp57,2023-11-01T23:42:05.000Z,"Laura F T
@LauraTripp57
·
Nov 2","What’s happening tonight on the floor of the US Senate is a travesty. Kudos to  
@SenDanSullivan
 @SenJoniErnst
 for perseverance in reading individual names & Mil position descriptions AS THAT COWARD  
@SenTuberville
 WHO NEVER SERVED is objecting to every one. He’s vile.",,,,,[],https://twitter.com/LauraTripp57/status/1719862404673138920
Paul Rieckhoff,@PaulRieckhoff,2023-11-01T23:41:18.000Z,"Paul Rieckhoff
@PaulRieckhoff
·
Nov 2","About damn time someone in the Senate really took it to Tuberville. And it’s USMC vet and fellow Republican 
@SenDanSullivan
. With other Republicans like 
@LindseyGrahamSC
 and 
@joniernst
 finally swarming too. 

This is working. Tuberville is feeling it. Finally.",,32,103,411,"['https://pbs.twimg.com/profile_images/1657105160051601410/SLMyvarY_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719849601962819584/pu/img/qb4WVtTuqpvYJwY7.jpg']",https://twitter.com/PaulRieckhoff/status/1719862208601927785
Sen. Dan Sullivan,@SenDanSullivan,2023-11-01T23:40:47.000Z,"Sen. Dan Sullivan
@SenDanSullivan
·
Nov 2","Col. Robert S. Weiler is a warrior—the Marine Division Assistant Commander with a 28-year career. Silver Star, Purple Heart recipient for support of Operation Iraqi Freedom.

He's no woke guy. He's no desk jockey. Sen. Tuberville is going to block him tonight?",,68,106,419,['https://pbs.twimg.com/ext_tw_video_thumb/1719861449126744064/pu/img/0NZvRQgL8nnwkbAU.jpg'],https://twitter.com/SenDanSullivan/status/1719862076653421041
I am no man,@grobaniteblue,2023-11-01T23:40:07.000Z,"I am no man
@grobaniteblue
·
Nov 2","Tuberville is a danger to national security and Republicans in the Senate need to do something about him. When 
@SenSchumer
 puts up a rule change because he's being forced to, 
@SenDanSullivan
 @LindseyGrahamSC
 & others need to vote for it. Unless they want to have this continue.",,,,,"['https://pbs.twimg.com/profile_images/1706852205892960256/tk1C73_B_normal.png', 'https://pbs.twimg.com/media/F98aKcjWwAAXeUS.jpg']",https://twitter.com/grobaniteblue/status/1719861910428934378
FreddyRoo l l l l,@FreddyRoo2,2023-11-01T23:06:48.000Z,"FreddyRoo l l l l
@FreddyRoo2
·
Nov 2",".
@SenDanSullivan
 Senator, I appreciate you taking 
@SenTuberville
 to task. He deserves to be humiliated by his fellow Senators! You have really made your point but I will say that the political leaning of any serviceman does not impact his service

Thank you for your service!",🌻,,,,[],https://twitter.com/FreddyRoo2/status/1719853525868351985
Joe,@JoeVidulich,2023-11-01T23:04:42.000Z,"Joe
@JoeVidulich
·
Nov 2","Good for 
@SenDanSullivan",,,,,[],https://twitter.com/JoeVidulich/status/1719852996987637962
NEWSMAX,@NEWSMAX,2023-11-01T23:02:10.000Z,"NEWSMAX
@NEWSMAX
·
Nov 2","""America needs to have our best players, most combat-capable leaders on the field. Right now, that’s not happening"" says 
@SenDanSullivan
.",,31,54,226,['https://pbs.twimg.com/ext_tw_video_thumb/1719852320140476416/pu/img/rbv3m0g__qVTy1NJ.jpg'],https://twitter.com/NEWSMAX/status/1719852358342222293
