UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Matthew,@likeholywine,2023-11-01T23:42:21.000Z,"Matthew
@likeholywine
·
Nov 2","Fucking loser 
@SenFettermanPA",,,,7,['https://pbs.twimg.com/ext_tw_video_thumb/1719816695596961792/pu/img/UmOvRNeMRqnd44uq.jpg'],https://twitter.com/likeholywine/status/1719862470435799458
Kelly Bannasch,@KellyBannasch,2023-11-01T23:40:11.000Z,"Kelly Bannasch
@KellyBannasch
·
Nov 2","Excellent question! 
@SenSchumer
 @SenBobCasey
 @SenFettermanPA
 @SenateDems",🟧,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719847242310320128/pu/img/o_sSyqhUg4Ar2sGA.jpg'],https://twitter.com/KellyBannasch/status/1719861924756590681
Janette (she/her),@JanetteKirchner,2023-11-01T23:33:34.000Z,"Janette (she/her)
@JanetteKirchner
·
Nov 2","How can you look at this and think this is okay? How can 
@POTUS
 @SenBobCasey
 @SenFettermanPA
 @SecBlinken
 @JakeSullivan46
 look at this & think it’s proportionate to Hamas’ attack? Stop the genocide of Palestinians.",,,,,[],https://twitter.com/JanetteKirchner/status/1719860261983547455
C,@slim_shity,2023-11-01T23:28:50.000Z,"C
@slim_shity
·
Nov 2","You’re a coward that’s afraid of Israel lobbying against you. 
@SenFettermanPA
 @JohnFetterman",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719816695596961792/pu/img/UmOvRNeMRqnd44uq.jpg'],https://twitter.com/slim_shity/status/1719859072466362787
Janette (she/her),@JanetteKirchner,2023-11-01T23:13:24.000Z,"Janette (she/her)
@JanetteKirchner
·
Nov 2","What the Israeli government is doing is committing genocide 
@SenFettermanPA
 . And it’s not wrong to wish for an oppressed people to be free. Allegedly, that sentiment is what America was built on.",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719816695596961792/pu/img/UmOvRNeMRqnd44uq.jpg'],https://twitter.com/JanetteKirchner/status/1719855188138176742
Kelly Bannasch,@KellyBannasch,2023-11-02T23:22:01.000Z,"Kelly Bannasch
@KellyBannasch
·
Nov 3","And let's make this the LAST clock change! 
@SenSchumer
 @SenBobCasey
 @SenFettermanPA",🟧,,,,[],https://twitter.com/KellyBannasch/status/1720219742265278616
sheila supports a womans right to choose!,@sheilaflwrseed,2023-11-02T23:09:35.000Z,"sheila supports a womans right to choose!
@sheilaflwrseed
·
Nov 3","‘Reckless disregard for human life…’
Right, 
@SenFettermanPA
 ??
#CeasefireForGaza",🟧,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1720209607950295041/pu/img/japOeNGg8vLk059g.jpg'],https://twitter.com/sheilaflwrseed/status/1720216613687877746
Go Birds,@take_it_sleazyy,2023-11-02T22:45:44.000Z,"Go Birds
@take_it_sleazyy
·
Nov 3","“This is fine” - 
@SenFettermanPA
 @JohnFetterman",,,,,[],https://twitter.com/take_it_sleazyy/status/1720210612976779668
gaijingirl2004 Bronx Leftist/Green.,@gaijingirl2004,2023-11-02T22:44:08.000Z,"gaijingirl2004 Bronx Leftist/Green.
@gaijingirl2004
·
Nov 3","According to sociopath 
@SenFettermanPA
 it's ""OK"" to bomb an entire NYC neighborhood to ""get"" someone in the subway.

He needs to be f*cking REMOVED from office. #notinmyname ",🦺 ✡ ✡,3,11,28,[],https://twitter.com/gaijingirl2004/status/1720210209660961045
Mike Elk,@MikeElk,2023-11-02T22:30:40.000Z,"Mike Elk
@MikeElk
·
Nov 3","4 MILLION VIEWS ON 
@PaydayReport
 confronting 
@SenFettermanPA
 on why he won’t support ceasefire in Gaza",,2,6,18,['https://pbs.twimg.com/ext_tw_video_thumb/1719816695596961792/pu/img/UmOvRNeMRqnd44uq.jpg'],https://twitter.com/MikeElk/status/1720206819279118535
