UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Willie Ray,@WillieR15372208,2023-11-01T22:52:15.000Z,"Willie Ray
@WillieR15372208
·
Nov 2","Iconic American History  #usa #bush #shoes https://youtube.com/shorts/lqXMQSUP8YE?si=EIhxeDFC4TWYcU6q… via 
@YouTube
 @RashidaTlaib
 @RepDebDingell
 @SenGaryPeters
 @newsGuy760
 @Jamie_Edmonds
 @wjrradio
 @DevinScillian
 @RodMeloni
 @charlielangton
 @rooprajfox2
 @TarynAsherFox2
 @JayTowers
 @DougLuzader
 @fox2deena",,,,,[],https://twitter.com/WillieR15372208/status/1719849863590838740
Willie Ray,@WillieR15372208,2023-11-01T22:39:11.000Z,"Willie Ray
@WillieR15372208
·
Nov 2","Israeli Defense Forces major says ""it's not a war... it's a massacre"" af... https://youtube.com/shorts/USPCZDGipmY?si=Aff4e1JrmB4cVIZ_… via 
@YouTube
 @RepDebDingell
 @RepSlotkin
 @SenGaryPeters
 @RashidaTlaib
 @MichiganDems
 @RepHaleyStevens
 @charlielangton
 @carolcain
 @newsGuy760
 @Jamie_Edmonds
 @wjrradio",,,,,[],https://twitter.com/WillieR15372208/status/1719846576913309800
Senator Gary Peters,@SenGaryPeters,2023-11-01T20:49:18.000Z,"Senator Gary Peters
@SenGaryPeters
·
Nov 2","Happy birthday to the iconic Mackinac Bridge — here's to 66 years of connecting our state’s two pleasant peninsulas!

Take it from me, there's no better way to cross than on a motorcycle.",,6,6,43,['https://pbs.twimg.com/media/F94GBf3WcAAkO2g?format=jpg&name=900x900'],https://twitter.com/SenGaryPeters/status/1719818922403180597
jmsbkb,@jmsbadkittybeer,2023-11-01T17:25:54.000Z,"jmsbkb
@jmsbadkittybeer
·
Nov 2","@HillaryScholten
 @RepRashida
 @RepCori
 @RepPressley
 @RepBarbaraLee
 @BobbyScott
 @DerrickNAACP
 @minaacp
 @SenStabenow
 @SenGaryPeters
 @GovWhitmer
 @LtGovGilchrist
 @WinnieBrinks
 @RepKristianG
 @SpeakerJoeTate
 @SenWarren
 @SenMarkey
 @PattyMurray
 @MISenDems
 @MIHouseDems
 @UniteThePoor",😭 🤬,,1,,"['https://pbs.twimg.com/profile_images/1589325138960318464/2OwvQAWC_normal.jpg', 'https://pbs.twimg.com/media/F929i_JbAAAd5IM?format=jpg&name=900x900']",https://twitter.com/jmsbadkittybeer/status/1719767735758930360
Edward Graham,@EdwardJGraham1,2023-11-01T17:17:03.000Z,"Edward Graham
@EdwardJGraham1
·
Nov 2","FBI Director Wray warned the US would be “effectively defenseless” to drone threats if DHS/DOJ's counter-UAS authority is not reauthorized. It expires on Nov 18. Bipartisan bills from 
@SenGaryPeters
/
@RepHoulahan
 would extend the authority ... 
@NextgovFCW",,,,3,['https://pbs.twimg.com/card_img/1729894019956695040/rbkfxG6j?format=jpg&name=900x900'],https://twitter.com/EdwardJGraham1/status/1719765508357017732
Senator Gary Peters,@SenGaryPeters,2023-11-01T17:10:03.000Z,"Senator Gary Peters
@SenGaryPeters
·
Nov 2","Current rising threats against U.S. soldiers in the Middle East underscore the value of the close air support capabilities that the A-10s of Michigan's 107th Fighter Squadron provide.

I'm pushing to ensure Selfridge & Michigan remain a key part of our air defense footprint.",,11,9,56,['https://pbs.twimg.com/ext_tw_video_thumb/1719763020732080128/pu/img/_MliZfs31uJsehXd.jpg'],https://twitter.com/SenGaryPeters/status/1719763746443178406
Jeff Spakowski - not long for this platform,@JeffSpakowski,2023-11-02T22:57:30.000Z,"Jeff Spakowski - not long for this platform
@JeffSpakowski
·
Nov 3","Stand for basic humanity 
@SenStabenow
, 
@SenGaryPeters
 
#CeasefireNOW",🔥,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720185185134587904/pu/img/Za_IarPdTxqeub1D.jpg'],https://twitter.com/JeffSpakowski/status/1720213572100198535
LovelyMsNet,@LovelyMsNet,2023-11-02T20:43:00.000Z,"LovelyMsNet
@LovelyMsNet
·
Nov 3","I’m still puzzled how 
@TimRyan
 lost to this PoS? Oops that’s right Timmy boy thought he didn’t need us the Democrats.. how’s that working? 
@dscc
 @SenGaryPeters
 @OHDems
 @TamieUSCongress
 @JDVance1",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1520934067562237953/pu/img/GgCZWA2S2WfHbakq.jpg'],https://twitter.com/LovelyMsNet/status/1720179726424097276
Senator Gary Peters,@SenGaryPeters,2023-11-02T19:33:49.000Z,"Senator Gary Peters
@SenGaryPeters
·
Nov 3","While I'm relieved that no one was hurt and no hazardous chemicals were spilled, the train derailment in Romulus underscores the pressing need to improve the safety of our critical railroad infrastructure.

We can start by passing the Railway Safety Act.",,22,20,82,[],https://twitter.com/SenGaryPeters/status/1720162315746644082
Homeland Security & Govt. Affairs Committee — Dems,@HSGAC,2023-11-02T18:23:24.000Z,"Homeland Security & Govt. Affairs Committee — Dems
@HSGAC
·
Nov 3","In July, authorities to enforce counterterrorism security standards at facilities that store or produce dangerous chemicals expired.
This lapse in security has made our nation vulnerable to chemical attacks. Chairman 
@SenGaryPeters
’ bill will restore this vital security program.",,1,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1720144339333001217/pu/img/mX6o6JENFSqka1Re.jpg'],https://twitter.com/HSGAC/status/1720144595013517527
