UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pewpew84,@Pewpew841,2023-11-01T23:52:25.000Z,"Pewpew84
@Pewpew841
·
Nov 2","Oh that doesnt look good 
@gillibrandny
 @SenGillibrand",,,2,9,['https://pbs.twimg.com/profile_images/1436202025096675328/bL7ZV4gj_normal.jpg'],https://twitter.com/Pewpew841/status/1719865004063863217
jane,@applPiprogress,2023-11-01T23:26:20.000Z,"jane
@applPiprogress
·
Nov 2","Rs won't throw Santos out - like Dems THREW 
@alfranken
, 1 OF THEIR BEST SENATORS, OUT LIKE TRASH - without even benefit of due process

SHAMEFUL 
@SenSchumer
 @SenGillibrand
 & the rest of you STUPID ENOUGH 2 DO THIS

Rs were LAUGHING WHEN U KICKED AL OUT - did their job 4 them",,,,,[],https://twitter.com/applPiprogress/status/1719858441156468746
Hospice & Palliative Care Association of NYS,@HPCANYS,2023-11-01T20:43:06.000Z,"Hospice & Palliative Care Association of NYS
@HPCANYS
·
Nov 2","You can improve the quality of life for millions of patients with serious illnesses and chronic conditions,
@SenSchumer
 and 
@SenGillibrand
. We need your continued support. Please advocate to move #PCHETA forward. 
@PatientQoL
 @NHPCO
 @CherylKrausEsq
#HPM #HAPC #HPCANYS #NHPCO",,,3,1,[],https://twitter.com/HPCANYS/status/1719817364361871812
Livingston County News,@TheLCN,2023-11-01T19:53:50.000Z,"Livingston County News
@TheLCN
·
Nov 2","""
@SenGillibrand
 (D-NY) has added her voice to those calling for additional security for the #Jewish people & organizations in light of the increased threats of violence following the onset of the #IsraeliHamasWar.",,,,,['https://pbs.twimg.com/card_img/1732220351466377217/13jZW9sK?format=jpg&name=small'],https://twitter.com/TheLCN/status/1719804963558146506
PatientQoL Coalition,@PatientQoL,2023-11-01T19:53:26.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","We need to pass #PCHETA to improve the quality of life for millions of people with serious illnesses and chronic conditions. 
@SenGillibrand
, will you urge leadership to move this bill forward? 
@PatientQoL
 #HPM #HAPC",,,1,1,['https://pbs.twimg.com/media/F935ZqhbkAA2uv4?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719804863654277603
Stephen Barnard,@reckon104,2023-11-01T19:45:30.000Z,"Stephen Barnard
@reckon104
·
Nov 2","I think it's safe to say Gillebrand won't hold another public AARO briefing.  She knows some of us would show up and ask the questions the press should be asking.  At least we won't have to put up with the tie chain again.
@SenGillibrand
 #ufotwitter #ufos #uap #uaptwitter",,2,3,11,[],https://twitter.com/reckon104/status/1719802868528452073
Jo #CPP,@Jo74596327,2023-11-01T19:45:01.000Z,"Jo #CPP
@Jo74596327
·
Nov 2","#CPP my
@SenJohnKennedy
 @PattyMurray
 @SenDuckworth
 @SenJeffMerkley
 @SenGillibrand
 @ABC
 @NBCNews
 @CBSNews",💔 💔 💔,,,,['https://pbs.twimg.com/profile_images/1566809653144686592/AiGaxkhl_normal.jpg'],https://twitter.com/Jo74596327/status/1719802747212779774
morgan,@morgan3llis,2023-11-01T18:56:24.000Z,"morgan
@morgan3llis
·
Nov 2","Big thing I've learned in the last three weeks is that 
@SenSchumer
 never answers the phone, and 
@SenGillibrand
 never deletes (and I assume this means, listens to) her voicemails.  Great job listening to your constituents ",👍,1,,,[],https://twitter.com/morgan3llis/status/1719790510041108660
anti-oligarchy,@letitblc,2023-11-01T18:25:27.000Z,"anti-oligarchy
@letitblc
·
Nov 2","Israeli government is now distributing rifles to kill Palestinians in West Bank is this where our taxpayer money is being spent to slaughter innocent humans with less dignity than an actual slaughter house.   
@BernieSanders
 @Pontifex
 @SenSchumer
 @SenGillibrand
 @RepPaulTonko
…
Show more",🚫,,,,[],https://twitter.com/letitblc/status/1719782722648805722
ChrisFrench83,@chrisfrench83,2023-11-01T18:07:48.000Z,"ChrisFrench83
@chrisfrench83
·
Nov 2","Another lie from the head of 
@DoD_AARO
 @SenGillibrand
 @marcorubio
 @MarkWarner
 @SenSchumer
 @JakeSullivan46
 ? ",🤔 👇 👇 👇 👇 👇 🤔 👇,,,3,"['https://pbs.twimg.com/profile_images/1395739363573739523/1M3N0COS_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719773114974793728/pu/img/Hudu89lfAs_lvpWe.jpg']",https://twitter.com/chrisfrench83/status/1719778281644347596
