UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
U.S. Senator Cindy Hyde-Smith,@SenHydeSmith,2023-11-01T21:34:10.000Z,"U.S. Senator Cindy Hyde-Smith
@SenHydeSmith
·
Nov 2","My statement on the Senate’s passage of the Transportation, HUD Appropriations Bill:",,7,2,6,['https://pbs.twimg.com/media/F94QUHxXYAA2AZ0?format=png&name=900x900'],https://twitter.com/SenHydeSmith/status/1719830212521636008
PatientQoL Coalition,@PatientQoL,2023-11-01T19:39:49.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","We need to pass #PCHETA to improve the quality of life for millions of people with serious illnesses and chronic conditions. 
@SenHydeSmith
, will you urge leadership to move this bill forward? 
@PatientQoL
 #HPM #HAPC",,,1,1,['https://pbs.twimg.com/media/F932R_XaEAEzkWz?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719801436022948340
IndoUSrare,@indousrare,2023-11-01T16:52:46.000Z,"IndoUSrare
@indousrare
·
Nov 2","We thank the Honorable 
@SenHydeSmith
 for her inspiring message and invite you all to join hands with us to work together to make a difference in the world of rare diseases.

Watch the video : https://youtu.be/Hg2Z1Mdiukg

#BridgingRARESummit #RareDiseaseAdvocacy #IndoUSrare",,,1,4,['https://pbs.twimg.com/card_img/1730255375222407168/VAHnXrsq?format=jpg&name=360x360'],https://twitter.com/indousrare/status/1719759396249715131
AHTCC,@AHTCCoalition,2023-11-01T15:40:22.000Z,"AHTCC
@AHTCCoalition
·
Nov 1","Thank you 
@SenHydeSmith
! MR6RAD provides 250+ affordable homes to families & seniors in central Mississippi at 9 sites across six counties. Congratulations MR6RAD, Knight Development & Mississippi Regional Development Corporation on your #Edsons2023 Award. https://bit.ly/40aTA4P",,,1,1,"['https://pbs.twimg.com/media/F92-dehW4AAe1MR?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1384865385850318851/qsdBWrWi_normal.jpg', 'https://pbs.twimg.com/media/F9c0rhtXMAAcwrl?format=jpg&name=240x240', 'https://pbs.twimg.com/media/F9c0rh3XkAEOPWx?format=jpg&name=240x240']",https://twitter.com/AHTCCoalition/status/1719741175655969238
U.S. Senator Cindy Hyde-Smith,@SenHydeSmith,2023-11-01T14:15:57.000Z,"U.S. Senator Cindy Hyde-Smith
@SenHydeSmith
·
Nov 1","Medgar Wiley Evers dedicated his life to the defense of civil rights in Mississippi and the United States. His sacrifice inspires Americans to this day, and he furthered the cause of freedom for all humankind. We're urging 
@POTUS
 to award him the Presidential Medal of Freedom.",,13,6,17,['https://pbs.twimg.com/media/F92r6a0XkAAwhnt?format=png&name=900x900'],https://twitter.com/SenHydeSmith/status/1719719932382912916
BD peoples Voice,@BDPeoplesVoice,2023-11-01T07:50:00.000Z,"BD peoples Voice
@BDPeoplesVoice
·
Nov 1","BNP leaders and activists also took part in the attack on the chief justice's residence. Police officers were attacked and a constable was brutally killed. Can BNP deny the blame for these incidents?

Golam Mortoza
Editor, The Daily Star
@SenHydeSmith
 @SenRonJohnson",,,,,['https://pbs.twimg.com/media/F91TgwjaUAAYRaq?format=jpg&name=900x900'],https://twitter.com/BDPeoplesVoice/status/1719622805090914428
U.S. Senator Cindy Hyde-Smith,@SenHydeSmith,2023-11-02T20:38:49.000Z,"U.S. Senator Cindy Hyde-Smith
@SenHydeSmith
·
Nov 3",I’ve worked with my colleagues on the Approps committee to improve the readiness & operational efficiency of active duty and reserve bases in our state. I believe these MS projects will fare well as the Senate & House work toward a single bill that can be signed into law. Read:,,5,2,7,['https://pbs.twimg.com/media/F9PUNoUawAAWNYm?format=png&name=900x900'],https://twitter.com/SenHydeSmith/status/1720178673016258986
msfarmbureau,@MSFarmBureau,2023-11-02T17:49:07.000Z,"msfarmbureau
@MSFarmBureau
·
Nov 3","Thank you 
@SenHydeSmith
 !",,,,,['https://pbs.twimg.com/profile_images/1384865385850318851/qsdBWrWi_normal.jpg'],https://twitter.com/MSFarmBureau/status/1720135967514706146
U.S. Senator Cindy Hyde-Smith,@SenHydeSmith,2023-11-02T16:15:59.000Z,"U.S. Senator Cindy Hyde-Smith
@SenHydeSmith
·
Nov 3","Any proposed regulatory changes to the H-2A program have potential ramifications for the entire American agricultural supply chain and food security. I'm leading a letter to 
@DHSgov
 and 
@USDOL
 urging them to give farmers & ranchers more time to comment on reforms to the program.",,8,8,4,['https://pbs.twimg.com/media/F98RG7wW8AAJMDt?format=png&name=900x900'],https://twitter.com/SenHydeSmith/status/1720112527709814944
U.S. Senator Cindy Hyde-Smith,@SenHydeSmith,2023-11-03T19:54:00.000Z,"U.S. Senator Cindy Hyde-Smith
@SenHydeSmith
·
Nov 4","ICYMI: $8.7 million in 
@USDOT
 funds will help create more certainty for Delta ag producers & industries that rely on the Rosedale port to ship & receive goods efficiently. I look forward to continuing to support these upgrades. Details:",,7,6,2,['https://pbs.twimg.com/media/F9PUNoUawAAWNYm?format=png&name=900x900'],https://twitter.com/SenHydeSmith/status/1720529780419055991
