UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Marcy Winograd,@marcywinograd,2023-11-01T23:06:38.000Z,"Marcy Winograd
@marcywinograd
·
Nov 2",".
@SenAlexPadilla
 @SenSchumer
 @timkaine
 @SenatorMenendez
 @SenJackReed
 Intro a Senate res for #ceasefire in #Gaza. Center for Constitutional Rights has gone to the ICC to demand an investigation into 
@POTUS
 @SecBlinken
 @SecDef
 as accomplices to #Genocide_in_Gaza.",,2,9,13,[],https://twitter.com/marcywinograd/status/1719853484714172775
Kevin Baron,@DefenseBaron,2023-11-01T22:37:18.000Z,"Kevin Baron
@DefenseBaron
·
Nov 2","We have a great lineup coming for 
@politico
’s Defense Summit, on Nov 14, including SASC Chair 
@SenJackReed
, HASC ranking 
@RepAdamSmith
; and 
@HouseIntel
’s chair 
@RepMikeTurner
 and ranking member Rep. 
@jahimes
. More to come! 
RSVP: https://politicodefensesummit23.splashthat.com/CMS",,1,3,5,[],https://twitter.com/DefenseBaron/status/1719846099882577961
Senator Jack Reed,@SenJackReed,2023-11-01T20:37:15.000Z,"Senator Jack Reed
@SenJackReed
·
Nov 2","New $5.6M to shore up Block Island water infrastructure will make a big splash for homeowners, local biz & tourism. Harborside Inn fire was stark reminder of how critical water capacity is for the island. Glad to help get this funding to the Town.",,5,2,13,[],https://twitter.com/SenJackReed/status/1719815889145438315
PatientQoL Coalition,@PatientQoL,2023-11-01T20:04:35.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@SenJackReed
 for being a #PCHETA cosponsor! This bill will improve quality of life for patients living with serious illness and their families. 
@PatientQoL
 #HPM #HAPC",,,1,1,[],https://twitter.com/PatientQoL/status/1719807668767113298
No Endless War or Excessive Militarism,@CurbMilitarism,2023-11-01T19:31:34.000Z,"No Endless War or Excessive Militarism
@CurbMilitarism
·
Nov 2","Today in Westerly. People were especially responsive to the call for peace.
@Rep_Magaziner
 @SenWhitehouse
 @SenJackReed
 @gabeamo",,,,1,[],https://twitter.com/CurbMilitarism/status/1719799361167651194
Ted Nesi,@TedNesi,2023-11-01T18:06:15.000Z,"Ted Nesi
@TedNesi
·
Nov 2","The activist group Fang Collective just distributed this photo of its members staging what they call a ""die-in"" at 
@SenJackReed
's Cranston office to protest US policy on Israel

Statement demands an immediate ceasefire and ""complete"" end to US aid for Israel. No mention of Hamas",,6,8,9,[],https://twitter.com/TedNesi/status/1719777888474390899
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:14:09.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SenJackReed
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1719749677912817840
Jackie Goldman (they/them),@JackieGoldmanRI,2023-11-02T22:25:40.000Z,"Jackie Goldman (they/them)
@JackieGoldmanRI
·
Nov 3",".
@pvdcitycouncil
 just passed a resolution to urge 
@SenWhitehouse
 @SethMagaziner
 and 
@SenJackReed
 to call for a ceasefire and aid to Gaza.",,,,13,[],https://twitter.com/JackieGoldmanRI/status/1720205562367844664
eBook Connection,@eBookConnection,2023-11-02T20:57:00.000Z,"eBook Connection
@eBookConnection
·
Nov 3","“The DoD needs to heavily reexamine how it treats the recruiting pool regarding marijuana.” Matthew Weiss, USMC 
@SenJackReed
 @POTUS
 @abookpublicist
 #MarineCorps #rt 
@sethmoulton
 @repAdamSchiff
 @NMalliotakis
 @kayleighmcenany
 https://unclesambook.org",,,,,[],https://twitter.com/eBookConnection/status/1720183247001575585
Paul LeBon,@PaulLeBonRI,2023-11-02T20:36:31.000Z,"Paul LeBon
@PaulLeBonRI
·
Nov 3","Congratulations to 
@SenJackReed
 for leading the way to approve heads of Navy and Air Force, getting around 'Jed Clampett' Turbeville blockade. Redneck buffoon.
@SenDuckworth
 @SenSchumer
 @SenWhitehouse",,,,,[],https://twitter.com/PaulLeBonRI/status/1720178095129350472
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:22:56.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenJackReed
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1720174677115449701
Todd Garrett,@lonesome_oak,2023-11-02T18:41:42.000Z,"Todd Garrett
@lonesome_oak
·
Nov 3","It’s evident with Sen Tommy Tuberville continued block of military promotions he is not putting the safety of our country first.  Per his own party The simple solution - immediately close ALL military bases and NASA in Alabama 
@SenTuberville
 @POTUS
 @SenJackReed",,,,1,[],https://twitter.com/lonesome_oak/status/1720149199344267480
Senator Jack Reed,@SenJackReed,2023-11-03T22:20:23.000Z,"Senator Jack Reed
@SenJackReed
·
Nov 4","It’s always an honor to meet & celebrate our veterans. Joined 
@SBA_RhodeIsland
 for a Nat’l #VeteransSmallBiz Week discussion on successes & challenges faced by local veteran entrepreneurs & how we can improve resources for veterans launching & building biz ventures.",,7,5,21,[],https://twitter.com/SenJackReed/status/1720566619762499759
SBA Rhode Island,@SBA_RhodeIsland,2023-11-03T20:12:20.000Z,"SBA Rhode Island
@SBA_RhodeIsland
·
Nov 4","Today, 
@SBA_RhodeIsland
 & 
@SenJackReed
 hosted a roundtable to celebrate #NVSBW's 10th Anniversary at local Veteran-owned #Smallbiz, 
@crookpointbrew1
 Company.  Veteran-owned businesses discussed the challenges they have faced & successes they have had over the past several years.",,,,1,[],https://twitter.com/SBA_RhodeIsland/status/1720534393557602752
Tamara Sacharczyk,@NBC10_Tamara,2023-11-03T19:29:12.000Z,"Tamara Sacharczyk
@NBC10_Tamara
·
Nov 4","The Senate bypassed Sen. Tommy Tuberville yesterday to confirm 3 high-ranking military leaders after months of holdups.

I go live with 
@SenJackReed
 on 
@NBC10
 to talk about this & the ongoing efforts to get more officials confirmed.",,1,6,17,[],https://twitter.com/NBC10_Tamara/status/1720523539785162840
Fox News Sunday,@FoxNewsSunday,2023-11-03T19:04:36.000Z,"Fox News Sunday
@FoxNewsSunday
·
Nov 4","This Week on #FoxNewsSunday, 
@ShannonBream
 is joined by 
@SpeakerJohnson
, 
@SenJackReed
 & 
@GovMikeDeWine
. Check your local listings and tune in!",,18,5,6,[],https://twitter.com/FoxNewsSunday/status/1720517349420281858
POLITICO Live,@POLITICOLive,2023-11-03T17:32:57.000Z,"POLITICO Live
@POLITICOLive
·
Nov 4","Nov. 14  Don’t miss 
@SenJackReed
 (D-RI) discuss how domestic politics are impacting national security at 
@politico
's Defense Summit. 

Join to hear how the Chairman of the 
@SASCDems
 is responding to domestic crises. #POLITICODefense 

RSVP today: https://bit.ly/3S5Nu3K",➡,,,1,[],https://twitter.com/POLITICOLive/status/1720494286590951580
Senator Jack Reed,@SenJackReed,2023-11-04T22:46:41.000Z,"Senator Jack Reed
@SenJackReed
·
Nov 5","Wonderful to be here among friends to celebrate Diwali w/ the India Association of RI. Diwali is a holiday that celebrates the triumph of good over evil, of light over darkness. It’s been a joyous night of incredible art, culture, food, dancing & diversity. Happy Diwali!",,5,6,26,[],https://twitter.com/SenJackReed/status/1720935625816236411
Senator Jack Reed,@SenJackReed,2023-11-04T21:43:10.000Z,"Senator Jack Reed
@SenJackReed
·
Nov 5","Our nation’s veterans – our heroes – embody the best of the American spirit. I’m proud to work on behalf of our veterans every day and I’m honored to recognize & celebrate RI’s veterans at 
@WaterFireProv
’s annual Salute to Veterans ceremony.",,5,7,41,[],https://twitter.com/SenJackReed/status/1720919644138074224
Ruby Schlaker,@RubySchlaker,2023-11-04T21:34:44.000Z,"Ruby Schlaker
@RubySchlaker
·
Nov 5","Hi [
@SenJackReed
 ]: As your constituent, I’m urging you to demand a #CeasefireNOW

Palestinians in Gaza are living through genocide as Israel bombs, starves, and displaces them. Their lives are on the line with every passing second.

Stop the killing! Speak up now!",,,,,[],https://twitter.com/RubySchlaker/status/1720917518179504272
No Endless War or Excessive Militarism,@CurbMilitarism,2023-11-04T21:29:16.000Z,"No Endless War or Excessive Militarism
@CurbMilitarism
·
Nov 5","This man has the weakest words with the least amount of meaning. Shallow. Both sides of mouth.

Shame on those who mindlessly line up with him, 
@gabeamo
 @SenWhitehouse
 @Rep_Magaziner
 @SenJackReed
 @JohnFetterman
 @SenGillibrand
 @SenSchumer
 @ChrisMurphyCT
 @SenBlumenthal
 @SenWarren
 .",,,,,['https://pbs.twimg.com/profile_images/1653450164210630659/oPRqz0j6_bigger.jpg'],https://twitter.com/CurbMilitarism/status/1720916144700199150
Ted Lieu,@tedlieu,2023-11-04T18:46:11.000Z,"Ted Lieu
@tedlieu
·
Nov 5","Honored to join Sen 
@SenWhitehouse
, 
@SenJackReed
, RI Speaker 
@JoeShekarchi
 and 
@PVDMayor
 in support of 
@gabeamo
 for Congress today.

If you are in Gabe’s district, please vote this Monday or Tuesday. We need Gabe in Congress.",,66,127,451,[],https://twitter.com/tedlieu/status/1720875104005956005
