UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Senator Jacky Rosen,@SenJackyRosen,2023-11-01T22:33:10.000Z,"Senator Jacky Rosen
@SenJackyRosen
·
Nov 2","¡Feliz Día de los Muertos, Nevada! Today, we honor the lives and legacies of our loved ones who have passed on.

¡Feliz Día de los Muertos, Nevada! Hoy celebramos las memorias y los legados de nuestros seres queridos que han fallecido.",,6,1,12,[],https://twitter.com/SenJackyRosen/status/1719845063474262171
Senator Mike Rounds,@SenatorRounds,2023-11-01T22:22:21.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 2",".
@SenJackyRosen
 and I received word that DOD is honoring our request and transferring two additional Iron Dome systems to Israel. This is an important step toward helping Israel defend their nation. 

More information:",,9,2,11,['https://pbs.twimg.com/card_img/1728864683816341504/4aOOZ1pW?format=png&name=900x900'],https://twitter.com/SenatorRounds/status/1719842341119266863
NEWS TALK 780 KOH,@NewsTalk780KOH,2023-11-01T22:05:34.000Z,"NEWS TALK 780 KOH
@NewsTalk780KOH
·
Nov 2","Jewish college students are feeling threatened...so 
@SenJackyRosen
 has asked 
@usdoegov
 to help stop the rise of antisemitism on college campuses following the October 7 terrorist attack on Israel. #KOHNews #NVNews #USNews https://kkoh.com/2023/11/01/senator-rosen-asking-dept-of-education-to-address-rise-in-antisemitism-on-collge-campuses/…",,,1,2,['https://pbs.twimg.com/media/F94XhAqagAA-U0F?format=jpg&name=small'],https://twitter.com/NewsTalk780KOH/status/1719838113839956299
Senator Jacky Rosen,@SenJackyRosen,2023-11-01T21:25:50.000Z,"Senator Jacky Rosen
@SenJackyRosen
·
Nov 2","This disgusting and vile act of antisemitism in our own backyard is appalling and must be forcefully condemned.

We can't let this bigotry be normalized.",,52,41,169,"['https://pbs.twimg.com/profile_images/1277095289002668032/f9uzU1Ek_normal.jpg', 'https://pbs.twimg.com/media/F93eoajawAI-rB3?format=jpg&name=900x900']",https://twitter.com/SenJackyRosen/status/1719828115990434144
Savonna Maki,@SavonnaMaki,2023-11-01T20:51:19.000Z,"Savonna Maki
@SavonnaMaki
·
Nov 2","Prove him wrong 
@GOP
 @DNC
 @FBI
 @JoeBiden
 @realDonaldTrump
 @usgov
  @SenCortezMasto
 @SenJackyRosen
 
Release the #Epstein list.",,,,,"['https://pbs.twimg.com/profile_images/1687562639633788928/CQJDLhoo_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719790512519909376/pu/img/xQRWywyWEKWobalu.jpg']",https://twitter.com/SavonnaMaki/status/1719819429423599821
PatientQoL Coalition,@PatientQoL,2023-11-01T19:47:29.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@SenJackyRosen
 for cosponsoring bipartisan #PCHETA! It will improve quality of care & quality of life for millions of patients & families facing #seriousillness. Let's bring this critical legislation over the finish line this year! 
@PatientQoL
 #HPM #HAPC",,,1,1,['https://pbs.twimg.com/media/F934ClFbsAAvsTR?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719803366984065460
Senator Jacky Rosen,@SenJackyRosen,2023-11-01T16:15:54.000Z,"Senator Jacky Rosen
@SenJackyRosen
·
Nov 2","There's nothing like fall in Eastern Nevada. 

While in 
@LincolnNV
 to meet with Nevadans during our Mobile Office Hours, #TeamRosen snapped these beautiful photos of our state's changing seasons.",🍂,10,6,24,"['https://pbs.twimg.com/media/F93HjdnWAAMx8z6?format=jpg&name=small', 'https://pbs.twimg.com/media/F93HjdlWYAA-5du?format=jpg&name=small']",https://twitter.com/SenJackyRosen/status/1719750119325565399
UNR Med,@unrmed,2023-11-01T15:46:05.000Z,"UNR Med
@unrmed
·
Nov 1","“What I hear most is that we just don’t have enough access to care in Nevada, whether it’s physicians, nurses or other healthcare professionals,” said 
@SenJackyRosen
 during a #healthcare panel earlier this month.

Learn more about the discussion here: https://unr.edu/nevada-today/news/2023/senator-rosen…",,3,3,7,['https://pbs.twimg.com/profile_images/1714016919328878592/JT_OBTLg_normal.jpg'],https://twitter.com/unrmed/status/1719742614201639169
Terri Loves America,@ProudAFAmerican,2023-11-01T15:27:41.000Z,"Terri Loves America
@ProudAFAmerican
·
Nov 1","NEVADA: Sen. Jacky Rosen is working hard to protect women's reproductive rights, voting rights, fight climate change + improve the lives of all the diverse populations of NV. Please donate and vote to reelect 
@SenJackyRosen
 
#DemVoice1 
#ProudBlue 
#wtpEARTH",🟧 💙 💔 🟦,4,78,96,['https://pbs.twimg.com/media/F928lcdaAAAiVzp?format=jpg&name=900x900'],https://twitter.com/ProudAFAmerican/status/1719737986303058415
June Monroe,@JuneMonroe3905,2023-11-01T15:21:12.000Z,"June Monroe
@JuneMonroe3905
·
Nov 1","Hoping additional legislators from Nevada will cosponsor LDPA. 
@CortezMasto
 @SenCortezMasto
 @RosenforNevada
 @SenJackyRosen
 @RepHorsford
 @StevenHorsford
 @RepSusieLee
 @SusieLeeNV
 @ElliotMalin
 Thank you 
@MarkAmodeiNV2
 & 
@repdinatitus
 for being cosponsors.",🧡,,,1,['https://pbs.twimg.com/profile_images/1055202671391662080/BQAcUD94_normal.jpg'],https://twitter.com/JuneMonroe3905/status/1719736353867645088
