UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Senator Jeff Merkley,@SenJeffMerkley,2023-11-01T21:35:26.000Z,"Senator Jeff Merkley
@SenJeffMerkley
·
Nov 2","BREAKING: The Senate just passed appropriations bills to support our veterans, invest in rural communities, and fund affordable housing and transportation infrastructure projects—on a bipartisan basis.

That’s delivering for the people. The House needs to do the same.",,36,103,340,[],https://twitter.com/SenJeffMerkley/status/1719830530739306625
StopEndlessWar,@StopEndWarsNOW,2023-11-01T20:55:23.000Z,"StopEndlessWar
@StopEndWarsNOW
·
Nov 2","#AuditTheFed!
@RonWyden
 @SenJeffMerkley
  @SenateGOP
 @SenateDems
 @federalreserve
 @SpeakerJohnson",‼ 🚨 🚨 ‼,,,,[],https://twitter.com/StopEndWarsNOW/status/1719820455501263311
Jennifer Haberkorn,@jenhab,2023-11-01T20:32:34.000Z,"Jennifer Haberkorn
@jenhab
·
Nov 2","Progressive worry alert: 
@SenSanders
, 
@SenWarren
, 
@SenJeffMerkley
 and 
@SenPeterWelch
 tell Biden admin they have ""serious concerns"" about Israel's invasion into Gaza and demand to know Israel's long-term plans and goals and the admin's assessment of them.
https://sanders.senate.gov/wp-content/uploads/Letter-to-President-Biden-re-Israel-Gaza-11.01.2023.pdf…",,2,,2,[],https://twitter.com/jenhab/status/1719814711032643629
Matt Nemeth,@MattJNemeth,2023-11-01T20:02:03.000Z,"Matt Nemeth
@MattJNemeth
·
Nov 2","Did YOU miss the US Senate hearing on single-use plastics last week? You can bet the ff industry didn’t! Most of the time was eaten up by senators advocating advanced recycling ventures. NO TALK about climate change & plastic production’s impact until the end from 
@SenJeffMerkley",,1,3,6,[],https://twitter.com/MattJNemeth/status/1719807029978575241
PatientQoL Coalition,@PatientQoL,2023-11-01T20:00:15.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","We need to pass #PCHETA to improve the quality of life for millions of people with serious illnesses and chronic conditions. 
@SenJeffMerkley
, will you urge leadership to move this bill forward? 
@PatientQoL
 #HPM #HAPC",,,1,1,[],https://twitter.com/PatientQoL/status/1719806578814341415
Jo #CPP,@Jo74596327,2023-11-01T19:58:06.000Z,"Jo #CPP
@Jo74596327
·
Nov 2","#CPP my one more CPP went to the streets for help my she would still be here with her family for Thanksgiving Christmas or Hanukkah but she was cut off forced off her RX narcotics opiates my 
@SenJeffMerkley
 @RonWyden",💔 💔 💔,,,,[],https://twitter.com/Jo74596327/status/1719806037841355230
Jo #CPP,@Jo74596327,2023-11-01T19:45:01.000Z,"Jo #CPP
@Jo74596327
·
Nov 2","#CPP my
@SenJohnKennedy
 @PattyMurray
 @SenDuckworth
 @SenJeffMerkley
 @SenGillibrand
 @ABC
 @NBCNews
 @CBSNews",💔 💔 💔,,,,[],https://twitter.com/Jo74596327/status/1719802747212779774
Ben Samuels,@Bsamuels0,2023-11-01T19:18:28.000Z,"Ben Samuels
@Bsamuels0
·
Nov 2",".
@SenSanders
, 
@SenWarren
, 
@SenPeterWelch
 and 
@SenJeffMerkley
 urge Biden to clarify outstanding questions about the Israel-Gaza war as they mull supporting his request to provide $14.3 billion in emergency aid to Israel https://haaretz.com/israel-news/2023-11-01/ty-article-live/11-israeli-soldiers-killed-as-idf-expands-gaza-ground-operation/0000018b-8925-d055-afbf-bba702e90000…",,7,30,49,[],https://twitter.com/Bsamuels0/status/1719796064100716782
Politically Homeless,@ChrisseyHunsakr,2023-11-01T19:14:52.000Z,"Politically Homeless
@ChrisseyHunsakr
·
Nov 2","I am appreciative of my elected (and non-elected) representatives who, despite my alternative (often adversarial) remarks, have never blocked me. 
@SenJeffMerkley
 @repblumenauer
 @RonWyden
 @ORdem
 @ORrepublicans
 @GOPChairwoman
 @pnjaban",,,,,[],https://twitter.com/ChrisseyHunsakr/status/1719795157703508051
Caroline Hurd,@CarolineHurdUW,2023-11-01T19:09:02.000Z,"Caroline Hurd
@CarolineHurdUW
·
Nov 2",".
@SenJeffMerkley
 thank you for cosponsoring bipartisan #PCHETA! This bill will improve the quality of care & life for millions of patients & families facing serious illnesses. Let's bring this critical legislation over the finish line this year! #HPM #HAPC 
@PatientQoL",,,,,[],https://twitter.com/CarolineHurdUW/status/1719793690682769648
