UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:36:41.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@RepSchneider
 
@RepBost
 
@RepNikkiB
@RepUnderwood
@RepMaryMiller
@RepLaHood
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719861044351226228
Senate Energy GOP,@EnergyGOP,2023-11-01T20:01:44.000Z,"Senate Energy GOP
@EnergyGOP
·
Nov 2","Tomorrow at 10:00 a.m., Ranking Member 
@SenJohnBarrasso
 and the Committee on Energy and Natural Resources will hold a full committee hearing to examine opportunities for development and innovation in carbon capture deployment and storage technologies:",,4,1,2,[],https://twitter.com/EnergyGOP/status/1719806951691804939
Morning Consult,@MorningConsult,2023-11-01T22:04:00.000Z,"Morning Consult
@MorningConsult
·
Nov 2","Republican 
@SenJohnBarrasso
 remains America’s most popular senator, with a 70% approval rating at home in Wyoming, followed by Democratic 
@SenBrianSchatz
, who has a 65% approval rating in Hawaii. https://morningconsult.biz/46RNrgy",,,1,3,[],https://twitter.com/MorningConsult/status/1719837720577810620
Bethany Blankley,@BethanyBlankley,2023-11-01T23:12:13.000Z,"Bethany Blankley
@BethanyBlankley
·
Nov 2","GOP Senators: Biden’s border policies create 'increased threat' of terrorist attack https://thecentersquare.com/national/article_6128cd9c-78e9-11ee-9435-0f74f4bd3ca4.html… via 
@thecentersquare
 
@SenTedCruz
 @JohnCornyn
 @SenatorRicketts
 @SenJohnBarrasso
 @SenateGOP",,1,6,5,[],https://twitter.com/BethanyBlankley/status/1719854890669810079
Jim Polk,@JimPolk,2023-11-02T23:53:49.000Z,"Jim Polk
@JimPolk
·
Nov 3","Single subject bills from Congress
@HouseGOP
 @SenateGOP
 @SpeakerJohnson
 @LeaderMcConnell
 @SenSchumer
 @SenTedCruz
 @SpeakerMcCarthy
 @RepStefanik
 @SenJohnBarrasso",,,,,[],https://twitter.com/JimPolk/status/1720227744884150748
Lady Liberty,@LadyLiberty1779,2023-11-02T23:28:34.000Z,"Lady Liberty
@LadyLiberty1779
·
Nov 3","I didn't see 
@SenJohnBarrasso
 on the list  ? Wyoming 
Governor Mark Gordon of Wyoming is sending help for the border. We know what we need to do with all those. #VoteOut",,,1,2,[],https://twitter.com/LadyLiberty1779/status/1720221389565694217
Brooks Robinson,@BrooksR51505370,2023-11-02T22:22:46.000Z,"Brooks Robinson
@BrooksR51505370
·
Nov 3","Most people do not have access to #paidleave via their employer. 
@SenJohnBarrasso
 As your constituent, I urge you to #ThinkBabiesAndAct & support the #FAMILYAct, making #PaidLeaveforAll a reality. #CareCantWait",,,,,[],https://twitter.com/BrooksR51505370/status/1720204832470860136
Brooks Robinson,@BrooksR51505370,2023-11-02T22:21:09.000Z,"Brooks Robinson
@BrooksR51505370
·
Nov 3",".
@SenJohnBarrasso
 Healthy social and emotional development is critical during #earlychildhood and lays the foundation for a baby’s future! It’s time for Congress to #ThinkBabies and invest in the #MentalHealth of babies. https://bit.ly/39Aqtla",,,,,[],https://twitter.com/BrooksR51505370/status/1720204424071491735
Sen. John Barrasso,@SenJohnBarrasso,2023-11-03T20:34:07.000Z,"Sen. John Barrasso
@SenJohnBarrasso
·
Nov 4",Powell’s Southside Elementary has been recognized as a National Blue Ribbon School for the second time. It was a pleasure to celebrate this accomplishment with students and teachers today. Southside Elementary is doing a wonderful job preparing their students for bright futures.,,6,1,10,[],https://twitter.com/SenJohnBarrasso/status/1720539878813815010
Sen. John Barrasso,@SenJohnBarrasso,2023-11-03T19:38:42.000Z,"Sen. John Barrasso
@SenJohnBarrasso
·
Nov 4","Under 
@POTUS
, our country is a lot less safe because our southern border is wide open. He needs to see firsthand the humanitarian, criminal and national security crisis he created. Senate Republicans are committed to protecting the homeland & will restore security in our nation.",,23,9,30,['https://pbs.twimg.com/amplify_video_thumb/1720525500043399168/img/CqtCYMxMGWSeEUmL.jpg'],https://twitter.com/SenJohnBarrasso/status/1720525930949472496
