UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
DanBueide,@DanBueide,2023-11-01T22:03:32.000Z,"DanBueide
@DanBueide
·
Nov 2","Hope 
@SenKevinCramer
 and 
@SenJohnHoeven
 will join Sen Sullivan and other GOP Senators to end Tuberville’s blockade.",,,,,['https://pbs.twimg.com/profile_images/1650121188146814977/Ox4Vr3JQ_normal.jpg'],https://twitter.com/DanBueide/status/1719837603384443071
InquisitiveScout,@scout8712,2023-11-01T20:52:52.000Z,"InquisitiveScout
@scout8712
·
Nov 2","Thank you 
@SenWarren
! I’m encouraging everyone to view the video of her remarks.
@SenJohnHoeven
 @SenKevinCramer
 @AccountableGOP",,,,,"['https://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg', 'https://pbs.twimg.com/media/F9280mJX0AAn2Ae.jpg']",https://twitter.com/scout8712/status/1719819818784915571
Senate Republicans,@SenateGOP,2023-11-01T20:00:36.000Z,"Senate Republicans
@SenateGOP
·
Nov 2","WATCH — 
@SenJohnHoeven
:

Under Joe Biden, we have an open border at a time that we are concerned about attacks from terrorists.",🚨,82,53,163,['https://pbs.twimg.com/amplify_video_thumb/1719806601643593728/img/2M4OfEMwPEh1NbEm.jpg'],https://twitter.com/SenateGOP/status/1719806665334063312
White Mamba,@vipersnke,2023-11-01T15:55:40.000Z,"White Mamba
@vipersnke
·
Nov 1","Colors are being exposed. 
MMT MUST continue. Agenda-30 
Thus, money for all. 
Once it stops, it'll grind to halt.
Thus, Ukraine, the fleece point.
Russia Russia Russia,
whatever it takes.
Right 
@SenKevinCramer
 @SenJohnHoeven
 @RepArmstrongND
 @theflagwzfg
 @970WDAY
 #TheFlag #ndpol",,,,,['https://pbs.twimg.com/profile_images/1725854009183850496/6y96ReG1_normal.jpg'],https://twitter.com/vipersnke/status/1719745026840736068
Luke,@lukelivingood,2023-11-01T14:24:53.000Z,"Luke
@lukelivingood
·
Nov 1","Will be watching your votes 
@SenJohnHoeven
 and 
@SenKevinCramer",‼ 🚨 🚨 ‼,,2,8,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/lukelivingood/status/1719722181754523913
WCS,@TheWCS,2023-11-01T14:23:26.000Z,"WCS
@TheWCS
·
Nov 1","Great news! The National Bison Day resolution passed the Senate. Thank you to the bill champs 
@SenatorHeinrich
 and 
@SenJohnHoeven
 for helping us recognize the U.S.’s National Mammal.",💚,,2,21,['https://pbs.twimg.com/media/F92t2mTXIAAFb6N?format=jpg&name=900x900'],https://twitter.com/TheWCS/status/1719721814803300497
White Mamba,@vipersnke,2023-11-01T14:12:27.000Z,"White Mamba
@vipersnke
·
Nov 1","Poland also building Fusion energy.
A partnership with American military. 
Right 
@SenKevinCramer
?
Not ND, nope, we get #WindEnergy!?
Mechanical electricity production. #Brilliant 
Cracking the code,
right 
@SenJohnHoeven
?
@NDGOP
 @ndgop41
@theflagwzfg
 @970WDAY
 @WZFGChris
 #TheFlag",,,,,"['https://pbs.twimg.com/profile_images/1723372607980916736/4uTGrPoo_normal.jpg', 'https://pbs.twimg.com/tweet_video_thumb/F92p-rrXUAAwvGB.jpg']",https://twitter.com/vipersnke/status/1719719053273579792
Rajneeti - রাজনীতি,@RajneetiBD,2023-11-01T07:47:53.000Z,"Rajneeti - রাজনীতি
@RajneetiBD
·
Nov 1","BNP could not keep their movement non-violent, as was demonstrated on October 28.

Golam Mortoza
Editor, The Daily Star
@LindseyGrahamSC
 @ChuckGrassley
 @SenatorHagerty
 @HawleyMO
 @SenJohnHoeven",,,,2,['https://pbs.twimg.com/media/F91S9H6bgAEWpti?format=jpg&name=900x900'],https://twitter.com/RajneetiBD/status/1719622273362276591
Laura Wamsley - America First Ultra-MAGA,@LauraWamsley,2023-11-01T03:37:36.000Z,"Laura Wamsley - America First Ultra-MAGA
@LauraWamsley
·
Nov 1","I would love to...just once...have ND's representatives be in the group that steps up...in the front... and takes a stand to make a difference.  Why not ND??  Why is it always the other people taking the lead??
 
@RepArmstrongND
 
@SenKevinCramer
 
@SenJohnHoeven",,,,1,['https://pbs.twimg.com/profile_images/1176647112550993920/rETjTe_z_normal.jpg'],https://twitter.com/LauraWamsley/status/1719559288119587088
InquisitiveScout,@scout8712,2023-11-01T00:01:41.000Z,"InquisitiveScout
@scout8712
·
Nov 1"," totally  that he was even hired by 
@NDGOP
  @GovDougBurgum
 @SenJohnHoeven
 @SenKevinCramer
 @RepArmstrongND
 @AccountableGOP",⬇ ⬇ ⬇ ⬇ 🤯,,,,['https://pbs.twimg.com/profile_images/1701669924479873024/dInhg398_normal.jpg'],https://twitter.com/scout8712/status/1719504948269076964
Senator John Hoeven,@SenJohnHoeven,2023-11-02T19:27:14.000Z,"Senator John Hoeven
@SenJohnHoeven
·
Nov 3","On this day, 134 years ago, North Dakota became the 39th state admitted to the Union. I’m honored to call this remarkable state home. Happy Birthday North Dakota!",,13,2,37,['https://pbs.twimg.com/media/F988__VWoAANRkW?format=jpg&name=900x900'],https://twitter.com/SenJohnHoeven/status/1720160655792116183
White Mamba,@vipersnke,2023-11-02T18:55:00.000Z,"White Mamba
@vipersnke
·
Nov 3","Twisting narratives, it's coming.
We're bad guys.
Meanwhile feckless corner dwelling sellouts do nothing.
Cuuz their ""political capital""
not worth the fight.
And Fargo is safe!?
#JobsJobsJobs  
@RepArmstrongND
 @SenKevinCramer
 @SenJohnHoeven
 
@theflagwzfg
 @970WDAY
 @NDGOP
 #TheFlag",,,,,"['https://pbs.twimg.com/profile_images/1694851591608627200/hYLDFj9G_normal.jpg', 'https://pbs.twimg.com/media/F98Yad3WQAAoTC1?format=jpg&name=900x900']",https://twitter.com/vipersnke/status/1720152544054276536
White Mamba,@vipersnke,2023-11-02T17:54:39.000Z,"White Mamba
@vipersnke
·
Nov 3","Idk ask
@SenKevinCramer
 @SenJohnHoeven
 @RepArmstrongND
they say,
Russia Russia Russia
and
#JobsJobsJobs
The right things to do, 
for the children. 
Buut hey, at least Fargo is safe!?
@theflagwzfg
 @970WDAY
 @JayThomas970
 @charliekirk11
 @NDGOP13
 Show more",,,1,,"['https://pbs.twimg.com/profile_images/1676909671335043072/qjAeV6IK_normal.jpg', 'https://pbs.twimg.com/media/F98TyA8WMAAHrtG?format=jpg&name=small']",https://twitter.com/vipersnke/status/1720137357519638881
White Mamba,@vipersnke,2023-11-02T16:03:04.000Z,"White Mamba
@vipersnke
·
Nov 3","Think China/Russia/Iran etc
are colluding to collapse
west/America? 
Think POTUS/admin helping? 
I've warned for years, 
Said, ""leaders"" will claim ignorance, say,
who could've known!?
All while laying groundwork. 
@SenKevinCramer
 @SenJohnHoeven
@theflagwzfg
 @970WDAY
 #TheFlag",,,,,['https://pbs.twimg.com/tweet_video_thumb/F98ORMMXYAAH8ca.jpg'],https://twitter.com/vipersnke/status/1720109277237387579
White Mamba,@vipersnke,2023-11-02T14:58:30.000Z,"White Mamba
@vipersnke
·
Nov 2","Same w/
@RepArmstrongND
.
Jan6th political prisoners,
not so much. 
Kelley's ""political capital ""
wasn't worth the fight. 
That's how they roll.
Go along to get along,
Public-private partnerships. 
Right 
@SenKevinCramer
 @SenJohnHoeven
?
@NDGOP
 @970WDAY
 @theflagwzfg
 #TheFlag #ndpol",,,,,['https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg'],https://twitter.com/vipersnke/status/1720093027287580959
CHAD,@PCACHAD,2023-11-02T14:41:19.000Z,"CHAD
@PCACHAD
·
Nov 2","Dakotans rely on community health centers for high-quality, affordable, hometown care. We’re counting on Congress for a bipartisan agreement on long-term funding for health centers. 
@SenatorRounds
, 
@SenJohnThune
, 
@RepDustyJohnson
 @RepArmstrongND
 @SenKevinCramer
  @SenJohnHoeven",,,,2,[],https://twitter.com/PCACHAD/status/1720088704654741733
White Mamba,@vipersnke,2023-11-02T13:00:48.000Z,"White Mamba
@vipersnke
·
Nov 2","For many years,
Russia Russia Russia
#CarbonSequestration #WindEnergy
#ESG/#DIE 
City-in-filling,
Right things to do,
for the children.
@theflagwzfg
 @970WDAY
 @SenKevinCramer
 @SenJohnHoeven
 @RepArmstrongND
 @CityofWestFargo
@NDGOP
 @NDGOP13
 @ndgop41
 @ndgop8
 @ndgop17
Show more",,,,,['https://pbs.twimg.com/profile_images/1629966305666187264/zIZNcdrq_normal.jpg'],https://twitter.com/vipersnke/status/1720063408240791817
BD peoples Voice,@BDPeoplesVoice,2023-11-02T11:03:52.000Z,"BD peoples Voice
@BDPeoplesVoice
·
Nov 2","https://bdpeoplesvoice.com/article/17299
BNP is very angry about India's position in the ongoing political context of Bangladesh. Because of this anger, the blockaders attacked the Maitree Express. 
@SenatorHagerty
 @HawleyMO
 @SenJohnHoeven",,,,,[],https://twitter.com/BDPeoplesVoice/status/1720033980236574858
Jay Gekek,@JayGekek,2023-11-02T03:15:19.000Z,"Jay Gekek
@JayGekek
·
Nov 2","Hey Frens, help me spread this X. Please reX
Our ND reps in DC have been showing signs of RINO already for years.

Now, we find, they look the other way of child porn and sex with children
@RepArmstrongND
 
@SenJohnHoeven
 ND
@SenKevinCramer
 ND

https://kxnet.com/news/state-news/ray-holmberg-showered-with-praise-following-his-retirement-from-the-legislature/…
Comment?",,,,1,[],https://twitter.com/JayGekek/status/1719916065780588869
Senator John Hoeven,@SenJohnHoeven,2023-11-03T20:37:36.000Z,"Senator John Hoeven
@SenJohnHoeven
·
Nov 4","We must support Israel to get the job done against Hamas. Clearly, Iran is financing, training, and providing weapons to these terrorists & we have to show that we are going to put a stop to it. We also need to secure our border here at home. Border security is national security.",,20,7,18,[],https://twitter.com/SenJohnHoeven/status/1720540753955299411
Senator John Hoeven,@SenJohnHoeven,2023-11-03T19:17:57.000Z,"Senator John Hoeven
@SenJohnHoeven
·
Nov 4","We secured nearly $115 million from 
@ENERGY
 for 
@TalonMetals
 to establish a battery materials processing facility in Mercer County. This will bring good-paying jobs, reduce our reliance on China & Russia, & benefit coal producers in ND and mining in MN.",,7,2,4,['https://pbs.twimg.com/card_img/1728115793567600640/dp4z4vmq?format=jpg&name=900x900'],https://twitter.com/SenJohnHoeven/status/1720520708957024543
Neil Cavuto,@TeamCavuto,2023-11-03T17:29:34.000Z,"Neil Cavuto
@TeamCavuto
·
Nov 4","North Dakota Republican Senator 
@SenJohnHoeven
   joins Neil on 
@FoxBusiness
  to discuss the status of the Israel aid package in congress.",,4,2,4,['https://pbs.twimg.com/ext_tw_video_thumb/1720492122850082816/pu/img/fOqz4wqAfe8hAW-s.jpg'],https://twitter.com/TeamCavuto/status/1720493432504823889
White Mamba,@vipersnke,2023-11-03T15:09:11.000Z,"White Mamba
@vipersnke
·
Nov 3","What, noo, not our feckless,
but honorable,
star chamber like 
@SenateGOP
 leaders!?? 
Can't be true, is it 
@SenJohnHoeven
@SenKevinCramer
?
At least re-imagined Fargo
is safe.
A clownshow, buuut safe!?
Be worthy ""leaders"" 
@theflagwzfg
 @970WDAY
 @DrewWrigley
 #TheFlag #wdayfirst",,,,,['https://pbs.twimg.com/profile_images/1523310554789687298/a_m23sS3_normal.jpg'],https://twitter.com/vipersnke/status/1720458105576698019
White Mamba,@vipersnke,2023-11-03T14:52:59.000Z,"White Mamba
@vipersnke
·
Nov 3","Because we've depleted our military reserves via Ukraine.
Cuz Russia Russia Russia 
we're 4yrs away from replacing
what we had and no SPRs.
China has 1T bbls SPRs.
I warned, being set up.
Right 
@SenKevinCramer
 @SenJohnHoeven
 @RepArmstrongND
@theflagwzfg
 @970WDAY
 
#TheFlag #ndpol",,,,,[],https://twitter.com/vipersnke/status/1720454027517874655
The Middle of the Truth,@Middle_of_Truth,2023-11-03T14:29:41.000Z,"The Middle of the Truth
@Middle_of_Truth
·
Nov 3","FACT CHECK time, because the GOP hands aren't clean of SamBank's money.
(Either from PAC or direct donations sometimes maxed out) This is what I found so far...
@JohnBoozman
 @KatieBrittforAL
 @SenLummis
 @SenGillibrand
 @SenJohnHoeven
 @BillCassidy
 @BurrForSenate
 @lisamurkowski
…
Show more",,,,,['https://pbs.twimg.com/profile_images/1488637837499154441/T7lImQVl_normal.png'],https://twitter.com/Middle_of_Truth/status/1720448165441057263
Senator John Hoeven,@SenJohnHoeven,2023-11-03T14:27:15.000Z,"Senator John Hoeven
@SenJohnHoeven
·
Nov 3","Introduced legislation w/ Senator 
@JohnCornyn
 to require 
@DHSgov
 to accurately report how it’s handling migrants encountered at the border. The American people deserve an honest accounting of those being released into our country.",,6,2,3,['https://pbs.twimg.com/card_img/1730312907869827072/F0-LXTwB?format=jpg&name=900x900'],https://twitter.com/SenJohnHoeven/status/1720447553542455333
White Mamba,@vipersnke,2023-11-03T14:17:57.000Z,"White Mamba
@vipersnke
·
Nov 3","Yeahhhh we know, the
""Wizard of Washington""
 knows all.
@SenateGOP
 job,
be pompous, self-righteous, do-nothing know it alls,
let shit stew awhile. 
""Political capital"" too valuable. 
Right 
@SenKevinCramer
@SenJohnHoeven
 @RepArmstrongND
@theflagwzfg
 @970WDAY
 #TheFlag #wdayfirst",,,,,"['https://pbs.twimg.com/tweet_video_thumb/F-A_ylGWEAA0CWr.jpg', 'https://pbs.twimg.com/profile_images/1523310554789687298/a_m23sS3_normal.jpg']",https://twitter.com/vipersnke/status/1720445211136983538
White Mamba,@vipersnke,2023-11-03T13:52:55.000Z,"White Mamba
@vipersnke
·
Nov 3","#CarbonSequestration #WindEnergy 
Right things to do,
for the children.
Yeahhh ND, you're a real
energy powerhouse.
Banker 
@SenJohnHoeven
,
busy ""cracking the code""
#JobsJobsJobs 
Never forget...
@theflagwzfg
 @970WDAY
 @NDGOP
 @NDGOP13
 @ndgop41
 @ndgop8
Show more",,,,,['https://pbs.twimg.com/profile_images/1629966305666187264/zIZNcdrq_normal.jpg'],https://twitter.com/vipersnke/status/1720438911917334979
bnlfargo,@bnlfargo,2023-11-03T04:46:15.000Z,"bnlfargo
@bnlfargo
·
Nov 3","No, dummy, a single bill on Israel along with cuts in the federal fat elsewhere 
@SenJohnHoeven
 @Armstrong_ND
 @SenSchumer
 @AOC
 @HillaryClinton",,,,,['https://pbs.twimg.com/profile_images/1149696930198503431/hX-QzrQT_normal.png'],https://twitter.com/bnlfargo/status/1720301337794023526
LadyPatriot #Trump2024,@Pete2Shawn,2023-11-03T02:17:18.000Z,"LadyPatriot #Trump2024
@Pete2Shawn
·
Nov 3","#FTX involved Republican frauds as well. Investigate immediately! 
@lisamurkowski
 @SenatorCollins
 @SenJohnHoeven
 @SenJohnThune
 @SenBillCassidy
 @JohnBoozman
 @SenatorBurr
 
@NRCC",🍊,,4,3,"['https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg', 'https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg', 'https://pbs.twimg.com/media/F9-MpVWXkAECdPd?format=jpg&name=900x900']",https://twitter.com/Pete2Shawn/status/1720263853303377969
Desk of Kman,@sknihTtimreKMF,2023-11-03T02:15:16.000Z,"Desk of Kman
@sknihTtimreKMF
·
Nov 3","I get a good laugh every time I see 
@SenJohnHoeven
 on here.",,,,3,"['https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png', 'https://pbs.twimg.com/media/F9-OyNobYAADGo6?format=jpg&name=small', 'https://pbs.twimg.com/media/F9-OyOqaUAAY1nD?format=jpg&name=small', 'https://pbs.twimg.com/media/F9-OyPza4AAX6I5?format=jpg&name=small', 'https://pbs.twimg.com/media/F9-OyQ2a8AA6bjm?format=jpg&name=small']",https://twitter.com/sknihTtimreKMF/status/1720263344517525940
Laura Wamsley - America First Ultra-MAGA,@LauraWamsley,2023-11-03T01:34:27.000Z,"Laura Wamsley - America First Ultra-MAGA
@LauraWamsley
·
Nov 3","Hoeven for Senate...
@SenJohnHoeven
...you show up on alotta lists of sketchy donors.",,,1,5,"['https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg', 'https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg', 'https://pbs.twimg.com/media/F9-MpVWXkAECdPd?format=jpg&name=900x900']",https://twitter.com/LauraWamsley/status/1720253071970726043
Senator John Hoeven,@SenJohnHoeven,2023-11-04T14:17:37.000Z,"Senator John Hoeven
@SenJohnHoeven
·
Nov 4","Today, we recognize November 4th as National Bison Day to commemorate our national mammal and the significant role that bison have played throughout our nation’s history. As a symbol of strength and resilience, the bison reflects the pioneering spirit of America.",,18,4,16,['https://pbs.twimg.com/media/F-GJULNXQAA7o_W?format=jpg&name=900x900'],https://twitter.com/SenJohnHoeven/status/1720807517221982215
Sen. Kevin Cramer,@SenKevinCramer,2023-11-04T14:05:14.000Z,"Sen. Kevin Cramer
@SenKevinCramer
·
Nov 4","Happy National Bison Day!  I cosponsored a Senate resolution with 
@SenJohnHoeven
 and 
@SenatorHeinrich
, designating November 4 as a day to highlight the significance of bison for ND and our entire country.",🦬,10,1,4,['https://pbs.twimg.com/media/F-GGeysWcAAawHO?format=jpg&name=900x900'],https://twitter.com/SenKevinCramer/status/1720804398987612390
Luke,@lukelivingood,2023-11-04T12:25:41.000Z,"Luke
@lukelivingood
·
Nov 4","Cc: 
@RepArmstrongND
 @SenKevinCramer
 @SenJohnHoeven",,,1,7,['https://pbs.twimg.com/profile_images/1443586499262386184/gvcdVEis_normal.jpg'],https://twitter.com/lukelivingood/status/1720779348720922947
White Mamba,@vipersnke,2023-11-04T11:09:47.000Z,"White Mamba
@vipersnke
·
Nov 4","So this is NOT,
""Good morning'
to #GoodOlBoyClub
puppet tools.
The beta, wanna be alpha Russia Russia Russia 
cuck clowns. #sellouts 
At least Fargo is safe!??
@GovDougBurgum
@SenJohnHoeven
 @SenKevinCramer
 @RepArmstrongND
 @SenateGOP
 @NDGOP
 @NDGOP13
 @ndgop41
 #TheFlag #wdayfirst",,,,,['https://pbs.twimg.com/profile_images/1688228427092877313/BKEDwqQC_normal.jpg'],https://twitter.com/vipersnke/status/1720760245700489223
Maryam M,@Maryam4azadi,2023-11-04T04:59:59.000Z,"Maryam M
@Maryam4azadi
·
Nov 4","The only way to stop Hamas and Hezbollah is to impose sanction their principal backer, IRGC headed by  Khamenei. Please take action & sanction him. Please cosponsor the #MahsaAct S2626.
@SenJohnHoeven",,,,1,"['https://pbs.twimg.com/profile_images/1596700803015663616/IBUG7TsF_normal.jpg', 'https://pbs.twimg.com/media/F-DOngjbYAAI7Y_?format=jpg&name=900x900']",https://twitter.com/Maryam4azadi/status/1720667184186417194
tracie59,@tracie_putnam,2023-11-05T21:42:49.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,1,['https://pbs.twimg.com/media/F-M4zdkWUAASsWm?format=jpg&name=large'],https://twitter.com/tracie_putnam/status/1721281942845329640
tracie59,@tracie_putnam,2023-11-05T21:41:31.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,['https://pbs.twimg.com/media/F-M4gSmXUAAS0Qy?format=jpg&name=large'],https://twitter.com/tracie_putnam/status/1721281614804557847
tracie59,@tracie_putnam,2023-11-05T17:51:04.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,[],https://twitter.com/tracie_putnam/status/1721223620024840388
tracie59,@tracie_putnam,2023-11-05T17:50:30.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,[],https://twitter.com/tracie_putnam/status/1721223479456931879
tracie59,@tracie_putnam,2023-11-05T17:49:31.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,[],https://twitter.com/tracie_putnam/status/1721223230034182360
tracie59,@tracie_putnam,2023-11-05T17:48:40.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,['https://pbs.twimg.com/media/F-MDNXEXwAADeu6?format=jpg&name=small'],https://twitter.com/tracie_putnam/status/1721223014358876577
White Mamba,@vipersnke,2023-11-05T12:24:19.000Z,"White Mamba
@vipersnke
·
Nov 5","Yuuup.and clown ""Leaders""
tow the line,
continue selling out America.
Cuuuz ""political capital'
too valuable.
Thus #Jan6th political prisoners ignored and
Russia Russia Russia 
@SenJohnHoeven
 @SenKevinCramer
 @RepArmstrongND
 @theflagwzfg
 @NDGOP
@970WDAY
 @JayThomas970
Show more",⚒ 😏,,,,"['https://pbs.twimg.com/profile_images/1644990645285580800/7nrCTu6w_normal.jpg', 'https://pbs.twimg.com/profile_images/1729968672284844032/9_pXIfit_bigger.jpg', 'https://pbs.twimg.com/media/F-JAnTeW4AAW3eO?format=jpg&name=900x900']",https://twitter.com/vipersnke/status/1721141388979376403
BaronUngern,@ungern_baron,2023-11-05T00:04:09.000Z,"BaronUngern
@ungern_baron
·
Nov 5","It was always going to end this way -- no matter how many billions you wasted trying to stop it 
@SenJohnHoeven
 and 
@SenKevinCramer
.",,,,,['https://pbs.twimg.com/profile_images/1726675942938980352/bxKUxCUp_normal.jpg'],https://twitter.com/ungern_baron/status/1720955123059617897
tracie59,@tracie_putnam,2023-11-06T13:23:48.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,1,['https://pbs.twimg.com/media/F-QQLS7XMAAcUKD?format=jpg&name=small'],https://twitter.com/tracie_putnam/status/1721518746643132549
tracie59,@tracie_putnam,2023-11-06T13:22:01.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,['https://pbs.twimg.com/media/F-QPxQbWoAAOgM4?format=jpg&name=900x900'],https://twitter.com/tracie_putnam/status/1721518300885110837
tracie59,@tracie_putnam,2023-11-06T01:34:29.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,"['https://pbs.twimg.com/media/F-Nt07hWwAAkw0F?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1587979106653589504/pxDGCPP2_normal.jpg']",https://twitter.com/tracie_putnam/status/1721340240831381948
tracie59,@tracie_putnam,2023-11-06T01:19:17.000Z,"tracie59
@tracie_putnam
·
Nov 6","Putin and the 
@GOP
 will be sending Wagner Air Defense Systems to Hezbollah

$$Change my Mind$$
@SenTuberville
@SenShelby
@RepKayGranger
@SenJohnThune
@DainesforMT
@SenJohnKennedy
Show more",,,,,['https://pbs.twimg.com/media/F-NqWcMXsAAO0Id?format=jpg&name=large'],https://twitter.com/tracie_putnam/status/1721336419291935213
