UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sam Hill,@superfly123ABC,2023-11-01T23:04:05.000Z,"Sam Hill
@superfly123ABC
·
Nov 2","$MMTLP DAY 328
@SpeakerJohnson
 @PatrickMcHenry
 @RepJamesComer
 @MikeCrapo
 @RepRalphNorman
 @JDVance1
 @RepDavidValadao
 @NormaJTorres
 @RepEliCrane
 @PeteSessions
 @MarkWarner
 @SenJohnKennedy
 @RepAnnWagner
 @AndyOgles
 
Please, we need reconciliation! ",⬇,2,34,44,[],https://twitter.com/superfly123ABC/status/1719852842549191043
@jganyfl,@jganyfl,2023-11-01T22:59:34.000Z,"@jganyfl
@jganyfl1
·
Nov 2","So 
@SenJohnKennedy
 spends his day getting paid to bash Biden on 
@OANN
, 
@FoxNews
 and 
@CNBC
? When does he have time to legislate?",,,,1,['https://pbs.twimg.com/amplify_video_thumb/1719737563756249088/img/9rvYlCZM9pBweyuy.jpg'],https://twitter.com/jganyfl1/status/1719851706278691066
AɯƙɯαɾԃMαɱα™®,@Aspiemama_107,2023-11-01T22:14:55.000Z,"AɯƙɯαɾԃMαɱα™®
@Aspiemama_107
·
Nov 2",".
@SenJohnKennedy
: 
""I give it a D (Biden's economy). Because the economy serves the American people not vice versa, and the American people because of inflation, are hurting badly and even those who have seen pay raises have not seen raises higher than the rate of inflation...""…
Show more",,1,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1719840433336193024/pu/img/cacp2cYlLu9SVNVG.jpg'],https://twitter.com/Aspiemama_107/status/1719840466756313425
@realtexan2you,@realtexan2you,2023-11-01T21:33:45.000Z,"@realtexan2you
@realtexan2you
·
Nov 2","Senate needs to pass HR 2 that is sitting in the Senate waiting to be passed there. It is a fix to border security. Repost. 
@SenTedCruz
 @SenRandPaul
 @SenRonJohnson
 @SenJohnKennedy
 @MarshaBlackburn
 @SenateGOP
 @SenTomCotton
 @SenMarcoRubio
 @committeeonccp
 @realColtonMoore",,,,,[],https://twitter.com/realtexan2you/status/1719830109786460549
John Kennedy,@SenJohnKennedy,2023-11-01T21:07:14.000Z,"John Kennedy
@SenJohnKennedy
·
Nov 2","Pres. Biden’s economy gets a “D.”
 
People in Louisiana have to sell blood plasma to afford a trip to the grocery store.",,708,1.3K,5K,['https://pbs.twimg.com/media/F94IzasWwAAetCI.jpg'],https://twitter.com/SenJohnKennedy/status/1719823435226906743
wokemama123,@breekjl16707,2023-11-01T20:54:06.000Z,"wokemama123
@breekjl16707
·
Nov 2","A Russian assets doing his duty to Putin. 
@SenateGOP
 he, 
@RandPaul
 @tedcruz
 @SenJohnKennedy
 @SenRonJohnson
 are all doing the work of traitors.",🚨 🏈,,,,[],https://twitter.com/breekjl16707/status/1719820131461718214
John Kennedy,@SenJohnKennedy,2023-11-01T20:47:41.000Z,"John Kennedy
@SenJohnKennedy
·
Nov 2","Of course banks and lenders should be able to consider immigration status before issuing loans. Ignoring that factor could hurt the banking sector and larger U.S. economy.

The 
@CFPB
 and Biden admin are throwing common sense out the window.",,120,591,2K,[],https://twitter.com/SenJohnKennedy/status/1719818515954184374
Uileag2ElectricBoogaloo,@MacAmhairghin,2023-11-01T20:44:05.000Z,"Uileag2ElectricBoogaloo
@MacAmhairghin
·
Nov 2","Hi, 
@SenJohnKennedy
 .

You're 71 years old. We should be taking your car keys away, as well as your Senate seat.

Not necessarily because of your age.

Just because you're bad for America and an enemy of the People.

Get fucked, asshole.",,,,1,[],https://twitter.com/MacAmhairghin/status/1719817608969560377
Vicki Lyman,@Vlyman2013,2023-11-02T23:53:05.000Z,"Vicki Lyman
@Vlyman2013
·
Nov 3","We are being invaded, our President and Congress are not doing anything. Biden is ruling American people by executive order. We have laws, nobody is following or enforcing them! 
@POTUS
 @RepMTG
 @RepBoebert
 @RepAndyBiggsAZ
 @MarshaBlackburn
 @SenJohnKennedy
 @CNN
 @GOP
 @abc
 @elonmusk",,,,,[],https://twitter.com/Vlyman2013/status/1720227560217616458
Kenneth Massey,@theskeletoncode,2023-11-02T23:41:57.000Z,"Kenneth Massey
@theskeletoncode
·
Nov 3","Then don’t appear in his court Foghorn 
@SenJohnKennedy",,,,2,['https://pbs.twimg.com/media/F98PGr2WcAArL_v.jpg'],https://twitter.com/theskeletoncode/status/1720224761186238466
