UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,,,,
Taylor Popielarz,@TaylorPopielarz,2023-11-01T23:57:34.000Z,"Taylor Popielarz
@TaylorPopielarz
路
Nov 2","As Alabama GOP 
@SenTuberville
 continues his months-long blockade of 300+ key military promotions, a group of fellow Republicans led by 
@SenDanSullivan
 and 
@SenJoniErnst
 are on the Senate floor tonight calling him out for it and attempting to force votes.

He continues to object.",,3,6,13,['https://pbs.twimg.com/ext_tw_video_thumb/1719863764554588160/pu/img/PORnBKWwuXY_Qwcd.jpg'],https://twitter.com/TaylorPopielarz/status/1719866301785743362,,,,
JeniMac,@JennyMcMas8060,2023-11-01T23:50:21.000Z,"JeniMac
@JennyMcMas8060
路
Nov 2","Don't Do It!!!!!! 
@LindseyGrahamSC
 @senjoniernst
 @SenToddYoung
 @SenDanSullivan
 @LeaderMcConnell
 @SenTuberville",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/JennyMcMas8060/status/1719864484582322500,,,,
Dale,@DBCopa,2023-11-01T23:47:35.000Z,"Dale
@DBCopa
路
Nov 2","More importantly, do supposedly pro-life Republicans like 
@SenJoniErnst
 (my senator) actually have any true principles or is it all just blather in order to get elected and enrich themselves?",,,,1,['https://pbs.twimg.com/profile_images/1642839084488880129/IeAKK3-s_mini.jpg'],https://twitter.com/DBCopa/status/1719863789292568802,,,,
"筒釒♂帾釓熱幀釒紹S,RN鈽SNis mad DemsR repeating 2016猬酬",@TeeBern,2023-11-01T23:42:51.000Z,"筒釒♂帾釓熱幀釒紹S,RN鈽SNis mad DemsR repeating 2016猬酬
@TeeBern
路
Nov 2",".
@SenJoniErnst
 directly addressing 
@SenTuberville
 ""I hope Sen. #Tuberville will explain why he's objecting to these individual voice vote nominees, when that's what he asked for! Maybe he'll explain it to us & everyone watching"" 
@votevets
 @ChrisCuomo
 @chrislhayes
 @SenSchumer",馃憼 馃摎 鉁?馃敟 馃敟,,,,[],https://twitter.com/TeeBern/status/1719862599783796936,,,,
Laura F T,@LauraTripp57,2023-11-01T23:42:05.000Z,"Laura F T
@LauraTripp57
路
Nov 2","What鈥檚 happening tonight on the floor of the US Senate is a travesty. Kudos to  
@SenDanSullivan
 @SenJoniErnst
 for perseverance in reading individual names & Mil position descriptions AS THAT COWARD  
@SenTuberville
 WHO NEVER SERVED is objecting to every one. He鈥檚 vile.",,,,,[],https://twitter.com/LauraTripp57/status/1719862404673138920,,,,
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
路
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",馃枈 鈥?馃憞 馃枈 鉃?馃懏 馃泜,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_mini.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=small']",https://twitter.com/RepealWEP_NOW/status/1719860838809387387,,,,
Dan Lamothe,@DanLamothe,2023-11-01T23:22:06.000Z,"Dan Lamothe
@DanLamothe
路
Nov 2",". 
@LindseyGrahamSC
 , 
@SenDanSullivan
 , 
@SenJoniErnst
  -- all vets or currently serving in the U.S. military -- trying to overcome 
@SenTuberville
's hold on military nominees tonight. 

The dam broke, after quieter efforts failed. Tuberville's hold has been in place since February.",,16,43,161,[],https://twitter.com/DanLamothe/status/1719857374465298929,,,,
BertaNiculae,@tietsman,2023-11-01T22:48:06.000Z,"BertaNiculae
@tietsman
路
Nov 2","Primary 
@SenJoniErnst
Primary 
@SenDanSullivan
Primary 
@SenToddYoung
 

#RINO",,,,,[],https://twitter.com/tietsman/status/1719848818621956595,,,,
HampNC,@nataliesch93717,2023-11-01T22:38:28.000Z,"HampNC
@nataliesch93717
路
Nov 2","what a WEIRD coincidence....all four voted to certify the FRAUDULENT 2020 election. 
@SenJoniErnst
 @LindseyGrahamSC
 @SenDanSullivan
 @SenToddYoung
 . Im seeing a pattern here....",馃 馃 馃 馃 馃 馃毃,,,,['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_mini.jpg'],https://twitter.com/nataliesch93717/status/1719846395979473232,,,,
Angel Mueller,@BigMamaAngel,2023-11-01T22:25:06.000Z,"Angel Mueller
@BigMamaAngel
路
Nov 2","These people need to voted out! 
@LindseyGrahamSC
 @SenJoniErnst
 @SenToddYoung
 Shame on them for backstabbing someone who is doing what is right!  Just Shameful",馃毃,,,,['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_mini.jpg'],https://twitter.com/BigMamaAngel/status/1719843031065518258,,,,
