UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
J.Good,@JGood100,2023-11-01T23:47:04.000Z,"J.Good
@JGood100
·
Nov 2","The guy actually starts sounding like a patriot every now and then.
@SenKatieBritt
 

You could have said this publicly long ago.

Why not?",,,,3,['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg'],https://twitter.com/JGood100/status/1719863659575308424
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719861731516665857
PatientQoL Coalition,@PatientQoL,2023-11-01T19:06:53.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2",".
@SenKatieBritt
 Please cosponsor #PCHETA! It will advance palliative care education, awareness & research and improve quality of care & quality of life for millions of patients & families facing serious illness. This bipartisan bill is endorsed by 90+ orgs. 
@PatientQoL
 #HPM #HAPC",,,,,['https://pbs.twimg.com/media/F93uu7hawAQLun9?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719793149634330640
Senator Katie Boyd Britt,@SenKatieBritt,2023-11-01T18:21:11.000Z,"Senator Katie Boyd Britt
@SenKatieBritt
·
Nov 2","Thank you 
@RepMikeCollins
 for a great visit. I look forward to working together— but when it comes to Alabama vs. Georgia peanuts, we’ll have to agree to disagree!",,16,12,86,"['https://pbs.twimg.com/profile_images/1610071881666666496/X3G7fkg9_normal.jpg', 'https://pbs.twimg.com/media/F93H9iLWAAIqbPc?format=jpg&name=900x900']",https://twitter.com/SenKatieBritt/status/1719781647627788487
Senator Katie Boyd Britt,@SenKatieBritt,2023-11-01T14:33:43.000Z,"Senator Katie Boyd Britt
@SenKatieBritt
·
Nov 1",Ensuring our national security starts with securing our homeland—and that’s not possible if we don’t secure our border.,,57,83,339,['https://pbs.twimg.com/ext_tw_video_thumb/1719724343301709824/pu/img/7WZYLotwr3sN0JRT.jpg'],https://twitter.com/SenKatieBritt/status/1719724402852429981
High Noon Media Services,@HighNoonMedia,2023-11-01T14:24:53.000Z,"High Noon Media Services
@HighNoonMedia
·
Nov 1","Someone will need to explain to 
@SenateGOP
 @SenateDems
 what a sacrifice 
@SenKatieBritt
 is willing to make. #RollTide",🟧 🟦,,,,['https://pbs.twimg.com/profile_images/1681851325691166720/Px3ZZcGO_normal.jpg'],https://twitter.com/HighNoonMedia/status/1719722182689870029
⚛︎,@jjonessss_,2023-11-01T12:42:24.000Z,"⚛︎
@jjonessss_
·
Nov 1",".
@SenKatieBritt
 I haven’t forgotten about you. 

You ready to explain why you got almost $6 mil from AIPAC the day before your runoff election?",‼ ‼,,,,"['https://pbs.twimg.com/profile_images/1413706857567473667/Jpu-vqcA_normal.jpg', 'https://pbs.twimg.com/media/F9Aq4PLXwAAz4h8?format=jpg&name=small', 'https://pbs.twimg.com/media/F9Aq4PHXYAAcupH?format=jpg&name=small', 'https://pbs.twimg.com/ext_tw_video_thumb/1715918603675910144/pu/img/xr7C0K5rNiekgxwL.jpg']",https://twitter.com/jjonessss_/status/1719696388429156709
Great American 1776,@76GreatAmerican,2023-11-01T11:39:04.000Z,"Great American 1776
@76GreatAmerican
·
Nov 1","FBI Director: Jordanian national arrested in Houston accused of ""studying how to build bombs"" https://news.yahoo.com/fbi-director-jordanian-national-arrested-045504041.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… one more example of 
@JoeBiden
 @BarackObama
 policy allowing illegals into country without vetting. 
@RepBarryMoore
 @SenKatieBritt
 please hold DHS accountable.",,,,,['https://pbs.twimg.com/card_img/1729863043004432384/FCa3zJCy?format=jpg&name=small'],https://twitter.com/76GreatAmerican/status/1719680450803667419
Scott,@PatriotScottTew,2023-11-01T11:17:06.000Z,"Scott
@PatriotScottTew
·
Nov 1","ELECTION INTERFERENCE 
@RepJerryCarl
 @SenKatieBritt
 @SenTuberville
 @GovernorKayIvey
 @BillieJoBCC",,,,,"['https://pbs.twimg.com/profile_images/964235516794171392/ktAX5u2i_normal.jpg', 'https://pbs.twimg.com/media/F52t2j-WEAAoJTr.jpg']",https://twitter.com/PatriotScottTew/status/1719674923608686944
Scott,@PatriotScottTew,2023-11-01T11:13:59.000Z,"Scott
@PatriotScottTew
·
Nov 1","IMPEACH MAYORKAS TODAY 
@RepJerryCarl
 @SenKatieBritt
 @SenTuberville
 @GovernorKayIvey
 @BillieJoBCC",,,,,['https://pbs.twimg.com/profile_images/1658907610333196289/VG9GjxkV_normal.jpg'],https://twitter.com/PatriotScottTew/status/1719674138057445723
Dinbodol Bangladesh,@Dinbodol_BD,2023-11-01T06:29:56.000Z,"Dinbodol Bangladesh
@Dinbodol_BD
·
Nov 1","Prime Minister Sheikh Hasina inaugurated 50 more Model Mosque and Islamic Culture Centers.
@JohnBoozman
 @SenatorBraun
 @braun4indiana
 @SenKatieBritt
 @SenTedBuddNC",,,,,['https://pbs.twimg.com/media/F91BIiXasAAyDVA?format=jpg&name=900x900'],https://twitter.com/Dinbodol_BD/status/1719602655662936098
Senator Katie Boyd Britt,@SenKatieBritt,2023-11-02T21:14:18.000Z,"Senator Katie Boyd Britt
@SenKatieBritt
·
Nov 3","After the Biden Administration allowed more than 8 million illegal crossings at the border, they’re more focused on forcing banks to give illegal migrants loans than actually securing the border and enforcing the law.

That should tell you everything about their priorities.",,42,43,164,"['https://pbs.twimg.com/profile_images/1418593424530419712/j-hCSj8s_normal.jpg', 'https://pbs.twimg.com/media/F924CBQXsAA3Dm_?format=jpg&name=small', 'https://pbs.twimg.com/media/F924CMAXsAEMkd4?format=jpg&name=small', 'https://pbs.twimg.com/media/F924CXQXYAABvm1?format=jpg&name=small', 'https://pbs.twimg.com/media/F924Ch1XEAE9uQW?format=jpg&name=small']",https://twitter.com/SenKatieBritt/status/1720187602458804563
