UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719860838809387387
DanBueide,@DanBueide,2023-11-01T22:03:32.000Z,"DanBueide
@DanBueide
·
Nov 2","Hope 
@SenKevinCramer
 and 
@SenJohnHoeven
 will join Sen Sullivan and other GOP Senators to end Tuberville’s blockade.",,,,,['https://pbs.twimg.com/profile_images/1650121188146814977/Ox4Vr3JQ_normal.jpg'],https://twitter.com/DanBueide/status/1719837603384443071
Sen. Kevin Cramer,@SenKevinCramer,2023-11-01T21:51:17.000Z,"Sen. Kevin Cramer
@SenKevinCramer
·
Nov 2","The passage of these agriculture, housing, transportation, military construction, and veterans funding bills is long overdue. Read my full statement:",,7,1,4,['https://pbs.twimg.com/media/F94UYWhWcAAEvrw?format=jpg&name=900x900'],https://twitter.com/SenKevinCramer/status/1719834519430172711
InquisitiveScout,@scout8712,2023-11-01T20:52:52.000Z,"InquisitiveScout
@scout8712
·
Nov 2","Thank you 
@SenWarren
! I’m encouraging everyone to view the video of her remarks.
@SenJohnHoeven
 @SenKevinCramer
 @AccountableGOP",,,,,"['https://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg', 'https://pbs.twimg.com/media/F9280mJX0AAn2Ae.jpg']",https://twitter.com/scout8712/status/1719819818784915571
Sen. Kevin Cramer,@SenKevinCramer,2023-11-01T18:11:09.000Z,"Sen. Kevin Cramer
@SenKevinCramer
·
Nov 2","Senate Democrats blocked my bipartisan, germane amendment to defund 
@USDOT
's illegal CO2 performance measurement. They would rather provide the Biden admin cover than follow regular order.

I'm not interested in a show vote. Watch my remarks before withdrawing my amendment ",⬇,11,5,12,['https://pbs.twimg.com/amplify_video_thumb/1719778767751507968/img/E5geDZ7-awLgUpdb.jpg'],https://twitter.com/SenKevinCramer/status/1719779121700475107
White Mamba,@vipersnke,2023-11-01T14:12:27.000Z,"White Mamba
@vipersnke
·
Nov 1","Poland also building Fusion energy.
A partnership with American military. 
Right 
@SenKevinCramer
?
Not ND, nope, we get #WindEnergy!?
Mechanical electricity production. #Brilliant 
Cracking the code,
right 
@SenJohnHoeven
?
@NDGOP
 @ndgop41
@theflagwzfg
 @970WDAY
 @WZFGChris
 #TheFlag",,,,,"['https://pbs.twimg.com/profile_images/1723372607980916736/4uTGrPoo_normal.jpg', 'https://pbs.twimg.com/tweet_video_thumb/F92p-rrXUAAwvGB.jpg']",https://twitter.com/vipersnke/status/1719719053273579792
BD peoples Voice,@BDPeoplesVoice,2023-11-01T07:29:40.000Z,"BD peoples Voice
@BDPeoplesVoice
·
Nov 1","Miscreants escaped by setting fair to the bus in the capital.
@BillCassidy
 @SenatorCollins
 @JohnCornyn
 @SenTomCotton
 @SenKevinCramer",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719616344788959232/pu/img/j3sYQGIMkIpmsccV.jpg'],https://twitter.com/BDPeoplesVoice/status/1719617686475542934
Legiswipe,@legiswipe,2023-11-01T07:00:15.000Z,"Legiswipe
@legiswipe
·
Nov 1","""A bill to amend the Internal Revenue Code of 1986 to include certain over-the-counter dietary supplement products and foods for ...""

Status: Read twice and referred to the Committee on F...

https://congress.gov/bill/118th-congress/senate-bill/3172/text…

Sponsor: 
@SenKevinCramer",,,,,[],https://twitter.com/legiswipe/status/1719610284678025515
Laura Wamsley - America First Ultra-MAGA,@LauraWamsley,2023-11-01T03:37:36.000Z,"Laura Wamsley - America First Ultra-MAGA
@LauraWamsley
·
Nov 1","I would love to...just once...have ND's representatives be in the group that steps up...in the front... and takes a stand to make a difference.  Why not ND??  Why is it always the other people taking the lead??
 
@RepArmstrongND
 
@SenKevinCramer
 
@SenJohnHoeven",,,,1,['https://pbs.twimg.com/profile_images/1176647112550993920/rETjTe_z_normal.jpg'],https://twitter.com/LauraWamsley/status/1719559288119587088
Jane,@PlaintanJane,2023-11-01T00:57:08.000Z,"Jane
@PlaintanJane
·
Nov 1","Good for 
@LeaderMcConnell
 

@SenatorBraun
  @SenKevinCramer
  @MarshaBlackburn
@SenDanSullivan
@SenJoniErnst
@RogerMarshallMD
 
@SenSusanCollins
@SteveDaines
@SenThomTillis
@LindseyGrahamSC
Show more",,1,2,3,"['https://pbs.twimg.com/media/F9z1KcXb0AATj9k?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg']",https://twitter.com/PlaintanJane/status/1719518905486700837
