UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bitfinex'ed Κασσάνδρα,@Bitfinexed,2023-11-01T22:14:11.000Z,"Bitfinex'ed Κασσάνδρα
@Bitfinexed
·
Nov 2","Whenever people are buying Bitcoin, they first send billions of dollars to an offshore criminal organization that launders money for terrorist organizations, that US Senator 
@SenLummis
 sent a letter asking for criminal charges to be filed against Tether.

To buy bitcoin.

Instead…
Show more",🔥 🐧 🏺,8,26,96,"['https://pbs.twimg.com/profile_images/1546618655022219264/vRx0tnnQ_normal.jpg', 'https://pbs.twimg.com/media/F94P4vbXEAADywu?format=jpg&name=900x900']",https://twitter.com/Bitfinexed/status/1719840285889368116
Senator Cynthia Lummis,@SenLummis,2023-11-01T19:22:07.000Z,"Senator Cynthia Lummis
@SenLummis
·
Nov 2","The regulatory process is a years-long slog that frustrates and discourages investment and innovation.

The REPAIR Act reforms the process to function more efficiently and reduces radical activists’ ability to file frivolous lawsuits designed to delay and derail new projects.",,5,3,13,[],https://twitter.com/SenLummis/status/1719796982372303245
Cody Carbone,@CodyCarboneDC,2023-11-01T19:12:46.000Z,"Cody Carbone
@CodyCarboneDC
·
Nov 2","Thank you 
@SenLummis
 for highlighting the benefits of #bitcoin mining for U.S energy, security, and the economy. 

As the article states, 
@DigitalPowerUS
 is the leading advocate for miners in DC. Our work is just getting started!

Follow DPN staff!  
@ewelina_czapla
 @taylorjbarr",,1,,10,['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg'],https://twitter.com/CodyCarboneDC/status/1719794629246116156
Bitfinex'ed Κασσάνδρα,@Bitfinexed,2023-11-01T21:03:01.000Z,"Bitfinex'ed Κασσάνδρα
@Bitfinexed
·
Nov 2","Fun Fact: When Tethers assets get seized there’s going to be a delay before publication, but there will be people who know before hand, and they’ll trade on it.

Imagine betting your life savings on a fraud that even US senator 
@SenLummis
 is calling for criminal prosecutions on.",🔥 🐧 🏺,5,10,64,[],https://twitter.com/Bitfinexed/status/1719822374168608967
Not Tiger Global,@NotChaseColeman,2023-11-01T22:13:24.000Z,"Not Tiger Global
@NotChaseColeman
·
Nov 2","Isn’t it funny that the same people who defended FTX, Terra/Luna, Celsius, and every other train wreck in the space also defend the biggest frauds of them all? All while the evidence points to Tether and Binance being very obvious frauds? Take it from 
@SenLummis
. Not the asshole…
Show more",🍐,5,7,43,[],https://twitter.com/NotChaseColeman/status/1719840085514830091
BITCOIN-Affirming Gordon Freeman,@CryptoSatireMan,2023-11-01T21:19:49.000Z,"BITCOIN-Affirming Gordon Freeman
@CryptoSatireMan
·
Nov 2","Plain and simple 
@SenLummis
 and every member of both houses: If you guys don't gather in emergency sessions to do SOMETHING to shut our border down NOW, none of you will ever get a vote again from any of us.
We'll all be dead.
Yours truly,
Concerned and pissed citizen.",,1,,1,[],https://twitter.com/CryptoSatireMan/status/1719826604472381730
Perianne,@PerianneDC,2023-11-01T18:29:39.000Z,"Perianne
@PerianneDC
·
Nov 2","Last week 
@DigitalPowerUS
 met with over 40 Congressional offices and shared real world examples how #bitcoin mining is driving energy security. Thanks 
@SenLummis
 for supporting our efforts.",,2,3,29,['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg'],https://twitter.com/PerianneDC/status/1719783777939927114
DoTheySupportIt,@DoTheySupportIt,2023-11-01T18:00:36.000Z,"DoTheySupportIt
@DoTheySupportIt
·
Nov 2","New very pro-crypto stance by 
@SenLummis
.

View all their stances on #crypto and #bitcoin: https://dotheysupportit.com/people/cynthia---lummis/crypto…",,,1,,['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg'],https://twitter.com/DoTheySupportIt/status/1719776465938460711
Taylor Barr,@taylorjbarr,2023-11-01T17:35:35.000Z,"Taylor Barr
@taylorjbarr
·
Nov 2
·","Thank you 
@SenLummis
 for highlighting the critical work of 
@DigitalPowerUS
’s #Bitcoin miners who are helping the U.S. achieve crucial policy priorities.

From stabilizing the grid to onshoring critical hardware manufacturing, #Bitcoin miners are key to advance America’s energy…
Show more",,1,,9,['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg'],https://twitter.com/taylorjbarr/status/1719770173077401803
Digital Power Network,@DigitalPowerUS,2023-11-01T17:11:40.000Z,"Digital Power Network
@DigitalPowerUS
·
Nov 2","Thank you 
@SenLummis
 for highlighting the work that we are doing to educate lawmakers on how #Bitcoin mining is advancing grid security, sustainability, decarbonization, and national security!",👏 👏 👏,1,1,18,['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg'],https://twitter.com/DigitalPowerUS/status/1719764153345175830
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:14:02.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SenLummis
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,2,2,[],https://twitter.com/teekay5150/status/1719749650498957715
Senator Cynthia Lummis,@SenLummis,2023-11-01T16:13:20.000Z,"Senator Cynthia Lummis
@SenLummis
·
Nov 2","We have only scraped the surface of crypto assets’ potential.

As the article below wisely explains, crypto mining has tremendous potential to help regulate the grid and boost domestic energy production.",,29,37,157,['https://pbs.twimg.com/card_img/1730619275126128641/AFVqEy6o?format=jpg&name=900x900'],https://twitter.com/SenLummis/status/1719749471343456430
Bitfinex'ed Κασσάνδρα,@Bitfinexed,2023-11-01T15:14:16.000Z,"Bitfinex'ed Κασσάνδρα
@Bitfinexed
·
Nov 1","You're seeing some people posting in defense of the blatant Tether fraud today. Some of this is being paid for by Tether, it's their PR doing some damage control after 
@SenLummis
 called for criminal charges against Tether.

Just like SBF paid off people for their support, Tether…
Show more",🔥 🐧 🏺,6,20,95,[],https://twitter.com/Bitfinexed/status/1719734608453845255
Bitfinex'ed Κασσάνδρα,@Bitfinexed,2023-11-01T15:05:13.000Z,"Bitfinex'ed Κασσάνδρα
@Bitfinexed
·
Nov 1
·","How are you so sure Tether is fucked?

Exhibit A:

The guy that sounded ringing endorsements for Luna/UST, just sounded ringing endorsements for a known fraud that launders money for terrorist organizations and US Senator 
@SenLummis
 just requested the DOJ to charge Tether…
Show more",🔥 🐧 🏺,5,11,60,"['https://pbs.twimg.com/media/F922-H5XsAAZywk?format=jpg&name=small', 'https://pbs.twimg.com/media/F922_vsW8AATMK9?format=png&name=medium']",https://twitter.com/Bitfinexed/status/1719732329822765531
"Crystal Spring Haney - Trophy Wife, SAHM",@TheCrystalHaney,2023-11-01T12:23:45.000Z,"Crystal Spring Haney - Trophy Wife, SAHM
@TheCrystalHaney
·
Nov 1","Hey #Wyoming, why are we still supporting trying to control other countries through sanctions; sending aid when we are broke; and committing Americans to a foreign nation's war? 
@RepHageman
 @SenJohnBarrasso
 @SenLummis",,,,,['https://pbs.twimg.com/profile_images/1642289348602150914/PiHxa9pP_normal.jpg'],https://twitter.com/TheCrystalHaney/status/1719691697586569226
Gossamer Capital,@gossamercap,2023-11-01T11:43:59.000Z,"Gossamer Capital
@gossamercap
·
Nov 1","Thank you 
@SenLummis
 for addressing this misinformation.",,,,1,"['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg', 'https://pbs.twimg.com/media/F9ycOdxXQAA6XQJ?format=jpg&name=900x900']",https://twitter.com/gossamercap/status/1719681687137743223
Dinbodol Bangladesh,@Dinbodol_BD,2023-11-01T08:31:35.000Z,"Dinbodol Bangladesh
@Dinbodol_BD
·
Nov 1","Ms Saima Wazed  has been nominated as the next World Health Organization Regional Director for South-East Asia.

congratulations
@SenMikeLee
 @SenLummis
 @RogerMarshallMD
 @McConnellPress
 @JerryMoran",,,,,['https://pbs.twimg.com/media/F91dCgLaoAAJ6OK?format=jpg&name=900x900'],https://twitter.com/Dinbodol_BD/status/1719633268918915263
Caitlin Long,@CaitlinLong_,2023-11-01T01:11:52.000Z,"Caitlin Long
@CaitlinLong_
·
Nov 1","TODAY THE 
@usgaolegal
 did its job, releasing a *whopper* of a report about the SEC’s SAB-121 accounting bulletin that targeted #crypto. tl;dr=the GAO said it didn’t comply with the law. Here’s a 
@SenLummis
/
@PatrickMcHenry
 statement about it: 
https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=409017…",🔑 ⚡ 🟠 🚨 🚨 🚨,21,133,510,[],https://twitter.com/CaitlinLong_/status/1719522612093571196
SatoshiDon.eth,@tehcryptochad,2023-11-01T03:29:33.000Z,"SatoshiDon.eth
@tehcryptochad
·
Nov 1","Be informed people ...Politicians & people in power need to understand #Crypto is a solution & NOT the problem SMH... Sen Lummis for pointing out the facts  
@SenLummis",👇 🫡,,,,"['https://pbs.twimg.com/profile_images/1347538782451625984/4YbXM-09_normal.jpg', 'https://pbs.twimg.com/media/F9ycOdxXQAA6XQJ?format=jpg&name=900x900']",https://twitter.com/tehcryptochad/status/1719557259443994643
