UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Db Isme,@DbIsme2,2023-11-01T23:44:18.000Z,"Db Isme
@DbIsme2
·
Nov 2",".
@repgregstanton
 @SenMarkKelly
 AM radio is important to me. Please support the AM Radio for Every Vehicle Act to help keep this free, critical source of news, traffic, sports, weather and emergency updates that I depend on in the car.   #DependOnAM",,,,,[],https://twitter.com/DbIsme2/status/1719862963480436879
Mojy,@Mojgan_00,2023-11-01T22:14:46.000Z,"Mojy
@Mojgan_00
·
Nov 2",".
@SenMarkKelly
 I called your office today requesting that you please cosponsor #S2626 #MahsaAct which codifies sanctions against the leaders of Iran regime for funding terrorism and human rights violations. Senator Kelly in this critical time we must stand with our allies and…
Show more",,5,20,36,"['https://pbs.twimg.com/media/F94ZwFdbgAA5yRe?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1334158015130320899/jwQnwuaZ_normal.png', 'https://pbs.twimg.com/media/FP2YITEXMAIbQfW?format=jpg&name=240x240']",https://twitter.com/Mojgan_00/status/1719840429666148498
Patricia G. Barnes,@PatriciaGBarnes,2023-11-01T21:32:27.000Z,"Patricia G. Barnes
@PatriciaGBarnes
·
Nov 2","I don't want my tax money being used to support this senseless and inhumane carnage. 
@SenMarkKelly
, 
@SenatorSinema
, 
@POTUS
 
'A curse to be a parent in Gaza': More than 3,600 Palestinian children killed in just 3 weeks of war",,,,,['https://pbs.twimg.com/card_img/1729974654713102336/yT3rr2zF?format=jpg&name=900x900'],https://twitter.com/PatriciaGBarnes/status/1719829782194717067
Senator Mark Kelly,@SenMarkKelly,2023-11-01T21:25:15.000Z,"Senator Mark Kelly
@SenMarkKelly
·
Nov 2","Today marks the beginning of Native American Heritage Month, a time to honor and celebrate Arizona’s 22 federally recognized tribal nations.

Our state’s history and culture are closely linked to that of our tribal communities and it’s my honor to represent them in the Senate.",,33,72,345,[],https://twitter.com/SenMarkKelly/status/1719827971140145473
꧁ 𝑀𝑎𝑟𝑦𝑊𝑒𝑠𝑡 ꧂,@ContrarilyMary,2023-11-01T21:22:09.000Z,"꧁ 𝑀𝑎𝑟𝑦𝑊𝑒𝑠𝑡 ꧂
@ContrarilyMary
·
Nov 2","What are you doing about this?? 
@SenatorSinema
 @SenMarkKelly
 @RepCiscomani",,,,,['https://pbs.twimg.com/profile_images/1525490459539382272/WBJVIWpm_normal.jpg'],https://twitter.com/ContrarilyMary/status/1719827188764299722
Anthony Adragna,@AnthonyAdragna,2023-11-01T20:24:57.000Z,"Anthony Adragna
@AnthonyAdragna
·
Nov 2",".
@SenMarkKelly
 on Trent Franks running again: ""I don't even remember what [the scandal] was. To be honest, I haven't heard his name in years.""",,4,7,5,[],https://twitter.com/AnthonyAdragna/status/1719812794348978497
美国政要直译推,@zhiyitw33,2023-11-01T19:53:21.000Z,"美国政要直译推
@zhiyitw33
·
Nov 2","参议员汤姆·科顿：
#中国共产党 正在竭尽全力窃取我们的军事机密，包括将目标对准退伍军人。

珍妮·沙欣参议员
@SenatorShaheen
、马克·凯利参议员
@SenMarkKelly
 和我(写信)敦促美国防部 
@DeptofDefense
 与国会合作，以确保这种情况不会发生。

【附三位参议员写给国防部长劳埃德·奥斯汀的信函】",,,3,8,"['https://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg', 'https://pbs.twimg.com/media/F93WNhVXcAAtAyx?format=jpg&name=900x900']",https://twitter.com/zhiyitw33/status/1719804840728002745
Magnolia Pharmacy,@magnoliarx,2023-11-01T17:07:04.000Z,"Magnolia Pharmacy
@magnoliarx
·
Nov 2","Lowering drug prices starts with #PBMs. There’s many methods, but one of the most important is #de-linking, which PBMs use to set fees based on what drug would turn the highest profit.

Hoping that 
@SenatorSinema
 and 
@SenMarkKelly
 will sign... problem:

https://tester.senate.gov/newsroom/press-releases/tester-marshall-kaine-braun-introduce-bill-to-lower-drug-costs-hold-massive-pbm-corporations-accountable/…",,,,,['https://pbs.twimg.com/media/F93TVNVWsAAud90?format=jpg&name=900x900'],https://twitter.com/magnoliarx/status/1719762996807811085
Wayne Lehtine,@WayneLehtinen,2023-11-01T14:51:56.000Z,"Wayne Lehtine
@WayneLehtinen
·
Nov 1","I would but 
@kyrstensinema
 and 
@SenMarkKelly
 are leftist @$$3$ and will screw “We the People” at every opportunity.",‼ 🚨 🚨 ‼,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/WayneLehtinen/status/1719728987671531693
LovelyMsNet,@LovelyMsNet,2023-11-01T02:50:26.000Z,"LovelyMsNet
@LovelyMsNet
·
Nov 1","Arne ICYMI one of our military men recently suffered a heart attack unfortunately. He’s been trying to do double duty bcuz 
@SenTuberville
 is the front guy for stalling earned military promotions! 
@SenDuckworth
 @SenMarkKelly
 @SecDef
 @PressSec
 @arneduncan",,,,,"['https://pbs.twimg.com/profile_images/378800000056140434/1ae806219dfae9863046126e64f94b82_normal.jpeg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719442089686028288/pu/img/MKu_kvY4I6JEOiFT.jpg']",https://twitter.com/LovelyMsNet/status/1719547418813853907
