UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Brock N. Cordeiro,@BNCordeiro,2023-11-01T22:43:01.000Z,"Brock N. Cordeiro
@BNCordeiro
·
Nov 2",".
@POTUS
 @FLOTUS
 @WHCOS
 @PressSec
 @WHCommsDir
 @WhiteHouse
 @DCarnival46
 @SenWarren
 @SenMarkey
 @USRepKeating
 #mapoli 
@PanCAN
 @ACSCAN
 @PanCANBoston
 @ACSCANMA
 @AmericanCancer
 @letswinpc
 @SU2C
 @worldpcc
 @NatPancFdn
 @lustgartenfdn
 @CDC_Cancer
 @SurvivorsDay
 @MassGovernor
 @JoeBiden",,,1,2,['https://pbs.twimg.com/media/F94gOHlX0AAVPYs?format=jpg&name=900x900'],https://twitter.com/BNCordeiro/status/1719847538344304886
Scott P,@ScottPFL,2023-11-01T21:28:57.000Z,"Scott P
@ScottPFL
·
Nov 2","Assuming true, #Harvard needs to identify and expel everyone involved in that harassment. If not a student, then prosecuted!  Who can get this done?
@MarshaBlackburn
 @EliseStefanik
 @SenMarkey",,,,,"['https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719647685508997120/pu/img/SVBubrsOiYr_JdXv.jpg']",https://twitter.com/ScottPFL/status/1719828901734629724
Wally Ballou!,@Jazz_Phan,2023-11-01T20:26:31.000Z,"Wally Ballou!
@Jazz_Phan
·
Nov 2","#GazaGenocide 
#CeasefireNOW 

What will it take? How many must die before you call this #Genocide in #Gaza by its name?
@SenWarren
 
@SenMarkey
 
@RepMoulton
 
@RepAuchincloss
 
Show more",,5,,1,"['https://pbs.twimg.com/profile_images/1593462317357965312/2QBl0Se-_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719357250823696384/pu/img/kTo3MvI8bhr5kXZt.jpg']",https://twitter.com/Jazz_Phan/status/1719813188873544096
USGradeABeef,@TuneInDropMSM,2023-11-01T20:20:24.000Z,"USGradeABeef
@TuneInDropMSM
·
Nov 2","Compromised 
@WhiteHouse
 @SenateGOP
 
@SenateDems
 @HouseGOP
 
@HouseDemocrats
 

@SenWarren
 
@RepMcGovern
@SenMarkey
Show more",🚨 🚨,,,,['https://pbs.twimg.com/profile_images/1408448254010875910/b5h3Hehs_normal.jpg'],https://twitter.com/TuneInDropMSM/status/1719811648679006634
KarynRegal,@Karynregal,2023-11-01T19:22:59.000Z,"KarynRegal
@Karynregal
·
Nov 2","Please save the Pink House. This is my picture. There are so many others of this North Shore Icon.  #savethepinkhouse #plumisland #northshorema 
@BostonGlobe
 @wbz
 @wcvb
 @pictureboston
 @whdh 
@SenMarkey
 @SenWarren
 @sethmoulton
 @newburyportnews
 @sjforman138
 

https://tinyurl.com/8jy6ptrx",,1,1,12,['https://pbs.twimg.com/media/F93w_bMXYAAPO9s?format=jpg&name=900x900'],https://twitter.com/Karynregal/status/1719797202409721963
Wally Ballou!,@Jazz_Phan,2023-11-01T16:50:55.000Z,"Wally Ballou!
@Jazz_Phan
·
Nov 2","#GazaGenocide 
#CeasefireNOW 

Any public official who does not speak publicly against what is occurring now is complicit.
@SenWarren
 
@SenMarkey
 
@RepMoulton
 
@RepAuchincloss
 
Show more",,,,,[],https://twitter.com/Jazz_Phan/status/1719758931398979886
Brock N. Cordeiro,@BNCordeiro,2023-11-01T16:15:52.000Z,"Brock N. Cordeiro
@BNCordeiro
·
Nov 2","I contacted the offices of 
@SenWarren
 & 
@SenMarkey
 asking them to please cosponsor #PCHETA & I hope that all my Massachusetts friends will, too! If you live in the other 49 states then please contact your United States Senators & ask them to cosponsor & support PCHETA! 
@acscanma",📱 📨 📞,,,,['https://pbs.twimg.com/profile_images/1677363521330331648/DMbayYBl_normal.jpg'],https://twitter.com/BNCordeiro/status/1719750110177788064
Brock N. Cordeiro,@BNCordeiro,2023-11-01T15:40:19.000Z,"Brock N. Cordeiro
@BNCordeiro
·
Nov 1",".
@SenWarren
 & 
@SenMarkey
 please cosponsor #PCHETA! 

My dad, Norman Cordeiro of Dartmouth received hospice & palliative care services before his death from #PancreaticCancer on 03/30/2014.

#mapoli #NationalHospiceAndPalliativeCareMonth #PancreaticCancerAwarenessMonth 
@acscanma",,,,,"['https://pbs.twimg.com/profile_images/1677363521330331648/DMbayYBl_normal.jpg', 'https://pbs.twimg.com/media/F925yqgXkAACnPj?format=png&name=900x900']",https://twitter.com/BNCordeiro/status/1719741165266690503
𝕯𝖍𝖆𝖗𝖓𝖆 𝕹𝖔𝖔𝖗,@dharnanoor,2023-11-01T15:09:21.000Z,"𝕯𝖍𝖆𝖗𝖓𝖆 𝕹𝖔𝖔𝖗
@dharnanoor
·
Nov 1","another lil exclusive: advocates are re-launching the Green New Deal fight for the post-Inflation Reduction Act era

they're doing so w/ a national tour led by the 
@GND_Network
 (including 
@sunrisemvmt
) and feat. 
@SenMarkey
 @JamaalBowmanNY
 and local orgs",,2,32,97,['https://pbs.twimg.com/card_img/1727385052588433409/Mzfh8cSl?format=jpg&name=900x900'],https://twitter.com/dharnanoor/status/1719733371524305277
,@sassnotclassy,2023-11-01T15:08:25.000Z,"@sassnotclassy
·
Nov 1","This is so fucking sick. I am so disgusted that my *supposedly* progressive Senators are still not calling for a ceasefire. How much worse does it have to get 
@SenWarren
  @SenMarkey",♏,,,1,['https://pbs.twimg.com/profile_images/1568127888615940096/BTG19IPa_normal.jpg'],https://twitter.com/sassnotclassy/status/1719733138283192619
Rosemary Kean,@crankyactivist,2023-11-01T13:00:06.000Z,"Rosemary Kean
@crankyactivist
·
Nov 1","""You side with terrorists"" spoken by an Israel apologist , such as Israel ambassador to UN, translates to ""I cannot defend Israel's actions using reason and logic."" 
@SenMarkey
 @SenWarren
 @SenSanders
 @SenBobCasey
 @SenSherrodBrown
 
Thanks 
@caitoz
 for noting this.",,1,,1,[],https://twitter.com/crankyactivist/status/1719700846064156979
Rosemary Kean,@crankyactivist,2023-11-01T12:46:28.000Z,"Rosemary Kean
@crankyactivist
·
Nov 1","Craig Mokhiber resigns from UN & speaks out against wanton killing by Israel w US help. People in responsible positions can make a difference. You can speak out for a ceasefire. What are you afraid of? 
@SenMarkey
 @SenWarren
 @SenBobCasey
 @SenSanders
 @SenSherrodBrown
 @RepLynch",,,1,2,[],https://twitter.com/crankyactivist/status/1719697415505056007
K Spencer,@SWAFM_,2023-11-01T12:35:03.000Z,"K Spencer
@SWAFM_
·
Nov 1","#Halloween2023  #Arthritis #KOA For more, see: https://fluoridelawsuit.com/science 
@MassDems
 @MassGOP
 @BeccaRauschMA
 @RepDanCahill
 @SenBruceTarr
 @JohnCronin_MA
 @Rep_Higgins
 @CarmineLGentile
 @SenMarkey
 @SenWarren
@USDANutrition
 @theNASEM
 @AnnalsofIM
 @MomsRising
 @ErinBrockovich
 @AARPpolicy",,1,,,['https://pbs.twimg.com/media/F92VEdjWoAA5g72?format=jpg&name=900x900'],https://twitter.com/SWAFM_/status/1719694539114393826
Rosemary Kean,@crankyactivist,2023-11-01T12:19:05.000Z,"Rosemary Kean
@crankyactivist
·
Nov 1","James Elder, Unicef- ""Gaza has become a graveyard for children."" With allies like this, who needs enemies? 
@SenWarren
 @SenMarkey
 @SenSanders
 @SenSherrodBrown
 @SenBobCasey
 US support for this is a war crime and you could speak out against it and you don't?",,,1,1,[],https://twitter.com/crankyactivist/status/1719690523491905856
Merchants Payments Coalition,@MerchantsPymnts,2023-11-01T11:41:00.000Z,"Merchants Payments Coalition
@MerchantsPymnts
·
Nov 1","Self-storage executive Kelly McKone says small businesses are “being stifled” by “ever-rising” #creditcard #swipefees.
#CreditCardCompetitionAct 
@bostonherald
 @SenMarkey
 @SenWarren",,,3,5,['https://pbs.twimg.com/card_img/1730137745958600705/n4aUuGNA?format=jpg&name=small'],https://twitter.com/MerchantsPymnts/status/1719680937641087349
USGradeABeef,@TuneInDropMSM,2023-11-01T11:40:00.000Z,"USGradeABeef
@TuneInDropMSM
·
Nov 1","No more lumping multiple bills together. Separate them.
Move the 9B to the southern and Northern borders. No more support to #Hamas 
 
@SenateGOP
 
@SenateDems
 @HouseGOP
 
@HouseDemocrats
 @SenWarren
 
@RepMcGovern
@SenMarkey
 @SpeakerJohnson
@MZHemingway
 @SaraCarterDC",,,,,[],https://twitter.com/TuneInDropMSM/status/1719680688155234604
Tom Richards,@TomR912,2023-11-01T03:44:15.000Z,"Tom Richards
@TomR912
·
Nov 1","Netanyahu could ameliorate the worldwide strife ftom his war by withdrawing his army to defend Israel’s borders; Furthermore, he could grant full citizenship to all occupants subduing the anger to hatred of those denied liberty by apartheid Israel. 
@AP
 @SenMarkey
 @RepAuchincloss",,,,1,['https://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg'],https://twitter.com/TomR912/status/1719560960568959237
Ed Markey,@SenMarkey,2023-11-01T00:33:38.000Z,"Ed Markey
@SenMarkey
·
Nov 1","The Biden-Harris administration has already taken bold action to protect Americans against AI threats. But there's more work to do. That's why 
@RepSaraJacobs
 and I are urging 
@VP
 to continue promoting principles from the AI Bill of Rights at the UK AI Safety Summit.",,15,5,17,[],https://twitter.com/SenMarkey/status/1719512989269729785
