UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
105.9 KNRS,@1059KNRS,2023-11-01T23:55:00.000Z,"105.9 KNRS
@1059KNRS
·
Nov 2","At 6:05 pm today on the 
@RodArquette
 Show on 
@1059KNRS
 - former 
@SenMikeLee
 staffer 
@carolyn_phippen
 joins the show to discuss her decision to run for the U.S. Senate seat currently held by 
@SenatorRomney",,1,,1,[],https://twitter.com/1059KNRS/status/1719865654336258243
Keith Compton,@drasco102,2023-11-01T20:46:01.000Z,"Keith Compton
@drasco102
·
Nov 2","I urge 
@senmikelee
 to support #ALSVeterans and their families by cosponsoring and passing the Justice for ALS Veterans Act (H.R.3790/S.1590) https://bit.ly/JusticeforALSVeterans… #ALSAdvocacy",,,,,[],https://twitter.com/drasco102/status/1719818097341943944
Connie Bevan,@realConnieBevan,2023-11-01T20:13:03.000Z,"Connie Bevan
@realConnieBevan
·
Nov 2","What is behind this U.S. Infant mortality rate rising 3% last year, that the CDC is saying is the largest increase in two decades? 
@RealGeorgeWebb1
 
@va_shiva
 
@jeffreyprather
 
@SenMikeLee",,,1,1,"['https://pbs.twimg.com/profile_images/1702086926046547968/qvmpqbHa_normal.jpg', 'https://pbs.twimg.com/media/F93cxOSWkAAGwjP?format=jpg&name=900x900']",https://twitter.com/realConnieBevan/status/1719809801600004334
PeterCassizzi@toad.social,PeterCassizzi@toad.social,2023-11-01T18:28:19.000Z,"PeterCassizzi@toad.social
@Cassizzi
·
Nov 2","We are watching this one, aren’t we, 
@SenMikeLee",😉,,,,['https://pbs.twimg.com/profile_images/1158856273212973056/3I2R_Jna_normal.jpg'],https://twitter.com/Cassizzi/status/1719783443440017494
Deseret Magazine,@deseretmagazine,2023-11-01T18:00:01.000Z,"Deseret Magazine
@deseretmagazine
·
Nov 2","Utah 
@SenMikeLee
 and 
@SenatorRomney
 spoke harshly of the Biden administration’s border policies as border patrol encounters approached 270,000 per month and 2.5 million per year for the first time ever. | By 
@BrighamTomco",,,,,"['https://pbs.twimg.com/profile_images/1333823599975677953/42Q6Cww8_bigger.jpg', 'https://pbs.twimg.com/card_img/1732249791693041664/M2e7HsEe?format=jpg&name=900x900']",https://twitter.com/deseretmagazine/status/1719776321365262571
GB News,@GBNEWS,2023-11-01T16:56:27.000Z,"GB News
@GBNEWS
·
Nov 2","'It's entirely within the Biden Administration's ability, without further legislation, to enforce the border, but they refused to enforce the laws already on the books!'
@SenMikeLee
 says he 'quite confident' Joe Biden has no intention of tackling the US border crisis.",,6,8,51,['https://pbs.twimg.com/amplify_video_thumb/1719668531787096064/img/2BewElgkYjtdCcB8.jpg'],https://twitter.com/GBNEWS/status/1719760322611851757
GB News,@GBNEWS,2023-11-01T16:49:34.000Z,"GB News
@GBNEWS
·
Nov 2","'In the United States, we've got a government working against the common man and woman. Working against people just trying to get ahead.'
@SenMikeLee
 tells 
@DarrenGrimes_
 the US Government's 'veracious, insatiable appetite to consolidate power' is destroying American lives.",,38,13,62,['https://pbs.twimg.com/amplify_video_thumb/1719668518445043712/img/0mEe7sxXOegX2oyH.jpg'],https://twitter.com/GBNEWS/status/1719758592817926240
Mike Lee,@SenMikeLee,2023-11-01T16:00:11.000Z,"Mike Lee
@SenMikeLee
·
Nov 2"," ON THE BROKEN BORDER: PART THREE  

Violent cartels are profiting from the Biden administration’s lack of border enforcement. 

Young girls are trafficked across the border by men pretending to be their relatives. 

People are dying.",🚨 🚨,169,422,947,['https://pbs.twimg.com/media/F93D5I3XgAA4KJq.jpg'],https://twitter.com/SenMikeLee/status/1719746164625408316
#Trump2024 Where R the subpoenas? NOCR,@ListlessNot,2023-11-01T15:27:43.000Z,"#Trump2024 Where R the subpoenas? NOCR
@ListlessNot
·
Nov 1","Talk about 'wag the dog' 
@MittRomney
 @UtahGOP
 WTH!! USA does not have interests in Ukraine! ROMNEY has interests in Ukraine! 
@SenMikeLee
 NO more money for Ukraine 
@SenateGOP",,1,,2,[],https://twitter.com/ListlessNot/status/1719737992934256683
NTD News,@NTDNews,2023-11-01T15:20:00.000Z,"NTD News
@NTDNews
·
Nov 1","“We’ve never seen anything this bad since we began keeping those records.”

In his opening statement at a Senate Judiciary Committee hearing 
@SenMikeLee
 talked about the rapid decline in #housing affordability in the U.S. since Joe Biden took office.",,1,,2,['https://pbs.twimg.com/card_img/1729978094264492032/WDqtmBDy?format=jpg&name=900x900'],https://twitter.com/NTDNews/status/1719736051252494507
