UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Corey Lambrecht,@OklaInspector,2023-11-01T23:05:58.000Z,"Corey Lambrecht
@OklaInspector
·
Nov 2","Way to go 
@SenMullin
  https://news9.com/story/6542d75bdea9a40668623919/senator-mullin-involved-in-getting-americans-out-of-gaza…",,,1,2,[],https://twitter.com/OklaInspector/status/1719853315939291352
Crime Brûlée,@themerriermohr,2023-11-01T21:50:20.000Z,"Crime Brûlée
@themerriermohr
·
Nov 2","You can help improve the quality of life for millions of cancer patients and their families, 
@SenMullin
 . Cosponsor #PCHETA to support patients with serious illnesses and chronic conditions like cancer. 
@PatientQoL",,,2,1,[],https://twitter.com/themerriermohr/status/1719834282372317294
Bathroom Ceiling Fresco,@MariaKChica,2023-11-01T20:09:44.000Z,"Bathroom Ceiling Fresco
@MariaKChica
·
Nov 2","“This is a sad day for our country,” Mullin said in a statement Monday night. “Americans have been stranded in Afghanistan by the Biden Administration and are now left to defend themselves from terrorists overrunning the country.
@SenMullin
 who was President on February 29 2020?",,3,7,18,[],https://twitter.com/MariaKChica/status/1719808964752228538
AprilSunshine,@DollhouseKM,2023-11-01T16:38:06.000Z,"AprilSunshine
@DollhouseKM
·
Nov 2","Pack your bags insurrectionists 
@repkevinhern
 @TomColeOK04
 @RepBice
 @SenMullin",,1,1,2,[],https://twitter.com/DollhouseKM/status/1719755705786241483
Markwayne Mullin,@SenMullin,2023-11-01T15:53:42.000Z,"Markwayne Mullin
@SenMullin
·
Nov 1","Joe Biden is quick to label anything that Republicans do as extremist and brand the term MAGA as derogatory.

Where is this rhetoric when the left commits actual hatred and open antisemitism on college campuses?",,76,15,87,[],https://twitter.com/SenMullin/status/1719744532496216213
Wolf𝕩#MuzikkZøne #𝘛eam𝘋øll𝘕ATURE CoFounder,@DCordell2016,2023-11-02T22:57:01.000Z,"Wolf𝕩#MuzikkZøne #𝘛eam𝘋øll𝘕ATURE CoFounder
@DCordell2016
·
Nov 3"," #CrookedMagaMinionAlert

卐.
@RyanWaltersSupt
 refused to 
turn over financial documents, 
former Oklahoma Ed secretary 
says! 
| 
@TheOklahoman_
  @GovStitt
@SenatorLankford
 @SenMullin
 @RepBrecheen
 @GOP
 @OKGOP
Old McBigLie 
@Trump
 @RepMTG
 @Jim_Jordan",🐺 🎶 🗣 📢 😠,,2,6,[],https://twitter.com/DCordell2016/status/1720213450666750355
Chad,@scifijunk,2023-11-02T22:26:22.000Z,"Chad
@scifijunk
·
Nov 3","You have been challenged
@GovStitt
@Okla_OAG
@SenatorLankford
@SenMullin
@RepBrecheen
@OKHouseofReps
 

@kfor
Show more",,,,,[],https://twitter.com/scifijunk/status/1720205738759323927
Freedom Fighter,@TheDCFreedom,2023-11-02T20:16:42.000Z,"Freedom Fighter
@TheDCFreedom
·
Nov 3","Just a reminder.... 
@RepBice
 @SenMullin
 @SenatorLankford",,,,,[],https://twitter.com/TheDCFreedom/status/1720173105627193436
Logan,@greeneyes3470,2023-11-02T21:30:05.000Z,"Logan
@greeneyes3470
·
Nov 3","Like 
@SenMullin
  @GovStitt
#Oklahoma #Oklahomans #GenZ #Veterans #OU #BoomerSooner  #OSU",🌺 ☠ 🤮,,,,[],https://twitter.com/greeneyes3470/status/1720191572438913155
"Travis Younce, ABD, MAIR, MHR, PhD candidate",@TravisYounce,2023-11-03T23:56:38.000Z,"Travis Younce, ABD, MAIR, MHR, PhD candidate
@TravisYounce
·
Nov 4","Now only the Senate needs to take up the 7 that have been passed and do their constitutional duties.  
@SenMullin
 @SenatorLankford
 @TomColeOK04",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720478226525392896/pu/img/HZTWBYq80KODuIDs.jpg'],https://twitter.com/TravisYounce/status/1720590844359557358
Battle Born Progress,@BattleBornProg,2023-11-03T00:00:05.000Z,"Battle Born Progress
@BattleBornProg
·
Nov 3","Senators 
@CortezMasto
 and 
@SenMullin
 are taking action to address chronic staffing shortages at Indian Health Services. Their bipartisan bill, the IHS Workforce Parity Act of 2023, will make it easier for healthcare providers to serve at IHS facilities.",,,1,3,[],https://twitter.com/BattleBornProg/status/1720229323116867899
Capitol Trades,@capitol2iq,2023-11-03T17:15:00.000Z,"Capitol Trades
@capitol2iq
·
Nov 4","Tech giant 
@Apple
's shares dropped after Q4 results, showing weaker revenue from China. The less optimistic Q1 outlook led to a drop, with revenue estimated at $118B.

Lawmaker 
@SenMullin
 bought $AAPL shares back in September.",,,1,1,[],https://twitter.com/capitol2iq/status/1720489767123742891
Rob Abiera,@Rob_Abiera,2023-11-03T17:32:32.000Z,"Rob Abiera
@Rob_Abiera
·
Nov 4","Tommy Tuberville is endangering our national security. This is treasonous. Stand up to him! 
@SenatorLankford
 @SenMullin",🟦,,1,2,[],https://twitter.com/Rob_Abiera/status/1720494179233529938
Stop Congress from Trading Individual Stocks,@SCFTIS,2023-11-04T21:10:39.000Z,"Stop Congress from Trading Individual Stocks
@SCFTIS
·
Nov 5","This looks like a conflict of interest 
@SenMullin
 (R-OK) votes on healthcare issues and owns stock in healthcare insurance company United Healthcare...Ban Congress from Trading Stocks 
@HawleyMO
 @VivekGRamaswamy
 @chiproytx
 @AOC
 @SenWarren
 @RepMattGaetz
 @SenSchumer
 @MittRomney",,,,,[],https://twitter.com/SCFTIS/status/1720911457649410540
Markwayne Mullin,@SenMullin,2023-11-04T16:31:34.000Z,"Markwayne Mullin
@SenMullin
·
Nov 5","Today is #Bedlam! I expect to see an incredible ending to a long time rivalry. Good luck to both teams, be safe, and have fun. #GoPokes #BoomerSooner",,11,5,27,[],https://twitter.com/SenMullin/status/1720841224985133475
Freedom Fighter,@TheDCFreedom,2023-11-04T02:19:12.000Z,"Freedom Fighter
@TheDCFreedom
·
Nov 4","NO ONE outside of Washington wants an omnibus! Can you hear you constituents 
@SenMullin
 @SenatorLankford
   Vote for the house bill. The IRS already has too much money & power.",,,,,[],https://twitter.com/TheDCFreedom/status/1720626721345482801
TheJerrieHall,@DeploraHall,2023-11-05T14:52:01.000Z,"TheJerrieHall
@DeploraHall
·
Nov 5",".
@repkevinhern
 .
@SenatorLankford
 .
@SenMullin",,,,,[],https://twitter.com/DeploraHall/status/1721178562429141415
Markwayne Mullin,@SenMullin,2023-11-06T20:02:28.000Z,"Markwayne Mullin
@SenMullin
·
Nov 7","November is #MilitaryFamilyMonth, and I want to take time to acknowledge the great sacrifices that families make when supporting their loved ones in our military. Your continued support and love for our nation’s heroes is an inspiration. Thank you for your service. ",,21,4,25,[],https://twitter.com/SenMullin/status/1721619076949201403
Capitol Trades,@capitol2iq,2023-11-06T15:00:02.000Z,"Capitol Trades
@capitol2iq
·
Nov 6","Featured Politician: 
@SenMullin
 

A member of the Senate Armed Services & other Committees, Sen. Mullin reported his second trade filing in 2023.

He bought significant & bullish issuers, including:
$RTX - 17.20%
$SBUX - 14.72%
$MSFT - 12.58%
Show more",,,,1,[],https://twitter.com/capitol2iq/status/1721542965498392634
Markwayne Mullin,@SenMullin,2023-11-07T18:38:46.000Z,"Markwayne Mullin
@SenMullin
·
Nov 8",18% inflation. 8% interest rates. That's Bidenomics.,,46,10,48,['https://pbs.twimg.com/amplify_video_thumb/1716523110692704256/img/0fDYN6ke_VjMa7cC.jpg'],https://twitter.com/SenMullin/status/1721960401020014811
KrisC,@OkieKris2021,2023-11-07T18:34:38.000Z,"KrisC
@OkieKris2021
·
Nov 8",".
@tomcoleok04
 @SenMullin
 @senatorlankford
 AM radio is important to me. Please support the AM Radio for Every Vehicle Act to help keep this free, critical source of news, traffic, sports, weather and emergency updates that I depend on in the car.   #DependOnAM",,,,,[],https://twitter.com/OkieKris2021/status/1721959358051807586
KATRINA SZISH,@KatrinaSzish,2023-11-07T15:03:36.000Z,"KATRINA SZISH
@KatrinaSzish
·
Nov 7","Tune in to American Agenda live at 2pm ET today. We’ll be joined by 
@SenMullin
 @MBCompanyMan
 @BernardKerik
 @Bruce_LeVell
 and more 
@Newsmax",,2,4,14,[],https://twitter.com/KatrinaSzish/status/1721906250378510548
BAL0618,@BAL06183,2023-11-07T17:30:50.000Z,"BAL0618
@BAL06183
·
Nov 8","Remember this?? CIA CREATED ISIS
@SpeakerJohnson
, 
@Jim_Jordan
, 
@RepJamesComer
, 
@RepJasonSmith
, 
@RepBenCline
, 
@RepBobGood
, 
@RepMaryMiller
, 
@RepMattGaetz
, 
@RepMattSchaefer
, 
@RepMTG
, 
@RepDanBishop
, 
@SenTedCruz
, 
@SenTedBuddNC
, 
@SenMikeLee
, 
@SenMullin
, 
@RepAndyBiggsAZ
, 
@RepLuna",,,,,[],https://twitter.com/BAL06183/status/1721943304680395106
Markwayne Mullin,@SenMullin,2023-11-08T22:03:12.000Z,"Markwayne Mullin
@SenMullin
·
Nov 9","Thrilled to announce 
@USDA
 has awarded over $80 million to boost broadband connectivity in Choctaw, Bryan, Muskogee, Sequoyah, Carter, Johnston, Murray, Pontotoc, and Seminole counties. This investment will directly benefit our rural businesses, Tribes, farmers, and schools.",,38,6,29,[],https://twitter.com/SenMullin/status/1722374233680916706
Markwayne Mullin,@SenMullin,2023-11-08T20:38:50.000Z,"Markwayne Mullin
@SenMullin
·
Nov 9","The most beneficial water infrastructure investments occur when state and local-level perspectives are taken into account. Thank you to 
@OklahomaDEQ
's Shellie Chard for sharing Oklahoma's solutions to water infrastructure challenges in 
@EPWGOP
 today.",,13,3,16,[],https://twitter.com/SenMullin/status/1722353003250725314
davidsasselhoff,@davidsasselhoff,2023-11-08T20:33:42.000Z,"davidsasselhoff
@davidsasselhoff
·
Nov 9","I thought you all cared about children? 
@SenMullin
 @GovStitt
 @TomColeOK04
 @jameslankford",,,,,[],https://twitter.com/davidsasselhoff/status/1722351711803589089
Markwayne Mullin,@SenMullin,2023-11-08T19:50:46.000Z,"Markwayne Mullin
@SenMullin
·
Nov 9","Today, 
@1st_SF_Command
 (Airborne) held their annual wreath-laying ceremony at the gravesite of President John F. Kennedy to honor President Kennedy’s contributions to the U.S. Army Special Forces. (1/2)",,10,3,29,[],https://twitter.com/SenMullin/status/1722340908199231922
Markwayne Mullin,@SenMullin,2023-11-09T18:51:28.000Z,"Markwayne Mullin
@SenMullin
·
Nov 10","In his address at Brandenburg Gate, President Ronald Reagan famously declared, ""Mr. Gorbachev, tear down this wall!"" 5 months later, the wall fell, marking the liberation of East Germany from Communism and the symbolic end of the Cold War. #WorldFreedomDay",,44,9,42,[],https://twitter.com/SenMullin/status/1722688372936704030
Alliance to Modernize Prescribing Info,@ModernizeRXInfo,2023-11-09T14:00:00.000Z,"Alliance to Modernize Prescribing Info
@ModernizeRXInfo
·
Nov 9","How will online prescribing information protect #PatientSafety and modernize our healthcare? 
@SenMullin
, original cosponsor of the bipartisan Prescribing Information Modernization Act, explains ",⬇,,,1,[],https://twitter.com/ModernizeRXInfo/status/1722615021895590392
Markwayne Mullin,@SenMullin,2023-11-09T17:11:50.000Z,"Markwayne Mullin
@SenMullin
·
Nov 10","EMS providers are often the difference between life and death in rural Oklahoma.

This week, I had the chance to meet with the 
@amerambassoc
's EMS Stars of Life award recipients. Thank you to EMS Stars of Life and to all EMS professionals for your support of our communities.",,10,5,34,[],https://twitter.com/SenMullin/status/1722663298351423731
Markwayne Mullin,@SenMullin,2023-11-09T15:05:26.000Z,"Markwayne Mullin
@SenMullin
·
Nov 9","In the first 18 hours after Hamas' Oct. 7th attack, threats against Jews & Israelis increased 488%.

This morning, we held a bipartisan roundtable in 
@GOPHELP
 to discuss the rise in antisemitism on college campuses and the Biden admin's responsibility to protect Jewish Americans.",,24,8,40,[],https://twitter.com/SenMullin/status/1722631486728470985
Markwayne Mullin,@SenMullin,2023-11-09T18:05:21.000Z,"Markwayne Mullin
@SenMullin
·
Nov 10"," Big #2A win! 

A Texas federal judge has BLOCKED the ATF's pistol brace rule from going into effect. There's still work to be done to beat Joe Biden's anti-Second Amendment agenda in court, but this is a step in the right direction.",🚨 🚨,88,30,132,[],https://twitter.com/SenMullin/status/1722676764550279409
Cooperative Broadband Coalition,@CoopBroadband,2023-11-10T21:03:22.000Z,"Cooperative Broadband Coalition
@CoopBroadband
·
Nov 11","CBC leaders attended 
@NRECANews
 Broadband Leadership Summit in DC. They visited w/ our congressional delegation. Thank you for your investment in rural broadband! 
@SenMullin
 @SenatorLankford
 @RepFrankLucas
 @stephaniebice
 @TomColeOK04
 @RepBrecheen
 @repkevinhern",,,2,1,[],https://twitter.com/CoopBroadband/status/1723083953102287066
OAEC,@OAECoops,2023-11-10T20:57:49.000Z,"OAEC
@OAECoops
·
Nov 11","CBC leaders attended 
@NRECANews
 Broadband Leadership Summit in DC. They had the opportunity to visit w/ our congressional delegation. Thanks for your investment in rural broadband! 
@SenMullin
 @SenatorLankford
 @RepFrankLucas
 @stephaniebice
 @TomColeOK04
 @RepBrecheen
 @repkevinhern",,,3,3,[],https://twitter.com/OAECoops/status/1723082558034878527
Kami Rice,@KamiTheWriter,2023-11-10T19:34:31.000Z,"Kami Rice
@KamiTheWriter
·
Nov 11","In this season of gratitude, I want to thank 
@timburchett
 and 
@SenMullin
 for co-sponsoring the #AfghanAdjustmentAct! Thank you for your leadership on this issue!",,,1,3,[],https://twitter.com/KamiTheWriter/status/1723061592948903949
Markwayne Mullin,@SenMullin,2023-11-10T15:00:07.000Z,"Markwayne Mullin
@SenMullin
·
Nov 10","For 248 years, the 
@USMC
 has answered the call to serve and protect our nation. Thank you to the generations of American heroes and their families who have sacrificed so much for our freedoms. #USMC #marinecorps #semperfi",,57,18,89,[],https://twitter.com/SenMullin/status/1722992539467235423
Markwayne Mullin,@SenMullin,2023-11-11T15:29:44.000Z,"Markwayne Mullin
@SenMullin
·
Nov 11","To all of our veterans across the state of Oklahoma, we honor you and thank you for your selfless service to our nation. Happy Veterans Day!",,76,12,102,[],https://twitter.com/SenMullin/status/1723362379856064957
Nicole Kish,@drkish3539,2023-11-11T03:22:04.000Z,"Nicole Kish
@drkish3539
·
Nov 11
·","Truth!! 
@TomColeOK04
 @repkevinhern
 @RepBice
 @RepFrankLucas
 @SenatorLankford
 @RepMattGaetz
 @mtgreenee
 @SenMullin",™,,,1,[],https://twitter.com/drkish3539/status/1723179256358883802
Mike Johnson (Weather Mike),@weathermike24,2023-11-11T00:20:01.000Z,"Mike Johnson (Weather Mike)
@weathermike24
·
Nov 11","This is what you call gaslighting to carry favor during election season. Politicians like 
@senmullin
 @krhern
 @frankdlewis
 @TomColeOK04
 and 
@jameslankford
 do not care about veterans, they care about you thinking they support veterans. They vote one way and speak the other.",,,,,[],https://twitter.com/weathermike24/status/1723133443960131931
Austin Jones,@PO1135809,2023-11-12T03:15:17.000Z,"Austin Jones
@PO1135809
·
Nov 12","Dam 
@SenMullin
 , the boys left you behind",,2,1,5,['https://pbs.twimg.com/media/F-s7mv8XUAADuXj.jpg'],https://twitter.com/PO1135809/status/1723539935951458560
