UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ivan Raiklin,@IvanRaiklin,2023-11-01T21:44:54.000Z,"Ivan Raiklin
@IvanRaiklin
·
Nov 2","Again, 
@SenRandPaul
 Exposing the Corrupt Scheming and manipulation of content that America was able to consume because of FBLie & Homeland Insecurity manipulation of BigTech and beyond.  I look forward to being America's Secretary of Retribution.",,20,112,301,[],https://twitter.com/IvanRaiklin/status/1719832915490542002
Ivan Raiklin,@IvanRaiklin,2023-11-01T21:43:41.000Z,"Ivan Raiklin
@IvanRaiklin
·
Nov 2","Once again, for the trillionth time, FBLie Director and Acting Fake Secretary of Homeland Insecurity commiting a megathon perjury session as 
@SenRandPaul
 exposes them for being 1A, 4A, 5A gang rapists, that completely genocide our constitution and individual liberties.",,13,116,217,['https://pbs.twimg.com/amplify_video_thumb/1719830789116821504/img/Hz8Xv5niLr1QS_H3.jpg'],https://twitter.com/IvanRaiklin/status/1719832608945676401
@realtexan2you,@realtexan2you,2023-11-01T21:33:45.000Z,"@realtexan2you
@realtexan2you
·
Nov 2","Senate needs to pass HR 2 that is sitting in the Senate waiting to be passed there. It is a fix to border security. Repost. 
@SenTedCruz
 @SenRandPaul
 @SenRonJohnson
 @SenJohnKennedy
 @MarshaBlackburn
 @SenateGOP
 @SenTomCotton
 @SenMarcoRubio
 @committeeonccp
 @realColtonMoore",,,,,[],https://twitter.com/realtexan2you/status/1719830109786460549
HSGAC GOP,@HSGAC_GOP,2023-11-01T21:05:47.000Z,"HSGAC GOP
@HSGAC_GOP
·
Nov 2","ICYMI: In yesterday’s #HSGAC hearing, Ranking Member 
@SenRandPaul
 demanded 
@DHSgov
 Secretary Mayorkas answer if the agency collaborates with social media platforms to suppress free speech.",,10,26,83,['https://pbs.twimg.com/amplify_video_thumb/1719822524769357824/img/wQA-5SWC1cDYKOJK.jpg'],https://twitter.com/HSGAC_GOP/status/1719823069580042522
Ecker,@faithfamfree,2023-11-01T20:51:22.000Z,"Ecker
@faithfamfree
·
Nov 2","Bravo once again 
@SenRandPaul",,,,,"['https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg', 'https://pbs.twimg.com/profile_images/1696524738288615424/IveIyink_bigger.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719761007940124672/img/sdJ1lUwmRPyheiOB.jpg']",https://twitter.com/faithfamfree/status/1719819444401107311
Bill & Connie,@BillConnie48,2023-11-01T20:44:19.000Z,"Bill & Connie
@BillConnie48
·
Nov 2","YES! and THANK YOU! 
@SenRandPaul",,,,,"['https://pbs.twimg.com/profile_images/1591161353103966221/TVuLr3B7_normal.jpg', 'https://pbs.twimg.com/media/F931fvxXIAAbrY-?format=jpg&name=900x900']",https://twitter.com/BillConnie48/status/1719817666590842943
Groundwork Action,@GroundworkAct,2023-11-01T17:56:12.000Z,"Groundwork Action
@GroundworkAct
·
Nov 2","NEW: We’re proud to stand with a coalition of partners, including 
@4TaxFairness
 @amprog
 @ColorOfChange
, in opposing 
@SenRandPaul
's amendment to cut an additional $25 billion in IRS funding.

Read our letter to the Senate and 
@IgorVolsky
's statement below: https://betterirs.org/wp-content/uploads/sites/283/2023.10-CoalitionLetters-RandPaulAmendment-1.pdf…",,,5,7,['https://pbs.twimg.com/media/F93eNYHXUAAElJw?format=jpg&name=900x900'],https://twitter.com/GroundworkAct/status/1719775360043172201
#Impeach46 #NeverSurrender #BuyMadeInUSA,@RicoRich_Anon,2023-11-01T17:47:03.000Z,"#Impeach46 #NeverSurrender #BuyMadeInUSA
@RicoRich_Anon
·
Nov 2","How much this “American leadership” cost the American tax payers? Are you paying millions or billions to terrorist? 
Serious question.

Cc 
@HouseGOP
 @SpeakerJohnson
 @Jim_Jordan
 @EliseStefanik
 @RepNancyMace
 @SenateGOP
 
@SenTedCruz
 @SenRandPaul",,,1,,['https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg'],https://twitter.com/RicoRich_Anon/status/1719773057907065230
Kary Anthony,@KaryAnthony2,2023-11-01T17:44:47.000Z,"Kary Anthony
@KaryAnthony2
·
Nov 2"," @RepEliCrane
 @RepDonaldsPress
 @RepMTG
 @RepBoebert
 @RepChipRoy
 @RepMarkGreen
 @RepMattGaetz
 @RepAndyBiggsAZ
 @RepMattGaetz
 @MarshaBlackburn
 @SenJohnKennedy
 @SenTedCruz
 @SenRandPaul
 @SenRandPaul
 @SenRonJohnson
 @JohnCornyn
 @SenateGOP
 @SenTomCotton
 @HouseGOP",🎯 💯,,,2,"['https://pbs.twimg.com/tweet_video_thumb/F93b9d9W0AEkSrw.jpg', 'https://pbs.twimg.com/profile_images/1709622110371336192/Xr_xuWAb_normal.jpg']",https://twitter.com/KaryAnthony2/status/1719772487179776108
Ruth Melbourne,@melbourne_ruth,2023-11-01T17:04:17.000Z,"Ruth Melbourne
@melbourne_ruth
·
Nov 2","The US Senate is voting on 
@SenRandPaul
 bill to amend a “3-bill spending package reducing IRS funding”.  Lots of 
@SenateGOP
 are voting “No”!  This surprises me, because I thought their goal was to reduce the IRS, by NOT funding them!  Must be a horrible bill from the KY Senator!",,,,,[],https://twitter.com/melbourne_ruth/status/1719762293381005522
