UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rick Scott,@SenRickScott,2023-11-01T23:53:47.000Z,"Rick Scott
@SenRickScott
·
Nov 2","Senate Democrats again stopped passage of my urgently needed Block Grant Assistance Act, and I can’t understand why anyone voted against it.

Folks that put food on our tables and create jobs are hurting, and I won’t stop fighting to get them the disaster relief they deserve.",,43,29,102,['https://pbs.twimg.com/media/F94wSlAWkAAZIw2.jpg'],https://twitter.com/SenRickScott/status/1719865348155990267
RedpenFL,@RedpenFL,2023-11-01T23:36:57.000Z,"RedpenFL
@RedpenFL
·
Nov 2","Support 
@RandPaul
 and audit the fed, please. 
@SenRickScott
 @marcorubio",🚨 🚨,,,,[],https://twitter.com/RedpenFL/status/1719861113729241314
Rick Scott,@SenRickScott,2023-11-01T23:09:50.000Z,"Rick Scott
@SenRickScott
·
Nov 2",".
@POTUS
, you have a historic opportunity to be a part of the recovery of democracy in Venezuela and to stand up for freedom and democracy. Take a stand, hold Maduro accountable & recognize 
@MariaCorinaYA
’s primary win TODAY.",,26,186,327,[],https://twitter.com/SenRickScott/status/1719854288745173316
Leslie Diamond,@LDiamond39,2023-11-01T23:06:38.000Z,"Leslie Diamond
@LDiamond39
·
Nov 2","@SenRubioPress 
@SenRickScott
 @CongBillPosey
 Pass a stand-alone $16B House bill and rush aid to Israel today!",,,1,1,[],https://twitter.com/LDiamond39/status/1719853482985820622
Tyger Gregg,@GreggTyger,2023-11-01T23:05:50.000Z,"Tyger Gregg
@GreggTyger
·
Nov 2",".
@SenRickScott
 @SenMarcoRubio",‼ 🚨 🚨 ‼,,,,[],https://twitter.com/GreggTyger/status/1719853282867171652
Alex Mezza,@Alexmezza948,2023-11-01T22:17:34.000Z,"Alex Mezza
@Alexmezza948
·
Nov 2","LA BELLA DAMA DE HIERRO 
@MariaCorinaYA
 TIENE SUS AMIGOS 
@SenRickScott
 EN EL EXTERIOR QUE NO LA VAN A DEJAR SOLA CON EL MONSTRUO COMUNISTA ROJO... ELLOS LA VAN A AYUDAR A ACABAR CON EL CHAVISMO CRIMINAL ",👌 👏 👏 👏,3,30,42,[],https://twitter.com/Alexmezza948/status/1719841135047086218
Wesley C. Brauer,@brauer_wesley,2023-11-01T22:17:21.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2"," @GOP
 
@JoeBiden
 @VP
 @SenRickScott
 
@SenSchumer
 @GymJordanOSU
 
@RepJeffries
 @mattgaetzvenmo1",🧡 🖤 🧡 🦇 🎃 🦇 🦇 👻 🦇 🖤 🧡 🖤,,,1,[],https://twitter.com/brauer_wesley/status/1719841082769338678
Wesley C. Brauer,@brauer_wesley,2023-11-01T22:08:34.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2","Whatever YOU DO VOTE ! 
@JoeBiden
 @VP
 @SenRickScott",❤ 🤍 💙 ❤ 🤍 💙,,,,[],https://twitter.com/brauer_wesley/status/1719838871507112139
Wesley C. Brauer,@brauer_wesley,2023-11-01T21:38:21.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2"," @GOP
 
@SenRickScott
 @marcorubio
 
@mattgaetz
 @mtgreenee
 
@ChuckGrassley
 @SenTedCruz",🔥 🔥 🔥 🔥,,,,[],https://twitter.com/brauer_wesley/status/1719831267607453865
Wesley C. Brauer,@brauer_wesley,2023-11-01T21:35:52.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2","@JoeBiden
 @VP
 @SenRickScott
 
@SenSchumer
 @GymJordanOSU
 
@RepJeffries
 @mattgaetzvenmo1
 
@AdamSchiff
 @SpeakerMcCarthy",❤ 🤍 💙 ❤ 🤍 💙,,,1,[],https://twitter.com/brauer_wesley/status/1719830642824024157
