UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Cotton Pants,@v_granner,2023-11-01T23:52:43.000Z,"Cotton Pants
@v_granner
·
Nov 2","If these r not American citizens, DEPORT DEPORT DEPORT 
@marcorubio
 @SpeakerJohnson
 @SenTedCruz
 @SenRonJohnson
 @HouseGOP
 @SenateGOP",,,,,"['https://pbs.twimg.com/media/F94wHThXwAAymoj?format=jpg&name=small', 'https://pbs.twimg.com/media/F94wHTjWwAAWTQe?format=jpg&name=small', 'https://pbs.twimg.com/media/F94wHTfWAAAA5Nr?format=jpg&name=small']",https://twitter.com/v_granner/status/1719865081469763787
QuestionIt,@Amy31129057,2023-11-01T23:25:05.000Z,"QuestionIt
@Amy31129057
·
Nov 2","Throwback Wednesday....Scientists Will Create A Deadly New Flu Strain, Just To Prove They Can (Aug 8, 2013) 
@RandPaul
 @RobertKennedyJr
 @SenRonJohnson
 @RepThomasMassie
 @Complexity_CLS
 @Leeshotfury1966
 

Although Fouchier is in Rotterdam, the NIH funds part of his work through the…
Show more",,,,4,['https://pbs.twimg.com/media/F94nd4Ba4AAMaWv?format=png&name=small'],https://twitter.com/Amy31129057/status/1719858127288594526
JeniMac,@JennyMcMas8060,2023-11-01T23:23:27.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Well that just sucks! Stop funding & providing aid (through taxpayer $$$s) Middle Eastern countries and Terrorist-Controlled countries! Enough is Enough. 
@HawleyMO
 @tedcruz
 @MarshaBlackburn
 @BasedMikeLee
 @SenRonJohnson
 @ChuckGrassley
 @LeaderMcConnell
 @SenateGOP
 @POTUS
 @JoeBiden",,,,,['https://pbs.twimg.com/profile_images/1712221322175021056/w4GlKY4Q_normal.jpg'],https://twitter.com/JennyMcMas8060/status/1719857717395808569
Jason Church,@JasonChurchWI,2023-11-01T23:21:56.000Z,"Jason Church
@JasonChurchWI
·
Nov 2","Unfortunately 
@SenRonJohnson
 is right. It’s also beyond America. Look at the propaganda coming out of Latin America’s far-left governments. They’re looking for any excuse to perpetuate a class struggle narrative.",,,,4,"['https://pbs.twimg.com/profile_images/1213023547/Twitter_2_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719848905670623232/img/kWHKIhV3vCdyz_YD.jpg']",https://twitter.com/JasonChurchWI/status/1719857336003510744
A Common Good For All,@ACommonGood1,2023-11-01T23:14:13.000Z,"A Common Good For All
@ACommonGood1
·
Nov 2","Gee are these Comrades of 
@RepMTG
? 
@Jim_Jordan
? 
@SenRonJohnson
 or 
@SenTuberville
?",,,,,['https://pbs.twimg.com/profile_images/1344090054122205184/Wd5EQeLe_normal.jpg'],https://twitter.com/ACommonGood1/status/1719855391205445676
Senator Ron Johnson,@SenRonJohnson,2023-11-01T22:48:52.000Z,"Senator Ron Johnson
@SenRonJohnson
·
Nov 2","Name one thing radical leftists have built other than a strong propaganda machine. They destroy everything they touch.
 
Believe the far-left when they support groups like Hamas, and open your eyes. They are destroying this country.",,259,572,1.5K,['https://pbs.twimg.com/amplify_video_thumb/1719848905670623232/img/kWHKIhV3vCdyz_YD.jpg'],https://twitter.com/SenRonJohnson/status/1719849013640360272
whydontyoucare,@whydontyoucar10,2023-11-02T23:58:48.000Z,"whydontyoucare
@whydontyoucar10
·
Nov 3","Remember this? 
@SenRonJohnson
 the criminal leader of fake electors.",,,,,[],https://twitter.com/whydontyoucar10/status/1720228998217646591
SurfsBri MN,@SurfsBri,2023-11-02T23:45:58.000Z,"SurfsBri MN
@SurfsBri
·
Nov 3","So many mistakes made.  Thank you 
@SenRonJohnson
 for being the one brave Senator.",💜,1,6,14,['https://pbs.twimg.com/ext_tw_video_thumb/1720191609713967104/pu/img/AuZYpgwlKrt7SZWs.jpg'],https://twitter.com/SurfsBri/status/1720225768653902046
PNW Shan,@PNWShan,2023-11-02T23:08:58.000Z,"PNW Shan
@PNWShan
·
Nov 3","Can we impeach 
@SecMayorkas
 yet? CBP is HELPING people invade our border.
@SenTedCruz
 @SenRonJohnson
 @SenJohnKennedy
 @HawleyMO
 @SenTomCotton
 @ChuckGrassley",⚔,,,,['https://pbs.twimg.com/amplify_video_thumb/1719504814017507328/img/8YJaLzTfo3SC3h6W.jpg'],https://twitter.com/PNWShan/status/1720216460700877297
AB Campbell,@BisonBlaine,2023-11-02T23:16:29.000Z,"AB Campbell
@BisonBlaine
·
Nov 3",".
@SenRonJohnson
 Before you go shooting off your mouth about ""skyrocketing inflation"", be aware KwikTrip has 5 lb bags of Russet potatoes for 99 cents each !

#inflation",,,,,[],https://twitter.com/BisonBlaine/status/1720218350100316203
