UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
JeniMac,@JennyMcMas8060,2023-11-01T23:56:55.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","For this alone....
@JoeBiden
 @POTUS
 needs to be impeached! 
@HouseDemocrats
 @HouseGOP
 @SpeakerJohnson
 @SenateDems
 @SenateGOP
 @LeaderMcConnell
 @SenSchumer",,,,,[],https://twitter.com/JennyMcMas8060/status/1719866138299863466
ResistTheGOPTraitors,@TrumpianC,2023-11-01T23:53:07.000Z,"ResistTheGOPTraitors
@TrumpianC
·
Nov 2","It's about time the 
@SenateGOP
 and 
@SenSchumer
 and 
@SenateDems
 

Did SOMETHING to fight the hillbilly hickster, gee golly, racist coach, that should never have been elected to the Senate.

#VoteBlueEveryElection #VoteBlueToProtectYourRights #VoteBlueToSaveDemocracy",,,,1,[],https://twitter.com/TrumpianC/status/1719865181218787739
Emir S,@RidleyMusic87,2023-11-01T23:50:53.000Z,"Emir S
@RidleyMusic87
·
Nov 2","I wonder how all those in the party I voted up and down for for years feel about this. Those promoting the #zionist agenda like 
@potus
 @GovKathyHochul
 @SenSchumer
 @JohnFetterman
 and others
Disgusted by my party. Good luck yall being reelected in 2024. Time for a viable 3rd party",,,,,[],https://twitter.com/RidleyMusic87/status/1719864621060763701
Dr. Jason Cottrell,@DrJCottrell,2023-11-01T23:50:21.000Z,"Dr. Jason Cottrell
@DrJCottrell
·
Nov 2","Change the rules, 
@SenSchumer",,,1,4,['https://pbs.twimg.com/media/F98aKcjWwAAXeUS.jpg'],https://twitter.com/DrJCottrell/status/1719864486759166395
Henri,@hsmithson_,2023-11-01T23:50:21.000Z,"Henri
@hsmithson_
·
Nov 2","Hey Chuck Schumer: can you Tuberville now please using his tactics to get the military promotions passed. Stop catering to that idiot. We can no longer afford to. 
@SenSchumer",,,,,[],https://twitter.com/hsmithson_/status/1719864485928894697
Chuck Schumer,@SenSchumer,2023-11-01T23:44:50.000Z,"Chuck Schumer
@SenSchumer
·
Nov 2","I’ve been working with the 
@StateDept
 to secure safe passage for the hundreds of Palestinian-Americans and other American citizens stuck at the border in Gaza. I’m glad to see critical advancements to help individuals get to safety. Find out more from 
@StateDept
:",,155,124,540,['https://pbs.twimg.com/media/F93_jZ9WEAAC4Fc.jpg'],https://twitter.com/SenSchumer/status/1719863097991499908
Erik Kohler,@eksports_radio,2023-11-01T23:44:33.000Z,"Erik Kohler
@eksports_radio
·
Nov 2",".
@SenSchumer
 @SpeakerJohnson
 #EnoughIsEnough It’s Time to remove Biden & the entire family and administration ",💯 🙏 🚨 🚨 👇,,,1,['https://pbs.twimg.com/media/F92ma3vX0AAdV-l.jpg'],https://twitter.com/eksports_radio/status/1719863026596098305
Ms Blue Earth,@MsBlueEarth2,2023-11-02T23:55:59.000Z,"Ms Blue Earth
@MsBlueEarth2
·
Nov 3","Sedition/insurrection continues w/DT:  a threat or promise to tear up the Constitution is sedition or insurrection inciting or BOTH. After 1/6, these statements alone should keep him off state ballots. 
@GavinNewsom
 @RepRaskin
  @SenSchumer",,,,,[],https://twitter.com/MsBlueEarth2/status/1720228291737747459
Jim Polk,@JimPolk,2023-11-02T23:53:49.000Z,"Jim Polk
@JimPolk
·
Nov 3","Single subject bills from Congress
@HouseGOP
 @SenateGOP
 @SpeakerJohnson
 @LeaderMcConnell
 @SenSchumer
 @SenTedCruz
 @SpeakerMcCarthy
 @RepStefanik
 @SenJohnBarrasso",,,,,[],https://twitter.com/JimPolk/status/1720227744884150748
Joe Murgia,@TheUfoJoe,2023-11-02T23:53:34.000Z,"Joe Murgia
@TheUfoJoe
·
Nov 3","Schumer in February - Alaska Object Was a Balloon

""
@SenSchumer
 said he was briefed by the White House's national security adviser, Jake Sullivan, on the most recent object shot down over Canada on Saturday. According to Schumer, intelligence officials believe that object, as…
Show more",,11,4,38,[],https://twitter.com/TheUfoJoe/status/1720227684507398410
JPWK ®,@JPWK,2023-11-02T23:53:25.000Z,"JPWK ®
@JPWK
·
Nov 3",".
@SenSchumer
 && 
@LeaderMcConnell
 

I know I am not good at arithmetic as you guys are...",,,1,,[],https://twitter.com/JPWK/status/1720227643612667952
Joseph N. Sayegh المختار,@Yo_Sayegh,2023-11-02T23:52:46.000Z,"Joseph N. Sayegh المختار
@Yo_Sayegh
·
Nov 3","The healthcare system in the US requires reform. 
@SenSchumer
 

Physicians are burdened with excessive negotiations with insurance representatives, detracting from patient care.

There's also a reluctance to prescribe necessary treatments for pain management.

They are being, and…
Show more",,,,1,[],https://twitter.com/Yo_Sayegh/status/1720227480613646684
Jeff_R (backup),@Jeff_R_R_62,2023-11-03T23:57:46.000Z,"Jeff_R (backup)
@Jeff_R_R_62
·
Nov 4","Excellent analysis of the moral fall of 
@senschumer
....

From Guardian to Coward: The Journey of Chuck Schumer",,,,,[],https://twitter.com/Jeff_R_R_62/status/1720591126179270946
TheCount,@CountFuqua,2023-11-03T23:45:01.000Z,"TheCount
@CountFuqua
·
Nov 4","#CNN #MSNBC #DemocratsLoveTerrorists 
@SenatorDurbin
 @SenSchumer
 @SenWarren
 @ezraklein",,,,1,[],https://twitter.com/CountFuqua/status/1720587917771288999
Audry,@AudryForsyth,2023-11-03T23:27:58.000Z,"Audry
@AudryForsyth
·
Nov 4","Spreading lies and misinformation have consequences. You think you are smart but you are hurting your people. It is going to happen and I'll have my popcorn ready.
@RepRashida
@IlhanMN
 @MSNBC
 @maddow
@POTUS
 @vp
 @SenSchumer
 @AdamSchiff
 @Morning_Joe
 @morningmika
 @RepJeffries",,2,,2,[],https://twitter.com/AudryForsyth/status/1720583630139936799
Steve Matoren,@imaliveoutthere,2023-11-03T23:27:34.000Z,"Steve Matoren
@imaliveoutthere
·
Nov 4","Another week of 
@SenSchumer
 doing NOTHING about guns. More pressure from folks like 
@davidhogg111
 are needed.",,,,,[],https://twitter.com/imaliveoutthere/status/1720583526117212598
Mandy Hernandez,@resist4mykids,2023-11-03T23:18:08.000Z,"Mandy Hernandez
@resist4mykids
·
Nov 4","This is absolute bullshit!!! How does Congress justify this? WE DEMAND ANSWERS AND OUR VETERANS DESERVE  BETTER!!
@POTUS
 @VP
 @SenSchumer
 @SpeakerJohnson",🟧 🕶 🗳 💙 🌎 ☮,1,1,2,['https://pbs.twimg.com/amplify_video_thumb/1668764890914324488/img/XCsROAE_i8M97LBQ.jpg'],https://twitter.com/resist4mykids/status/1720581154070491590
K Lowgren,@KLowgren,2023-11-04T23:51:35.000Z,"K Lowgren
@KLowgren
·
Nov 5","Strong correlation that Cory Mills is arms dlr to Flynn,Prince,Wagner Grp, MbS,Hamas,Putin et al — Jack Smith,Hulser,Harbach 
@IRS_CI
 @USTreasury
 @DOJNatSec
 @DOJCrimDiv
 @SenWarren
 @tedlieu
 @SenBlumenthal
 @SenSchumer
 @FBI
 @POTUS
 @VP
 5eyes 
@ICCT_TheHague
 @NSACyber
 @INTERPOL_Cyber",🔥,,,1,[],https://twitter.com/KLowgren/status/1720951959773933596
DNix,@DNix1967,2023-11-04T23:44:32.000Z,"DNix
@DNix1967
·
Nov 5","Check out Tik Toker Nita's video! #TikTok https://tiktok.com/t/ZT8Sxc2JP/ 
@SenSchumer
  flip flop! Soon your time is coming to lose your seat!!!",,,,,[],https://twitter.com/DNix1967/status/1720950186854248864
DOC Hawke,@DocHawk10,2023-11-04T23:30:25.000Z,"DOC Hawke
@DocHawk10
·
Nov 5","Americans of Palestinian origin are also AMERICAN.
Tell Bibi to Ceasefire. I pay his Salary to the tune of 3.8 Billion Dollars a year.
@POTUS
 @SenSchumer
 @LeaderMcConnell
 @SpeakerJohnson
 @VP",🦁,,,,[],https://twitter.com/DocHawk10/status/1720946633649569864
